anio,mes,id,tamano,categoria,sexo,grupo,div,ro,ho,c,ht
2018,12,1,3,O,1,1,1,7978504,378,8232627,393
2018,12,1,3,O,1,2,1,104263278,8316,111395678,8669
2018,12,1,3,O,1,3,1,16267669,2268,18600409,2529
2018,12,1,3,O,1,4,1,76056468,13230,89781616,15318
2018,12,1,3,O,1,9,1,NA,NA,NA,NA
2018,12,1,3,O,2,1,1,37497139,1890,39702759,1948
2018,12,1,3,O,2,2,1,63261229,5295,67851529,5548
2018,12,1,3,O,2,3,1,22772649,3024,26491205,3410
2018,12,1,3,O,2,4,1,52761632,9828,62332965,11509
2018,12,1,3,O,2,5,1,NA,NA,NA,NA
2018,12,1,3,O,2,7,1,50007840,10017,59006804,11882
2018,12,1,3,O,2,8,1,182674262,30996,212392537,36570
2018,12,1,3,O,2,9,1,NA,NA,NA,NA
2018,12,2,3,G,1,1,2,2355157,199,2447892,199
2018,12,2,3,G,1,2,2,3062372,387,3512347,393
2018,12,2,3,G,1,3,2,13650779,3290,16419506,3322
2018,12,2,3,G,1,4,2,3497697,1355,4477724,1355
2018,12,2,3,G,1,5,2,NA,NA,NA,NA
2018,12,2,3,G,1,6,2,NA,NA,NA,NA
2018,12,2,3,G,1,7,2,21222681,8888,28698753,9039
2018,12,2,3,G,1,8,2,NA,NA,NA,NA
2018,12,2,3,G,1,9,2,1362745,581,1817764,593
2018,12,2,3,G,2,1,2,11845737,968,12428547,968
2018,12,2,3,G,2,2,2,1116003,194,1286330,194
2018,12,2,3,G,2,3,2,933103,194,1338629,232
2018,12,2,3,G,2,4,2,457973,194,510505,194
2018,12,2,3,G,2,5,2,392111,194,441403,194
2018,12,2,3,G,2,6,2,NA,NA,NA,NA
2018,12,2,3,G,2,7,2,28495290,10546,37044529,10707
2018,12,2,3,G,2,8,2,3324808,774,4463669,801
2018,12,2,3,G,2,9,2,4112984,1742,5591291,1774
2018,12,3,3,C,1,1,13,NA,NA,NA,NA
2018,12,3,3,C,1,2,13,4899969,776,5493291,776
2018,12,3,3,C,1,3,13,3014121,776,3351372,776
2018,12,3,3,C,1,4,13,4600192,1358,5506877,1372
2018,12,3,3,C,1,5,13,NA,NA,NA,NA
2018,12,3,3,C,1,6,13,1353374,194,1568483,194
2018,12,3,3,C,1,7,13,NA,NA,NA,NA
2018,12,3,3,C,1,8,13,NA,NA,NA,NA
2018,12,3,3,C,1,9,13,481250,194,542465,194
2018,12,3,3,C,2,1,13,23673499,776,24724751,776
2018,12,3,3,C,2,2,13,29211718,3298,32243423,3298
2018,12,3,3,C,2,3,13,33406706,6208,38428477,6267
2018,12,3,3,C,2,4,13,8833720,2522,10282085,2538
2018,12,3,3,C,2,5,13,585664,194,761175,244
2018,12,3,3,C,2,6,13,22484874,1940,24083101,1940
2018,12,3,3,C,2,7,13,15659384,4656,23093994,4957
2018,12,3,3,C,2,8,13,18026385,5626,26362044,5785
2018,12,3,3,C,2,9,13,102144188,31428,137027751,31891
2018,12,4,3,P,1,1,1,65335876,4352,67541264,4352
2018,12,4,3,P,1,2,1,458205416,51570,481107659,51661
2018,12,4,3,P,1,3,1,43256406,10045,47192750,10166
2018,12,4,3,P,1,4,1,112899641,27812,123328371,28124
2018,12,4,3,P,1,5,1,NA,NA,NA,NA
2018,12,4,3,P,1,7,1,NA,NA,NA,NA
2018,12,4,3,P,1,9,1,16864672,6054,19635675,6348
2018,12,4,3,P,2,1,1,133461826,7946,137532496,7946
2018,12,4,3,P,2,2,1,555349243,54494,581276523,54651
2018,12,4,3,P,2,3,1,37599843,8325,41403349,8485
2018,12,4,3,P,2,4,1,20813659,4730,23188410,4878
2018,12,4,3,P,2,5,1,NA,NA,NA,NA
2018,12,4,3,P,2,7,1,3925280,1135,4799533,1265
2018,12,4,3,P,2,8,1,3288521,946,4529376,1138
2018,12,4,3,P,2,9,1,77458923,20055,89856150,21111
2018,12,5,3,O,1,1,1,4983189,378,6215843,378
2018,12,5,3,O,1,2,1,264911827,29673,290030424,29673
2018,12,5,3,O,1,3,1,46860157,9072,50287534,9072
2018,12,5,3,O,1,4,1,36010216,9072,38766936,9086
2018,12,5,3,O,1,9,1,NA,NA,NA,NA
2018,12,5,3,O,2,1,1,14147971,945,14917857,945
2018,12,5,3,O,2,2,1,267609251,27405,299820807,27405
2018,12,5,3,O,2,3,1,20651560,3591,23365659,3591
2018,12,5,3,O,2,4,1,18398043,4725,21065346,4745
2018,12,5,3,O,2,5,1,NA,NA,NA,NA
2018,12,5,3,O,2,7,1,NA,NA,NA,NA
2018,12,5,3,O,2,8,1,2999762,945,4581682,945
2018,12,5,3,O,2,9,1,NA,NA,NA,NA
2018,12,6,3,P,1,1,1,61918213,6024,64473255,6024
2018,12,6,3,P,1,2,1,323369848,39451,339149561,39451
2018,12,6,3,P,1,3,1,178328335,45614,187568709,45758
2018,12,6,3,P,1,4,1,167561058,57166,179323266,58264
2018,12,6,3,P,1,5,1,NA,NA,NA,NA
2018,12,6,3,P,1,7,1,NA,NA,NA,NA
2018,12,6,3,P,1,9,1,NA,NA,NA,NA
2018,12,6,3,P,2,1,1,69669671,6386,72919054,6386
2018,12,6,3,P,2,2,1,352626373,43195,369097692,43195
2018,12,6,3,P,2,3,1,143401791,30087,151239591,30362
2018,12,6,3,P,2,4,1,95428846,33813,101897717,34416
2018,12,6,3,P,2,5,1,NA,NA,NA,NA
2018,12,6,3,P,2,7,1,NA,NA,NA,NA
2018,12,6,3,P,2,8,1,NA,NA,NA,NA
2018,12,6,3,P,2,9,1,NA,NA,NA,NA
2018,12,7,3,O,1,1,1,167850618,8136,186962402,8136
2018,12,7,3,O,1,2,1,440922677,44273,538689220,45311
2018,12,7,3,O,1,3,1,NA,NA,NA,NA
2018,12,7,3,O,1,4,1,102694663,18731,142487640,19515
2018,12,7,3,O,1,9,1,NA,NA,NA,NA
2018,12,7,3,O,2,1,1,249753833,11541,270610523,11541
2018,12,7,3,O,2,2,1,389125581,35002,464266892,35528
2018,12,7,3,O,2,3,1,0,0,0,0
2018,12,7,3,O,2,4,1,40807410,8136,61957298,8625
2018,12,7,3,O,2,5,1,9631296,3216,20075423,3680
2018,12,7,3,O,2,7,1,0,0,0,0
2018,12,7,3,O,2,8,1,6820128,2081,14239797,2252
2018,12,7,3,O,2,9,1,1159727,378,1826870,418
2018,12,8,3,I,1,1,1,NA,NA,NA,NA
2018,12,8,3,I,1,2,1,21583002,3818,23923103,3823
2018,12,8,3,I,1,3,1,4838085,968,5308571,969
2018,12,8,3,I,1,4,1,23824400,9029,28329418,9088
2018,12,8,3,I,1,5,1,70157758,24380,78233598,24671
2018,12,8,3,I,1,6,1,NA,NA,NA,NA
2018,12,8,3,I,1,7,1,516457,254,563213,254
2018,12,8,3,I,1,9,1,9406682,4286,10699301,4365
2018,12,8,3,I,2,1,1,NA,NA,NA,NA
2018,12,8,3,I,2,2,1,19377230,2996,21064093,2996
2018,12,8,3,I,2,3,1,4866330,1296,5453347,1306
2018,12,8,3,I,2,4,1,8058736,2827,9263938,2863
2018,12,8,3,I,2,5,1,40093481,12990,44244116,13126
2018,12,8,3,I,2,6,1,NA,NA,NA,NA
2018,12,8,3,I,2,7,1,1348309,447,1535404,448
2018,12,8,3,I,2,8,1,3933571,742,4241304,747
