anio,mes,id,tamano,categoria,sexo,grupo,div,ro,ho,c,ht
2018,11,1,3,O,1,1,1,7708701,378,8103865,395
2018,11,1,3,O,1,2,1,100605160,8316,107888343,8763
2018,11,1,3,O,1,3,1,15717561,2268,19741413,2538
2018,11,1,3,O,1,4,1,73484534,13230,96182242,15469
2018,11,1,3,O,1,9,1,NA,NA,NA,NA
2018,11,1,3,O,2,1,1,36229126,1890,38215237,1941
2018,11,1,3,O,2,2,1,61121952,5292,65330669,5576
2018,11,1,3,O,2,3,1,22002564,3024,27684460,3547
2018,11,1,3,O,2,4,1,50977426,9828,68920126,11695
2018,11,1,3,O,2,5,1,NA,NA,NA,NA
2018,11,1,3,O,2,7,1,48316756,10017,56623751,11970
2018,11,1,3,O,2,8,1,176305119,30807,212449161,37418
2018,11,1,3,O,2,9,1,NA,NA,NA,NA
2018,11,2,3,G,1,1,2,2359679,201,2448179,201
2018,11,2,3,G,1,2,2,3062372,387,3512347,393
2018,11,2,3,G,1,3,2,13650779,3290,16419506,3322
2018,11,2,3,G,1,4,2,3082107,1193,4016687,1193
2018,11,2,3,G,1,5,2,NA,NA,NA,NA
2018,11,2,3,G,1,6,2,NA,NA,NA,NA
2018,11,2,3,G,1,7,2,23438121,9817,31491273,9968
2018,11,2,3,G,1,8,2,NA,NA,NA,NA
2018,11,2,3,G,1,9,2,1362745,581,1817764,593
2018,11,2,3,G,2,1,2,11845737,968,12428547,968
2018,11,2,3,G,2,2,2,1116003,194,1286330,194
2018,11,2,3,G,2,3,2,840505,174,1238475,212
2018,11,2,3,G,2,4,2,457973,194,510505,194
2018,11,2,3,G,2,5,2,392111,194,441403,194
2018,11,2,3,G,2,6,2,NA,NA,NA,NA
2018,11,2,3,G,2,7,2,33047651,12223,42747658,12384
2018,11,2,3,G,2,8,2,3324808,774,4463669,801
2018,11,2,3,G,2,9,2,4112984,1742,5591291,1774
2018,11,3,3,C,1,1,13,NA,NA,NA,NA
2018,11,3,3,C,1,2,13,4159776,774,4548530,774
2018,11,3,3,C,1,3,13,2584788,612,2858374,614
2018,11,3,3,C,1,4,13,3184833,1130,3302758,1139
2018,11,3,3,C,1,5,13,NA,NA,NA,NA
2018,11,3,3,C,1,6,13,1976924,193,2270789,193
2018,11,3,3,C,1,7,13,NA,NA,NA,NA
2018,11,3,3,C,1,8,13,NA,NA,NA,NA
2018,11,3,3,C,1,9,13,555796,223,625313,223
2018,11,3,3,C,2,1,13,24483829,780,25660280,780
2018,11,3,3,C,2,2,13,25750389,2839,28898516,2841
2018,11,3,3,C,2,3,13,34104864,6502,37660954,6541
2018,11,3,3,C,2,4,13,8049643,2366,8853795,2389
2018,11,3,3,C,2,5,13,622091,202,807047,249
2018,11,3,3,C,2,6,13,16595559,1907,17156099,1907
2018,11,3,3,C,2,7,13,16147203,4842,18851691,5050
2018,11,3,3,C,2,8,13,15482180,5804,18171541,6077
