anio,mes,id,tamano,categoria,sexo,grupo,div,ro,ho,c,ht
2018,10,1,3,O,1,1,1,7708701,378,7962359,393
2018,10,1,3,O,1,2,1,100605160,8316,108525789,8743
2018,10,1,3,O,1,3,1,15717561,2268,18117347,2542
2018,10,1,3,O,1,4,1,73484534,13230,90491289,15297
2018,10,1,3,O,1,9,1,NA,NA,NA,NA
2018,10,1,3,O,2,1,1,36229126,1890,37960782,1947
2018,10,1,3,O,2,2,1,61121952,5292,65876426,5577
2018,10,1,3,O,2,3,1,22002564,3024,26224253,3489
2018,10,1,3,O,2,4,1,51883827,10017,64781105,11696
2018,10,1,3,O,2,5,1,NA,NA,NA,NA
2018,10,1,3,O,2,7,1,48316756,10017,56821534,11756
2018,10,1,3,O,2,8,1,179292891,31374,209207341,36934
2018,10,1,3,O,2,9,1,NA,NA,NA,NA
2018,10,2,3,G,1,1,2,2376214,201,2464248,201
2018,10,2,3,G,1,2,2,3062372,387,3512347,393
2018,10,2,3,G,1,3,2,13650779,3290,16419506,3322
2018,10,2,3,G,1,4,2,3497697,1355,4477724,1355
2018,10,2,3,G,1,5,2,NA,NA,NA,NA
2018,10,2,3,G,1,6,2,NA,NA,NA,NA
2018,10,2,3,G,1,7,2,22407153,9385,30180541,9536
2018,10,2,3,G,1,8,2,NA,NA,NA,NA
2018,10,2,3,G,1,9,2,1362745,581,1817764,593
2018,10,2,3,G,2,1,2,11845737,968,12428547,968
2018,10,2,3,G,2,2,2,1116003,194,1286330,194
2018,10,2,3,G,2,3,2,840505,174,1238475,212
2018,10,2,3,G,2,4,2,457973,194,510505,194
2018,10,2,3,G,2,5,2,392111,194,441403,194
2018,10,2,3,G,2,6,2,NA,NA,NA,NA
2018,10,2,3,G,2,7,2,38448242,14216,49556448,14377
2018,10,2,3,G,2,8,2,3324808,774,4463669,801
2018,10,2,3,G,2,9,2,4112984,1742,5591291,1774
2018,10,3,3,C,1,1,13,NA,NA,NA,NA
2018,10,3,3,C,1,2,13,4201620,774,4616316,774
2018,10,3,3,C,1,3,13,2239086,580,2434906,580
2018,10,3,3,C,1,4,13,3065695,1161,3455424,1165
2018,10,3,3,C,1,5,13,NA,NA,NA,NA
2018,10,3,3,C,1,6,13,1600807,193,1828376,193
2018,10,3,3,C,1,7,13,NA,NA,NA,NA
2018,10,3,3,C,1,8,13,NA,NA,NA,NA
2018,10,3,3,C,1,9,13,496250,193,559455,193
2018,10,3,3,C,2,1,13,24018668,774,25101053,774
2018,10,3,3,C,2,2,13,25295045,2903,28348311,2903
2018,10,3,3,C,2,3,13,32592412,6579,36022926,6622
2018,10,3,3,C,2,4,13,7743442,2322,8654736,2345
2018,10,3,3,C,2,5,13,570084,194,727550,237
2018,10,3,3,C,2,6,13,14943726,1935,15850505,1935
2018,10,3,3,C,2,7,13,15146054,4644,17620356,4803
2018,10,3,3,C,2,8,13,14262257,5612,16506123,5743
2018,10,3,3,C,2,9,13,93305856,28058,105909264,28363
2018,10,4,3,P,1,1,1,72459656,4730,74615771,4730
2018,10,4,3,P,1,2,1,434870924,52043,456309341,52176
2018,10,4,3,P,1,3,1,40897142,9856,44562161,9901
2018,10,4,3,P,1,4,1,104582644,28380,113584141,28413
2018,10,4,3,P,1,5,1,NA,NA,NA,NA
2018,10,4,3,P,1,7,1,NA,NA,NA,NA
2018,10,4,3,P,1,9,1,14527440,6054,17179895,6163
2018,10,4,3,P,2,1,1,128068639,7757,131681456,7757
2018,10,4,3,P,2,2,1,532892739,55496,555401122,55567
2018,10,4,3,P,2,3,1,34362670,8325,38402009,8490
2018,10,4,3,P,2,4,1,20018585,4919,21623847,4940
2018,10,4,3,P,2,5,1,NA,NA,NA,NA
2018,10,4,3,P,2,7,1,3794886,1135,4238056,1135
2018,10,4,3,P,2,8,1,3186864,946,4200345,1072
2018,10,4,3,P,2,9,1,71348670,20434,83697741,21216
2018,10,5,3,O,1,1,1,4814672,378,5233903,378
2018,10,5,3,O,1,2,1,244265054,29106,261314273,29106
2018,10,5,3,O,1,3,1,45499195,9450,48786304,9450
2018,10,5,3,O,1,4,1,34293157,9072,37283814,9072
2018,10,5,3,O,1,9,1,NA,NA,NA,NA
2018,10,5,3,O,2,1,1,12869356,756,13920029,756
2018,10,5,3,O,2,2,1,260359136,27594,281571839,27594
2018,10,5,3,O,2,3,1,17162653,3213,19330857,3213
2018,10,5,3,O,2,4,1,18369292,4914,20435519,4914
2018,10,5,3,O,2,5,1,NA,NA,NA,NA
2018,10,5,3,O,2,7,1,NA,NA,NA,NA
2018,10,5,3,O,2,8,1,2893928,945,4402395,945
2018,10,5,3,O,2,9,1,NA,NA,NA,NA
2018,10,6,3,P,1,1,1,61196090,6037,63830521,6037
2018,10,6,3,P,1,2,1,306981054,40193,322520117,40193
2018,10,6,3,P,1,3,1,174987759,47033,186307046,47199
2018,10,6,3,P,1,4,1,162391553,59582,170975337,59722
2018,10,6,3,P,1,5,1,NA,NA,NA,NA
2018,10,6,3,P,1,7,1,NA,NA,NA,NA
2018,10,6,3,P,1,9,1,NA,NA,NA,NA
2018,10,6,3,P,2,1,1,69025214,6476,72307435,6476
2018,10,6,3,P,2,2,1,337236700,42466,353380388,42466
2018,10,6,3,P,2,3,1,135726243,29287,143149981,29490
2018,10,6,3,P,2,4,1,92379781,33675,98370431,34125
2018,10,6,3,P,2,5,1,NA,NA,NA,NA
2018,10,6,3,P,2,7,1,NA,NA,NA,NA
2018,10,6,3,P,2,8,1,NA,NA,NA,NA
2018,10,6,3,P,2,9,1,NA,NA,NA,NA
2018,10,7,3,O,1,1,1,167484602,8325,184131433,8325
2018,10,7,3,O,1,2,1,432175898,43894,502509061,44153
2018,10,7,3,O,1,3,1,NA,NA,NA,NA
2018,10,7,3,O,1,4,1,100121631,18920,141019353,19260
2018,10,7,3,O,1,9,1,NA,NA,NA,NA
2018,10,7,3,O,2,1,1,239275902,11352,261934337,11352
2018,10,7,3,O,2,2,1,379807639,35191,442200285,35324
2018,10,7,3,O,2,3,1,NA,NA,NA,NA
2018,10,7,3,O,2,4,1,40644186,8136,51219910,8414
2018,10,7,3,O,2,5,1,9674937,3216,13871220,3533
2018,10,7,3,O,2,7,1,NA,NA,NA,NA
2018,10,7,3,O,2,8,1,6518964,2081,8752448,2171
2018,10,7,3,O,2,9,1,1109733,378,1468391,408
2018,10,8,3,I,1,1,1,NA,NA,NA,NA
2018,10,8,3,I,1,2,1,22492316,3877,24586703,3889
2018,10,8,3,I,1,3,1,5309750,968,5690255,968
2018,10,8,3,I,1,4,1,23241975,9431,27193359,9523
2018,10,8,3,I,1,5,1,55071727,19060,61661358,19690
2018,10,8,3,I,1,6,1,NA,NA,NA,NA
2018,10,8,3,I,1,7,1,361022,194,386286,196
2018,10,8,3,I,1,9,1,8665009,4200,9871172,4371
2018,10,8,3,I,2,1,1,NA,NA,NA,NA
2018,10,8,3,I,2,2,1,17201135,2493,18541637,2493
2018,10,8,3,I,2,3,1,4891983,1335,5451201,1363
