A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;4;1;3;O;1;1;84;7978504;378;8053319;378;7978504;378;8388733;385
2019;4;1;3;O;1;2;84;104531815;8316;110959315;8684;107881688;8505;117804513;9292
2019;4;1;3;O;1;3;84;16497994;2268;18689841;2537;17071051;2268;19461023;2568
2019;4;1;3;O;1;4;84;78240351;13230;88430618;15096;76729722;13230;88226562;15309
2019;4;1;3;O;1;5;84;;;;;;;;
2019;4;1;3;O;1;6;84;;;;;;;;
2019;4;1;3;O;1;7;84;973580;189;1377889;290;1001010;189;1236194;245
2019;4;1;3;O;1;8;84;101936151;16632;111172534;18408;105845183;16632;116578815;18600
2019;4;1;3;O;1;9;84;;;;;;;;
2019;4;1;3;O;2;1;84;37497139;1890;39187442;1935;37497139;1890;40046445;1973
2019;4;1;3;O;2;2;84;63431115;5292;67236998;5483;63656804;5292;69857575;5637
2019;4;1;3;O;2;3;84;23038221;3024;25670171;3351;23456062;3024;27265730;3526
2019;4;1;3;O;2;4;84;53613846;9828;60296297;11078;53436264;9828;60562049;11214
2019;4;1;3;O;2;5;84;;;;;;;;
2019;4;1;3;O;2;6;84;;;;;;;;
2019;4;1;3;O;2;7;84;50361688;10017;57203884;11418;50444888;10017;59140684;12017
2019;4;1;3;O;2;8;84;188597948;31374;208500111;35533;188940456;31374;215217173;37318
2019;4;1;3;O;2;9;84;;;;;;;;
2019;4;2;3;G;1;1;46;2320497;197;2406390;197;2304389;197;2392089;197
2019;4;2;3;G;1;2;46;4593558;581;5234288;587;4593558;581;5234288;587
2019;4;2;3;G;1;3;46;13650779;3290;16419506;3322;10452911;2516;12773463;2548
2019;4;2;3;G;1;4;46;3497697;1355;4477724;1355;3497697;1355;4477724;1355
2019;4;2;3;G;1;5;46;;;;;;;;
2019;4;2;3;G;1;6;46;;;;;;;;
2019;4;2;3;G;1;7;46;21194482;8875;28829207;9026;22264000;9327;29697265;9478
2019;4;2;3;G;1;8;46;;;;;;;;
2019;4;2;3;G;1;9;46;908497;387;1225747;399;908497;387;1225747;399
2019;4;2;3;G;2;1;46;11845737;968;12428547;968;11845737;968;12428547;968
2019;4;2;3;G;2;2;46;1116003;194;1286330;194;1116003;194;1281902;194
2019;4;2;3;G;2;3;46;933103;194;1338629;232;933103;194;1338629;232
2019;4;2;3;G;2;4;46;457973;194;510505;194;457973;194;510505;194
2019;4;2;3;G;2;5;46;392111;194;441410;194;392111;194;441403;194
2019;4;2;3;G;2;6;46;;;;;;;;
2019;4;2;3;G;2;7;46;34707879;12842;44918966;13003;33770682;12487;43630612;12648
2019;4;2;3;G;2;8;46;3324808;774;4463669;801;3324808;774;4463669;801
2019;4;2;3;G;2;9;46;5483979;2322;7427251;2354;5026981;2129;6815265;2161
2019;4;3;3;C;1;1;23;;;;;;;;
2019;4;3;3;C;1;2;23;4367542;776;4782708;776;5818151;970;6642227;970
2019;4;3;3;C;1;3;23;2730010;776;3057089;787;3014121;776;3358493;787
2019;4;3;3;C;1;4;23;3880289;970;4338955;980;3982298;1164;4411968;1164
2019;4;3;3;C;1;5;23;;;;;;;;
2019;4;3;3;C;1;6;23;1071788;194;1236147;194;1472894;194;1689091;194
2019;4;3;3;C;1;7;23;;;;;;;;
2019;4;3;3;C;1;8;23;;;;;;;;
2019;4;3;3;C;1;9;23;467039;194;539689;194;523559;194;619396;200
2019;4;3;3;C;2;1;23;23711460;776;24770976;776;23713280;776;24775064;776
2019;4;3;3;C;2;2;23;29726575;3492;33251052;3547;31760454;3492;34923028;3525
2019;4;3;3;C;2;3;23;32754406;6014;36290553;6089;30358067;6208;33685751;6295
2019;4;3;3;C;2;4;23;10480190;2522;11824347;2578;11342070;2716;12722698;2766
2019;4;3;3;C;2;5;23;656963;194;730759;205;666963;194;882463;234
2019;4;3;3;C;2;6;23;22544152;1940;23873983;1940;20045340;2134;21354974;2134
2019;4;3;3;C;2;7;23;17149825;4850;21968516;5383;18499796;5044;24430760;5775
2019;4;3;3;C;2;8;23;18215726;5626;22024243;6030;17973734;6014;21628254;6426
2019;4;3;3;C;2;9;23;113492244;32398;131221960;33372;128310273;33174;148623402;34220
2019;4;4;3;P;1;1;85;64522723;4352;66540880;4352;65803347;4541;68554461;4541
2019;4;4;3;P;1;2;85;454232083;50112;476436648;50460;438949815;51634;466921050;51730
2019;4;4;3;P;1;3;85;40587500;9683;44640333;9861;40859241;9666;45792537;9828
2019;4;4;3;P;1;4;85;108130714;27434;118697345;28018;105519209;27056;119317923;27465
2019;4;4;3;P;1;5;85;;;;;;;;
2019;4;4;3;P;1;6;85;;;;;;;;
2019;4;4;3;P;1;7;85;;;;;;;;
2019;4;4;3;P;1;8;85;;;;;;;;
2019;4;4;3;P;1;9;85;15735819;6054;18312120;6311;15971370;6244;19574242;6571
2019;4;4;3;P;2;1;85;129489360;7757;133191500;7757;130218419;7568;134772590;7568
2019;4;4;3;P;2;2;85;547979272;53354;571299459;53645;522292730;53320;553771272;53498
2019;4;4;3;P;2;3;85;35632244;8325;39283184;8497;35977935;8325;40358123;8438
2019;4;4;3;P;2;4;85;19984820;4730;22048558;4859;19735165;4730;22890375;4924
2019;4;4;3;P;2;5;85;;;;;;;;
2019;4;4;3;P;2;6;85;;;;;;;;
2019;4;4;3;P;2;7;85;3925280;1135;4590696;1205;3925280;1135;5221831;1298
2019;4;4;3;P;2;8;85;3288521;946;4138626;1066;3288521;946;4496977;1136
2019;4;4;3;P;2;9;85;73986466;19866;85472320;20823;72393059;20055;84963788;20853
2019;4;5;3;O;1;1;84;8479274;567;8811046;567;8351156;567;8668465;567
2019;4;5;3;O;1;2;84;256031761;29484;274308106;29484;267789962;30051;285543973;30051
2019;4;5;3;O;1;3;84;46468210;9261;49474571;9261;46728485;9261;50277898;9261
2019;4;5;3;O;1;4;84;32962748;7938;35161995;7938;31530178;7749;34365375;7749
2019;4;5;3;O;1;5;84;;;;;;;;
2019;4;5;3;O;1;6;84;;;;;;;;
2019;4;5;3;O;1;7;84;;;;;;;;
2019;4;5;3;O;1;8;84;2076316;756;2462785;756;2076316;756;2234805;756
2019;4;5;3;O;1;9;84;;;;;;;;
2019;4;5;3;O;2;1;84;23603657;1323;28726164;1323;23678938;1323;25259088;1323
2019;4;5;3;O;2;2;84;254430592;26460;274242738;26460;255213905;26460;355256912;26460
2019;4;5;3;O;2;3;84;18599852;3213;19996024;3213;17361404;3024;18799798;3024
2019;4;5;3;O;2;4;84;18398043;4725;20822546;4725;18640585;4914;21231050;4914
2019;4;5;3;O;2;5;84;;;;;;;;
2019;4;5;3;O;2;6;84;;;;;;;;
2019;4;5;3;O;2;7;84;;;;;;;;
2019;4;5;3;O;2;8;84;3534748;1134;4586645;1134;3534862;1134;4596654;1134
2019;4;5;3;O;2;9;84;;;;;;;;
2019;4;6;3;P;1;1;85;73162493;7276;76285146;7276;72861683;7069;77841556;7069
2019;4;6;3;P;1;2;85;320970164;44237;336522423;44237;353094300;46191;377576680;46191
