A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;1;3;O;1;1;1;7978504;378;8306225;391;7978504;378;8240531;393
2019;8;1;3;O;1;2;1;106227955;8505;113720893;8897;104353718;8316;112577768;8696
2019;8;1;3;O;1;3;1;16267669;2268;18805542;2552;16267669;2268;20452738;2540
2019;8;1;3;O;1;4;1;76134618;13230;89065376;15405;76134618;13230;89208534;15483
2019;8;1;3;O;1;5;1;;;;;;;;
2019;8;1;3;O;1;6;1;;;;;;;;
2019;8;1;3;O;1;7;1;973580;189;1275040;259;973580;189;1255009;259
2019;8;1;3;O;1;8;1;102847054;16821;116020577;19069;107638874;17577;119248533;19644
2019;8;1;3;O;1;9;1;;;;;;;;
2019;8;1;3;O;2;1;1;37497139;1890;39242639;1942;37497139;1890;38890692;1916
2019;8;1;3;O;2;2;1;63325374;5292;68230968;5597;63325374;5292;69655450;5557
2019;8;1;3;O;2;3;1;22772649;3024;26900542;3511;22772649;3024;28246476;3481
2019;8;1;3;O;2;4;1;52704747;9828;62601187;11627;52728190;9828;63958860;11611
2019;8;1;3;O;2;5;1;;;;;;;;
2019;8;1;3;O;2;6;1;;;;;;;;
2019;8;1;3;O;2;7;1;49883802;10017;60445181;12244;49073153;9828;57178896;11651
2019;8;1;3;O;2;8;1;187783703;31941;217891287;37897;189397274;32130;214547433;37616
2019;8;1;3;O;2;9;1;;;;;;;;
2019;8;2;3;G;1;1;2;2420899;205;2512786;205;2387088;203;2478054;203
2019;8;2;3;G;1;2;2;4593558;581;5234288;587;3069512;387;3605259;393
2019;8;2;3;G;1;3;2;11680403;2812;14192768;2844;10957010;2638;13321364;2670
2019;8;2;3;G;1;4;2;3497697;1355;4477724;1355;3497697;1355;4477718;1355
2019;8;2;3;G;1;5;2;;;;;;;;
2019;8;2;3;G;1;6;2;;;;;;;;
2019;8;2;3;G;1;7;2;20235263;8475;27274674;8626;20189213;8456;27223358;8607
2019;8;2;3;G;1;8;2;;;;;;;;
2019;8;2;3;G;1;9;2;908497;387;1225747;399;832960;355;1141494;367
2019;8;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
