A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;1;3;O;1;1;1;7978504;378;8203798;390;8104487;378;8181229;378
2019;12;1;3;O;1;2;1;104353718;8316;111633029;8705;107239031;8316;112764234;8468
2019;12;1;3;O;1;3;1;16267669;2268;18314451;2518;16723170;2268;18607954;2426
2019;12;1;3;O;1;4;1;76134618;13230;86168073;15106;78266391;13230;87645002;14463
2019;12;1;3;O;1;5;1;;;;;;;;
2019;12;1;3;O;1;6;1;;;;;;;;
2019;12;1;3;O;1;7;1;973580;189;1000661;189;1000841;189;1608940;340
2019;12;1;3;O;1;8;1;110055784;17955;122608191;20232;113144761;17766;125006867;19325
2019;12;1;3;O;1;9;1;;;;;;;;
2019;12;1;3;O;2;1;1;37497139;1890;40586294;1989;38064951;1890;40942567;1985
2019;12;1;3;O;2;2;1;63325374;5292;68373439;5560;64487356;5292;68207904;5469
2019;12;1;3;O;2;3;1;22772649;3024;26512224;3505;23410288;3024;27969330;3562
2019;12;1;3;O;2;4;1;52728190;9828;61715586;11530;54276597;9828;64890224;11462
2019;12;1;3;O;2;5;1;;;;;;;;
2019;12;1;3;O;2;6;1;;;;;;;;
2019;12;1;3;O;2;7;1;49113816;9828;59535331;12189;50464954;9828;64556075;12903
2019;12;1;3;O;2;8;1;189405527;32130;220587074;39331;243488338;44037;281644012;52778
2019;12;1;3;O;2;9;1;;;;;;;;
2019;12;2;3;G;1;1;2;2408168;204;2501491;204;2379532;203;2475598;203
2019;12;2;3;G;1;2;2;4593558;581;5234288;587;4593558;581;5234288;587
2019;12;2;3;G;1;3;2;11945719;2877;14481137;2909;12078376;2909;14625321;2941
2019;12;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838049;1161
2019;12;2;3;G;1;5;2;;;;;;;;
2019;12;2;3;G;1;6;2;;;;;;;;
2019;12;2;3;G;1;7;2;24144233;10114;32278125;10265;22391803;9378;30163436;9529
2019;12;2;3;G;1;8;2;;;;;;;;
2019;12;2;3;G;1;9;2;1362745;581;1817764;593;1362745;581;1817764;593
2019;12;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;12;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2019;12;2;3;G;2;3;2;1866206;387;2433061;425;1866206;387;2433061;425
2019;12;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;12;2;3;G;2;5;2;424571;215;512039;229;426683;214;492197;215
