Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;7;1;3;O;1;1;1;7978504;378;8466165;390;7978504;378;8306225;391
2019;7;1;3;O;1;2;1;106830434;8505;114726130;8924;106227955;8505;113720893;8897
2019;7;1;3;O;1;3;1;16761127;2268;19412669;2535;16267669;2268;18805542;2552
2019;7;1;3;O;1;4;1;77815272;13230;89604506;15346;76134618;13230;89065376;15405
2019;7;1;3;O;1;5;1;;;;;;;;
2019;7;1;3;O;1;6;1;;;;;;;;
2019;7;1;3;O;1;7;1;1008827;189;1279025;255;973580;189;1275040;259
2019;7;1;3;O;1;8;1;108711957;16821;121417630;19284;102847054;16821;116020577;19069
2019;7;1;3;O;1;9;1;;;;;;;;
2019;7;1;3;O;2;1;1;37497139;1890;40832429;1928;37497139;1890;39242639;1942
2019;7;1;3;O;2;2;1;64445185;5292;69738607;5634;63325374;5292;68230968;5597
2019;7;1;3;O;2;3;1;23135022;3024;27511978;3574;22772649;3024;26900542;3511
2019;7;1;3;O;2;4;1;54302415;9828;64414067;11810;52704747;9828;62601187;11627
2019;7;1;3;O;2;5;1;;;;;;;;
2019;7;1;3;O;2;6;1;;;;;;;;
2019;7;1;3;O;2;7;1;52144280;10017;62226842;12278;49883802;10017;60445181;12244
2019;7;1;3;O;2;8;1;191305148;32130;221364537;38843;187783703;31941;217891287;37897
2019;7;1;3;O;2;9;1;;;;;;;;
2019;7;2;3;G;1;1;2;2410943;203;2494784;203;2420899;205;2512786;205
2019;7;2;3;G;1;2;2;4593558;581;5234288;587;4593558;581;5234288;587
2019;7;2;3;G;1;3;2;10452911;2516;12773463;2548;11680403;2812;14192768;2844
2019;7;2;3;G;1;4;2;3497697;1355;4477724;1355;3497697;1355;4477724;1355
2019;7;2;3;G;1;5;2;;;;;;;;
2019;7;2;3;G;1;6;2;;;;;;;;
2019;7;2;3;G;1;7;2;20251863;8482;27374111;8633;20235263;8475;27274674;8626
2019;7;2;3;G;1;8;2;;;;;;;;
2019;7;2;3;G;1;9;2;908497;387;1225747;399;908497;387;1225747;399
2019;7;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;7;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2019;7;2;3;G;2;3;2;940222;194;1431518;232;662427;135;1131056;173
2019;7;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;7;2;3;G;2;5;2;392111;194;441403;194;392111;194;441403;194
2019;7;2;3;G;2;6;2;;;;;;;;
2019;7;2;3;G;2;7;2;31675664;11713;40979123;11874;29704228;10997;38632994;11158
2019;7;2;3;G;2;8;2;3324808;774;4463669;801;3324808;774;4463669;801
2019;7;2;3;G;2;9;2;5483979;2322;7427251;2354;5743281;2432;7831815;2464
2019;7;3;3;C;1;1;13;;;;;;;;
2019;7;3;3;C;1;2;13;6932875;970;7788554;970;6499495;922;7324550;922
2019;7;3;3;C;1;3;13;3067788;970;3349919;970;3269332;932;3581915;932
2019;7;3;3;C;1;4;13;3921309;1164;4340073;1164;4032636;1161;4496263;1169
2019;7;3;3;C;1;5;13;;;;;;;;
2019;7;3;3;C;1;6;13;1221621;194;1577341;194;1234601;194;1421106;194
2019;7;3;3;C;1;7;13;;;;;;;;
2019;7;3;3;C;1;8;13;;;;;;;;
2019;7;3;3;C;1;9;13;508667;194;606308;198;538924;194;638447;198
2019;7;3;3;C;2;1;13;23881915;776;24952661;776;23881915;776;24952661;776
2019;7;3;3;C;2;2;13;32559379;3686;36036758;3729;32309209;3677;36176703;3724
2019;7;3;3;C;2;3;13;28887486;6014;31854046;6052;31115697;6055;34359306;6090
2019;7;3;3;C;2;4;13;10577611;2910;11833544;2932;11804647;2857;13227816;2874
2019;7;3;3;C;2;5;13;653369;194;815485;226;525970;194;534157;194
2019;7;3;3;C;2;6;13;24140938;2328;25781619;2328;21111897;2503;22769149;2507
2019;7;3;3;C;2;7;13;17976898;5432;21822873;5703;19699138;5115;23482812;5353
2019;7;3;3;C;2;8;13;18383689;6014;21040781;6139;17901416;5708;20739161;5804
2019;7;3;3;C;2;9;13;130705085;33950;148583890;34259;134305751;33095;155526959;33764
2019;7;4;3;P;1;1;1;77595121;4919;79812648;4919;77353522;4919;79982342;4919
2019;7;4;3;P;1;2;1;472743102;54034;492775138;54100;484435223;54180;509896268;54255
2019;7;4;3;P;1;3;1;39573855;9477;42911474;9607;37780518;8910;41455899;8990
2019;7;4;3;P;1;4;1;104881394;27434;114223105;27852;104586578;27623;116177840;27980
2019;7;4;3;P;1;5;1;;;;;;;;
2019;7;4;3;P;1;6;1;;;;;;;;
2019;7;4;3;P;1;7;1;;;;;;;;
2019;7;4;3;P;1;8;1;;;;;;;;
2019;7;4;3;P;1;9;1;14837960;6054;17146331;6327;14845025;6054;17826556;6352
2019;7;4;3;P;2;1;1;124944429;7190;128308983;7190;120336654;7000;124305165;7000
2019;7;4;3;P;2;2;1;548303330;53845;569566812;53955;576275371;53888;604203117;54039
2019;7;4;3;P;2;3;1;35686285;8480;39238235;8665;36076461;8669;40613869;8890
2019;7;4;3;P;2;4;1;19647083;4730;21548487;4851;18707937;4730;21060926;4853
2019;7;4;3;P;2;5;1;;;;;;;;
2019;7;4;3;P;2;6;1;;;;;;;;
2019;7;4;3;P;2;7;1;4015650;1135;4900335;1245;3650789;1047;5033452;1227
2019;7;4;3;P;2;8;1;3294976;946;4284516;1099;3294906;946;4896596;1186
2019;7;4;3;P;2;9;1;71330217;19866;82337760;20902;70807048;19866;82591539;20868
2019;7;5;3;O;1;1;1;8752853;567;9461206;567;8351156;567;8669923;567
2019;7;5;3;O;1;2;1;266428460;30240;290369759;30240;264077016;30429;282999436;30429
2019;7;5;3;O;1;3;1;46410080;9261;50374510;9261;44312867;9072;47731230;9072
2019;7;5;3;O;1;4;1;31510973;7749;34355409;7749;30478740;7749;32370746;7749
2019;7;5;3;O;1;5;1;;;;;;;;
2019;7;5;3;O;1;6;1;;;;;;;;
2019;7;5;3;O;1;7;1;;;;;;;;
2019;7;5;3;O;1;8;1;2091538;756;2269974;756;2091538;756;2344283;756
2019;7;5;3;O;1;9;1;;;;;;;;
