Tamaño;Categoría;Sexo;Grupo;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;IR_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;ICMO_Wi
1;B;1;2;0,019819306;0,053968038;0,010513682;0,009959256;0,003264022;0,019097175;0,050698052;0,01003146;0,009801133;0,003083259
1;B;1;3;0,014807863;0,040321864;0,007855228;0,016136716;0,002438692;0,014476777;0,03843209;0,007604434;0,015292405;0,002337291
1;B;1;4;0,039277652;0,106953184;0,020835883;0,06090312;0,006468598;0,040682196;0,108000689;0,021369748;0,060080669;0,006568184
1;B;2;1;0,133154394;0,362579879;0,031802211;0,154401266;0,021929065;0,1308303;0,347320545;0,030495869;0,159905327;0,021122691
1;B;2;2;0,060113664;0,163689717;0,014357374;0,030207283;0,00990006;0,060936375;0,161770286;0,014203955;0,031274023;0,009838242
1;B;2;3;0,079352811;0,216077982;0,018952396;0,086473906;0,013068536;0,082679976;0,219493911;0,019272277;0,087338204;0,01334877
1;B;2;4;0,029923554;0,081481942;0,007146855;0,046398848;0,00492808;0,032081334;0,085167629;0,007477994;0,047378662;0,005179565
1;B;2;7;0,107835946;0,293637658;0,025755226;0,211993922;0,017759395;0,118024438;0,3133243;0,027510889;0,215436344;0,019055171
1;B;2;8;0,35414235;0,964330856;0,084582335;0,8068155;0,058323353;0,388546824;1,031491132;0,090568264;0,799029298;0,062731297
1;B;2;9;0,07516607;0,204677471;0,017952447;0,205188382;0,012379026;0,085593385;0,227228257;0,019951377;0,213845512;0,013819143
2;B;1;2;0,049542169;0,153070579;0,029820157;0,028247628;0,009257807;0,046827988;0,142360215;0,028168357;0,027521597;0,008657797
2;B;1;4;0,019536671;0,060362508;0,011759408;0,034372657;0,003650763;0,020146707;0,061247335;0,012118813;0,034071828;0,003724826
2;B;2;1;0,163746852;0,505929111;0,044375502;0,215445202;0,030598919;0,153755601;0,467427306;0,041041632;0,215202117;0,028427119
2;B;2;2;0,225557705;0,696906277;0,061126283;0,128607009;0,042149342;0,214301563;0,651491078;0,057203028;0,125948635;0,039621165
