Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;3;1;3;O;1;1;1;7978504;378;8202163;390;7978504;378;8053319;378
2019;3;1;3;O;1;2;1;104249839;8316;111888832;8777;104531815;8316;110959315;8684
2019;3;1;3;O;1;3;1;16267669;2268;18257400;2518;16497994;2268;18689841;2537
2019;3;1;3;O;1;4;1;76114618;13230;86600037;15153;78240351;13230;88430618;15096
2019;3;1;3;O;1;5;1;;;;;;;;
2019;3;1;3;O;1;6;1;;;;;;;;
2019;3;1;3;O;1;7;1;973580;189;1218673;245;973580;189;1377889;290
2019;3;1;3;O;1;8;1;101582857;16632;112773075;18870;101936151;16632;111172534;18408
2019;3;1;3;O;1;9;1;;;;;;;;
2019;3;1;3;O;2;1;1;37497139;1890;38840798;1933;37497139;1890;39187442;1935
2019;3;1;3;O;2;2;1;63325374;5292;67440539;5574;63431115;5292;67236998;5483
2019;3;1;3;O;2;3;1;22772649;3024;25928674;3430;23038221;3024;25670171;3351
2019;3;1;3;O;2;4;1;52761632;9828;61241578;11532;53613846;9828;60296297;11078
2019;3;1;3;O;2;5;1;;;;;;;;
2019;3;1;3;O;2;6;1;;;;;;;;
2019;3;1;3;O;2;7;1;50007840;10017;57303638;11629;50361688;10017;57203884;11418
2019;3;1;3;O;2;8;1;186364579;31563;210675524;36857;188597948;31374;208500111;35533
2019;3;1;3;O;2;9;1;;;;;;;;
2019;3;2;3;G;1;1;2;2392518;202;2482713;202;2350338;204;2439693;204
2019;3;2;3;G;1;2;2;3062372;387;3512347;393;4593558;581;5234288;587
2019;3;2;3;G;1;3;2;13650779;3290;16419506;3322;13650779;3290;16419506;3322
2019;3;2;3;G;1;4;2;3497697;1355;4477724;1355;3497697;1355;4477724;1355
2019;3;2;3;G;1;5;2;;;;;;;;
2019;3;2;3;G;1;6;2;;;;;;;;
2019;3;2;3;G;1;7;2;20457669;8566;28008142;8717;21194482;8875;28829207;9026
2019;3;2;3;G;1;8;2;;;;;;;;
2019;3;2;3;G;1;9;2;1332530;568;1784062;580;908497;387;1225747;399
2019;3;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;3;2;3;G;2;2;2;1116003;194;1286330;194;1116003;194;1286330;194
2019;3;2;3;G;2;3;2;933103;194;1338629;232;933103;194;1338629;232
2019;3;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;3;2;3;G;2;5;2;392111;194;441403;194;392111;194;441410;194
2019;3;2;3;G;2;6;2;;;;;;;;
2019;3;2;3;G;2;7;2;32754558;12132;42592843;12293;34707879;12842;44918966;13003
2019;3;2;3;G;2;8;2;3324808;774;4463669;801;3324808;774;4463669;801
2019;3;2;3;G;2;9;2;4112984;1742;5591291;1774;5483979;2322;7427251;2354
2019;3;3;3;C;1;1;13;;;;;;;;
2019;3;3;3;C;1;2;13;5136302;776;5611846;776;4367542;776;4782708;776
2019;3;3;3;C;1;3;13;2999211;776;3267751;776;2730010;776;3057089;787
2019;3;3;3;C;1;4;13;3954993;1164;4397273;1164;3880289;970;4338955;980
2019;3;3;3;C;1;5;13;;;;;;;;
2019;3;3;3;C;1;6;13;1341409;194;1549871;194;1071788;194;1236147;194
2019;3;3;3;C;1;7;13;;;;;;;;
2019;3;3;3;C;1;8;13;;;;;;;;
2019;3;3;3;C;1;9;13;513853;194;567575;194;467039;194;539689;194
2019;3;3;3;C;2;1;13;24327871;776;25387175;776;23711460;776;24770976;776
2019;3;3;3;C;2;2;13;29312343;3492;33934566;3548;29726575;3492;33251052;3547
2019;3;3;3;C;2;3;13;33875075;6402;37404132;6470;32754406;6014;36290553;6089
2019;3;3;3;C;2;4;13;9695910;2522;10833734;2567;10480190;2522;11824347;2578
2019;3;3;3;C;2;5;13;585216;194;758495;244;656963;194;730759;205
2019;3;3;3;C;2;6;13;19797599;1940;21241301;1940;22544152;1940;23873983;1940
2019;3;3;3;C;2;7;13;16865535;5044;20965305;5520;17149825;4850;21968516;5383
2019;3;3;3;C;2;8;13;17961610;5626;21659929;5932;18215726;5626;22024243;6030
2019;3;3;3;C;2;9;13;112497712;35114;129578227;35992;113492244;32398;131221960;33372
2019;3;4;3;P;1;1;1;63236135;4352;65017167;4352;64522723;4352;66540880;4352
2019;3;4;3;P;1;2;1;439336661;49979;456786541;49979;454232083;50112;476436648;50460
2019;3;4;3;P;1;3;1;37721063;9477;39967547;9477;40587500;9683;44640333;9861
2019;3;4;3;P;1;4;1;102761389;27623;109419661;27623;108130714;27434;118697345;28018
2019;3;4;3;P;1;5;1;;;;;;;;
2019;3;4;3;P;1;6;1;;;;;;;;
2019;3;4;3;P;1;7;1;;;;;;;;
2019;3;4;3;P;1;8;1;;;;;;;;
2019;3;4;3;P;1;9;1;14038212;6054;15187609;6054;15735819;6054;18312120;6311
2019;3;4;3;P;2;1;1;133814267;7946;137251073;7946;129489360;7757;133191500;7757
2019;3;4;3;P;2;2;1;535806362;53432;555305144;53432;547979272;53354;571299459;53645
2019;3;4;3;P;2;3;1;34576678;8325;36619245;8325;35632244;8325;39283184;8497
2019;3;4;3;P;2;4;1;18955215;4730;20101599;4730;19984820;4730;22048558;4859
2019;3;4;3;P;2;5;1;;;;;;;;
2019;3;4;3;P;2;6;1;;;;;;;;
2019;3;4;3;P;2;7;1;3925280;1135;4166061;1135;3925280;1135;4590696;1205
2019;3;4;3;P;2;8;1;3288521;946;3529496;946;3288521;946;4138626;1066
2019;3;4;3;P;2;9;1;69606322;20055;74924745;20055;73986466;19866;85472320;20823
2019;3;5;3;O;1;1;1;4983189;396;6203406;396;8479274;567;8811046;567
2019;3;5;3;O;1;2;1;252283993;29295;266972576;29295;256031761;29484;274308106;29484
2019;3;5;3;O;1;3;1;48192596;9261;51375736;9261;46468210;9261;49474571;9261
2019;3;5;3;O;1;4;1;30837133;7938;33151054;7938;32962748;7938;35161995;7938
2019;3;5;3;O;1;5;1;;;;;;;;
2019;3;5;3;O;1;6;1;;;;;;;;
