A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;1;3;O;1;1;1;7978504;378;8388733;385;11498031;567;12246810;582
2019;5;1;3;O;1;2;1;107881688;8505;117804513;9292;104249839;8316;111221804;8691
2019;5;1;3;O;1;3;1;17071051;2268;19461023;2568;16267669;2268;18657014;2487
2019;5;1;3;O;1;4;1;76729722;13230;88226562;15309;76114618;13230;88590800;15304
2019;5;1;3;O;1;5;1;;;;;;;;
2019;5;1;3;O;1;6;1;;;;;;;;
2019;5;1;3;O;1;7;1;1001010;189;1236194;245;973580;189;1389992;288
2019;5;1;3;O;1;8;1;105845183;16632;116578815;18600;102832415;16821;116134069;19084
2019;5;1;3;O;1;9;1;;;;;;;;
2019;5;1;3;O;2;1;1;37497139;1890;40046445;1973;37497139;1890;38795710;1931
2019;5;1;3;O;2;2;1;63656804;5292;69857575;5637;63473815;5292;69893175;5580
2019;5;1;3;O;2;3;1;23456062;3024;27265730;3526;22772649;3024;27707783;3582
2019;5;1;3;O;2;4;1;53436264;9828;60562049;11214;52741055;9828;63093072;11705
2019;5;1;3;O;2;5;1;;;;;;;;
2019;5;1;3;O;2;6;1;;;;;;;;
2019;5;1;3;O;2;7;1;50444888;10017;59140684;12017;49866221;10017;60173280;12134
2019;5;1;3;O;2;8;1;188940456;31374;215217173;37318;189859971;32130;220674144;38386
2019;5;1;3;O;2;9;1;;;;;;;;
2019;5;2;3;G;1;1;2;2304389;197;2392089;197;2340621;198;2427363;198
2019;5;2;3;G;1;2;2;4593558;581;5234288;587;4593558;581;5234288;587
2019;5;2;3;G;1;3;2;10452911;2516;12773463;2548;10452911;2516;12773463;2548
2019;5;2;3;G;1;4;2;3497697;1355;4477724;1355;3497697;1355;4477724;1355
2019;5;2;3;G;1;5;2;;;;;;;;
2019;5;2;3;G;1;6;2;;;;;;;;
2019;5;2;3;G;1;7;2;22264000;9327;29697265;9478;21435085;8978;28773567;9129
2019;5;2;3;G;1;8;2;;;;;;;;
2019;5;2;3;G;1;9;2;908497;387;1225747;399;908497;387;1225747;399
2019;5;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;5;2;3;G;2;2;2;1116003;194;1281902;194;1071003;194;1236902;194
2019;5;2;3;G;2;3;2;933103;194;1338629;232;1218017;252;1731981;290
2019;5;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;5;2;3;G;2;5;2;392111;194;441403;194;392111;194;441403;194
2019;5;2;3;G;2;6;2;;;;;;;;
2019;5;2;3;G;2;7;2;33770682;12487;43630612;12648;31494502;11649;40779047;11810
2019;5;2;3;G;2;8;2;3324808;774;4463669;801;3324808;774;4463669;801
2019;5;2;3;G;2;9;2;5026981;2129;6815265;2161;4509154;1909;6139457;1941
2019;5;3;3;C;1;1;13;;;;;;;;
2019;5;3;3;C;1;2;13;5818151;970;6642227;970;6782120;970;7626392;970
2019;5;3;3;C;1;3;13;3014121;776;3358493;787;2996565;776;3335238;787
2019;5;3;3;C;1;4;13;3982298;1164;4411968;1164;4062475;1164;4494000;1164
2019;5;3;3;C;1;5;13;;;;;;;;
2019;5;3;3;C;1;6;13;1472894;194;1689091;194;1485206;194;1697991;194
2019;5;3;3;C;1;7;13;;;;;;;;
2019;5;3;3;C;1;8;13;;;;;;;;
2019;5;3;3;C;1;9;13;523559;194;619396;200;519012;194;604574;194
2019;5;3;3;C;2;1;13;23713280;776;24775064;776;23879258;776;24946692;776
2019;5;3;3;C;2;2;13;31760454;3492;34923028;3525;32693543;3686;36127169;3741
2019;5;3;3;C;2;3;13;30358067;6208;33685751;6295;28272842;5820;31618126;5928
2019;5;3;3;C;2;4;13;11342070;2716;12722698;2766;11233855;2716;12670872;2779
2019;5;3;3;C;2;5;13;666963;194;882463;234;657725;194;892140;232
2019;5;3;3;C;2;6;13;20045340;2134;21354974;2134;23158605;2328;24784191;2328
2019;5;3;3;C;2;7;13;18499796;5044;24430760;5775;17698837;5238;22629220;5764
2019;5;3;3;C;2;8;13;17973734;6014;21628254;6426;17495287;6027;21276856;6456
2019;5;3;3;C;2;9;13;128310273;33174;148623402;34220;116508329;33756;133983704;34444
2019;5;4;3;P;1;1;1;65803347;4541;68554461;4541;74527638;4919;77340290;4919
2019;5;4;3;P;1;2;1;438949815;51634;466921050;51730;471674404;53604;499796977;53685
2019;5;4;3;P;1;3;1;40859241;9666;45792537;9828;40268823;9477;44988098;9633
2019;5;4;3;P;1;4;1;105519209;27056;119317923;27465;104421052;27056;118030178;27567
2019;5;4;3;P;1;5;1;;;;;;;;
2019;5;4;3;P;1;6;1;;;;;;;;
2019;5;4;3;P;1;7;1;;;;;;;;
2019;5;4;3;P;1;8;1;;;;;;;;
2019;5;4;3;P;1;9;1;15971370;6244;19574242;6571;15359521;6433;18344343;6669
2019;5;4;3;P;2;1;1;130218419;7568;134772590;7568;123909696;7190;128252305;7190
2019;5;4;3;P;2;2;1;522292730;53320;553771272;53498;546602291;53991;578255271;54195
2019;5;4;3;P;2;3;1;35977935;8325;40358123;8438;36125312;8669;41034848;8893
2019;5;4;3;P;2;4;1;19735165;4730;22890375;4924;19819907;4730;22400014;4846
2019;5;4;3;P;2;5;1;;;;;;;;
2019;5;4;3;P;2;6;1;;;;;;;;
2019;5;4;3;P;2;7;1;3925280;1135;5221831;1298;3931735;1135;5378877;1325
2019;5;4;3;P;2;8;1;3288521;946;4496977;1136;3298567;946;4775066;1154
2019;5;4;3;P;2;9;1;72393059;20055;84963788;20853;71778223;19866;86282492;20961
2019;5;5;3;O;1;1;1;8351156;567;8668465;567;8351156;567;9383759;567
2019;5;5;3;O;1;2;1;267789962;30051;285543973;30051;268095757;30240;287540412;30240
2019;5;5;3;O;1;3;1;46728485;9261;50277898;9261;46284189;9261;49097470;9261
2019;5;5;3;O;1;4;1;31530178;7749;34365375;7749;31980684;7749;34565053;7749
2019;5;5;3;O;1;5;1;;;;;;;;
2019;5;5;3;O;1;6;1;;;;;;;;
2019;5;5;3;O;1;7;1;;;;;;;;
2019;5;5;3;O;1;8;1;2076316;756;2234805;756;2076316;756;2347083;756
2019;5;5;3;O;1;9;1;;;;;;;;
2019;5;5;3;O;2;1;1;23678938;1323;25259088;1323;23890504;1323;26090450;1323
2019;5;5;3;O;2;2;1;255213905;26460;355256912;26460;270473135;27594;292946131;27594
2019;5;5;3;O;2;3;1;17361404;3024;18799798;3024;15622233;2835;16984403;2835
2019;5;5;3;O;2;4;1;18640585;4914;21231050;4914;18433644;4725;21144382;4725
2019;5;5;3;O;2;5;1;;;;;;;;
2019;5;5;3;O;2;6;1;;;;;;;;
2019;5;5;3;O;2;7;1;;;;;;;;
2019;5;5;3;O;2;8;1;3534862;1134;4596654;1134;3534748;1134;4663935;1134
2019;5;5;3;O;2;9;1;;;;;;;;
2019;5;6;3;P;1;1;1;72861683;7069;77841556;7069;71619060;7250;74607862;7250
2019;5;6;3;P;1;2;1;353094300;46191;377576680;46191;335195386;46327;351424061;46327
2019;5;6;3;P;1;3;1;180619218;47640;191634837;47819;174857402;47807;183991620;47940
2019;5;6;3;P;1;4;1;171687345;56302;184301741;57220;155120220;56521;165928982;57313
2019;5;6;3;P;1;5;1;;;;;;;;
2019;5;6;3;P;1;6;1;;;;;;;;
2019;5;6;3;P;1;7;1;;;;;;;;
2019;5;6;3;P;1;8;1;;;;;;;;
2019;5;6;3;P;1;9;1;;;;;;;;
2019;5;6;3;P;2;1;1;83751265;7353;90068568;7353;81340084;7353;85033102;7353
2019;5;6;3;P;2;2;1;373615384;42840;398243722;42840;348111617;42949;364324402;42949
2019;5;6;3;P;2;3;1;148742133;31038;157551276;31246;141632443;31151;149221924;31373
2019;5;6;3;P;2;4;1;102899125;35388;110781644;36024;89056605;34168;95717599;34778
2019;5;6;3;P;2;5;1;;;;;;;;
2019;5;6;3;P;2;6;1;;;;;;;;
2019;5;6;3;P;2;7;1;;;;;;;;
2019;5;6;3;P;2;8;1;;;;;;;;
2019;5;6;3;P;2;9;1;;;;;;;;
2019;5;7;3;O;1;1;1;172632587;8136;183694205;8136;161129699;7946;171851620;7946
2019;5;7;3;O;1;2;1;453436351;44273;512501679;44705;451175520;44462;517290861;44925
2019;5;7;3;O;1;3;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;4;1;106786072;19298;126574752;19793;104525253;19298;124610592;19726
2019;5;7;3;O;1;5;1;1306360;378;1664592;396;1306360;378;1685724;400
2019;5;7;3;O;1;6;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;7;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;8;1;0;0;0;0;0;0;0;0
