A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;11;1;3;O;1;1;1;7978504;378;8240754;393;7978504;378;8203798;390
2019;11;1;3;O;1;2;1;104353718;8316;113044846;8793;104353718;8316;111633029;8705
2019;11;1;3;O;1;3;1;16267669;2268;18638880;2514;16267669;2268;18314451;2518
2019;11;1;3;O;1;4;1;76134618;13230;88712358;15327;76134618;13230;86168073;15106
2019;11;1;3;O;1;5;1;;;;;;;;
2019;11;1;3;O;1;6;1;;;;;;;;
2019;11;1;3;O;1;7;1;973580;189;1020692;189;973580;189;1000661;189
2019;11;1;3;O;1;8;1;108814698;17766;123244005;20080;110055784;17955;122608191;20232
2019;11;1;3;O;1;9;1;;;;;;;;
2019;11;1;3;O;2;1;1;37497139;1890;39415246;1923;37497139;1890;40586294;1989
2019;11;1;3;O;2;2;1;63325374;5292;68065733;5578;63325374;5292;68373439;5560
2019;11;1;3;O;2;3;1;22772649;3024;26924925;3515;22772649;3024;26512224;3505
2019;11;1;3;O;2;4;1;52728190;9828;62541796;11622;52728190;9828;61715586;11530
2019;11;1;3;O;2;5;1;;;;;;;;
2019;11;1;3;O;2;6;1;;;;;;;;
2019;11;1;3;O;2;7;1;49038713;9828;58552889;11750;49113816;9828;59535331;12189
2019;11;1;3;O;2;8;1;189384997;32130;220124202;38182;189405527;32130;220587074;39331
2019;11;1;3;O;2;9;1;;;;;;;;
2019;11;2;3;G;1;1;2;2350597;205;2439102;205;2362264;203;2451186;203
2019;11;2;3;G;1;2;2;4593558;581;5234288;587;4593558;581;5234288;587
2019;11;2;3;G;1;3;2;11255898;2709;13731377;2741;11945719;2877;14481137;2909
2019;11;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838049;1161
2019;11;2;3;G;1;5;2;;;;;;;;
2019;11;2;3;G;1;6;2;;;;;;;;
2019;11;2;3;G;1;7;2;22533705;9436;30564379;9587;24144233;10114;32278125;10265
2019;11;2;3;G;1;8;2;;;;;;;;
2019;11;2;3;G;1;9;2;1241885;529;1682958;541;1362745;581;1817764;593
2019;11;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;11;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2019;11;2;3;G;2;3;2;1866206;387;2433061;425;1866206;387;2433061;425
2019;11;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;11;2;3;G;2;5;2;408620;210;478446;218;424571;215;512039;229
2019;11;2;3;G;2;6;2;;;;;;;;
2019;11;2;3;G;2;7;2;33426474;12365;43250468;12526;35775120;13229;46182064;13390
2019;11;2;3;G;2;8;2;2493606;581;3455442;608;2493606;581;3455442;608
2019;11;2;3;G;2;9;2;5026981;2129;6815265;2161;5940977;2516;8039238;2548
2019;11;3;3;C;1;1;13;;;;;;;;
2019;11;3;3;C;1;2;13;7883497;1164;8854387;1164;7681025;1150;8652384;1150
2019;11;3;3;C;1;3;13;3536811;970;3889182;970;3407241;951;3746360;951
2019;11;3;3;C;1;4;13;4049341;970;4488450;970;4087631;974;4523695;974
2019;11;3;3;C;1;5;13;;;;;;;;
2019;11;3;3;C;1;6;13;;;;;;;;
2019;11;3;3;C;1;7;13;;;;;;;;
2019;11;3;3;C;1;8;13;;;;;;;;
2019;11;3;3;C;1;9;13;1004726;388;1170703;388;990040;383;1152336;383
2019;11;3;3;C;2;1;13;22121766;774;23181361;774;21956283;771;23093321;771
2019;11;3;3;C;2;2;13;33760866;3677;38036883;3750;33526722;3653;37799379;3726
2019;11;3;3;C;2;3;13;30814218;5612;34142503;5650;32501711;5570;35996791;5660
2019;11;3;3;C;2;4;13;12140310;2903;13656747;2922;11947978;2826;13391794;2842
2019;11;3;3;C;2;5;13;486886;187;486886;188;523221;183;524489;186
2019;11;3;3;C;2;6;13;20102708;2129;21543770;2129;20581467;2069;21986547;2069
2019;11;3;3;C;2;7;13;18501169;5031;21854787;5256;18869903;4870;22390854;5146
2019;11;3;3;C;2;8;13;15766270;5418;18665083;5576;15178862;5380;17871291;5460
2019;11;3;3;C;2;9;13;106083736;28638;120623504;28920;116448255;28630;133636592;29596
2019;11;4;3;P;1;1;1;73922028;4730;76128478;4730;74781827;4730;76944955;4730
2019;11;4;3;P;1;2;1;453315061;54318;473397326;54397;454200296;54773;473682254;54862
2019;11;4;3;P;1;3;1;38878003;9099;42277926;9224;37951809;8910;40676548;8946
2019;11;4;3;P;1;4;1;103374146;27056;112555468;27410;103142979;27056;110251383;27134
2019;11;4;3;P;1;5;1;;;;;;;;
2019;11;4;3;P;1;6;1;;;;;;;;
2019;11;4;3;P;1;7;1;;;;;;;;
2019;11;4;3;P;1;8;1;;;;;;;;
2019;11;4;3;P;1;9;1;15020912;6054;17368653;6311;14996248;6054;16715103;6166
2019;11;4;3;P;2;1;1;127083838;7379;130698976;7379;127290624;7379;130812442;7379
2019;11;4;3;P;2;2;1;518175154;53359;539390597;53484;510622701;54128;530545994;54203
2019;11;4;3;P;2;3;1;36307856;8669;39435459;8790;36167175;8480;38710690;8547
2019;11;4;3;P;2;4;1;18774130;4541;20795302;4672;18746578;4541;20054872;4564
2019;11;4;3;P;2;5;1;;;;;;;;
2019;11;4;3;P;2;6;1;;;;;;;;
2019;11;4;3;P;2;7;1;3233805;946;4035480;1046;3233805;946;3446372;946
2019;11;4;3;P;2;8;1;3294976;946;4399171;1115;3294976;946;4029190;1047
2019;11;4;3;P;2;9;1;71577723;20055;83106330;21405;70629005;20055;80189918;20769
2019;11;5;3;O;1;1;1;8352424;567;8732002;567;8362488;567;9414676;567
2019;11;5;3;O;1;2;1;266252450;30240;285562083;30240;268397023;30429;286579778;30429
2019;11;5;3;O;1;3;1;50693627;9261;54407188;9261;49422858;9261;52513351;9261
