Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;10;1;3;O;1;1;1;7978504;378;8240663;393;7978504;378;8240754;393
2019;10;1;3;O;1;2;1;104353718;8316;112805325;8742;104353718;8316;113044846;8793
2019;10;1;3;O;1;3;1;16267669;2268;19520605;2507;16267669;2268;18638880;2514
2019;10;1;3;O;1;4;1;76134618;13230;89373370;15596;76134618;13230;88712358;15327
2019;10;1;3;O;1;5;1;;;;;;;;
2019;10;1;3;O;1;6;1;;;;;;;;
2019;10;1;3;O;1;7;1;973580;189;1107685;217;973580;189;1020692;189
2019;10;1;3;O;1;8;1;108842125;17766;122666484;20310;108814698;17766;123244005;20080
2019;10;1;3;O;1;9;1;;;;;;;;
2019;10;1;3;O;2;1;1;37497139;1890;39204040;1919;37497139;1890;39415246;1923
2019;10;1;3;O;2;2;1;63325374;5292;68535346;5602;63325374;5292;68065733;5578
2019;10;1;3;O;2;3;1;22772649;3024;26829763;3561;22772649;3024;26924925;3515
2019;10;1;3;O;2;4;1;52728190;9828;63092812;11768;52728190;9828;62541796;11622
2019;10;1;3;O;2;5;1;;;;;;;;
2019;10;1;3;O;2;6;1;;;;;;;;
2019;10;1;3;O;2;7;1;49073153;9828;58291716;11863;49038713;9828;58552889;11750
2019;10;1;3;O;2;8;1;189405507;32130;217895352;38255;189384997;32130;220124202;38182
2019;10;1;3;O;2;9;1;;;;;;;;
2019;10;2;3;G;1;1;2;2343302;201;2435842;201;2350597;205;2439102;205
2019;10;2;3;G;1;2;2;4593558;581;5234288;587;4593558;581;5234288;587
2019;10;2;3;G;1;3;2;10672204;2567;13096966;2599;11255898;2709;13731377;2741
2019;10;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838049;1161
2019;10;2;3;G;1;5;2;;;;;;;;
2019;10;2;3;G;1;6;2;;;;;;;;
2019;10;2;3;G;1;7;2;20611172;8630;28179198;8781;22533705;9436;30564379;9587
2019;10;2;3;G;1;8;2;;;;;;;;
2019;10;2;3;G;1;9;2;1362745;581;1817764;593;1241885;529;1682958;541
2019;10;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2019;10;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2019;10;2;3;G;2;3;2;1866206;387;2433061;425;1866206;387;2433061;425
2019;10;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2019;10;2;3;G;2;5;2;405022;207;466307;212;408620;211;478446;219
2019;10;2;3;G;2;6;2;;;;;;;;
2019;10;2;3;G;2;7;2;34185740;12642;44173439;12803;33426474;12365;43250468;12526
2019;10;2;3;G;2;8;2;3324808;774;4463669;801;2493606;581;3455442;608
2019;10;2;3;G;2;9;2;5026981;2129;6815265;2161;5026981;2129;6815265;2161
2019;10;3;3;C;1;1;13;;;;;;;;
2019;10;3;3;C;1;2;13;6826920;909;7615645;909;7883497;1164;8854387;1164
2019;10;3;3;C;1;3;13;4954169;1205;5412307;1205;3536811;970;3889182;970
2019;10;3;3;C;1;4;13;4133014;1171;4499511;1171;4049341;970;4488450;970
2019;10;3;3;C;1;5;13;;;;;;;;
2019;10;3;3;C;1;6;13;;;;;;;;
2019;10;3;3;C;1;7;13;;;;;;;;
2019;10;3;3;C;1;8;13;;;;;;;;
2019;10;3;3;C;1;9;13;1045249;409;1207203;409;1004726;388;1170703;388
2019;10;3;3;C;2;1;13;24019919;769;24960690;769;22121766;774;23181361;774
2019;10;3;3;C;2;2;13;34187285;3700;37531515;3720;33760866;3677;38036883;3750
2019;10;3;3;C;2;3;13;33274443;6135;36363165;6142;30814218;5612;34142503;5650
2019;10;3;3;C;2;4;13;12015620;3009;13354857;3032;12140310;2903;13656747;2922
2019;10;3;3;C;2;5;13;517999;190;517999;193;486886;187;486886;188
2019;10;3;3;C;2;6;13;19294275;2286;21278900;2286;20102708;2129;21543770;2129
2019;10;3;3;C;2;7;13;18316289;5367;21850527;5679;18501169;5031;21854787;5256
2019;10;3;3;C;2;8;13;17265954;5932;20474098;6066;15766270;5418;18665083;5576
