Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;9;1;3;O;1;1;84;7978504;378;8240531;393;7978504;378;8240663;393
2019;9;1;3;O;1;2;84;104353718;8316;112577768;8696;104353718;8316;112805325;8742
2019;9;1;3;O;1;3;84;16267669;2268;20452738;2540;16267669;2268;19520605;2507
2019;9;1;3;O;1;4;84;76134618;13230;89208534;15483;76134618;13230;89373370;15596
2019;9;1;3;O;1;5;84;;;;;;;;
2019;9;1;3;O;1;6;84;;;;;;;;
2019;9;1;3;O;1;7;84;973580;189;1255009;259;973580;189;1107685;217
2019;9;1;3;O;1;8;84;107638874;17577;119248533;19644;108842125;17766;122666484;20310
2019;9;1;3;O;1;9;84;;;;;;;;
2019;9;1;3;O;2;1;84;37497139;1890;38890692;1916;37497139;1890;39204040;1919
2019;9;1;3;O;2;2;84;63325374;5292;69655450;5557;63325374;5292;68535346;5602
2019;9;1;3;O;2;3;84;22772649;3024;28246476;3481;22772649;3024;26829763;3561
2019;9;1;3;O;2;4;84;52728190;9828;63958860;11611;52728190;9828;63092812;11768
2019;9;1;3;O;2;5;84;;;;;;;;
2019;9;1;3;O;2;6;84;;;;;;;;
2019;9;1;3;O;2;7;84;49073153;9828;57178896;11651;49073153;9828;58291716;11863
2019;9;1;3;O;2;8;84;189397274;32130;214547433;37616;189405507;32130;217895352;38255
2019;9;1;3;O;2;9;84;;;;;;;;
2019;9;2;3;G;1;1;46;2387088;203;2478054;203;2343302;201;2435842;201
2019;9;2;3;G;1;2;46;3069512;387;3605259;393;4593558;581;5234288;587
2019;9;2;3;G;1;3;46;10957010;2638;13321364;2670;10672204;2567;13096966;2599
2019;9;2;3;G;1;4;46;3497697;1355;4477718;1355;2998026;1161;3838049;1161
2019;9;2;3;G;1;5;46;;;;;;;;
2019;9;2;3;G;1;6;46;;;;;;;;
2019;9;2;3;G;1;7;46;20189213;8456;27223358;8607;20611172;8630;28179198;8781
2019;9;2;3;G;1;8;46;;;;;;;;
2019;9;2;3;G;1;9;46;832960;355;1141494;367;1362745;581;1817764;593
2019;9;2;3;G;2;1;46;11845737;968;12428547;968;11845737;968;12428547;968
2019;9;2;3;G;2;2;46;539072;97;666014;97;1071003;194;1239116;194
2019;9;2;3;G;2;3;46;1866206;387;2433061;425;1866206;387;2433061;425
2019;9;2;3;G;2;4;46;457973;194;510505;194;457973;194;510505;194
2019;9;2;3;G;2;5;46;419628;214;497979;220;405022;207;466307;212
2019;9;2;3;G;2;6;46;;;;;;;;
2019;9;2;3;G;2;7;46;32217536;11913;41662004;12074;34185740;12642;44173439;12803
2019;9;2;3;G;2;8;46;3272193;761;4406466;788;3324808;774;4463669;801
2019;9;2;3;G;2;9;46;5483979;2322;7427251;2354;5026981;2129;6815265;2161
2019;9;3;3;C;1;1;23;;;;;;;;
2019;9;3;3;C;1;2;23;6852120;958;7701581;958;6826920;909;7615645;909
2019;9;3;3;C;1;3;23;4658703;1161;5101346;1161;4954169;1205;5412307;1205
2019;9;3;3;C;1;4;23;4102674;1161;4529598;1161;4133014;1171;4499511;1171
2019;9;3;3;C;1;5;23;;;;;;;;
2019;9;3;3;C;1;6;23;;;;;;;;
2019;9;3;3;C;1;7;23;;;;;;;;
2019;9;3;3;C;1;8;23;;;;;;;;
2019;9;3;3;C;1;9;23;966830;387;1127387;387;1045249;409;1207203;409
2019;9;3;3;C;2;1;23;23881915;774;24952661;774;24019919;769;24960690;769
2019;9;3;3;C;2;2;23;33831827;3676;37358081;3697;34187285;3700;37531515;3720
2019;9;3;3;C;2;3;23;32805757;5999;36229488;6037;33274443;6135;36363165;6142
2019;9;3;3;C;2;4;23;11808221;2903;13267963;2940;12015620;3009;13354857;3032
2019;9;3;3;C;2;5;23;519917;194;519917;194;517999;190;517999;193
2019;9;3;3;C;2;6;23;20998146;2322;22497980;2322;19294275;2286;21278900;2286
2019;9;3;3;C;2;7;23;18033652;5225;21349664;5475;18316289;5367;21850527;5679
2019;9;3;3;C;2;8;23;17114269;5612;20029146;5758;17265954;5932;20474098;6066
2019;9;3;3;C;2;9;23;103660661;29606;117631398;29916;104739617;29890;119083057;30202
2019;9;4;3;P;1;1;85;74456775;4730;76714051;4730;74135571;4730;76292096;4730
2019;9;4;3;P;1;2;85;452895593;53888;473974296;53955;458060681;54756;478621038;54893
2019;9;4;3;P;1;3;85;38302470;8910;41452904;9022;38343554;8910;41972849;9051
2019;9;4;3;P;1;4;85;104162425;27245;113313343;27501;103130489;27245;112993730;27748
2019;9;4;3;P;1;5;85;;;;;;;;
2019;9;4;3;P;1;6;85;;;;;;;;
2019;9;4;3;P;1;7;85;;;;;;;;
2019;9;4;3;P;1;8;85;;;;;;;;
2019;9;4;3;P;1;9;85;15052768;6054;17328329;6288;15004507;6054;17502967;6359
2019;9;4;3;P;2;1;85;122860532;7190;126404971;7190;126478738;7379;129961802;7381
2019;9;4;3;P;2;2;85;524013565;53458;546542142;53602;519430868;53892;540387071;54018
2019;9;4;3;P;2;3;85;36113134;8669;39956991;8898;36262523;8669;40070028;8884
2019;9;4;3;P;2;4;85;19067496;4541;20890399;4626;18753147;4541;21144539;4753
2019;9;4;3;P;2;5;85;;;;;;;;
2019;9;4;3;P;2;6;85;;;;;;;;
2019;9;4;3;P;2;7;85;3233805;946;3937033;1026;3233805;946;4142960;1066
2019;9;4;3;P;2;8;85;3294976;946;4439978;1120;3294976;946;4345578;1112
2019;9;4;3;P;2;9;85;71204830;19866;82710587;20888;71564281;19866;83468205;21115
2019;9;5;3;O;1;1;84;8351156;567;9511730;567;8774249;567;9139416;567
2019;9;5;3;O;1;2;84;268457332;30429;287518485;30429;267208460;30429;292925313;30429
2019;9;5;3;O;1;3;84;48734835;9261;53135480;9261;47647759;9261;52313310;9261
2019;9;5;3;O;1;4;84;32226174;7749;34802105;7749;32717957;7749;35884767;7749
2019;9;5;3;O;1;5;84;;;;;;;;
2019;9;5;3;O;1;6;84;;;;;;;;
2019;9;5;3;O;1;7;84;;;;;;;;
2019;9;5;3;O;1;8;84;2076316;756;2310348;756;2096079;756;2272660;756
2019;9;5;3;O;1;9;84;;;;;;;;
2019;9;5;3;O;2;1;84;32863213;1701;34228546;1701;37503510;1701;40117863;1701
2019;9;5;3;O;2;2;84;266055278;27783;287929797;27783;267203490;27783;291012602;27783
2019;9;5;3;O;2;3;84;15577227;2835;16991499;2835;15607786;2835;17154121;2835
2019;9;5;3;O;2;4;84;18433644;4725;21171360;4725;18449972;4725;21083509;4725
2019;9;5;3;O;2;5;84;;;;;;;;
2019;9;5;3;O;2;6;84;;;;;;;;
2019;9;5;3;O;2;7;84;;;;;;;;
2019;9;5;3;O;2;8;84;3534748;1134;4774312;1134;3548371;1134;4542531;1134
2019;9;5;3;O;2;9;84;;;;;;;;
2019;9;6;3;P;1;1;85;67799884;6889;70778715;6889;72686585;7147;75742065;7147
2019;9;6;3;P;1;2;85;337151508;42998;353475423;42998;328741419;43515;344735214;43515
2019;9;6;3;P;1;3;85;172129217;44415;181145941;44555;167508779;44685;176400190;44841
2019;9;6;3;P;1;4;85;170009443;53872;181399312;54516;170333543;53854;182193207;54597
2019;9;6;3;P;1;5;85;;;;;;;;
2019;9;6;3;P;1;6;85;;;;;;;;
2019;9;6;3;P;1;7;85;;;;;;;;
2019;9;6;3;P;1;8;85;;;;;;;;
2019;9;6;3;P;1;9;85;;;;;;;;
