Tamano;Seccion;Sexo;Grupo;IR_Wi;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;ICMO_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;IPC_Wi;EST_ROHO_Wtam;EST_ROHO_Wcat;EST_ROHO_Wsex;EST_ROHO_Wgru;EST_ROHO_Wi;EST_CHT_Wtam;EST_CHT_Wcat;EST_CHT_Wsex;EST_CHT_Wgru;EST_CHT_Wi;EST_NT_Wtam;EST_NT_Wcat;EST_NT_Wsex;EST_NT_Wgru;EST_NT_Wi;EST_RORE_Wtam;EST_RORE_Wcat;EST_RORE_Wsex;EST_RORE_Wgru;EST_RORE_Wi
1;B;2;1;0,021929065;0,133154394;0,362579879;0,031802211;0,154401266;0,021122691;0,1308303;0,347320545;0,030495869;0,159905327;;0,236086376;1,468247501;0,116933372;1,565254602;0,062710116;0,241266421;1,549928502;0,121336126;1,519836843;0,064816025;0,04753252;0,337280552;0,014048837;0,25124924;0,008816172;0,236728727;1,471933887;0,117482715;1,563116155;0,062950432
1;C;1;1;0,101509;0,616367785;0,798976452;0,32696881;0,714718935;0,09665443;0,598660859;0,745798386;0,314467585;0,73170405;;0,398123733;1,256336071;0,228053965;2,639563604;0,105751064;0,411606105;1,322991348;0,237385675;2,592876875;0,11057764;0,356973123;0,491059477;0,177763306;1,886902384;0,066210173;0,399183511;1,261674576;0,228686556;2,635802595;0,106150084
1;C;2;1;0,34386392;2,087959126;2,706549911;0,498682123;2,421125761;0,3282149;2,032906447;2,532549649;0,473860026;2,484688717;;0,287273992;0,906533944;0,142286553;1,904628911;0,076306755;0,296535657;0,953129955;0,149131768;1,868000591;0,079664059;0,856023293;1,177563027;0,25300851;4,52480114;0,158772318;0,288137317;0,910697756;0,142995549;1,902566283;0,076620902
1;E;2;1;0,017210256;0,104501548;3,580988614;0,024958848;0,121176409;0,016704945;0,103467549;3,377168892;0,024117753;0,126461625;;0,180763155;0,907406459;0,08953183;1,198461197;0,048014962;0,183318909;0,958724945;0,092193544;1,154801532;0,049248474;0,026636053;0,851247307;0,007872622;0,140793883;0,004940365;0,181254981;0,917365558;0,089952443;1,196823861;0,048198964
1;F;1;1;0,073939928;0,448966986;0,701306603;0,23816657;0,520606712;0,071315656;0,441716867;0,660373441;0,232027256;0,539881665;;0,365518757;1,490251472;0,209377123;2,423392346;0,097090413;0,373042989;1,55507247;0,215145161;2,34995188;0,100217691;0,236071494;0,356376956;0,117557448;1,247835864;0,043785746;0,366513272;1,489322419;0,209970241;2,420081513;0,097462479
1;F;2;1;0,338752348;2,056921401;3,213003642;0,491269162;2,38513548;0,323540858;2,003956233;2,995945074;0,46711188;2,449304762;;0,271716999;1,107813621;0,134581188;1,801485924;0,072174451;0,280043221;1,167392276;0,140837501;1,764107929;0,07523338;0,788450862;1,190256874;0,233036624;4,167624163;0,146239211;0,272456295;1,107122987;0,135213439;1,799024738;0,072451035
1;G;1;1;0,184728647;1,121681692;1,251924461;0,595026114;1,300663603;0,17303888;1,071772959;1,174148792;0,562986287;1,309958056;;0,330957849;0,863376909;0,189579881;2,194253243;0,087910219;0,347838956;0,914730157;0,200609234;2,191181265;0,093446648;0,558713199;0,565809395;0,278224603;2,953267911;0,103628243;0,331832843;0,867375921;0,190102316;2,191087172;0,088240329
1;G;2;1;0,880922056;5,349003311;5,970096627;1,27754049;6,202520705;0,820494764;5,082002961;5,567436264;1,184588724;6,211400153;;0,232372526;0,606195241;0,115093905;1,540631745;0,06172363;0,245664796;0,646037464;0,123548128;1,547544024;0,065997644;1,770203549;1,792686839;0,523206047;9,357010616;0,328331393;0,233006217;0,609053581;0,115635324;1,538536473;0,061960549
1;H;2;1;0,13784399;0,836995682;2,359880807;0,19990563;0,970551474;0,13211629;0,818305497;2,107742203;0,190742798;1,00016134;;0,303186153;1,266652944;0,150167832;2,010126675;0,080533401;0,31138372;1,356685564;0,156599059;1,961534676;0,083652979;0,365523126;1,057345771;0,108034983;1,932096323;0,067795998;0,304011072;1,2696397;0,150873308;2,007380444;0,080842019
1;I;1;1;0,035391558;0,214899333;1,657284575;0,113999111;0,249189893;0,033136328;0,205240696;1,551281445;0,107809864;0,250852292;;0,468840283;1,755499615;0,268561949;3,108414907;0,12453505;0,494942394;1,845793867;0,285448231;3,117846586;0,132965865;0,145877729;0,579914137;0,072643305;0,771086158;0,02705691;0,470497359;1,759966089;0,269541245;3,106686841;0,125113721
