Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2020;4;1;3;O;1;1;1;8104487;378;8155304;378;8104487;378;8155501;378
2020;4;1;3;O;1;2;1;100678046;7749;105976372;8074;97117910;7560;101666530;7814
2020;4;1;3;O;1;3;1;16904340;2268;19207066;2571;16723170;2268;18224604;2438
2020;4;1;3;O;1;4;1;74737188;12474;84390206;14279;73056273;12285;80317570;13544
2020;4;1;3;O;1;5;1;;;;;;;;
2020;4;1;3;O;1;6;1;;;;;;;;
2020;4;1;3;O;1;7;1;1009733;189;1293603;259;1009733;189;1371025;278
2020;4;1;3;O;1;8;1;119949919;18711;131763084;20845;120521238;19089;129156500;20426
2020;4;1;3;O;1;9;1;;;;;;;;
2020;4;1;3;O;2;1;1;38064951;1890;39065992;1927;38064951;1890;38600145;1896
2020;4;1;3;O;2;2;1;65479279;5292;69142027;5535;64797992;5292;67514480;5441
2020;4;1;3;O;2;3;1;23580216;3024;26811038;3456;23410288;3024;26579308;3426
2020;4;1;3;O;2;4;1;54898199;9828;62436733;11335;54252851;9828;59881011;10874
2020;4;1;3;O;2;5;1;;;;;;;;
2020;4;1;3;O;2;6;1;;;;;;;;
2020;4;1;3;O;2;7;1;49951504;9639;58569833;11600;48594566;9450;56046362;11112
2020;4;1;3;O;2;8;1;218348679;35343;246378751;41668;215190036;34776;242438827;41072
2020;4;1;3;O;2;9;1;;;;;;;;
2020;4;2;3;G;1;1;2;2450905;204;2542520;204;2474022;206;2568654;206
2020;4;2;3;G;1;2;2;4593558;581;5428276;604;4593558;581;5428276;604
2020;4;2;3;G;1;3;2;11752957;2832;14304570;2892;12044805;2903;14621776;2963
2020;4;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838049;1161
2020;4;2;3;G;1;5;2;;;;;;;;
2020;4;2;3;G;1;6;2;;;;;;;;
2020;4;2;3;G;1;7;2;24608492;10307;33548237;10607;25220002;10565;34067793;10865
2020;4;2;3;G;1;8;2;;;;;;;;
2020;4;2;3;G;1;9;2;1816993;774;2507109;814;1681026;716;2197052;756
2020;4;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2020;4;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2020;4;2;3;G;2;3;2;1866206;387;2654932;461;1866206;387;2654932;461
2020;4;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2020;4;2;3;G;2;5;2;430033;218;488260;221;413448;207;449074;208
2020;4;2;3;G;2;6;2;;;;;;;;
2020;4;2;3;G;2;7;2;31973943;11862;42275728;12168;34240089;12661;44694019;12967
2020;4;2;3;G;2;8;2;2493606;581;3392483;595;2493606;581;3392483;595
2020;4;2;3;G;2;9;2;3960910;1677;5426522;1707;3960910;1677;5426522;1707
2020;4;3;3;C;1;1;13;;;;;;;;
2020;4;3;3;C;1;2;13;8516803;1248;9779027;1248;8904487;1295;10143269;1295
2020;4;3;3;C;1;3;13;3065391;918;3489659;918;2867853;885;3290945;885
2020;4;3;3;C;1;4;13;4264378;1096;4924488;1099;4072987;1066;4698105;1066
2020;4;3;3;C;1;5;13;;;;;;;;
2020;4;3;3;C;1;6;13;;;;;;;;
2020;4;3;3;C;1;7;13;;;;;;;;
2020;4;3;3;C;1;8;13;;;;;;;;
2020;4;3;3;C;1;9;13;1101600;427;1276576;437;965779;406;1178646;445
2020;4;3;3;C;2;1;13;19387461;569;20430513;569;18455623;546;19457519;546
2020;4;3;3;C;2;2;13;30923072;3432;34902874;3497;30620020;3384;34468525;3447
2020;4;3;3;C;2;3;13;31879989;6549;35211238;6549;32592495;6605;36357904;6707
2020;4;3;3;C;2;4;13;10426014;2921;12111961;2951;9588755;2689;11173061;2711
2020;4;3;3;C;2;5;13;;;;;;;;
2020;4;3;3;C;2;6;13;21584645;2414;23063681;2414;20674160;2462;22089279;2462
2020;4;3;3;C;2;7;13;18289113;5481;22538883;5794;19124647;5454;24958780;6100
2020;4;3;3;C;2;8;13;15213471;5571;18352315;5706;14960532;5365;18232425;5534
2020;4;3;3;C;2;9;13;106244653;26712;129470613;26990;109169290;25981;141464488;28550
2020;4;4;3;P;1;1;1;79196566;5108;81983424;5108;79095544;5108;81435347;5108
2020;4;4;3;P;1;2;1;474356744;54971;501338320;55056;455864734;54292;477616957;54623
2020;4;4;3;P;1;3;1;41266278;9288;47008391;9444;40121016;9288;42953184;9311
2020;4;4;3;P;1;4;1;105814117;26488;118757978;26790;102324652;26488;110314348;26712
2020;4;4;3;P;1;5;1;;;;;;;;
2020;4;4;3;P;1;6;1;;;;;;;;
2020;4;4;3;P;1;7;1;;;;;;;;
2020;4;4;3;P;1;8;1;;;;;;;;
2020;4;4;3;P;1;9;1;15726362;5865;19527323;6197;14930160;5865;16782153;6022
2020;4;4;3;P;2;1;1;129750619;7568;134127973;7568;129567474;7568;133239892;7568
2020;4;4;3;P;2;2;1;539858644;54425;568881128;54545;517728645;53642;539194322;53947
2020;4;4;3;P;2;3;1;38353977;8669;43407480;8866;37301909;8669;41059195;8892
2020;4;4;3;P;2;4;1;17548446;4162;20126927;4295;16827357;4162;18145266;4206
2020;4;4;3;P;2;5;1;;;;;;;;
2020;4;4;3;P;2;6;1;;;;;;;;
2020;4;4;3;P;2;7;1;3315718;946;4199056;1046;3315718;946;4005474;1026
2020;4;4;3;P;2;8;1;3383113;946;4624395;1105;3422888;946;3754619;963
2020;4;4;3;P;2;9;1;75104893;19488;89614238;20600;71144941;19298;80489424;20013
2020;4;5;3;O;1;1;1;9009642;567;9372776;567;8596638;567;9127127;567
2020;4;5;3;O;1;2;1;239585959;29862;258649435;29862;266905694;30051;280622011;30051
2020;4;5;3;O;1;3;1;51998820;9639;55917948;9639;49669075;9639;52459903;9639
2020;4;5;3;O;1;4;1;31567778;7560;36026567;7560;30661520;7560;32442709;7560
2020;4;5;3;O;1;5;1;;;;;;;;
2020;4;5;3;O;1;6;1;;;;;;;;
2020;4;5;3;O;1;7;1;;;;;;;;
2020;4;5;3;O;1;8;1;1611479;567;1742851;567;1611479;567;1706539;567
2020;4;5;3;O;1;9;1;;;;;;;;
2020;4;5;3;O;2;1;1;36861894;1701;40207805;1701;36836138;1890;38409537;1890
2020;4;5;3;O;2;2;1;242699983;27594;279751507;27594;90393073;27216;103655160;27216
2020;4;5;3;O;2;3;1;13989287;2646;15971894;2646;14423736;2646;15287247;2646
2020;4;5;3;O;2;4;1;17434169;4536;19653195;4536;18198848;4536;19316536;4536
2020;4;5;3;O;2;5;1;;;;;;;;
2020;4;5;3;O;2;6;1;;;;;;;;
2020;4;5;3;O;2;7;1;;;;;;;;
2020;4;5;3;O;2;8;1;3398113;1134;3858650;1134;3545135;1134;3747260;1134
2020;4;5;3;O;2;9;1;;;;;;;;
2020;4;6;3;P;1;1;1;74920271;6585;78143940;6585;82610265;7154;87918486;7154
2020;4;6;3;P;1;2;1;381147337;48653;399235570;48653;408014604;52333;435863396;52333
2020;4;6;3;P;1;3;1;158195962;40583;166392382;40651;164079338;43608;173545899;43618
2020;4;6;3;P;1;4;1;167465535;51548;178570448;52139;176873078;52928;188331981;53218
2020;4;6;3;P;1;5;1;;;;;;;;
2020;4;6;3;P;1;6;1;;;;;;;;
2020;4;6;3;P;1;7;1;;;;;;;;
2020;4;6;3;P;1;8;1;;;;;;;;
2020;4;6;3;P;1;9;1;;;;;;;;
2020;4;6;3;P;2;1;1;75229162;6876;78619819;6876;83167316;7392;89219848;7392
2020;4;6;3;P;2;2;1;311253718;36796;325992688;36796;327361666;39140;349594365;39140
2020;4;6;3;P;2;3;1;114351516;24791;120048321;24885;122849188;26152;129662744;26162
2020;4;6;3;P;2;4;1;101554273;32578;108625746;33113;109059351;32095;116032367;32363
2020;4;6;3;P;2;5;1;;;;;;;;
2020;4;6;3;P;2;6;1;;;;;;;;
2020;4;6;3;P;2;7;1;;;;;;;;
2020;4;6;3;P;2;8;1;;;;;;;;
2020;4;6;3;P;2;9;1;;;;;;;;
2020;4;7;3;O;1;1;1;180174035;8316;190544611;8316;178530338;8228;185509771;8228
2020;4;7;3;O;1;2;1;486777170;44075;552999475;44225;502993426;45562;541099616;45676
2020;4;7;3;O;1;3;1;;;;;;;;
2020;4;7;3;O;1;4;1;110214663;19133;130429373;19416;111920498;19284;122426660;19490
2020;4;7;3;O;1;5;1;783380;221;1165168;239;1342938;378;1664053;406
2020;4;7;3;O;1;6;1;;;;;;;;
2020;4;7;3;O;1;7;1;;;;;;;;
2020;4;7;3;O;1;8;1;;;;;;;;
2020;4;7;3;O;1;9;1;;;;;;;;
2020;4;7;3;O;2;1;1;263986666;11718;280133458;11718;261871658;11630;270744798;11630
2020;4;7;3;O;2;2;1;419240948;36288;471684668;36458;417346909;36206;447594182;36315
2020;4;7;3;O;2;3;1;;;;;;;;
