Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division; RO_t_1 ; HO_t_1 ; C_t_1 ; HT_t_1 ; RO ; HO ; C ; HT 
2020;8;380;3;G;1;3;2;11062819;3651;14341409;3899;12655819;3761;15843293;3880
2020;8;1089;3;G;1;3;2;;;;;;;;
2020;8;1134;3;G;1;3;3;;;;;;;;
2020;8;1163;3;G;1;3;2;17269334;2910;20147095;2916;17269333;2910;20380365;2911
2020;8;1334;3;G;1;3;3;1495940;387;1953745;396;1495940;387;1970633;394
2020;8;1379;3;F;1;2;2;5397741;581;5836310;584;7593379;774;8271741;781
2020;8;1379;3;F;1;3;2;751060;194;868046;194;751060;194;838896;194
2020;8;1379;3;F;1;4;2;5653184;1161;6202135;1161;5568113;1161;6173850;1161
2020;8;1379;3;F;2;3;2;11634019;1742;13787587;1851;8740810;1549;9683531;1549
2020;8;1379;3;F;2;8;2;;;;;;;;
2020;8;1391;3;I;1;3;2;35783890;5999;41266190;6039;36922482;6169;48198872;6242
2020;8;1393;3;F;1;2;2;114920453;11908;126735963;12164;119337752;12642;135181509;12918
2020;8;1393;3;F;1;3;2;20326423;3673;24202921;3927;22360105;3970;26477852;4150
2020;8;1393;3;F;1;4;2;27440496;5005;32268891;5248;27200266;5083;32410709;5243
2020;8;1393;3;F;2;3;2;294864957;35478;357833322;38575;295780805;35897;357326292;38535
2020;8;1393;3;F;2;8;2;140431674;24913;179665961;28207;146997193;26984;194896672;30240
2020;8;1751;3;G;1;3;2;136197454;14035;153130096;14035;180290626;13840;199843330;13840
2020;8;1395;3;I;1;3;2;1562999;388;1732409;388;1562999;388;1754422;388
2020;8;1398;3;G;1;3;2;4084229;878;4599012;878;4068196;851;4548515;851
2020;8;1471;3;G;1;3;2;43235449;6241;46564933;6436;45030156;6013;49129143;6267
2020;8;1841;3;F;1;2;2;66074786;9585;72453195;9585;70830815;10126;76830067;10126
2020;8;1841;3;F;1;3;2;34265055;3876;38090446;3944;36477875;4373;40147265;4453
2020;8;1841;3;F;1;4;2;35769386;7579;43427186;8105;38475353;8624;45814095;9203
2020;8;1841;3;F;2;3;2;353973146;43860;398678371;45534;386164950;49807;431256918;51660
2020;8;1841;3;F;2;8;2;233247022;46208;278332972;49975;254890207;51194;308370913;57069
2020;8;1854;3;G;1;3;2;29141110;6951;35204618;7187;25328560;5672;30930067;5889
2020;8;1554;3;G;1;3;2;5442684;942;6295015;942;5626652;968;6502351;968
2020;8;1862;3;G;1;3;2;77367933;19082;88026153;20160;69464729;16405;77412696;17008
2020;8;1570;3;F;1;2;3;1917285;388;2167271;388;1903285;388;2196214;394
2020;8;1570;3;F;1;3;3;7033082;1998;8145537;2016;8445080;2315;9636512;2346
2020;8;1570;3;F;1;4;3;;;;;;;;
2020;8;1570;3;F;2;3;3;7463991;1617;8425211;1617;8230746;1720;9079524;1720
2020;8;1570;3;F;2;8;3;6334341;1552;7105845;1614;5652954;1500;6394012;1563
2020;8;1585;3;G;1;3;2;7636416;1503;9491283;1575;7394645;1445;9109145;1488
2020;8;1592;3;G;1;3;2;76478390;7179;84643104;7224;77659607;7310;85818534;7335
2020;8;1595;3;I;1;3;2;5293828;1161;5681669;1166;5741964;1322;6161869;1323
2020;8;8;3;I;1;3;1;195861;86;208239;86;78345;34;83281;34
2020;8;164;3;G;1;3;2;6016935;1681;7027914;1812;5159330;1500;5708542;1552
2020;8;166;3;G;1;3;2;15566625;2322;16548813;2364;15808724;2276;16872079;2315
2020;8;181;3;G;1;3;3;6430782;1506;7665889;1515;7775680;1746;9084634;1752
2020;8;182;3;G;1;3;2;13301419;3433;16313204;3651;15064757;3828;18049129;4000
2020;8;1656;3;G;1;3;2;36515224;8299;38849848;8306;36468068;8707;42822379;8713
2020;8;199;3;G;1;3;2;;;;;;;;
2020;8;201;3;G;1;3;3;38299340;7513;40595069;7541;38118526;7222;40327458;7247
2020;8;214;3;G;1;3;1;3124672;194;3310561;194;;;;
2020;8;231;3;I;1;3;1;6390564;1355;6950631;1355;6390564;1355;6950631;1355
2020;8;1729;3;I;1;3;1;4940189;1548;5216414;1548;3847942;1355;4105493;1355
2020;8;241;3;I;1;3;2;34124567;13870;35762546;13870;34124567;13870;35762546;13870
2020;8;242;3;I;1;3;2;;;;;;;;
2020;8;244;3;I;1;3;2;84743977;8982;89726825;8985;78783507;9318;83667835;9337
2020;8;255;3;I;1;3;1;;;;;;;;
2020;8;283;3;G;1;3;2;17509971;3764;19192821;3765;17441234;3647;18982086;3647
2020;8;285;3;F;1;2;3;14264780;1148;16304193;1186;14264780;1148;15881120;1160
