anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;abr;1;3;O;1;1;1;8104487;378;8155501;378
2020;abr;1;3;O;1;2;1;97117910;7560;101666530;7814
2020;abr;1;3;O;1;3;1;16723170;2268;18224604;2438
2020;abr;1;3;O;1;4;1;73056273;12285;80317570;13544
2020;abr;1;3;O;1;9;1;NA;NA;NA;NA
2020;abr;1;3;O;2;1;1;38064951;1890;38600145;1896
2020;abr;1;3;O;2;2;1;64797992;5292;67514480;5441
2020;abr;1;3;O;2;3;1;23410288;3024;26579308;3426
2020;abr;1;3;O;2;4;1;54252851;9828;59881011;10874
2020;abr;1;3;O;2;5;1;NA;NA;NA;NA
2020;abr;1;3;O;2;7;1;48594566;9450;56046362;11112
2020;abr;1;3;O;2;8;1;215190036;34776;242438827;41072
2020;abr;1;3;O;2;9;1;NA;NA;NA;NA
2020;abr;2;3;G;1;1;2;2474022;206;2568654;206
2020;abr;2;3;G;1;2;2;4593558;581;5428276;604
2020;abr;2;3;G;1;3;2;12044805;2903;14621776;2963
2020;abr;2;3;G;1;4;2;2998026;1161;3838049;1161
2020;abr;2;3;G;1;5;2;NA;NA;NA;NA
2020;abr;2;3;G;1;6;2;NA;NA;NA;NA
2020;abr;2;3;G;1;7;2;25220002;10565;34067793;10865
2020;abr;2;3;G;1;8;2;NA;NA;NA;NA
2020;abr;2;3;G;1;9;2;1681026;716;2197052;756
2020;abr;2;3;G;2;1;2;11845737;968;12428547;968
2020;abr;2;3;G;2;2;2;1071003;194;1239116;194
2020;abr;2;3;G;2;3;2;1866206;387;2654932;461
2020;abr;2;3;G;2;4;2;457973;194;510505;194
2020;abr;2;3;G;2;5;2;413448;207;449074;208
2020;abr;2;3;G;2;6;2;NA;NA;NA;NA
2020;abr;2;3;G;2;7;2;34240089;12661;44694019;12967
2020;abr;2;3;G;2;8;2;2493606;581;3392483;595
2020;abr;2;3;G;2;9;2;3960910;1677;5426522;1707
2020;abr;3;3;C;1;1;13;NA;NA;NA;NA
2020;abr;3;3;C;1;2;13;8904487;1295;10143269;1295
2020;abr;3;3;C;1;3;13;2867853;885;3290945;885
2020;abr;3;3;C;1;4;13;4072987;1066;4698105;1066
2020;abr;3;3;C;1;5;13;NA;NA;NA;NA
2020;abr;3;3;C;1;6;13;NA;NA;NA;NA
