anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;ago;380;3;G;1;3;2;12655819;3761;15843293;3880
2020;ago;1089;3;G;1;3;2;NA;NA;NA;NA
2020;ago;1134;3;G;1;3;3;NA;NA;NA;NA
2020;ago;1163;3;G;1;3;2;17269333;2910;20380365;2911
2020;ago;1334;3;G;1;3;3;1495940;387;1970633;394
2020;ago;1379;3;F;1;2;2;7593379;774;8271741;781
2020;ago;1379;3;F;1;3;2;751060;194;838896;194
2020;ago;1379;3;F;1;4;2;5568113;1161;6173850;1161
2020;ago;1379;3;F;2;3;2;8740810;1549;9683531;1549
2020;ago;1379;3;F;2;8;2;NA;NA;NA;NA
2020;ago;1391;3;I;1;3;2;36922482;6169;48198872;6242
2020;ago;1393;3;F;1;2;2;119337752;12642;135181509;12918
2020;ago;1393;3;F;1;3;2;22360105;3970;26477852;4150
2020;ago;1393;3;F;1;4;2;27200266;5083;32410709;5243
2020;ago;1393;3;F;2;3;2;295780805;35897;357326292;38535
2020;ago;1393;3;F;2;8;2;146997193;26984;194896672;30240
2020;ago;1751;3;G;1;3;2;180290626;13840;199843330;13840
2020;ago;1395;3;I;1;3;2;1562999;388;1754422;388
2020;ago;1398;3;G;1;3;2;4068196;851;4548515;851
2020;ago;1471;3;G;1;3;2;45030156;6013;49129143;6267
2020;ago;1841;3;F;1;2;2;70830815;10126;76830067;10126
2020;ago;1841;3;F;1;3;2;36477875;4373;40147265;4453
2020;ago;1841;3;F;1;4;2;38475353;8624;45814095;9203
2020;ago;1841;3;F;2;3;2;386164950;49807;431256918;51660
2020;ago;1841;3;F;2;8;2;254890207;51194;308370913;57069
2020;ago;1854;3;G;1;3;2;25328560;5672;30930067;5889
2020;ago;1554;3;G;1;3;2;5626652;968;6502351;968
2020;ago;1862;3;G;1;3;2;69464729;16405;77412696;17008
2020;ago;1570;3;F;1;2;3;1903285;388;2196214;394
2020;ago;1570;3;F;1;3;3;8445080;2315;9636512;2346
2020;ago;1570;3;F;1;4;3;NA;NA;NA;NA
2020;ago;1570;3;F;2;3;3;8230746;1720;9079524;1720
2020;ago;1570;3;F;2;8;3;5652954;1500;6394012;1563
2020;ago;1585;3;G;1;3;2;7394645;1445;9109145;1488
2020;ago;1592;3;G;1;3;2;77659607;7310;85818534;7335
2020;ago;1595;3;I;1;3;2;5741964;1322;6161869;1323
2020;ago;8;3;I;1;3;1;78345;34;83281;34
2020;ago;164;3;G;1;3;2;5159330;1500;5708542;1552
2020;ago;166;3;G;1;3;2;15808724;2276;16872079;2315
2020;ago;181;3;G;1;3;3;7775680;1746;9084634;1752
2020;ago;182;3;G;1;3;2;15064757;3828;18049129;4000
2020;ago;1656;3;G;1;3;2;36468068;8707;42822379;8713
2020;ago;199;3;G;1;3;2;NA;NA;NA;NA
2020;ago;201;3;G;1;3;3;38118526;7222;40327458;7247
2020;ago;214;3;G;1;3;1;NA;NA;NA;NA
2020;ago;231;3;I;1;3;1;6390564;1355;6950631;1355
2020;ago;1729;3;I;1;3;1;3847942;1355;4105493;1355
2020;ago;241;3;I;1;3;2;34124567;13870;35762546;13870
2020;ago;242;3;I;1;3;2;NA;NA;NA;NA
2020;ago;244;3;I;1;3;2;78783507;9318;83667835;9337
2020;ago;255;3;I;1;3;1;NA;NA;NA;NA
2020;ago;283;3;G;1;3;2;17441234;3647;18982086;3647
2020;ago;285;3;F;1;2;3;14264780;1148;15881120;1160
2020;ago;285;3;F;1;3;3;23600511;2894;26189780;2906
2020;ago;285;3;F;1;4;3;5526876;955;6553768;967
2020;ago;285;3;F;2;3;3;221682843;25302;242277150;25836
2020;ago;285;3;F;2;8;3;665723401;99055;747269857;101198
2020;ago;287;3;G;1;3;3;67632502;17248;76307556;17335
2020;ago;1726;3;I;1;3;1;603919;125;612472;125
2020;ago;312;3;G;1;3;2;35887005;4876;41467152;4933
2020;ago;375;3;G;1;3;2;19359897;3096;22370496;3096
2020;ago;1712;3;I;1;3;1;NA;NA;NA;NA
2020;ago;394;3;G;1;3;3;6804723;1780;7903477;1820
2020;ago;426;3;I;1;3;2;NA;NA;NA;NA
2020;ago;1731;3;I;1;3;1;NA;NA;NA;NA
2020;ago;574;3;G;1;3;2;102634129;19455;113298359;19540
2020;ago;594;3;G;1;3;3;2005754;581;3319259;702
2020;ago;1835;3;G;1;3;2;26623708;5056;29786262;5062
2020;ago;614;3;G;1;3;3;NA;NA;NA;NA
2020;ago;1719;3;G;1;3;3;155803924;46621;179914589;47056
2020;ago;682;3;G;1;3;3;2193623609;491284;2510204047;503140
2020;ago;1754;3;G;1;3;3;1123175;193;1146439;193
2020;ago;683;3;G;1;3;2;33726847;6414;39135281;6438
2020;ago;695;3;I;1;3;2;NA;NA;NA;NA
2020;ago;698;3;I;1;3;2;7002420;1738;18072632;1958
2020;ago;701;3;I;1;3;1;1739713;271;1894860;271
2020;ago;1739;3;G;1;3;3;53470227;14023;59232237;14212
2020;ago;763;3;I;1;3;2;51319170;10780;97298422;11343
2020;ago;914;3;G;1;3;2;10571843;1552;10767337;1552
2020;ago;917;3;G;1;3;2;13142430;1935;15765155;1954
2020;ago;1863;3;G;1;3;2;10982941;2029;11471375;2029
2020;ago;919;3;G;1;3;2;15331013;4257;19155199;4403
2020;ago;932;3;G;1;3;2;30070027;3084;31511813;3084
2020;ago;934;3;G;1;3;1;11870865;1355;13658867;1373
2020;ago;948;3;F;1;2;1;1569169;168;1685072;169
2020;ago;948;3;F;1;3;1;NA;NA;NA;NA
2020;ago;948;3;F;1;4;1;1128490;387;1459200;387
2020;ago;948;3;F;2;3;1;687651;194;728199;194
2020;ago;948;3;F;2;8;1;18540448;3657;19562291;3688
2020;ago;949;3;I;1;3;2;NA;NA;NA;NA
2020;ago;950;3;I;1;3;1;2555637;360;2698753;360
2020;ago;951;3;I;1;3;2;NA;NA;NA;NA
2020;ago;953;3;F;1;2;1;NA;NA;NA;NA
2020;ago;953;3;F;1;3;1;NA;NA;NA;NA
2020;ago;953;3;F;1;4;1;NA;NA;NA;NA
2020;ago;953;3;F;2;3;1;NA;NA;NA;NA
2020;ago;953;3;F;2;8;1;NA;NA;NA;NA
2020;ago;954;3;I;1;3;1;NA;NA;NA;NA
2020;ago;973;3;G;1;3;2;763382;187;812299;187
2020;ago;1830;3;G;1;3;3;19615419;5503;21334723;5516
2020;ago;979;3;G;1;3;2;33518830;4605;39923706;4697
2020;ago;985;3;G;1;3;3;NA;NA;NA;NA
2020;ago;1696;3;I;1;3;1;443806;194;471411;194
2020;ago;1029;3;I;1;3;2;NA;NA;NA;NA
2020;ago;1031;3;G;1;3;3;945901160;153618;1063018385;154187
2020;ago;1034;3;G;1;3;2;9101835;1162;10179539;1162
2020;ago;1839;3;G;1;3;3;NA;NA;NA;NA
2020;ago;1069;3;F;1;2;1;8181325;960;8955356;960
2020;ago;1069;3;F;1;3;1;1440449;358;1575881;358
2020;ago;1069;3;F;1;4;1;NA;NA;NA;NA
2020;ago;1069;3;F;2;3;1;5117460;768;5955425;779
2020;ago;1069;3;F;2;8;1;400834;166;472097;166
2020;ago;1840;3;F;1;2;1;6084617;961;6591763;961
2020;ago;1840;3;F;1;3;1;4416210;793;4704758;793
2020;ago;1840;3;F;1;4;1;1549942;213;1620498;213
2020;ago;1840;3;F;2;3;1;16994301;2509;18020515;2509
2020;ago;1840;3;F;2;8;1;702449;194;744596;194
2020;ago;1845;3;F;1;2;1;14187270;968;15673634;968
2020;ago;1845;3;F;1;3;1;1749645;194;1948581;194
