anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;dic;1379;3;F;1;3;2;751060;194;999137;194
2020;dic;1379;3;F;2;1;2;17052866;388;17577490;388
2020;dic;1379;3;F;2;2;2;70865548;6208;80446474;6420
2020;dic;1379;3;F;2;7;2;12109574;1746;15625758;2006
2020;dic;1391;3;I;1;3;2;38916010;6461;44871200;6505
2020;dic;1391;3;I;1;4;2;12686527;3910;16498583;3999
2020;dic;1391;3;I;1;5;2;NA;NA;NA;NA
2020;dic;1391;3;I;2;3;2;76656165;12639;89104314;12796
2020;dic;1391;3;I;2;4;2;19707522;5114;25041611;5412
2020;dic;1391;3;I;2;5;2;1965100;194;2179312;194
2020;dic;1393;3;F;1;3;2;24122055;4413;29543172;4724
2020;dic;1393;3;F;2;1;2;145542267;3667;148612798;3667
2020;dic;1393;3;F;2;2;2;547550194;42338;606796891;43173
2020;dic;1393;3;F;2;7;2;962956358;200926;1222519171;217827
2020;dic;1395;3;I;1;3;2;1567749;387;1733502;387
2020;dic;1395;3;I;1;4;2;1009632;381;1199603;396
2020;dic;1395;3;I;1;5;2;4932177;1820;5655264;1836
2020;dic;1395;3;I;2;3;2;1809980;387;1978578;387
2020;dic;1395;3;I;2;4;2;NA;NA;NA;NA
2020;dic;1395;3;I;2;5;2;3268466;1142;3798092;1189
2020;dic;1841;3;F;1;3;2;47754075;5385;53049274;5458
2020;dic;1841;3;F;2;1;2;148430493;4450;155773443;4450
2020;dic;1841;3;F;2;2;2;365937561;33907;397197212;33947
2020;dic;1841;3;F;2;7;2;NA;NA;NA;NA
2020;dic;1570;3;F;1;3;3;6842835;2076;7963194;2089
2020;dic;1570;3;F;2;1;3;5862880;388;6048560;388
2020;dic;1570;3;F;2;2;3;13589582;1701;15246530;1724
2020;dic;1570;3;F;2;7;3;116073107;31713;129587459;32531
2020;dic;1595;3;I;1;3;2;4736753;948;5625107;976
2020;dic;1595;3;I;1;4;2;9962937;2677;12931632;2875
2020;dic;1595;3;I;1;5;2;8176154;2516;10903904;2702
2020;dic;1595;3;I;2;3;2;17693370;3264;21792313;3457
2020;dic;1595;3;I;2;4;2;14705613;3870;18793994;4196
2020;dic;1595;3;I;2;5;2;4333642;1355;5847897;1486
2020;dic;8;3;I;1;3;1;1353168;363;1557025;365
2020;dic;8;3;I;1;4;1;4891590;1631;5919679;1636
2020;dic;8;3;I;1;5;1;15156215;4858;17758718;4872
2020;dic;8;3;I;2;3;1;2567067;768;3037061;796
2020;dic;8;3;I;2;4;1;2466759;697;3016767;718
2020;dic;8;3;I;2;5;1;5429754;2159;6518122;2177
2020;dic;231;3;I;1;3;1;7676972;1464;8633329;1476
2020;dic;231;3;I;1;4;1;3435155;955;3741130;955
2020;dic;231;3;I;1;5;1;1854774;871;2102323;871
2020;dic;231;3;I;2;3;1;14134611;2825;15729582;2825
2020;dic;231;3;I;2;4;1;1704858;484;1991781;484
2020;dic;231;3;I;2;5;1;4173707;1322;4638725;1322
2020;dic;1729;3;I;1;3;1;16922190;4160;18235173;4160
2020;dic;1729;3;I;1;4;1;4593859;1219;5012049;1219
2020;dic;1729;3;I;1;5;1;1516808;722;1686580;722
2020;dic;1729;3;I;2;3;1;18099730;4251;19411139;4251
2020;dic;1729;3;I;2;4;1;4998593;1064;5413927;1064
2020;dic;1729;3;I;2;5;1;12707592;4296;13798529;4296
2020;dic;241;3;I;1;3;2;34124567;13870;35762546;13870
2020;dic;241;3;I;1;4;2;66289023;27550;69483100;27550
2020;dic;241;3;I;1;5;2;720900872;312650;787944653;326719
2020;dic;241;3;I;2;3;2;53789002;11970;56610874;11970
2020;dic;241;3;I;2;4;2;95321450;27550;99896880;27550
2020;dic;241;3;I;2;5;2;513280000;208520;561015040;217903
2020;dic;242;3;I;1;3;2;NA;NA;NA;NA
2020;dic;242;3;I;1;4;2;NA;NA;NA;NA
2020;dic;242;3;I;1;5;2;NA;NA;NA;NA
2020;dic;242;3;I;2;3;2;NA;NA;NA;NA
2020;dic;242;3;I;2;4;2;NA;NA;NA;NA
2020;dic;242;3;I;2;5;2;NA;NA;NA;NA
2020;dic;244;3;I;1;3;2;108854230;11498;115304879;11498
2020;dic;244;3;I;1;4;2;165877765;24664;175097877;24717
2020;dic;244;3;I;1;5;2;737803600;171599;784633982;172502
2020;dic;244;3;I;2;3;2;189616329;19487;200202093;19588
2020;dic;244;3;I;2;4;2;131538372;18359;138635602;18383
2020;dic;244;3;I;2;5;2;356704698;76740;377780193;76915
2020;dic;255;3;I;1;3;1;NA;NA;NA;NA
2020;dic;255;3;I;1;4;1;NA;NA;NA;NA
2020;dic;255;3;I;1;5;1;NA;NA;NA;NA
2020;dic;255;3;I;2;3;1;NA;NA;NA;NA
2020;dic;255;3;I;2;4;1;NA;NA;NA;NA
2020;dic;255;3;I;2;5;1;NA;NA;NA;NA
2020;dic;285;3;F;1;3;3;23874547;2748;27274054;2805
2020;dic;285;3;F;2;1;3;84718749;2322;97515401;2334
2020;dic;285;3;F;2;2;3;144339194;11906;160525880;12131
2020;dic;285;3;F;2;7;3;245681414;44791;273288474;46193
2020;dic;1726;3;I;1;3;1;907385;172;935373;173
2020;dic;1726;3;I;1;4;1;1789676;347;1991832;350
2020;dic;1726;3;I;1;5;1;NA;NA;NA;NA
2020;dic;1726;3;I;2;3;1;1541520;172;1630838;172
2020;dic;1726;3;I;2;4;1;3279837;584;3713372;591
2020;dic;1726;3;I;2;5;1;NA;NA;NA;NA
2020;dic;1712;3;I;1;3;1;214742;71;265895;77
2020;dic;1712;3;I;1;4;1;7124014;1735;8027438;1752
2020;dic;1712;3;I;1;5;1;20095314;6476;23585212;6557
2020;dic;1712;3;I;2;3;1;4415028;581;5014095;602
2020;dic;1712;3;I;2;4;1;14948245;2516;16859096;2564
2020;dic;1712;3;I;2;5;1;23502510;6966;27813209;7135
2020;dic;426;3;I;1;3;2;NA;NA;NA;NA
2020;dic;426;3;I;1;4;2;36029483;8978;43518202;9013
2020;dic;426;3;I;1;5;2;1209585798;457386;1286920667;457459
2020;dic;426;3;I;2;3;2;NA;NA;NA;NA
2020;dic;426;3;I;2;4;2;31981411;7541;38162565;7563
2020;dic;426;3;I;2;5;2;2048200;776;2149179;776
2020;dic;1731;3;I;1;3;1;1909343;388;2120503;388
2020;dic;1731;3;I;1;4;1;7711797;756;8884716;756
2020;dic;1731;3;I;1;5;1;5268499;899;5884651;902
2020;dic;1731;3;I;2;3;1;NA;NA;NA;NA
2020;dic;1731;3;I;2;4;1;1815095;388;1995793;388
2020;dic;1731;3;I;2;5;1;18800214;4656;20799933;4657
2020;dic;695;3;I;1;3;2;NA;NA;NA;NA
2020;dic;695;3;I;1;4;2;487864;193;520453;193
2020;dic;695;3;I;1;5;2;2351136;1177;2789483;1177
2020;dic;695;3;I;2;3;2;4630000;1930;5471943;1930
2020;dic;695;3;I;2;4;2;5488151;1486;6241350;1486
2020;dic;695;3;I;2;5;2;10804521;3751;12576386;3751
2020;dic;698;3;I;1;3;2;6610537;1849;18458494;1992
2020;dic;698;3;I;1;4;2;51849786;16595;162036368;17049
2020;dic;698;3;I;1;5;2;69119342;22288;232856962;23556
2020;dic;698;3;I;2;3;2;86834971;22306;221831553;23162
2020;dic;698;3;I;2;4;2;48587824;14955;148398572;15914
2020;dic;698;3;I;2;5;2;50107581;13663;132631268;14369
2020;dic;701;3;I;1;3;1;3844470;906;4154018;906
2020;dic;701;3;I;1;4;1;7544205;1903;8167711;1903
2020;dic;701;3;I;1;5;1;11060143;3611;12233575;3654
2020;dic;701;3;I;2;3;1;7263806;1993;7862941;1993
2020;dic;701;3;I;2;4;1;2513454;774;2733875;774
2020;dic;701;3;I;2;5;1;20806999;5935;22803747;6014
2020;dic;763;3;I;1;3;2;54300079;11983;138883338;12272
2020;dic;763;3;I;1;4;2;256206766;61559;648509003;63138
2020;dic;763;3;I;1;5;2;1153061920;348206;3322616853;360988
2020;dic;763;3;I;2;3;2;672238019;129427;1388082797;132171
2020;dic;763;3;I;2;4;2;201281733;37469;401563405;38231
2020;dic;763;3;I;2;5;2;969554170;231158;2215153185;238157
2020;dic;948;3;F;1;3;1;NA;NA;NA;NA
2020;dic;948;3;F;2;1;1;7482979;194;7919574;194
2020;dic;948;3;F;2;2;1;24010706;3477;28810167;3482
2020;dic;948;3;F;2;7;1;44187490;12171;49580153;12176
2020;dic;949;3;I;1;3;2;7305800;2051;9823212;2051
2020;dic;949;3;I;1;4;2;10430400;3634;13280488;3701
2020;dic;949;3;I;1;5;2;8037688;3291;10749744;3369
2020;dic;949;3;I;2;3;2;25148700;4871;32812792;4871
2020;dic;949;3;I;2;4;2;27565289;10359;37302772;10433
2020;dic;949;3;I;2;5;2;45690800;21041;58459678;21132
2020;dic;950;3;I;1;3;1;6784031;1350;7088780;1350
2020;dic;950;3;I;1;4;1;25412754;8892;26529570;8901
2020;dic;950;3;I;1;5;1;59900251;23757;63779399;24296
2020;dic;950;3;I;2;3;1;14393522;3508;15133891;3527
2020;dic;950;3;I;2;4;1;3755322;1406;3908728;1406
2020;dic;950;3;I;2;5;1;85807736;25932;90996257;26506
