anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;feb;1;3;O;1;1;1;8104487;378;8155072;378
2020;feb;1;3;O;1;2;1;99901452;7749;107547018;8316
2020;feb;1;3;O;1;3;1;16723170;2268;18758684;2537
2020;feb;1;3;O;1;4;1;73874601;12474;84729630;14556
2020;feb;1;3;O;1;9;1;NA;NA;NA;NA
2020;feb;1;3;O;2;1;1;37445592;1890;38159635;1906
2020;feb;1;3;O;2;2;1;66106436;5292;70777887;5623
2020;feb;1;3;O;2;3;1;23403983;3024;27005261;3519
2020;feb;1;3;O;2;4;1;54892780;9828;62954786;11460
2020;feb;1;3;O;2;5;1;NA;NA;NA;NA
2020;feb;1;3;O;2;7;1;49650851;9639;57713105;11494
2020;feb;1;3;O;2;8;1;215180220;34965;243641198;41471
2020;feb;1;3;O;2;9;1;NA;NA;NA;NA
2020;feb;2;3;G;1;1;2;2447364;205;2536725;205
2020;feb;2;3;G;1;2;2;4593558;581;5428276;604
2020;feb;2;3;G;1;3;2;12476350;3006;15175973;3066
2020;feb;2;3;G;1;4;2;2998026;1161;3838049;1161
2020;feb;2;3;G;1;5;2;NA;NA;NA;NA
2020;feb;2;3;G;1;6;2;NA;NA;NA;NA
2020;feb;2;3;G;1;7;2;27042586;11326;36827228;11626
2020;feb;2;3;G;1;8;2;NA;NA;NA;NA
2020;feb;2;3;G;1;9;2;1816993;774;2507109;814
2020;feb;2;3;G;2;1;2;11845737;968;12428547;968
2020;feb;2;3;G;2;2;2;1071003;194;1239116;194
2020;feb;2;3;G;2;3;2;1866206;387;2654932;461
2020;feb;2;3;G;2;4;2;457973;194;510505;194
2020;feb;2;3;G;2;5;2;422374;215;472597;220
2020;feb;2;3;G;2;6;2;NA;NA;NA;NA
2020;feb;2;3;G;2;7;2;37397499;13842;48856566;14148
2020;feb;2;3;G;2;8;2;2493606;581;3392483;595
2020;feb;2;3;G;2;9;2;3916065;1658;5511974;1688
2020;feb;3;3;C;1;1;13;NA;NA;NA;NA
2020;feb;3;3;C;1;2;13;8146840;1161;9247562;1161
2020;feb;3;3;C;1;3;13;3245315;968;3686471;968
2020;feb;3;3;C;1;4;13;4482455;1161;5129725;1161
2020;feb;3;3;C;1;5;13;NA;0;NA;0
2020;feb;3;3;C;1;6;13;NA;0;NA;0
2020;feb;3;3;C;1;7;13;NA;0;NA;0
2020;feb;3;3;C;1;8;13;NA;0;NA;0
2020;feb;3;3;C;1;9;13;966056;387;1135032;399
2020;feb;3;3;C;2;1;13;19689635;581;20559104;581
2020;feb;3;3;C;2;2;13;30904632;3483;34896307;3560
2020;feb;3;3;C;2;3;13;31248667;6465;34836061;6532
2020;feb;3;3;C;2;4;13;10501693;2903;12218460;2954
2020;feb;3;3;C;2;5;13;0;0;0;0
2020;feb;3;3;C;2;6;13;20160125;2386;21707491;2386
2020;feb;3;3;C;2;7;13;17872735;5612;22023657;5924
2020;feb;3;3;C;2;8;13;16178197;5612;19496373;5795
2020;feb;3;3;C;2;9;13;101872919;26510;122926184;26823
2020;feb;4;3;P;1;1;1;79076061;5108;81237431;5108
2020;feb;4;3;P;1;2;1;478698031;54619;497947178;54619
2020;feb;4;3;P;1;3;1;39564110;9288;42801272;9288
2020;feb;4;3;P;1;4;1;101974529;26488;110106005;26514
2020;feb;4;3;P;1;5;1;NA;NA;NA;NA
2020;feb;4;3;P;1;7;1;NA;NA;NA;NA
2020;feb;4;3;P;1;9;1;14883830;5865;16196617;5865
2020;feb;4;3;P;2;1;1;133207004;7757;136782908;7757
2020;feb;4;3;P;2;2;1;536753060;54090;556691479;54090
2020;feb;4;3;P;2;3;1;37267636;8669;40025949;8669
2020;feb;4;3;P;2;4;1;17266746;4162;18503576;4162
2020;feb;4;3;P;2;5;1;NA;NA;NA;NA
2020;feb;4;3;P;2;7;1;3315718;946;3530951;946
2020;feb;4;3;P;2;8;1;3383113;946;3630741;946
2020;feb;4;3;P;2;9;1;71635783;19488;77700174;19488
2020;feb;5;3;O;1;1;1;8596638;567;8912657;567
2020;feb;5;3;O;1;2;1;266969923;29862;281804544;29862
2020;feb;5;3;O;1;3;1;50614983;9639;53720813;9639
2020;feb;5;3;O;1;4;1;33303077;7371;34544374;7371
2020;feb;5;3;O;1;9;1;NA;NA;NA;NA
2020;feb;5;3;O;2;1;1;34145203;1702;36423563;1702
2020;feb;5;3;O;2;2;1;270650377;27216;283576637;27216
2020;feb;5;3;O;2;3;1;14862476;2646;15689898;2646
2020;feb;5;3;O;2;4;1;17683829;4536;19620498;4536
2020;feb;5;3;O;2;5;1;NA;NA;NA;NA
2020;feb;5;3;O;2;7;1;NA;NA;NA;NA
2020;feb;5;3;O;2;8;1;3394626;1134;3839965;1134
2020;feb;5;3;O;2;9;1;NA;NA;NA;NA
2020;feb;6;3;P;1;1;1;77972788;7224;81234150;7224
2020;feb;6;3;P;1;2;1;344064310;50825;360628711;50825
2020;feb;6;3;P;1;3;1;155115999;45302;163165199;45388
2020;feb;6;3;P;1;4;1;170935914;54718;182135416;55365
2020;feb;6;3;P;1;5;1;NA;NA;NA;NA
2020;feb;6;3;P;1;7;1;NA;NA;NA;NA
2020;feb;6;3;P;1;9;1;NA;NA;NA;NA
2020;feb;6;3;P;2;1;1;69749078;7740;73021187;7740
2020;feb;6;3;P;2;2;1;309418591;42325;323950581;42325
2020;feb;6;3;P;2;3;1;130233482;28297;136851694;28436
2020;feb;6;3;P;2;4;1;100842568;34974;108339538;35620
2020;feb;6;3;P;2;5;1;NA;NA;NA;NA
2020;feb;6;3;P;2;7;1;NA;NA;NA;NA
2020;feb;6;3;P;2;8;1;NA;NA;NA;NA
2020;feb;6;3;P;2;9;1;NA;NA;NA;NA
2020;feb;7;3;O;1;1;1;179870198;8303;191720021;8303
2020;feb;7;3;O;1;2;1;490137039;44226;547291839;44485
2020;feb;7;3;O;1;3;1;NA;NA;NA;NA
2020;feb;7;3;O;1;4;1;109215875;18919;128647495;19446
2020;feb;7;3;O;1;9;1;NA;NA;NA;NA
2020;feb;7;3;O;2;1;1;259108820;11529;275963574;11529
2020;feb;7;3;O;2;2;1;419330144;36345;467800552;36667
2020;feb;7;3;O;2;3;1;NA;NA;NA;NA
2020;feb;7;3;O;2;4;1;37748876;7119;44943450;7342
2020;feb;7;3;O;2;5;1;11156780;3125;15501551;3510
2020;feb;7;3;O;2;7;1;NA;NA;NA;NA
2020;feb;7;3;O;2;8;1;6472455;1890;8093429;1973
2020;feb;7;3;O;2;9;1;1192200;378;1539721;424
2020;feb;8;3;I;1;1;1;NA;NA;NA;NA
2020;feb;8;3;I;1;2;1;17454026;3235;18991615;3235
2020;feb;8;3;I;1;3;1;7722688;2599;8298198;2599
2020;feb;8;3;I;1;4;1;20417238;7587;23365597;7587
2020;feb;8;3;I;1;5;1;60201984;25152;64858956;25152
2020;feb;8;3;I;1;6;1;NA;NA;NA;NA
2020;feb;8;3;I;1;7;1;394841;194;421630;194
2020;feb;8;3;I;1;9;1;8199746;3904;8901180;3904
2020;feb;8;3;I;2;1;1;NA;NA;NA;NA
2020;feb;8;3;I;2;2;1;18190648;2932;19557319;2932
2020;feb;8;3;I;2;3;1;9568872;2912;10244962;2912
2020;feb;8;3;I;2;4;1;7403801;2463;8189264;2463
2020;feb;8;3;I;2;5;1;41836228;17707;44637341;17707
2020;feb;8;3;I;2;6;1;NA;NA;NA;NA
2020;feb;8;3;I;2;7;1;1358936;387;1481722;387
2020;feb;8;3;I;2;8;1;4920725;2145;5170989;2145
2020;feb;8;3;I;2;9;1;12988607;5209;14126477;5209
2020;feb;9;3;F;1;1;1;0;0;0;0
2020;feb;9;3;F;1;2;1;48807002;4262;55796237;4262
2020;feb;9;3;F;1;3;1;27325576;3983;32002372;3999
2020;feb;9;3;F;1;4;1;20056553;2691;22849413;2691
2020;feb;9;3;F;1;7;1;14986638;2548;17469119;2548
2020;feb;9;3;F;1;9;1;6012035;1727;7478114;1727
2020;feb;9;3;F;2;1;1;15119146;194;15394601;194
2020;feb;9;3;F;2;2;1;989318363;48948;1065451089;48948
2020;feb;9;3;F;2;3;1;444410199;46873;503726671;46873
2020;feb;9;3;F;2;4;1;66503566;9435;76938796;9451
2020;feb;9;3;F;2;5;1;0;0;0;0
2020;feb;9;3;F;2;7;1;1105143410;283510;1339462911;283553
2020;feb;9;3;F;2;8;1;231344091;50112;270548618;50173
2020;feb;9;3;F;2;9;1;26735669;6094;31986509;6126
2020;feb;10;1;Q;1;1;1;4697830;180;4769510;180
2020;feb;10;1;Q;1;2;1;5286881;388;5465854;388
2020;feb;10;1;Q;1;3;1;1644488;611;1757653;617
2020;feb;10;1;Q;1;4;1;3395917;970;3700064;994
2020;feb;10;1;Q;1;9;1;NA;NA;NA;NA
2020;feb;10;1;Q;2;1;1;2445359;194;2552280;194
2020;feb;10;1;Q;2;2;1;11370061;970;11951073;970
2020;feb;10;1;Q;2;3;1;318098;129;337629;129
2020;feb;11;3;C;1;1;7;NA;NA;NA;NA
2020;feb;11;3;C;1;2;7;14235149;966;16100629;966
2020;feb;11;3;C;1;3;7;NA;NA;NA;NA
2020;feb;11;3;C;1;4;7;7614284;1949;9469454;1954
2020;feb;11;3;C;1;5;7;NA;NA;NA;NA
2020;feb;11;3;C;1;6;7;NA;NA;NA;NA
2020;feb;11;3;C;1;7;7;NA;NA;NA;NA
2020;feb;11;3;C;1;8;7;NA;NA;NA;NA
2020;feb;11;3;C;1;9;7;NA;NA;NA;NA
2020;feb;11;3;C;2;1;7;34367630;1158;36619247;1158
2020;feb;11;3;C;2;2;7;21082997;2136;25031160;2197
2020;feb;11;3;C;2;3;7;5597923;1081;7733934;1255
2020;feb;11;3;C;2;4;7;24363626;4611;29406376;4667
2020;feb;11;3;C;2;5;7;NA;NA;NA;NA
2020;feb;11;3;C;2;6;7;NA;NA;NA;NA
2020;feb;11;3;C;2;7;7;NA;NA;NA;NA
2020;feb;11;3;C;2;8;7;46256044;7981;62444258;8820
2020;feb;11;3;C;2;9;7;37097385;9479;51302987;10443
2020;feb;12;3;H;1;1;1;2272728;189;2333219;189
2020;feb;12;3;H;1;2;1;5163123;755;5467995;755
2020;feb;12;3;H;1;3;1;1233980;377;1389877;377
2020;feb;12;3;H;1;4;1;4039946;1011;5025101;1011
2020;feb;12;3;H;1;5;1;NA;NA;NA;NA
2020;feb;12;3;H;1;6;1;NA;NA;NA;NA
2020;feb;12;3;H;1;7;1;NA;NA;NA;NA
2020;feb;12;3;H;1;8;1;NA;NA;NA;NA
2020;feb;12;3;H;1;9;1;NA;NA;NA;NA
2020;feb;12;3;H;2;1;1;35508749;1512;39678802;1512
2020;feb;12;3;H;2;2;1;28020084;4387;30252795;4387
2020;feb;12;3;H;2;3;1;12042178;3024;13932449;3041
2020;feb;12;3;H;2;4;1;34678444;8194;41506411;8218
2020;feb;12;3;H;2;5;1;NA;NA;NA;NA
2020;feb;12;3;H;2;6;1;NA;NA;NA;NA
2020;feb;12;3;H;2;7;1;NA;NA;NA;NA
2020;feb;12;3;H;2;8;1;557775554;91015;690092965;91270
2020;feb;12;3;H;2;9;1;45024068;12547;57011910;12574
2020;feb;13;3;C;1;1;1;NA;NA;NA;NA
2020;feb;13;3;C;1;2;1;4251447;391;4332574;391
2020;feb;13;3;C;1;3;1;945114;201;983277;201
2020;feb;13;3;C;1;4;1;NA;NA;NA;NA
2020;feb;13;3;C;1;5;1;NA;NA;NA;NA
2020;feb;13;3;C;1;6;1;NA;NA;NA;NA
2020;feb;13;3;C;1;7;1;10519028;3673;10996721;3693
