anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;jul;984;2;G;1;1;1;5379727;183;5529699;183
2020;jul;984;2;G;2;1;1;56429299;548;56695400;548
2020;jul;984;2;G;1;2;1;55431424;3838;57349254;3838
2020;jul;984;2;G;2;2;1;180220073;11513;189338319;11611
2020;jul;984;2;G;1;3;1;NA;NA;NA;NA
2020;jul;984;2;G;2;3;1;NA;NA;NA;NA
2020;jul;984;2;G;1;4;1;NA;NA;NA;NA
2020;jul;984;2;G;2;4;1;NA;NA;NA;NA
2020;jul;984;2;G;1;6;1;NA;NA;NA;NA
2020;jul;984;2;G;2;6;1;NA;NA;NA;NA
2020;jul;984;2;G;1;7;1;NA;NA;NA;NA
2020;jul;984;2;G;2;7;1;1128110;366;1182674;366
2020;jul;984;2;G;2;8;1;NA;NA;NA;NA
2020;jul;984;2;G;1;9;1;NA;NA;NA;NA
2020;jul;984;2;G;2;9;1;NA;NA;NA;NA
2020;jul;952;3;B;1;1;1;293842281;7367;301427429;7367
2020;jul;952;3;B;2;1;1;1118266681;22788;1138830650;22788
2020;jul;952;3;B;1;2;1;920300537;42365;961591574;42365
2020;jul;952;3;B;2;2;1;2875946325;115117;2974794903;115117
2020;jul;952;3;B;1;3;1;11489666;903;12402068;903
2020;jul;952;3;B;2;3;1;331118661;24389;350269871;24389
2020;jul;952;3;B;1;4;1;7927839;541;8332199;541
2020;jul;952;3;B;2;4;1;3204267;188;3484150;188
2020;jul;952;3;B;2;5;1;NA;NA;NA;NA
2020;jul;952;3;B;1;7;1;245769920;26368;274302328;26368
2020;jul;952;3;B;2;7;1;1748669939;145744;1877852742;145744
2020;jul;952;3;B;1;8;1;344488924;40635;379724720;40635
2020;jul;952;3;B;2;8;1;2796055993;230446;2978891435;230446
2020;jul;952;3;B;1;9;1;NA;NA;NA;NA
2020;jul;952;3;B;2;9;1;2318101;181;2498954;181
2020;jul;995;3;M;1;1;3;15052333;1303;18335403;1303
2020;jul;995;3;M;2;1;3;46181432;2709;56119346;2709
2020;jul;995;3;M;1;2;3;194648012;31914;223263364;32002
2020;jul;995;3;M;2;2;3;367649459;45106;429531599;45757
2020;jul;995;3;M;1;3;3;32555688;6747;36998796;6836
2020;jul;995;3;M;2;3;3;66235597;12366;78043495;12672
2020;jul;995;3;M;1;4;3;25979922;5285;29535867;5285
2020;jul;995;3;M;2;4;3;33384261;8135;38094149;8224
2020;jul;995;3;M;1;5;3;0;0;0;0
2020;jul;995;3;M;2;5;3;0;0;0;0
2020;jul;995;3;M;2;7;3;227336401;53194;264051057;53491
2020;jul;995;3;M;2;8;3;22895128;4979;27540395;5069
2020;jul;995;3;M;1;9;3;8051842;2161;9402751;2201
2020;jul;995;3;M;2;9;3;42263443;8335;50681235;8550
2020;jul;997;1;G;1;1;3;NA;NA;NA;NA
2020;jul;997;1;G;2;1;3;NA;NA;NA;NA
2020;jul;997;1;G;1;2;3;NA;NA;NA;NA
2020;jul;997;1;G;2;2;3;NA;NA;NA;NA
2020;jul;997;1;G;1;3;3;NA;NA;NA;NA
2020;jul;997;1;G;2;3;3;NA;NA;NA;NA
2020;jul;997;1;G;1;4;3;553300;168;705336;168
2020;jul;997;1;G;2;4;3;765530;336;916563;336
2020;jul;997;1;G;1;6;3;763100;336;851507;336
2020;jul;997;1;G;2;6;3;2245883;724;2543101;724
2020;jul;997;1;G;2;7;3;581951;352;691321;418
2020;jul;997;1;G;2;8;3;NA;NA;NA;NA
2020;jul;997;1;G;2;9;3;NA;NA;NA;NA
2020;jul;1762;3;P;1;1;1;103264745;5103;106170852;5103
2020;jul;1762;3;P;2;1;1;136843693;5292;141854854;5292
2020;jul;1762;3;P;1;2;1;1201118291;105960;1246470380;105960
2020;jul;1762;3;P;2;2;1;1920620616;136067;1974044002;136077
