anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;may;984;2;G;1;1;1;6364684;201;6455938;201
2020;may;984;2;G;1;2;1;54070777;3746;57287202;3755
2020;may;984;2;G;1;3;1;NA;NA;NA;NA
2020;may;984;2;G;1;4;1;NA;NA;NA;NA
2020;may;984;2;G;1;6;1;NA;NA;NA;NA
2020;may;984;2;G;1;7;1;NA;NA;NA;NA
2020;may;984;2;G;1;9;1;NA;NA;NA;NA
2020;may;984;2;G;2;1;1;84074780;727;84496198;727
2020;may;984;2;G;2;2;1;189029266;11904;202043795;12040
2020;may;984;2;G;2;3;1;NA;NA;NA;NA
2020;may;984;2;G;2;4;1;NA;NA;NA;NA
2020;may;984;2;G;2;6;1;NA;NA;NA;NA
2020;may;984;2;G;2;7;1;810136;205;922076;206
2020;may;984;2;G;2;8;1;NA;NA;NA;NA
2020;may;984;2;G;2;9;1;NA;NA;NA;NA
2020;may;952;3;B;1;1;1;291419574;6834;298273518;6834
2020;may;952;3;B;1;2;1;891691869;41642;928497111;41642
2020;may;952;3;B;1;3;1;11779917;903;12390343;903
2020;may;952;3;B;1;4;1;12096395;729;12699788;729
2020;may;952;3;B;1;7;1;255853936;26548;271371683;26548
2020;may;952;3;B;1;8;1;350051498;39010;371068797;39010
2020;may;952;3;B;1;9;1;NA;NA;NA;NA
2020;may;952;3;B;2;1;1;1126802452;22779;1145790229;22779
2020;may;952;3;B;2;2;1;2961224720;115848;3053943947;115848
2020;may;952;3;B;2;3;1;350037545;24750;364770137;24750
2020;may;952;3;B;2;4;1;3166585;188;3427501;188
2020;may;952;3;B;2;5;1;NA;NA;NA;NA
2020;may;952;3;B;2;7;1;1833876891;145564;1922746320;145564
2020;may;952;3;B;2;8;1;2876589526;225028;3004291732;225028
2020;may;952;3;B;2;9;1;2540119;181;2680295;181
2020;may;995;3;M;1;1;3;11279598;774;14016247;774
2020;may;995;3;M;1;2;3;182410553;27837;206953981;27860
2020;may;995;3;M;1;3;3;69148702;13083;77842631;13149
2020;may;995;3;M;1;4;3;24321374;5304;27109207;5348
2020;may;995;3;M;1;5;3;NA;NA;NA;NA
2020;may;995;3;M;1;9;3;3185965;967;3500695;967
2020;may;995;3;M;2;1;3;45976339;2709;55897139;2709
