anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;nov;812;1;R;1;4;4;710906;181;959698;195
2020;nov;812;1;R;2;3;4;945000;69;1030618;69
2020;nov;370;1;R;1;4;4;NA;NA;NA;NA
2020;nov;370;1;R;2;3;4;NA;NA;NA;NA
2020;nov;936;1;R;1;4;2;2986000;774;3780012;774
2020;nov;936;1;R;2;3;2;1208000;194;1387774;194
2020;nov;939;1;R;1;4;4;NA;NA;NA;NA
2020;nov;939;1;R;2;3;4;2661709;388;2901207;388
2020;nov;1245;1;R;1;4;4;461707;240;479989;240
2020;nov;1245;1;R;2;3;4;574493;191;587707;191
2020;nov;1453;1;R;1;4;4;NA;NA;NA;NA
2020;nov;1453;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1478;1;R;1;4;2;NA;NA;NA;NA
2020;nov;1478;1;R;2;3;2;NA;NA;NA;NA
2020;nov;1547;1;R;1;4;4;5420679;1106;6510292;1622
2020;nov;1547;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1556;1;R;1;4;4;185485;57;208460;57
2020;nov;1556;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1611;1;R;1;4;4;894076;260;915642;380
2020;nov;1611;1;R;2;3;4;735396;278;763231;407
2020;nov;61;1;R;1;4;4;NA;NA;NA;NA
2020;nov;61;1;R;2;3;4;NA;NA;NA;NA
2020;nov;67;1;R;1;4;4;NA;NA;NA;NA
2020;nov;67;1;R;2;3;4;NA;NA;NA;NA
2020;nov;139;1;R;1;4;1;591033;130;601329;150
2020;nov;139;1;R;2;3;1;324317;158;381591;195
2020;nov;191;1;R;1;4;4;NA;NA;NA;NA
2020;nov;191;1;R;2;3;4;NA;NA;NA;NA
2020;nov;320;1;R;1;4;1;NA;NA;NA;NA
2020;nov;320;1;R;2;3;1;NA;NA;NA;NA
2020;nov;354;1;R;1;4;1;762184;320;869932;320
2020;nov;354;1;R;2;3;1;NA;NA;NA;NA
2020;nov;357;1;R;1;4;4;1709995;505;1783010;505
2020;nov;357;1;R;2;3;4;NA;NA;NA;NA
2020;nov;358;1;R;1;4;4;NA;NA;NA;NA
2020;nov;358;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1683;1;R;1;4;1;NA;NA;NA;NA
2020;nov;1683;1;R;2;3;1;NA;NA;NA;NA
2020;nov;368;1;R;1;4;4;438750;194;458055;194
2020;nov;368;1;R;2;3;4;NA;NA;NA;NA
2020;nov;365;1;R;1;4;4;821147;194;844140;194
2020;nov;365;1;R;2;3;4;1812399;582;1906644;582
2020;nov;1736;1;R;1;4;4;NA;NA;NA;NA
2020;nov;1736;1;R;2;3;4;NA;NA;NA;NA
2020;nov;619;1;R;1;4;4;2167672;581;2674102;581
2020;nov;619;1;R;2;3;4;3951633;1161;4929099;1161
2020;nov;628;1;R;1;4;4;NA;NA;NA;NA
2020;nov;628;1;R;2;3;4;NA;NA;NA;NA
2020;nov;666;1;R;1;4;4;NA;NA;NA;NA
2020;nov;666;1;R;2;3;4;2618499;194;2746282;194
2020;nov;669;1;R;1;4;1;NA;NA;NA;NA
2020;nov;669;1;R;2;3;1;2703594;483;3695579;675
2020;nov;671;1;R;1;4;4;816250;387;861148;387
2020;nov;671;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1678;1;R;1;4;4;591806;175;620157;175
2020;nov;1678;1;R;2;3;4;NA;NA;NA;NA
2020;nov;776;1;R;1;4;4;NA;NA;NA;NA
2020;nov;776;1;R;2;3;4;326500;194;341073;194
2020;nov;800;1;R;1;4;4;3701199;1323;4023186;1323
2020;nov;800;1;R;2;3;4;3873249;1890;4202257;1890
2020;nov;821;1;R;1;4;4;2056653;581;2200630;581
2020;nov;821;1;R;2;3;4;NA;NA;NA;NA
2020;nov;828;1;R;1;4;4;NA;NA;NA;NA
2020;nov;828;1;R;2;3;4;NA;NA;NA;NA
2020;nov;856;1;R;1;4;4;476076;205;530807;206
2020;nov;856;1;R;2;3;4;NA;NA;NA;NA
2020;nov;875;1;R;1;4;4;NA;NA;NA;NA
2020;nov;875;1;R;2;3;4;NA;NA;NA;NA
2020;nov;889;1;R;1;4;4;922770;388;1205801;388
2020;nov;889;1;R;2;3;4;NA;NA;NA;NA
2020;nov;890;1;R;1;4;4;326500;194;350139;194
2020;nov;890;1;R;2;3;4;NA;NA;NA;NA
2020;nov;916;1;R;1;4;4;408126;194;456512;194
2020;nov;916;1;R;2;3;4;NA;NA;NA;NA
2020;nov;1030;1;R;1;4;4;795606;260;966561;380
2020;nov;1030;1;R;2;3;4;NA;NA;NA;NA
2020;nov;452;1;R;1;4;1;987202;194;1106982;194
2020;nov;452;1;R;2;3;1;NA;NA;NA;NA
