Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2020;12;1379;3;F;1;3;2;751060;194;904668;194;751060;194;999137;194
2020;12;1379;3;F;2;1;2;17052866;388;17581630;388;17052866;388;17577490;388
2020;12;1379;3;F;2;2;2;69489485;6402;79629611;6633;70865548;6208;80446474;6420
2020;12;1379;3;F;2;7;2;9662727;1746;11929537;1848;12109574;1746;15625758;2006
2020;12;1391;3;I;1;3;2;37997630;6333;44122334;6415;38916010;6461;44871200;6505
2020;12;1391;3;I;1;4;2;12322330;3850;15923191;3948;12686527;3910;16498583;3999
2020;12;1391;3;I;1;5;2;;;;;;;;
2020;12;1391;3;I;2;3;2;79131330;13122;92404754;13374;76656165;12639;89104314;12796
2020;12;1391;3;I;2;4;2;18565214;4895;23966681;5276;19707522;5114;25041611;5412
2020;12;1391;3;I;2;5;2;1965095;194;2196694;194;1965100;194;2179312;194
2020;12;1393;3;F;1;3;2;24495279;4554;29108888;4743;24122055;4413;29543172;4724
2020;12;1393;3;F;2;1;2;139945766;3410;143127108;3410;145542267;3667;148612798;3667
2020;12;1393;3;F;2;2;2;552306248;41797;606910797;42526;547550194;42338;606796891;43173
2020;12;1393;3;F;2;7;2;995108471;200684;1227616371;214553;962956358;200926;1222519171;217827
2020;12;1395;3;I;1;3;2;1567749;388;1733996;388;1567749;387;1733502;387
2020;12;1395;3;I;1;4;2;863449;335;1065261;358;1009632;381;1199603;396
2020;12;1395;3;I;1;5;2;5265957;1980;6081911;2006;4932177;1820;5655264;1836
2020;12;1395;3;I;2;3;2;1809980;388;1979870;388;1809980;387;1978578;387
2020;12;1395;3;I;2;4;2;;;;;;;;
2020;12;1395;3;I;2;5;2;3151628;1070;3635867;1113;3268466;1142;3798092;1189
2020;12;1841;3;F;1;3;2;43952294;5095;49092101;5175;47754075;5385;53049274;5458
2020;12;1841;3;F;2;1;2;148318236;4450;155099230;4450;148430493;4450;155773443;4450
2020;12;1841;3;F;2;2;2;358115652;32836;388047276;32876;365937561;33907;397197212;33947
2020;12;1841;3;F;2;7;2;;;;;;;;
2020;12;1570;3;F;1;3;3;5658458;1720;6589741;1731;6842835;2076;7963194;2089
2020;12;1570;3;F;2;1;3;5856440;388;6041873;388;5862880;388;6048560;388
2020;12;1570;3;F;2;2;3;12065171;1740;13795385;1778;13589582;1701;15246530;1724
2020;12;1570;3;F;2;7;3;115930084;28908;130835488;30336;116073107;31713;129587459;32531
2020;12;1595;3;I;1;3;2;4209182;845;4929333;872;4736753;948;5625107;976
2020;12;1595;3;I;1;4;2;9916451;2618;12804442;2838;9962937;2677;12931632;2875
2020;12;1595;3;I;1;5;2;7920606;2419;10169750;2581;8176154;2516;10903904;2702
2020;12;1595;3;I;2;3;2;17460941;3206;21343641;3433;17693370;3264;21792313;3457
2020;12;1595;3;I;2;4;2;15591668;4109;19622647;4489;14705613;3870;18793994;4196
2020;12;1595;3;I;2;5;2;4311725;1356;5699275;1498;4333642;1355;5847897;1486
2020;12;8;3;I;1;3;1;911693;213;1019089;213;1353168;363;1557025;365
2020;12;8;3;I;1;4;1;2045979;633;2530758;633;4891590;1631;5919679;1636
2020;12;8;3;I;1;5;1;7347304;2445;8670142;2448;15156215;4858;17758718;4872
2020;12;8;3;I;2;3;1;1280307;374;1504965;377;2567067;768;3037061;796
2020;12;8;3;I;2;4;1;765005;226;952401;228;2466759;697;3016767;718
2020;12;8;3;I;2;5;1;2166859;775;2779722;785;5429754;2159;6518122;2177
2020;12;231;3;I;1;3;1;6826388;1425;7411227;1425;7676972;1464;8633329;1476
2020;12;231;3;I;1;4;1;2664488;774;2906323;774;3435155;955;3741130;955
2020;12;231;3;I;1;5;1;2438399;1161;2661542;1161;1854774;871;2102323;871
2020;12;231;3;I;2;3;1;15022641;3193;16303900;3193;14134611;2825;15729582;2825
2020;12;231;3;I;2;4;1;2876550;761;3225751;761;1704858;484;1991781;484
2020;12;231;3;I;2;5;1;3846595;1258;4186838;1258;4173707;1322;4638725;1322
2020;12;1729;3;I;1;3;1;15135570;3870;16054200;3870;16922190;4160;18235173;4160
2020;12;1729;3;I;1;4;1;2981754;1161;3152298;1161;4593859;1219;5012049;1219
2020;12;1729;3;I;1;5;1;942701;468;997940;468;1516808;722;1686580;722
