Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2020;1;1;3;O;1;1;1;8104487;378;8181229;378;8104487;378;8154923;378
2020;1;1;3;O;1;2;1;107239031;8316;112764234;8468;106233861;8316;112396075;8735
2020;1;1;3;O;1;3;1;16723170;2268;18607954;2426;16723170;2268;18853379;2532
2020;1;1;3;O;1;4;1;78266391;13230;87645002;14463;77778123;13230;88287267;15225
2020;1;1;3;O;1;5;1;;;;;;;;
2020;1;1;3;O;1;6;1;;;;;;;;
2020;1;1;3;O;1;7;1;1000841;189;1608940;340;1000841;189;1645334;352
2020;1;1;3;O;1;8;1;113144761;17766;125006867;19325;119518290;18900;131860196;21190
2020;1;1;3;O;1;9;1;;;;;;;;
2020;1;1;3;O;2;1;1;38064951;1890;40942567;1985;38064951;1890;39611628;1934
2020;1;1;3;O;2;2;1;64487356;5292;68207904;5469;64498301;5292;68961224;5606
2020;1;1;3;O;2;3;1;23410288;3024;27969330;3562;23410288;3024;28107286;3661
2020;1;1;3;O;2;4;1;54276597;9828;64890224;11462;54252851;9828;63014309;11546
2020;1;1;3;O;2;5;1;;;;;;;;
2020;1;1;3;O;2;6;1;;;;;;;;
2020;1;1;3;O;2;7;1;50464954;9828;64556075;12903;50328738;9828;60636258;12204
2020;1;1;3;O;2;8;1;243488338;44037;281644012;52778;206441964;34398;245531320;44396
2020;1;1;3;O;2;9;1;;;;;;;;
2020;1;2;3;G;1;1;2;2377789;203;2472842;203;2462852;205;2556215;205
2020;1;2;3;G;1;2;2;4593558;581;5234288;587;4593558;580;5428276;603
2020;1;2;3;G;1;3;2;12078376;2909;14625321;2941;12847792;3096;15579690;3156
2020;1;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838048;1161
2020;1;2;3;G;1;5;2;;;;;;;;
2020;1;2;3;G;1;6;2;;;;;;;;
2020;1;2;3;G;1;7;2;22391803;9378;30163436;9529;29279974;12268;39077635;12568
2020;1;2;3;G;1;8;2;;;;;;;;
2020;1;2;3;G;1;9;2;1362745;581;1817764;593;1362744;581;1915091;621
2020;1;2;3;G;2;1;2;11845737;968;12428547;968;11845737;967;12428547;967
2020;1;2;3;G;2;2;2;1071003;194;1239116;194;1071003;193;1239116;193
2020;1;2;3;G;2;3;2;1866206;387;2433061;425;1866206;387;2654931;461
2020;1;2;3;G;2;4;2;457973;194;510505;194;457972;193;510504;193
2020;1;2;3;G;2;5;2;426683;214;492197;215;424576;213;496279;219
2020;1;2;3;G;2;6;2;;;;;;;;
2020;1;2;3;G;2;7;2;33209080;12287;43010379;12448;33420008;12390;44041637;12696
2020;1;2;3;G;2;8;2;2493606;581;3455442;608;2493606;580;3392482;594
2020;1;2;3;G;2;9;2;4569983;1935;6203279;1967;4569982;1935;6198064;1965
2020;1;3;3;C;1;1;13;;;;;;;;
2020;1;3;3;C;1;2;13;8046840;967;9073262;967;8046840;967;9073262;967
2020;1;3;3;C;1;3;13;3599307;968;4010475;968;3599307;774;4010475;774
2020;1;3;3;C;1;4;13;4530197;1161;5100753;1161;4852759;1161;5423315;1161
2020;1;3;3;C;1;5;13;;;;;;;;
2020;1;3;3;C;1;6;13;;;;;;;;
2020;1;3;3;C;1;7;13;;;;;;;;
2020;1;3;3;C;1;8;13;;;;;;;;
2020;1;3;3;C;1;9;13;959706;387;1153625;401;959706;387;1153625;401
2020;1;3;3;C;2;1;13;19653379;581;20571095;581;19183858;585;20283731;585
2020;1;3;3;C;2;2;13;29523679;3096;33539290;3174;30719442;3103;34620736;3196
2020;1;3;3;C;2;3;13;32758105;5612;36300448;5630;32758105;6579;36300448;6597
2020;1;3;3;C;2;4;13;11278694;2709;12920610;2754;11636546;2764;13221095;2842
2020;1;3;3;C;2;5;13;;;;;;0;;0
2020;1;3;3;C;2;6;13;22405359;2322;24178382;2322;22405359;2322;24178382;2322
2020;1;3;3;C;2;7;13;17913606;5031;21724743;5325;17913606;5031;21724743;5325
