Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2020;2;1;3;O;1;1;1;8104487;378;8154923;378;8104487;378;8155072;378
2020;2;1;3;O;1;2;1;106233861;8316;112396075;8735;99901452;7749;107547018;8316
2020;2;1;3;O;1;3;1;16723170;2268;18853379;2532;16723170;2268;18758684;2537
2020;2;1;3;O;1;4;1;77778123;13230;88287267;15225;73874601;12474;84729630;14556
2020;2;1;3;O;1;5;1;;;;;;;;
2020;2;1;3;O;1;6;1;;;;;;;;
2020;2;1;3;O;1;7;1;1000841;189;1645334;352;1000841;189;1260261;253
2020;2;1;3;O;1;8;1;119518290;18900;131860196;21190;120703326;19089;133883552;21494
2020;2;1;3;O;1;9;1;;;;;;;;
2020;2;1;3;O;2;1;1;38064951;1890;39611628;1934;37445592;1890;38159635;1906
2020;2;1;3;O;2;2;1;64498301;5292;68961224;5606;66106436;5292;70777887;5623
2020;2;1;3;O;2;3;1;23410288;3024;28107286;3661;23403983;3024;27005261;3519
2020;2;1;3;O;2;4;1;54252851;9828;63014309;11546;54892780;9828;62954786;11460
2020;2;1;3;O;2;5;1;;;;;;;;
2020;2;1;3;O;2;6;1;;;;;;;;
2020;2;1;3;O;2;7;1;50328738;9828;60636258;12204;49650851;9639;57713105;11494
2020;2;1;3;O;2;8;1;206441964;34398;245531320;44396;215180220;34965;243641198;41471
2020;2;1;3;O;2;9;1;;;;;;;;
2020;2;2;3;G;1;1;2;2462852;205;2556215;205;2447364;205;2536725;205
2020;2;2;3;G;1;2;2;4593558;580;5428276;603;4593558;581;5428276;604
2020;2;2;3;G;1;3;2;12847792;3096;15579690;3156;12476350;3006;15175973;3066
2020;2;2;3;G;1;4;2;2998026;1161;3838048;1161;2998026;1161;3838049;1161
2020;2;2;3;G;1;5;2;;;;;;;;
2020;2;2;3;G;1;6;2;;;;;;;;
2020;2;2;3;G;1;7;2;29279974;12268;39077635;12568;27042586;11326;36827228;11626
2020;2;2;3;G;1;8;2;;;;;;;;
2020;2;2;3;G;1;9;2;1362744;581;1915091;621;1816993;774;2507109;814
2020;2;2;3;G;2;1;2;11845737;967;12428547;967;11845737;968;12428547;968
2020;2;2;3;G;2;2;2;1071003;193;1239116;193;1071003;194;1239116;194
2020;2;2;3;G;2;3;2;1866206;387;2654931;461;1866206;387;2654932;461
2020;2;2;3;G;2;4;2;457972;193;510504;193;457973;194;510505;194
2020;2;2;3;G;2;5;2;424576;213;496279;219;422374;215;472597;220
2020;2;2;3;G;2;6;2;;;;;;;;
2020;2;2;3;G;2;7;2;33420008;12390;44041637;12696;37397499;13842;48856566;14148
2020;2;2;3;G;2;8;2;2493606;580;3392482;594;2493606;581;3392483;595
2020;2;2;3;G;2;9;2;4569982;1935;6198064;1965;3916065;1658;5511974;1688
2020;2;3;3;C;1;1;13;;;;;;;;
2020;2;3;3;C;1;2;13;8046840;967;9073262;967;8146840;1161;9247562;1161
2020;2;3;3;C;1;3;13;3599307;774;4010475;774;3245315;968;3686471;968
2020;2;3;3;C;1;4;13;4852759;1161;5423315;1161;4482455;1161;5129725;1161
2020;2;3;3;C;1;5;13;;;;;;0;;0
2020;2;3;3;C;1;6;13;;;;;;0;;0
2020;2;3;3;C;1;7;13;;;;;;0;;0
2020;2;3;3;C;1;8;13;;;;;;0;;0
2020;2;3;3;C;1;9;13;959706;387;1153625;401;966056;387;1135032;399
2020;2;3;3;C;2;1;13;19183858;585;20283731;585;19689635;581;20559104;581
2020;2;3;3;C;2;2;13;30719442;3103;34620736;3196;30904632;3483;34896307;3560
2020;2;3;3;C;2;3;13;32758105;6579;36300448;6597;31248667;6465;34836061;6532
2020;2;3;3;C;2;4;13;11636546;2764;13221095;2842;10501693;2903;12218460;2954
2020;2;3;3;C;2;5;13;;0;;0;0;0;0;0
2020;2;3;3;C;2;6;13;22405359;2322;24178382;2322;20160125;2386;21707491;2386
2020;2;3;3;C;2;7;13;17913606;5031;21724743;5325;17872735;5612;22023657;5924
2020;2;3;3;C;2;8;13;16157864;5426;19403612;5602;16178197;5612;19496373;5795
2020;2;3;3;C;2;9;13;101723941;26510;116252088;26814;101872919;26510;122926184;26823
2020;2;4;3;P;1;1;1;79146761;5108;81490645;5108;79076061;5108;81237431;5108
2020;2;4;3;P;1;2;1;487729894;54859;508702082;54973;478698031;54619;497947178;54619
2020;2;4;3;P;1;3;1;39841571;9099;43088380;9195;39564110;9288;42801272;9288
2020;2;4;3;P;1;4;1;106319167;26677;114610852;26909;101974529;26488;110106005;26514
