Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division; RO_t_1 ; HO_t_1 ; C_t_1 ; HT_t_1 ; RO ; HO ; C ; HT 
2020;7;984;2;G;1;1;1;5379727;183;5519263;183;5379727;183;5529699;183
2020;7;984;2;G;2;1;1;83596625;731;83946143;731;56429299;548;56695400;548
2020;7;984;2;G;1;2;1;55431424;3838;57171606;3838;55431424;3838;57349254;3838
2020;7;984;2;G;2;2;1;180085162;11513;188391606;11513;180220073;11513;189338319;11611
2020;7;984;2;G;1;3;1;;;;;;;;
2020;7;984;2;G;2;3;1;;;;;;;;
2020;7;984;2;G;1;4;1;;;;;;;;
2020;7;984;2;G;2;4;1;;;;;;;;
2020;7;984;2;G;1;5;1;;;;;;;;
2020;7;984;2;G;2;5;1;;;;;;;;
2020;7;984;2;G;1;6;1;;;;;;;;
2020;7;984;2;G;2;6;1;;;;;;;;
2020;7;984;2;G;1;7;1;;;;;;;;
2020;7;984;2;G;2;7;1;1128110;366;1177485;366;1128110;366;1182674;366
2020;7;984;2;G;1;8;1;;;;;;;;
2020;7;984;2;G;2;8;1;;;;;;;;
2020;7;984;2;G;1;9;1;;;;;;;;
2020;7;984;2;G;2;9;1;;;;;;;;
2020;7;952;3;B;1;1;1;279886951;6826;286739686;6826;293842281;7367;301427429;7367
2020;7;952;3;B;2;1;1;1091753954;22779;1111041828;22779;1118266681;22788;1138830650;22788
2020;7;952;3;B;1;2;1;918638141;42184;956018661;42184;920300537;42365;961591574;42365
2020;7;952;3;B;2;2;1;2847880855;115676;2940509566;115676;2875946325;115117;2974794903;115117
2020;7;952;3;B;1;3;1;10757965;903;11327576;903;11489666;903;12402068;903
2020;7;952;3;B;2;3;1;318974750;24750;333050484;24750;331118661;24389;350269871;24389
2020;7;952;3;B;1;4;1;11659057;729;12325719;729;7927839;541;8332199;541
2020;7;952;3;B;2;4;1;3166585;188;3429539;188;3204267;188;3484150;188
2020;7;952;3;B;1;5;1;;;;;;;;
2020;7;952;3;B;2;5;1;;;;;;;;
2020;7;952;3;B;1;6;1;;;;;;;;
2020;7;952;3;B;2;6;1;;;;;;;;
2020;7;952;3;B;1;7;1;226763457;26368;240339493;26368;245769920;26368;274302328;26368
2020;7;952;3;B;2;7;1;1651760848;145383;1733247510;145383;1748669939;145744;1877852742;145744
2020;7;952;3;B;1;8;1;324228724;40454;343474694;40454;344488924;40635;379724720;40635
2020;7;952;3;B;2;8;1;2637743980;227014;2757784737;227014;2796055993;230446;2978891435;230446
2020;7;952;3;B;1;9;1;;;;;;;;
2020;7;952;3;B;2;9;1;2362053;181;2496784;181;2318101;181;2498954;181
2020;7;995;3;M;1;1;3;10911166;774;13639839;774;15052333;1303;18335403;1303
2020;7;995;3;M;2;1;3;46181432;2709;56119346;2709;46181432;2709;56119346;2709
