Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division; RO_t_1 ; HO_t_1 ; C_t_1 ; HT_t_1 ; RO ; HO ; C ; HT 
2020;6;1379;3;F;1;9;2;;;;;;;;
2020;6;1393;3;F;1;9;2;6723840;2690;8326276;2759;6511756;2644;8085902;2687
2020;6;1841;3;F;1;9;2;10535814;4257;12162488;4376;9965670;4348;11541351;4458
2020;6;1570;3;F;1;9;3;;;;;;;;
2020;6;285;3;F;1;9;3;1564111;387;1707631;387;1486480;387;1627470;387
2020;6;948;3;F;1;9;1;2480796;926;2708417;926;3419768;1345;3709117;1375
2020;6;953;3;F;1;9;1;;;;;;;;
2020;6;1069;3;F;1;9;1;1058626;474;1271032;474;1648690;723;1996161;735
2020;6;1840;3;F;1;9;1;12628163;4821;13858509;4831;13957565;5186;14981341;5206
2020;6;1845;3;F;1;9;1;417245;194;471800;194;417245;194;471800;194
2020;6;1097;3;F;1;9;1;7608205;2412;8396921;2468;6439931;2064;7190385;2163
2020;6;1098;3;F;1;9;1;651209;293;790002;293;1300375;619;1502123;619
2020;6;1653;3;F;1;9;3;586573;128;711480;129;522658;115;635537;116
2020;6;1099;3;F;1;9;3;202105;68;219817;68;;;;
2020;6;1654;3;F;1;9;2;234501;101;305870;101;222228;98;277013;98
2020;6;1100;3;F;1;9;1;84680325;35512;99220578;37107;80964886;32339;96466891;33434
2020;6;1119;3;F;1;9;3;;;;;;;;
2020;6;1132;3;F;1;9;2;23027457;5152;38162266;5462;22663019;4828;36661159;5098
2020;6;1143;3;F;1;9;1;400625;193;428268;193;400625;194;428268;194
2020;6;1842;3;F;1;9;3;304059;107;325350;107;270928;96;290622;96
2020;6;1149;3;F;1;9;1;;;;;;;;
2020;6;1701;3;F;1;9;3;74561;32;134478;32;;;;
2020;6;1153;3;F;1;9;1;4445543;1678;5520159;1734;1472742;656;2055442;660
2020;6;1155;3;F;1;9;2;685658;380;795744;380;1126050;522;1245023;522
2020;6;1158;3;F;1;9;1;8016724;2011;9127445;2021;3578928;1552;4295208;1552
2020;6;1159;3;F;1;9;1;1369240;586;1564652;590;1074089;465;1221941;468
2020;6;1164;3;F;1;9;1;11252751;4521;12963196;4659;6108818;2225;7082436;2291
2020;6;1165;3;F;1;9;1;214346;77;254458;77;;;;
2020;6;1185;3;F;1;9;1;7248190;2942;8038993;3000;7875718;3117;8828600;3222
2020;6;1210;3;F;1;9;3;;;;;;;;
2020;6;1824;3;F;1;9;2;276958;103;292301;103;276958;103;292301;103
2020;6;1231;3;F;1;9;1;231250;80;257376;80;231250;80;257376;80
2020;6;1853;3;F;1;9;2;678357;194;711326;194;;;;
2020;6;1826;3;F;1;9;2;8547349;3150;11294548;3478;5816565;2115;7638230;2373
2020;6;1281;3;F;1;9;3;2447483;970;4034931;970;2488765;970;4047870;970
2020;6;1314;3;F;1;9;1;1417203;387;1526446;396;711682;187;761447;190
2020;6;1323;3;F;1;9;2;237916;144;336674;170;225464;136;304911;165
2020;6;1326;3;F;1;9;1;15868639;5058;17092550;5129;12448025;4011;13348708;4070
2020;6;1327;3;F;1;9;1;114343223;49465;135733349;51638;100761626;41560;121220955;44305
2020;6;1329;3;F;1;9;1;19699942;7469;22220039;7772;1500520;484;1696859;484
2020;6;1349;3;F;1;9;3;8957496;3989;10004524;3999;8734426;3883;9633827;3893
2020;6;1354;3;F;1;9;1;6698245;3077;8002417;3222;435560;194;603339;230
2020;6;1868;3;F;1;9;1;2367200;1432;2820592;1534;1856931;1124;2202788;1217
2020;6;1380;3;F;1;9;1;8707884;2930;9373684;2982;14891290;4819;15926764;4846
2020;6;1381;3;F;1;9;1;5507966;1800;7109881;1957;1501430;542;1914228;598
2020;6;1389;3;F;1;9;3;1151764;388;1295367;417;1295031;388;1406315;404
2020;6;1409;3;F;1;9;1;1028735;381;1241571;406;436250;194;475920;194
2020;6;1410;3;F;1;9;1;15384793;5655;17489098;5723;15384793;5655;17489098;5723
2020;6;1411;3;F;1;9;2;200313;90;213454;90;200313;90;213333;90
2020;6;1896;3;F;1;9;2;518478;194;707400;200;579202;194;921678;268
2020;6;1422;3;F;1;9;1;;;;;;;;
2020;6;1425;3;F;1;9;1;3722276;1679;4147064;1689;2919909;1331;3238718;1340
2020;6;1426;3;F;1;9;1;;;;;;;;
2020;6;1454;3;F;1;9;1;3178344;1164;3576231;1164;490638;193;532864;193
2020;6;1695;3;F;1;9;2;281047;96;702283;132;266338;93;636027;128
2020;6;1520;3;F;1;9;3;10509958;2238;12271038;2238;10509958;2238;12271038;2238
