Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2020;3;1;3;O;1;1;1;8104487;378;8155072;378;8104487;378;8155304;378
2020;3;1;3;O;1;2;1;99901452;7749;107547018;8316;100678046;7749;105976372;8074
2020;3;1;3;O;1;3;1;16723170;2268;18758684;2537;16904340;2268;19207066;2571
2020;3;1;3;O;1;4;1;73874601;12474;84729630;14556;74737188;12474;84390206;14279
2020;3;1;3;O;1;5;1;;;;;;;;
2020;3;1;3;O;1;6;1;;;;;;;;
2020;3;1;3;O;1;7;1;1000841;189;1260261;253;1009733;189;1293603;259
2020;3;1;3;O;1;8;1;120703326;19089;133883552;21494;119949919;18711;131763084;20845
2020;3;1;3;O;1;9;1;;;;;;;;
2020;3;1;3;O;2;1;1;37445592;1890;38159635;1906;38064951;1890;39065992;1927
2020;3;1;3;O;2;2;1;66106436;5292;70777887;5623;65479279;5292;69142027;5535
2020;3;1;3;O;2;3;1;23403983;3024;27005261;3519;23580216;3024;26811038;3456
2020;3;1;3;O;2;4;1;54892780;9828;62954786;11460;54898199;9828;62436733;11335
2020;3;1;3;O;2;5;1;;;;;;;;
2020;3;1;3;O;2;6;1;;;;;;;;
2020;3;1;3;O;2;7;1;49650851;9639;57713105;11494;49951504;9639;58569833;11600
2020;3;1;3;O;2;8;1;215180220;34965;243641198;41471;218348679;35343;246378751;41668
2020;3;1;3;O;2;9;1;;;;;;;;
2020;3;2;3;G;1;1;2;2447465;205;2536860;205;2450905;204;2542520;204
2020;3;2;3;G;1;2;2;4593558;581;5428276;604;4593558;581;5428276;604
2020;3;2;3;G;1;3;2;12476350;3006;15175973;3066;11752957;2832;14304570;2892
2020;3;2;3;G;1;4;2;2998026;1161;3838049;1161;2998026;1161;3838049;1161
2020;3;2;3;G;1;5;2;;;;;;;;
2020;3;2;3;G;1;6;2;;;;;;;;
2020;3;2;3;G;1;7;2;27042586;11326;36827228;11626;24608492;10307;33548237;10607
2020;3;2;3;G;1;8;2;;;;;;;;
2020;3;2;3;G;1;9;2;1816993;774;2507109;814;1816993;774;2507109;814
2020;3;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2020;3;2;3;G;2;2;2;1071003;194;1239116;194;1071003;194;1239116;194
2020;3;2;3;G;2;3;2;1866206;387;2654932;461;1866206;387;2654932;461
2020;3;2;3;G;2;4;2;457973;194;510505;194;457973;194;510505;194
2020;3;2;3;G;2;5;2;422374;215;472597;220;430033;218;488260;221
2020;3;2;3;G;2;6;2;;;;;;;;
2020;3;2;3;G;2;7;2;37397499;13842;48856566;14148;31973943;11862;42275728;12168
2020;3;2;3;G;2;8;2;2493606;581;3392483;595;2493606;581;3392483;595
2020;3;2;3;G;2;9;2;3916065;1658;5511974;1688;3960910;1677;5426522;1707
2020;3;3;3;C;1;1;13;;;;;;;;
2020;3;3;3;C;1;2;13;8146840;1161;9247562;1161;8378522;1228;9629317;1228
2020;3;3;3;C;1;3;13;3245315;968;3686471;968;3065391;918;3489659;918
2020;3;3;3;C;1;4;13;4482455;1161;5129725;1161;4264378;1096;4924488;1099
2020;3;3;3;C;1;5;13;;0;;0;;;;
2020;3;3;3;C;1;6;13;;0;;0;;;;
2020;3;3;3;C;1;7;13;;0;;0;;;;
2020;3;3;3;C;1;8;13;;0;;0;;;;
2020;3;3;3;C;1;9;13;966056;387;1135032;399;1072881;408;1243320;416
2020;3;3;3;C;2;1;13;19689635;581;20559104;581;19387461;569;20430513;569
2020;3;3;3;C;2;2;13;30904632;3483;34896307;3560;31063398;3450;35055118;3516
2020;3;3;3;C;2;3;13;31248667;6465;34836061;6532;31879989;6549;35211238;6549
2020;3;3;3;C;2;4;13;10501693;2903;12218460;2954;10426014;2921;12111961;2951
2020;3;3;3;C;2;5;13;0;0;0;0;;;;
2020;3;3;3;C;2;6;13;20160125;2386;21707491;2386;21584645;2414;23063681;2414
2020;3;3;3;C;2;7;13;17872735;5612;22023657;5924;18289113;5481;22538883;5794
2020;3;3;3;C;2;8;13;16178197;5612;19496373;5795;15213471;5571;18352315;5706
2020;3;3;3;C;2;9;13;101872919;26510;122926184;26823;106369204;26776;129619865;27059
2020;3;4;3;P;1;1;1;79076061;5108;81237431;5108;79196566;5108;81983424;5108
2020;3;4;3;P;1;2;1;478698031;54619;497947178;54619;474356744;54971;501338320;55056
2020;3;4;3;P;1;3;1;39564110;9288;42801272;9288;41266278;9288;47008391;9444
2020;3;4;3;P;1;4;1;101974529;26488;110106005;26514;105814117;26488;118757978;26790
2020;3;4;3;P;1;5;1;;;;;;;;
2020;3;4;3;P;1;6;1;;;;;;;;
2020;3;4;3;P;1;7;1;;;;;;;;
2020;3;4;3;P;1;8;1;;;;;;;;
