Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division; RO_t_1 ; HO_t_1 ; C_t_1 ; HT_t_1 ; RO ; HO ; C ; HT 
2020;5;984;2;G;1;1;1;5885669;183;5890295;183;6364684;201;6455938;201
2020;5;984;2;G;1;2;1;57230466;3853;60882979;3854;54070777;3746;57287202;3755
2020;5;984;2;G;1;3;1;;;;;;;;
2020;5;984;2;G;1;4;1;;;;;;;;
2020;5;984;2;G;1;5;1;;;;;;;;
2020;5;984;2;G;1;6;1;;;;;;;;
2020;5;984;2;G;1;7;1;;;;;;;;
2020;5;984;2;G;1;8;1;;;;;;;;
2020;5;984;2;G;1;9;1;;;;;;;;
2020;5;984;2;G;2;1;1;83317768;722;83625449;722;84074780;727;84496198;727
2020;5;984;2;G;2;2;1;245945762;12244;259713735;12384;189029266;11904;202043795;12040
2020;5;984;2;G;2;3;1;;;;;;;;
2020;5;984;2;G;2;4;1;;;;;;;;
2020;5;984;2;G;2;5;1;;;;;;;;
2020;5;984;2;G;2;6;1;;;;;;;;
2020;5;984;2;G;2;7;1;994316;288;1114627;288;810136;205;922076;206
2020;5;984;2;G;2;8;1;;;;;;;;
2020;5;984;2;G;2;9;1;;;;;;;;
2020;5;952;3;B;1;1;1;302735269;7014;309640382;7014;291419574;6834;298273518;6834
2020;5;952;3;B;1;2;1;881492489;41281;917459218;41281;891691869;41642;928497111;41642
2020;5;952;3;B;1;3;1;10142303;722;10895009;722;11779917;903;12390343;903
2020;5;952;3;B;1;4;1;12085572;729;12711164;729;12096395;729;12699788;729
2020;5;952;3;B;1;5;1;;;;;;;;
2020;5;952;3;B;1;6;1;;;;;;;;
2020;5;952;3;B;1;7;1;256231956;24923;285433675;24923;255853936;26548;271371683;26548
2020;5;952;3;B;1;8;1;383625515;40454;421965829;40454;350051498;39010;371068797;39010
2020;5;952;3;B;1;9;1;;;;;;;;
2020;5;952;3;B;2;1;1;1162392243;22779;1181233557;22779;1126802452;22779;1145790229;22779
2020;5;952;3;B;2;2;1;3038433855;116209;3131211527;116209;2961224720;115848;3053943947;115848
2020;5;952;3;B;2;3;1;344330478;23847;362787083;23847;350037545;24750;364770137;24750
2020;5;952;3;B;2;4;1;3166585;188;3437915;188;3166585;188;3427501;188
2020;5;952;3;B;2;5;1;;;;;;;;
2020;5;952;3;B;2;6;1;;;;;;;;
2020;5;952;3;B;2;7;1;1964276844;146467;2101735697;146467;1833876891;145564;1922746320;145564
2020;5;952;3;B;2;8;1;3056715313;225750;3243132042;225750;2876589526;225028;3004291732;225028
2020;5;952;3;B;2;9;1;2518157;181;2747291;181;2540119;181;2680295;181
2020;5;995;3;M;1;1;3;10911166;774;13636603;774;11279598;774;14016247;774
2020;5;995;3;M;1;2;3;173657062;27367;196842255;27404;182410553;27837;206953981;27860
2020;5;995;3;M;1;3;3;69641605;14756;78975026;14823;69148702;13083;77842631;13149
2020;5;995;3;M;1;4;3;22794672;5836;25805851;5919;24321374;5304;27109207;5348
2020;5;995;3;M;1;5;3;;;;;;;;
2020;5;995;3;M;1;6;3;;;;;;;;
2020;5;995;3;M;1;7;3;29772481;8739;34244715;8779;27060657;7932;30804773;7940
2020;5;995;3;M;1;8;3;1636635;387;1926789;387;1406152;387;1664720;387
2020;5;995;3;M;1;9;3;3150496;1087;3504709;1087;3185965;967;3500695;967
2020;5;995;3;M;2;1;3;45858449;2709;55593149;2709;45976339;2709;55897139;2709
2020;5;995;3;M;2;2;3;392830158;49778;457781657;50154;380617833;47125;440887279;47506
2020;5;995;3;M;2;3;3;234717545;43327;274380796;43847;235181032;40849;275495542;41490
2020;5;995;3;M;2;4;3;43286471;9455;48806585;9562;37493000;8183;42315583;8275
2020;5;995;3;M;2;5;3;;;;;;;;
2020;5;995;3;M;2;6;3;;;;;;;;
2020;5;995;3;M;2;7;3;232336905;57688;266373500;57950;214571804;52358;244951484;52526
2020;5;995;3;M;2;8;3;27744372;6224;32221131;6281;26432078;5893;30796509;5967
2020;5;995;3;M;2;9;3;;;;;3152150;774;3692257;774
2020;5;997;1;G;1;1;3;;;;;;;;
2020;5;997;1;G;1;2;3;;;;;;;;
2020;5;997;1;G;1;3;3;;;;;;;;
2020;5;997;1;G;1;4;3;638500;194;813926;194;638500;194;813926;194
2020;5;997;1;G;1;5;3;;;;;;;;
2020;5;997;1;G;1;6;3;1320750;582;1473759;582;880500;388;982508;388
2020;5;997;1;G;1;7;3;1032893;299;1195609;299;1027846;297;1189213;297
2020;5;997;1;G;1;8;3;;;;;;;;
2020;5;997;1;G;1;9;3;;;;;;;;
2020;5;997;1;G;2;1;3;;;;;;;;
2020;5;997;1;G;2;2;3;;;;;;;;
2020;5;997;1;G;2;3;3;;;;;;;;
2020;5;997;1;G;2;4;3;1324875;582;1586284;582;883250;388;1057523;388
2020;5;997;1;G;2;5;3;;;;;;;;
2020;5;997;1;G;2;6;3;1319667;724;1605658;724;1973820;724;2260846;724
2020;5;997;1;G;2;7;3;243883;147;277799;167;243883;147;277799;167
2020;5;997;1;G;2;8;3;;;;;;;;
2020;5;997;1;G;2;9;3;;;;;;;;
2020;5;1762;3;P;1;1;1;102709065;5103;105817140;5103;103242746;5103;106148317;5103
2020;5;1762;3;P;1;2;1;1181498980;103457;1224457746;103567;1187057495;104214;1228021340;104214
2020;5;1762;3;P;1;3;1;64786545;17816;68992709;17817;64831108;17816;68800513;17816
2020;5;1762;3;P;1;4;1;259758399;67051;280210735;67303;257945144;66673;275933249;66673
2020;5;1762;3;P;1;5;1;;;;;;;;
2020;5;1762;3;P;1;6;1;;;;;;;;
2020;5;1762;3;P;1;7;1;;;;;;;;
2020;5;1762;3;P;1;8;1;;;;;;;;
2020;5;1762;3;P;1;9;1;60722730;23058;64104130;23058;60722730;23058;64054606;23058
2020;5;1762;3;P;2;1;1;134057314;5103;138968285;5103;135157279;5292;140152550;5292
2020;5;1762;3;P;2;2;1;1905681078;133181;1963701657;133329;1910010116;134033;1963090227;134051
2020;5;1762;3;P;2;3;1;113821629;29818;122478407;29905;113296931;29629;122348929;29857
2020;5;1762;3;P;2;4;1;110095167;25657;119030930;25831;109104060;25657;116539563;25657
2020;5;1762;3;P;2;5;1;;;;;;;;
2020;5;1762;3;P;2;6;1;;;;;;;;
2020;5;1762;3;P;2;7;1;;;;;;;;
2020;5;1762;3;P;2;8;1;;;;;;;;
2020;5;1762;3;P;2;9;1;73621151;23154;79841163;23164;73621151;23154;79514573;23154
2020;5;1118;3;P;1;1;1;570938054;34885;603007563;34916;576410656;34448;607893614;34448
2020;5;1118;3;P;1;2;1;4541716999;574724;4904510682;576185;4436746171;586839;4849909444;591285
2020;5;1118;3;P;1;3;1;1057365665;206432;1212245981;207310;970849621;192642;1149184276;196777
2020;5;1118;3;P;1;4;1;1152425615;236446;1323386876;236719;1103431785;230918;1275931636;231461
2020;5;1118;3;P;1;5;1;37718335;13201;47309214;13254;37317938;13213;46584017;13228
2020;5;1118;3;P;1;6;1;;;;;;;;
2020;5;1118;3;P;1;7;1;136326883;30870;159452967;31035;134526377;30709;156031842;30774
2020;5;1118;3;P;1;8;1;;;;;;;;
2020;5;1118;3;P;1;9;1;58981365;17439;70011888;17483;49000875;16196;63442829;16746
2020;5;1118;3;P;2;1;1;622806176;30985;648840253;30985;647202514;30978;673887355;30978
2020;5;1118;3;P;2;2;1;5476088608;594075;5736326728;594443;5358897116;621733;5623582550;622621
2020;5;1118;3;P;2;3;1;530367729;94632;608866361;95707;523998475;95195;605068178;96499
2020;5;1118;3;P;2;4;1;337948849;77738;397245450;78439;317988395;75064;374067977;75502
2020;5;1118;3;P;2;5;1;18893841;4206;21469488;4208;14406014;3562;17615480;3722
2020;5;1118;3;P;2;6;1;;;;;;;;
2020;5;1118;3;P;2;7;1;98008217;22192;115835302;22435;100402105;22927;118123193;23107
2020;5;1118;3;P;2;8;1;31723129;7569;38828885;7764;30450044;7376;36062842;7376
2020;5;1118;3;P;2;9;1;45465141;13231;53112966;13261;42040485;12213;50896322;12433
2020;5;1310;1;N;1;1;6;;;;;;;;
2020;5;1310;1;N;1;2;6;1136871;194;1288350;203;1186865;193;1505655;220
2020;5;1310;1;N;1;3;6;;;;;;;;
2020;5;1310;1;N;1;4;6;1486118;388;1635086;397;1535382;387;1850040;414
2020;5;1310;1;N;1;5;6;;;;;;;;
2020;5;1310;1;N;1;6;6;;;;;;;;
2020;5;1310;1;N;1;7;6;3085319;1164;3423379;1210;3800105;1386;4479535;1540
2020;5;1310;1;N;1;8;6;;;;;;;;
2020;5;1310;1;N;1;9;6;;;;;;;;
2020;5;1310;1;N;2;1;6;2187711;194;2340851;194;2187711;193;2623726;193
2020;5;1310;1;N;2;2;6;1826865;194;1954746;194;1587156;144;1672168;144
2020;5;1310;1;N;2;3;6;;;;;;;;
2020;5;1310;1;N;2;4;6;1890323;291;2022646;291;4075453;580;4975969;607
2020;5;1310;1;N;2;5;6;;;;;;;;
2020;5;1310;1;N;2;6;6;;;;;;;;
