Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2020;11;812;1;R;1;4;4;631876;169;869270;177;710906;181;959698;195
2020;11;812;1;R;2;3;4;945000;69;1030618;69;945000;69;1030618;69
2020;11;370;1;R;1;4;4;1862446;421;2123231;421;;;;
2020;11;370;1;R;2;3;4;;;;;;;;
2020;11;936;1;R;1;4;2;3287067;826;3550670;826;2986000;774;3780012;774
2020;11;936;1;R;2;3;2;1208000;194;1272265;194;1208000;194;1387774;194
2020;11;939;1;R;1;4;4;;;;;;;;
2020;11;939;1;R;2;3;4;2323094;310;2533209;310;2661709;388;2901207;388
2020;11;1245;1;R;1;4;4;684212;360;703233;360;461707;240;479989;240
2020;11;1245;1;R;2;3;4;569067;193;584887;193;574493;191;587707;191
2020;11;1453;1;R;1;4;4;;;;;;;;
2020;11;1453;1;R;2;3;4;;;;;;;;
2020;11;1478;1;R;1;4;2;;;;;;;;
2020;11;1478;1;R;2;3;2;;;;;;;;
2020;11;1547;1;R;1;4;4;5026995;1045;6072800;1530;5420679;1106;6510292;1622
2020;11;1547;1;R;2;3;4;;;;;;;;
2020;11;1556;1;R;1;4;4;618284;189;671284;189;185485;57;208460;57
2020;11;1556;1;R;2;3;4;;;;;;;;
2020;11;1611;1;R;1;4;4;829143;260;854111;380;894076;260;915642;380
2020;11;1611;1;R;2;3;4;728450;281;759569;411;735396;278;763231;407
2020;11;61;1;R;1;4;4;;;;;;;;
2020;11;61;1;R;2;3;4;;;;;;;;
2020;11;67;1;R;1;4;4;440695;151;461672;151;;;;
2020;11;67;1;R;2;3;4;;;;;;;;
2020;11;139;1;R;1;4;1;591033;130;601909;150;591033;130;601329;150
2020;11;139;1;R;2;3;1;321466;160;377624;197;324317;158;381591;195
2020;11;191;1;R;1;4;4;;;;;;;;
2020;11;191;1;R;2;3;4;;;;;;;;
2020;11;320;1;R;1;4;1;;;;;;;;
2020;11;320;1;R;2;3;1;;;;;;;;
2020;11;354;1;R;1;4;1;819938;337;829297;337;762184;320;869932;320
2020;11;354;1;R;2;3;1;;;;;;;;
2020;11;357;1;R;1;4;4;517175;194;565825;194;1709995;505;1783010;505
2020;11;357;1;R;2;3;4;;;;;;;;
2020;11;358;1;R;1;4;4;;;;;;;;
2020;11;358;1;R;2;3;4;;;;;;;;
2020;11;1683;1;R;1;4;1;;;;;;;;
2020;11;1683;1;R;2;3;1;;;;;;;;
2020;11;368;1;R;1;4;4;438750;194;458055;194;438750;194;458055;194
2020;11;368;1;R;2;3;4;;;;;;;;
2020;11;365;1;R;1;4;4;821147;194;844140;194;821147;194;844140;194
2020;11;365;1;R;2;3;4;1812399;582;1906644;582;1812399;582;1906644;582
2020;11;1736;1;R;1;4;4;;;;;;;;
2020;11;1736;1;R;2;3;4;;;;;;;;
2020;11;619;1;R;1;4;4;2167672;581;2656351;581;2167672;581;2674102;581
2020;11;619;1;R;2;3;4;4166934;1284;5241799;1284;3951633;1161;4929099;1161
2020;11;628;1;R;1;4;4;;;;;;;;
2020;11;628;1;R;2;3;4;;;;;;;;
2020;11;666;1;R;1;4;4;;;;;;;;
2020;11;666;1;R;2;3;4;2588906;194;2715245;194;2618499;194;2746282;194
2020;11;669;1;R;1;4;1;;;;;;;;
2020;11;669;1;R;2;3;1;2679831;488;3657161;682;2703594;483;3695579;675
2020;11;671;1;R;1;4;4;694416;335;723806;335;816250;387;861148;387
2020;11;671;1;R;2;3;4;;;;;;;;
2020;11;1678;1;R;1;4;4;548825;165;578482;165;591806;175;620157;175
2020;11;1678;1;R;2;3;4;;;;;;;;
2020;11;776;1;R;1;4;4;;;;;;;;
2020;11;776;1;R;2;3;4;326500;194;340773;194;326500;194;341073;194
2020;11;800;1;R;1;4;4;3701199;1323;4022280;1323;3701199;1323;4023186;1323
2020;11;800;1;R;2;3;4;3873249;1890;4202257;1890;3873249;1890;4202257;1890
2020;11;821;1;R;1;4;4;2048996;581;2192486;581;2056653;581;2200630;581
2020;11;821;1;R;2;3;4;;;;;;;;
2020;11;828;1;R;1;4;4;;;;;;;;
2020;11;828;1;R;2;3;4;16906743;6385;18587811;6385;;;;
2020;11;856;1;R;1;4;4;441500;194;495137;194;476076;205;530807;206
2020;11;856;1;R;2;3;4;761589;194;802106;194;;;;
2020;11;875;1;R;1;4;4;;;;;;;;
