Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2020;9;1391;3;I;1;9;2;566439992;229262;737762102;237295;568467717;228336;720668915;235685
2020;9;1391;3;I;2;2;2;51660515;5321;57776882;5321;52643804;5418;58910471;5418
2020;9;1391;3;I;2;3;2;80863196;13486;114731054;13761;77887056;12928;91295704;13167
2020;9;1391;3;I;2;5;2;1962668;194;2190860;194;1962671;194;2197351;194
2020;9;1395;3;I;1;9;2;10396897;4328;12091367;4356;11373945;4650;13254201;4724
2020;9;1395;3;I;2;2;2;3396758;639;3901498;639;3314241;632;3821114;632
2020;9;1395;3;I;2;3;2;1799230;388;1967185;388;1799230;388;1967185;388
2020;9;1395;3;I;2;5;2;1357730;388;1508444;389;1357730;388;1510002;388
2020;9;1595;3;I;1;9;2;1797152;774;2353330;836;2733129;910;3643287;913
2020;9;1595;3;I;2;2;2;4681900;581;5140929;581;5904118;581;6449608;581
2020;9;1595;3;I;2;3;2;14538311;3115;17148897;3253;20519026;3283;24716919;3409
2020;9;1595;3;I;2;5;2;4581431;1471;5667292;1582;4461567;1387;5916966;1422
2020;9;8;3;I;1;9;1;806859;387;877691;387;806859;387;925561;387
2020;9;8;3;I;2;2;1;3024287;387;3213606;387;3024287;387;3319465;387
2020;9;8;3;I;2;3;1;;;;;;;;
2020;9;8;3;I;2;5;1;245984;114;265038;115;252950;117;276940;119
2020;9;231;3;I;1;9;1;282400;194;307986;194;292257;176;320585;193
2020;9;231;3;I;2;2;1;25308068;2709;27352185;2709;27104245;2880;29562737;2880
2020;9;231;3;I;2;3;1;12867111;2993;13953127;2993;13175137;3022;14343601;3022
2020;9;231;3;I;2;5;1;1400778;387;1515649;387;1440448;397;1583710;400
2020;9;1729;3;I;1;9;1;1060304;581;1187065;581;;;;
2020;9;1729;3;I;2;2;1;17059378;1355;17859519;1355;;;;
2020;9;1729;3;I;2;3;1;11051905;2709;11595610;2709;;;;
2020;9;1729;3;I;2;5;1;2963520;774;3141184;774;;;;
2020;9;241;3;I;1;9;2;;;;;;;;
2020;9;241;3;I;2;2;2;58678900;4370;61495487;4370;58678900;4370;61495487;4370
2020;9;241;3;I;2;3;2;53789002;11970;56610874;11970;53789002;11970;56610874;11970
2020;9;241;3;I;2;5;2;190960000;98560;205854880;101517;298200000;159040;319968600;163811
2020;9;242;3;I;1;9;2;;;;;;;;
2020;9;242;3;I;2;2;2;;;;;;;;
2020;9;242;3;I;2;3;2;;;;;;;;
2020;9;242;3;I;2;5;2;;;;;;;;
2020;9;244;3;I;1;9;2;400552453;110845;427575773;111128;444977396;109429;472078853;109638
2020;9;244;3;I;2;2;2;200327429;15287;208955495;15287;220290962;16496;230283058;16499
2020;9;244;3;I;2;3;2;149584304;16635;157506289;16671;162783396;17612;171219192;17618
2020;9;244;3;I;2;5;2;269395346;67240;286659612;67458;300858981;70267;318777877;70392
2020;9;255;3;I;1;9;1;;;;;;;;
2020;9;255;3;I;2;2;1;;;;;;;;
2020;9;255;3;I;2;3;1;;;;;;;;
2020;9;255;3;I;2;5;1;;;;;;;;
