Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;4;380;3;G;1;6;2;;;;;;;;
2021;4;380;3;G;2;6;2;;;;;;;;
2021;4;1089;3;G;1;6;2;20541554;5621;22307915;5638;2278076;742;2613066;742
2021;4;1089;3;G;2;6;2;7196131;2258;7870180;2260;1092097;433;1189686;433
2021;4;1134;3;G;1;6;3;113370727;27440;131099594;28183;;;;
2021;4;1134;3;G;2;6;3;279418;88;300562;88;;;;
2021;4;1163;3;G;1;6;2;;;;;;;;
2021;4;1163;3;G;2;6;2;;;;;;;;
2021;4;1334;3;G;1;6;3;;;;;;;;
2021;4;1334;3;G;2;6;3;;;;;;;;
2021;4;1751;3;G;1;6;2;4499820;1161;6245213;1161;4804368;1302;6524982;1302
2021;4;1751;3;G;2;6;2;;;;;;;;
2021;4;1398;3;G;1;6;2;;;;;;;;
2021;4;1398;3;G;2;6;2;;;;;;;;
2021;4;1471;3;G;1;6;2;;;;;;;;
2021;4;1471;3;G;2;6;2;;;;;;;;
2021;4;1854;3;G;1;6;2;;;;;;;;
2021;4;1854;3;G;2;6;2;;;;;;;;
2021;4;1554;3;G;1;6;2;34046448;4457;37598196;4488;28884725;4380;32030926;4394
2021;4;1554;3;G;2;6;2;217169245;18155;232945108;18156;205766945;18438;220585799;18438
2021;4;1862;3;G;1;6;2;4518088;964;5388164;982;3673983;802;4510999;819
2021;4;1862;3;G;2;6;2;13967607;2652;16681058;2652;14892744;2575;17415064;2575
2021;4;1585;3;G;1;6;2;;;;;;;;
2021;4;1585;3;G;2;6;2;;;;;;;;
2021;4;1592;3;G;1;6;2;;;;;;;;
2021;4;1592;3;G;2;6;2;;;;;;;;
2021;4;164;3;G;1;6;2;444376;18;595141;18;824233;123;1001849;123
2021;4;164;3;G;2;6;2;1245798;388;1546361;388;1256866;388;1575069;396
2021;4;166;3;G;1;6;2;9066962;2129;9679311;2129;8750227;1935;9229963;1935
2021;4;166;3;G;2;6;2;47526170;10836;50201260;10836;47436153;10836;49812234;10836
2021;4;181;3;G;1;6;3;7085301;2496;8488042;2496;5769098;2153;6942550;2153
2021;4;181;3;G;2;6;3;39267127;12128;46169146;12148;32984031;12164;39776390;12175
2021;4;182;3;G;1;6;2;10342509;1940;11858696;1952;11606766;1940;12961915;1941
2021;4;182;3;G;2;6;2;3655076;582;4094413;582;5889189;776;7430628;776
2021;4;1656;3;G;1;6;2;1586188;387;1748458;387;;;;
2021;4;1656;3;G;2;6;2;2452223;581;2736153;581;120426442;25703;126542150;25703
2021;4;199;3;G;1;6;2;18659110;3228;23755901;3289;20532706;3620;26026497;3660
2021;4;199;3;G;2;6;2;234507014;39407;285632351;39471;267005244;44440;329749562;44508
2021;4;201;3;G;1;6;3;;;;;;;;
2021;4;201;3;G;2;6;3;;;;;;;;
2021;4;214;3;G;1;6;1;19800995;776;20284150;776;16027908;776;16471177;776
2021;4;214;3;G;2;6;1;127306746;8536;134864453;8536;115355655;8516;123191624;8521
2021;4;283;3;G;1;6;2;20862720;4832;23564756;4850;17473740;4581;19721626;4592
2021;4;283;3;G;2;6;2;75973925;7940;80022997;7977;88668084;9256;93159657;9267
2021;4;287;3;G;1;6;3;491073504;148596;564866178;151361;193257976;63388;231778675;64042
2021;4;287;3;G;2;6;3;165966457;41735;187773752;42486;56686733;16949;67001486;17089
2021;4;312;3;G;1;6;2;123359138;26947;148495412;27264;;;;
2021;4;312;3;G;2;6;2;189499310;37535;226247391;37803;;;;
2021;4;375;3;G;1;6;2;;;;;;;;
2021;4;375;3;G;2;6;2;;;;;;;;
2021;4;394;3;G;1;6;3;45239774;10010;51930218;10132;16579930;3750;18293061;3750
2021;4;394;3;G;2;6;3;27058425;3729;29982615;3764;8455891;1700;9288577;1700
2021;4;574;3;G;1;6;2;37455796;5914;46963800;5914;47094387;6437;57656926;6437
2021;4;574;3;G;2;6;2;276493131;45091;348497907;45091;344516093;47717;424585097;47717
2021;4;594;3;G;1;6;3;14590305;5474;17397947;5930;15208194;5737;18599731;6358
2021;4;594;3;G;2;6;3;20758789;7319;25464027;8056;21518593;7737;26955319;8725
2021;4;1835;3;G;1;6;2;;;;;;;;
2021;4;1835;3;G;2;6;2;;;;;;;;
2021;4;614;3;G;1;6;3;35292175;10946;37385917;11140;9675480;3018;10910782;3024
2021;4;614;3;G;2;6;3;14667522;4140;15278814;4212;5586944;2747;5879844;2747
2021;4;1719;3;G;1;6;3;334562522;94881;407730545;95596;78706653;17898;100043008;17983
2021;4;1719;3;G;2;6;3;165286028;41816;196034165;42093;46067281;8864;53429523;8897
2021;4;682;3;G;1;6;3;;;;;;;;
2021;4;682;3;G;2;6;3;;;;;;;;
2021;4;1754;3;G;1;6;3;414218986;141927;481412353;142310;409388553;136536;472613933;137056
2021;4;1754;3;G;2;6;3;20346319;7520;23760063;7536;19219615;7236;22380317;7249
2021;4;683;3;G;1;6;2;2802065;387;3149721;387;1604311;194;1801770;194
2021;4;683;3;G;2;6;2;21941027;3070;24786477;3070;17305905;2258;19561742;2258
2021;4;1739;3;G;1;6;3;151244206;52955;173217392;53262;64592085;23868;72604120;23942
2021;4;1739;3;G;2;6;3;22949286;8114;25961526;8167;11001614;4128;11918391;4134
2021;4;914;3;G;1;6;2;23920612;582;24058771;582;28490551;582;28629178;582
2021;4;914;3;G;2;6;2;156864367;3298;157780600;3298;165003791;3162;165905475;3162
2021;4;917;3;G;1;6;2;20679669;9980;29890089;10757;21003371;10320;29562246;10994
2021;4;917;3;G;2;6;2;39200622;17203;56249925;18848;37044213;16337;51704673;17533
2021;4;1863;3;G;1;6;2;;;;;;;;
2021;4;1863;3;G;2;6;2;;;;;;;;
2021;4;919;3;G;1;6;2;20381804;1940;22772144;1940;23000609;2090;26136210;2090
2021;4;919;3;G;2;6;2;183696109;22904;207131209;22904;194489932;22975;227116996;22975
2021;4;932;3;G;1;6;2;186516272;41512;207751929;41512;160610301;40919;171457179;40919
2021;4;932;3;G;2;6;2;20598046;5248;23117370;5248;18269626;5145;19714587;5145
2021;4;934;3;G;1;6;1;;;;;;;;
2021;4;934;3;G;2;6;1;7616515;774;8797435;821;8100687;774;9198115;799
2021;4;973;3;G;1;6;2;;;;;;;;
2021;4;973;3;G;2;6;2;;;;;;;;
2021;4;1830;3;G;1;6;3;50830738;12701;59913622;13501;45219013;11746;54269326;12554
2021;4;1830;3;G;2;6;3;8835161;2084;9521638;2138;8421840;2043;9332678;2117
2021;4;979;3;G;1;6;2;;;;;;;;
2021;4;979;3;G;2;6;2;;;;;;;;
2021;4;985;3;G;1;6;3;58390493;22662;69039887;23889;59465273;23153;72894341;25500
2021;4;985;3;G;2;6;3;68130298;27042;79831923;29300;66539008;26383;79915518;29430
2021;4;1031;3;G;1;6;3;1004807181;245511;1248967003;246851;1046348819;261072;1350782296;265833
2021;4;1031;3;G;2;6;3;2264325491;559091;2754765562;561153;2360992067;585875;2971263571;592394
2021;4;1034;3;G;1;6;2;;;;;;;;
2021;4;1034;3;G;2;6;2;;;;;;;;
2021;4;1839;3;G;1;6;3;;;;;;;;
2021;4;1839;3;G;2;6;3;;;;;;;;
2021;4;1078;3;G;1;6;3;;;;;;;;
2021;4;1078;3;G;2;6;3;;;;;;;;
2021;4;1740;3;G;1;6;2;25528093;8331;38712384;10148;24867500;7937;37506090;9675
2021;4;1740;3;G;2;6;2;539624758;177675;790760051;216265;531291057;175149;779540617;213333
2021;4;1258;3;G;1;6;2;1313340;216;1418274;227;1099999;205;1186970;215
2021;4;1258;3;G;2;6;2;1141661;177;1249303;177;1332416;206;1454390;206
2021;4;1272;3;G;1;6;3;158774607;66848;194094987;66902;162715098;70524;194602512;70543
2021;4;1272;3;G;2;6;3;65310419;26419;80069118;26435;72133271;28883;86307569;28883
2021;4;1273;3;G;1;6;2;;;;;;;;
2021;4;1273;3;G;2;6;2;;;;;;;;
2021;4;1301;3;G;1;6;2;14722808;1752;16561325;1752;14537902;1733;16267998;1741
2021;4;1301;3;G;2;6;2;49150903;5930;55624362;5969;49169597;6014;55140263;6046
2021;4;1307;3;G;1;6;2;;;;;;;;
2021;4;1307;3;G;2;6;2;;;;;;;;
2021;4;1317;3;G;1;6;2;;;;;;;;
2021;4;1317;3;G;2;6;2;;;;;;;;
2021;4;1324;3;G;1;6;3;274032869;79494;341251756;83367;262975535;81255;343061515;88217
2021;4;1324;3;G;2;6;3;127938578;38598;153466630;39951;128118751;37706;161236048;40782
2021;4;1325;3;G;1;6;2;;;;;;;;
2021;4;1325;3;G;2;6;2;;;;;;;;
2021;4;1655;3;G;1;6;2;26711869;3217;27800712;3230;22372743;3050;23266748;3058
2021;4;1655;3;G;2;6;2;77801672;8177;83725208;8209;90801221;9532;97469627;9536
2021;4;1346;3;G;1;6;3;28667243;4225;33640651;4225;35036078;4038;39637731;4038
2021;4;1346;3;G;2;6;3;34220888;3012;38411285;3012;30854771;2928;34701263;2928
2021;4;1407;3;G;1;6;3;1721621734;518098;1946036794;521675;1472036388;506197;1679097787;507564
2021;4;1407;3;G;2;6;3;775229209;182141;864162790;183068;589843712;174986;683745336;175385
2021;4;1518;3;G;1;6;3;646175319;236316;779730644;248245;680275378;243336;831934576;260389
2021;4;1518;3;G;2;6;3;704242636;247860;815846023;258529;722734803;248261;862187465;267151
2021;4;1552;3;G;1;6;2;;;;;;;;
2021;4;1552;3;G;2;6;2;;;;;;;;
2021;4;1562;3;G;1;6;3;;;;;;;;
2021;4;1562;3;G;2;6;3;;;;;;;;
2021;4;1563;3;G;1;6;3;;;;;;;;
2021;4;1563;3;G;2;6;3;;;;;;;;
2021;4;1565;3;G;1;6;1;;;;;;;;
2021;4;1565;3;G;2;6;1;;;;;;;;
2021;4;1602;3;G;1;6;1;;;;;;;;
2021;4;1602;3;G;2;6;1;21674567;3252;22680981;3268;19832479;3245;20901362;3255
2021;4;1662;3;G;1;6;2;;;;;;;;
2021;4;1662;3;G;2;6;2;;;;;;;;
2021;4;1630;3;G;1;6;3;116644150;25113;133128811;25113;90442395;13349;100316238;13349
2021;4;1630;3;G;2;6;3;97947714;21418;111191091;21418;71435193;10131;78616489;10131
2021;4;2;3;G;1;6;2;;;;;;;;
2021;4;2;3;G;2;6;2;;;;;;;;
2021;4;50;3;G;1;6;3;;;;;;;;
2021;4;50;3;G;2;6;3;;;;;;;;
2021;4;53;3;G;1;6;3;20436360;5947;23440848;6005;1595004;477;1782097;477
2021;4;53;3;G;2;6;3;19262170;5762;21894750;5802;927653;265;1072683;271
2021;4;68;3;G;1;6;3;761186;180;869332;180;931186;180;1042014;180
2021;4;68;3;G;2;6;3;330672;144;388799;144;362711;161;425331;161
2021;4;75;3;G;1;6;2;;;;;;;;
2021;4;75;3;G;2;6;2;;;;;;;;
2021;4;82;3;G;1;6;2;21606682;2308;22765919;2314;18096852;2188;19053070;2191
2021;4;82;3;G;2;6;2;;;;;;;;
2021;4;215;3;G;1;6;3;;;;;;;;
2021;4;215;3;G;2;6;3;;;;;;;;
2021;4;235;3;G;1;6;2;;;;;;;;
2021;4;235;3;G;2;6;2;;;;;;;;
2021;4;258;3;G;1;6;3;65941624;21356;78080450;21553;15654096;3987;18774125;4080
2021;4;258;3;G;2;6;3;;;;;;;;
2021;4;270;3;G;1;6;2;678403080;14104;697048597;14104;533765474;13803;550411996;13803
2021;4;270;3;G;2;6;2;1617866;172;1928641;172;1617866;172;1810115;172
2021;4;310;3;G;1;6;3;153241614;43398;175874096;43917;164692573;42918;192735239;44621
2021;4;310;3;G;2;6;3;110143347;30092;139058663;30432;116254986;29571;153525399;30736
2021;4;314;3;G;1;6;3;43622751;16275;52173651;17725;45412603;16866;56491954;19076
2021;4;314;3;G;2;6;3;50951259;18186;61774188;19951;51747483;18310;64796816;20840
2021;4;1806;3;G;1;6;3;;;;;;;;
2021;4;1806;3;G;2;6;3;;;;;;;;
2021;4;329;3;G;1;6;2;28177218;12216;30798413;12216;;;;
2021;4;329;3;G;2;6;2;11448218;4502;12309403;4507;;;;
2021;4;333;3;G;1;6;2;;;;;;;;
2021;4;333;3;G;2;6;2;;;;;;;;
2021;4;335;3;G;1;6;2;;;;;;;;
2021;4;335;3;G;2;6;2;;;;;;;;
2021;4;1876;3;G;1;6;3;48066659;14897;53967783;14930;19934260;5388;25818177;5388
2021;4;1876;3;G;2;6;3;44645902;7260;48899324;7273;36654518;3647;40069492;3647
2021;4;443;3;G;1;6;3;64178594;12678;73446853;12794;31450831;6480;35516686;6519
2021;4;443;3;G;2;6;3;19685291;3225;22262938;3285;10196364;1688;11429795;1703
2021;4;458;3;G;1;6;3;289177899;124155;339156214;126830;299988863;123317;350959712;126518
2021;4;458;3;G;2;6;3;160278774;51345;183454696;52086;169005509;51623;192850419;52399
2021;4;486;3;G;1;6;2;3336903;520;3336903;520;2794850;493;2794850;493
2021;4;486;3;G;2;6;2;16773018;2097;17210676;2105;19575550;2445;20035999;2445
2021;4;488;3;G;1;6;3;1733756;647;2323937;647;1965282;675;2564345;675
2021;4;488;3;G;2;6;3;2225569;540;2989756;540;2519931;594;3305895;594
2021;4;489;3;G;1;6;2;;;;;;;;
2021;4;489;3;G;2;6;2;;;;;;;;
2021;4;1805;3;G;1;6;3;80374650;10647;87507010;10895;75850115;10565;82208505;10728
2021;4;1805;3;G;2;6;3;131402702;20881;142737490;21326;137822183;21005;148695298;21391
2021;4;493;3;G;1;6;1;;;;;;;;
2021;4;493;3;G;2;6;1;;;;;;;;
2021;4;1727;3;G;1;6;3;185917983;73400;221442020;76087;194001517;76339;243225240;82850
2021;4;1727;3;G;2;6;3;168927723;65620;200545426;68059;176194474;68414;219250176;74341
2021;4;495;3;G;1;6;1;;;;;;;;
2021;4;495;3;G;2;6;1;;;;;;;;
2021;4;1861;3;G;1;6;1;;;;;;;;
2021;4;1861;3;G;2;6;1;;;;;;;;
2021;4;496;3;G;1;6;3;2060733;621;2344553;621;1585382;498;1809335;514
2021;4;496;3;G;2;6;3;478271;194;553988;194;478271;194;553988;194
2021;4;1750;3;G;1;6;3;127040299;32147;154025114;32460;127040299;32147;154025114;32460
2021;4;1750;3;G;2;6;3;402742466;115894;492394838;116768;402742466;115894;492394838;116768
2021;4;850;3;G;1;6;3;;;;;;;;
2021;4;850;3;G;2;6;3;;;;;;;;
2021;4;497;3;G;1;6;2;26549885;2238;28309647;2251;26549885;2238;28309647;2251
2021;4;497;3;G;2;6;2;123052344;9358;130950906;9397;123052344;9358;130950906;9397
2021;4;1745;3;G;1;6;3;;;;;;;;
2021;4;1745;3;G;2;6;3;;;;;;;;
2021;4;528;3;G;1;6;2;;;;;;;;
2021;4;528;3;G;2;6;2;2908000;774;3526252;774;2908000;774;3526252;774
2021;4;532;3;G;1;6;3;77649971;17748;87152799;17776;46258592;8684;52733044;8694
2021;4;532;3;G;2;6;3;;;;;;;;
2021;4;534;3;G;1;6;2;;;;;;;;
2021;4;534;3;G;2;6;2;553325;260;624298;261;645778;303;726783;303
2021;4;1873;3;G;1;6;3;8254483;1835;9688839;1835;10830475;1791;12362279;1791
2021;4;1873;3;G;2;6;3;8232689;1260;9980253;1260;8153799;1260;9882569;1260
2021;4;620;3;G;1;6;2;;;;;;;;
2021;4;620;3;G;2;6;2;;;;;;;;
2021;4;1723;3;G;1;6;3;26227131;4975;27712231;4986;17696819;3445;18812808;3509
2021;4;1723;3;G;2;6;3;16185637;2716;17804872;2716;10439442;1935;11822979;2018
2021;4;655;3;G;1;6;3;193056114;54773;260467404;55360;44431037;9740;51647876;9789
2021;4;655;3;G;2;6;3;148630079;43218;204718063;43823;;;;
2021;4;1724;3;G;1;6;3;67854421;17046;80388863;17966;45784932;11803;54573023;12643
2021;4;1724;3;G;2;6;3;27391497;5118;30472928;5118;17667018;3646;20234955;3803
2021;4;714;3;G;1;6;3;;;;;;;;
2021;4;714;3;G;2;6;3;877146;366;1017241;381;888373;366;994009;368
2021;4;788;3;G;1;6;2;9103154;3444;9634164;3452;7624420;3265;8062947;3269
2021;4;788;3;G;2;6;2;8937656;3485;11117853;3498;10431011;4063;12942972;4063
2021;4;1756;3;G;1;6;3;514341;194;612444;194;514341;194;612444;194
2021;4;1756;3;G;2;6;3;;;;;;;;
2021;4;1820;3;G;1;6;3;402453468;155557;448010246;155617;438209068;167339;527633899;167446
2021;4;1820;3;G;2;6;3;28163943;8366;30832037;8381;29530099;8533;32206463;8538
2021;4;1651;3;G;1;6;3;834128844;238372;985911490;244172;842057147;237195;990436146;242697
2021;4;1651;3;G;2;6;3;748496427;188449;870757240;192995;761567807;186450;878294488;190847
2021;4;485;3;G;1;6;3;;;;;;;;
2021;4;485;3;G;2;6;3;;;;;;;;
2021;4;492;3;G;1;6;3;327737467;89234;361884800;90857;264162559;89143;294923382;89298
2021;4;492;3;G;2;6;3;245443096;49127;268232592;50196;177063810;47245;196442719;47293
2021;4;1542;3;G;1;6;3;407510783;138572;506718589;140467;402764781;136250;502434407;138834
2021;4;1542;3;G;2;6;3;135604000;41590;167525994;42003;137018833;40867;170879073;41718
2021;4;536;3;G;1;6;2;;;;;;;;
2021;4;536;3;G;2;6;2;;;;;;;;
2021;4;380;3;G;1;2;2;3030552;194;3250633;194;2830552;194;3041615;194
2021;4;380;3;G;1;3;2;22627161;6748;28056739;7017;19746184;6025;25146219;6240
2021;4;380;3;G;2;1;2;5736689;194;6124228;194;5736689;194;6115212;194
2021;4;380;3;G;2;2;2;8371832;387;8786573;387;9933704;387;10348941;387
2021;4;380;3;G;2;3;2;28441073;8017;35101342;8372;26406304;7521;33020762;7827
2021;4;1089;3;G;1;2;2;5116343;581;6479277;581;;;;
2021;4;1089;3;G;1;3;2;4791856;890;6126846;890;789690;194;933744;194
2021;4;1089;3;G;2;1;2;2853904;194;3936697;194;;;;
2021;4;1089;3;G;2;2;2;5263483;774;6762213;774;;;;
2021;4;1089;3;G;2;3;2;5975611;1329;7752391;1341;1756740;387;2441240;387
2021;4;1134;3;G;1;2;3;16976555;1301;18062942;1301;;;;
2021;4;1134;3;G;1;3;3;33617833;4793;36874125;4800;;;;
2021;4;1134;3;G;2;1;3;20012091;731;20698394;731;;;;
2021;4;1134;3;G;2;2;3;10784146;877;11753561;921;;;;
2021;4;1134;3;G;2;3;3;17620733;2778;19458527;2787;;;;
2021;4;1163;3;G;1;2;2;110418410;8148;123343154;8280;118643407;8342;133472784;8465
2021;4;1163;3;G;1;3;2;20784222;3686;26418492;3867;21129095;3686;27598185;3889
2021;4;1163;3;G;2;1;2;109260893;4074;115645322;4074;109171937;4268;116041932;4268
2021;4;1163;3;G;2;2;2;131499741;9312;144993282;9352;137663962;9506;153822655;9585
2021;4;1163;3;G;2;3;2;16159871;2328;19873991;2429;15619401;2328;19219150;2400
2021;4;1334;3;G;1;2;3;9541056;968;11151209;969;9837673;980;11499700;981
2021;4;1334;3;G;1;3;3;2116887;581;2923817;617;1886529;509;2555492;513
2021;4;1334;3;G;2;1;3;;;;;;;;
2021;4;1334;3;G;2;2;3;15252160;1509;17580272;1509;14755443;1516;16954708;1516
2021;4;1334;3;G;2;3;3;;;;;;;;
2021;4;1391;3;I;1;5;2;;;;;;;;
2021;4;1751;3;G;1;2;2;57519174;3268;62772296;3268;59019407;3268;64179021;3268
2021;4;1751;3;G;1;3;2;160645344;13680;179815463;13680;213803006;13760;234056852;13760
2021;4;1751;3;G;2;1;2;30422866;688;31632561;688;30422866;688;31601448;688
2021;4;1751;3;G;2;2;2;18118490;1204;20401229;1204;18197953;1204;20556984;1204
