Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;   RO_t_1   ;   HO_t_1   ;   C_t_1   ;   HT_t_1   ;   RO   ;   HO   ;   C   ;   HT   
2021;12;984;2;G;1;1;1;6760114;183;6920415;183;6760114;183;6921608;183
2021;12;984;2;G;1;2;1;75206036;4215;77671765;4215;75212175;4209;78099582;4221
2021;12;984;2;G;1;3;1;;;;;;;;
2021;12;984;2;G;1;4;1;;;;;;;;
2021;12;984;2;G;1;5;1;;;;;;;;
2021;12;984;2;G;1;6;1;;;;;;;;
2021;12;984;2;G;1;7;1;;;;;;;;
2021;12;984;2;G;1;8;1;;;;;;;;
2021;12;984;2;G;1;9;1;;;;;;;;
2021;12;984;2;G;2;1;1;79646987;548;79930590;548;81145173;548;81430887;548
2021;12;984;2;G;2;2;1;203166159;10770;211117956;10801;204768159;10533;213311312;10562
2021;12;984;2;G;2;3;1;;;;;;;;
2021;12;984;2;G;2;4;1;;;;;;;;
2021;12;984;2;G;2;5;1;;;;;;;;
2021;12;984;2;G;2;6;1;;;;;;;;
2021;12;984;2;G;2;7;1;;;;;;;;
2021;12;984;2;G;2;8;1;;;;;;;;
2021;12;984;2;G;2;9;1;;;;;;;;
2021;12;952;3;B;1;1;1;391889373;8803;401866593;8803;410220101;9345;420930448;9345
2021;12;952;3;B;1;2;1;1373779105;61959;1435642838;61959;1391590880;62131;1454496730;62131
2021;12;952;3;B;1;3;1;27794703;1987;29325271;1987;25830031;1987;27331295;1987
2021;12;952;3;B;1;4;1;12030304;729;12725064;729;12030304;729;12748614;729
2021;12;952;3;B;1;5;1;;;;;;;;
2021;12;952;3;B;1;6;1;;;;;;;;
2021;12;952;3;B;1;7;1;336521821;29438;359076830;29438;329288562;29618;352015907;29618
2021;12;952;3;B;1;8;1;577526246;55083;614636897;55083;558184056;54722;595170166;54722
2021;12;952;3;B;1;9;1;;;;;;;;
2021;12;952;3;B;2;1;1;1101717193;21302;1121897078;21302;1096166769;21113;1116642496;21113
2021;12;952;3;B;2;2;1;2878749723;109690;2976689850;109690;2872726103;109329;2970634543;109329
2021;12;952;3;B;2;3;1;403826764;24381;421461835;24381;389767866;24381;407177114;24381
2021;12;952;3;B;2;4;1;4233484;181;4421242;181;4233484;181;4421242;181
2021;12;952;3;B;2;5;1;;;;;;;;
2021;12;952;3;B;2;6;1;;;;;;;;
2021;12;952;3;B;2;7;1;2024391954;136714;2126749922;136714;1958280996;137075;2059797554;137075
2021;12;952;3;B;2;8;1;3376452932;224847;3530512712;224847;3283027700;224305;3436340262;224305
2021;12;952;3;B;2;9;1;2813897;181;2979213;181;2673246;181;2840530;181
2021;12;995;3;M;1;1;3;15057515;964;18210573;964;16526553;968;19698505;968
2021;12;995;3;M;1;2;3;230124771;33023;267659090;33165;178501774;26790;205778450;26933
2021;12;995;3;M;1;3;3;37911814;6395;44932331;6444;28890253;5654;34181654;5743
2021;12;995;3;M;1;4;3;46612939;9721;53118226;9740;49853069;10086;56786161;10137
2021;12;995;3;M;1;5;3;;;;;;;;
2021;12;995;3;M;1;6;3;;;;;;;;
2021;12;995;3;M;1;7;3;39272319;8691;47955045;8710;27278372;6253;31988136;6291
2021;12;995;3;M;1;8;3;8955399;2293;11095853;2293;1835413;387;2124315;387
2021;12;995;3;M;1;9;3;4470279;1148;5184513;1148;1819954;581;1946832;581
2021;12;995;3;M;2;1;3;49148680;2690;59678534;2690;48987709;2709;59487162;2709
2021;12;995;3;M;2;2;3;644623637;81888;767844191;82801;609735849;80230;727291724;81293
2021;12;995;3;M;2;3;3;107265123;19709;129619663;20293;86971048;16147;104598492;16642
2021;12;995;3;M;2;4;3;40025945;7297;46431058;7500;34982639;6836;40567075;7040
2021;12;995;3;M;2;5;3;;;;;;;;
2021;12;995;3;M;2;6;3;;;;;;;;
2021;12;995;3;M;2;7;3;291381987;57504;350620554;57814;195465966;43875;230652367;44279
2021;12;995;3;M;2;8;3;46813392;8432;56421742;8472;41543060;7814;50080959;7852
2021;12;995;3;M;2;9;3;11397937;1916;13391271;1935;11397937;1916;13391271;1935
2021;12;997;1;G;1;1;3;;;;;;;;
2021;12;997;1;G;1;2;3;;;;;;;;
2021;12;997;1;G;1;3;3;;;;;;;;
2021;12;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2021;12;997;1;G;1;5;3;;;;;;;;
2021;12;997;1;G;1;6;3;526979;194;580606;194;526979;194;580606;194
2021;12;997;1;G;1;7;3;1046044;289;1211168;289;1094578;297;1284858;297
2021;12;997;1;G;1;8;3;;;;;;;;
2021;12;997;1;G;1;9;3;;;;;;;;
2021;12;997;1;G;2;1;3;;;;;;;;
2021;12;997;1;G;2;2;3;;;;;;;;
2021;12;997;1;G;2;3;3;;;;;;;;
2021;12;997;1;G;2;4;3;942500;388;1122021;388;942500;388;1122021;388
2021;12;997;1;G;2;5;3;;;;;;;;
2021;12;997;1;G;2;6;3;5976564;732;6196476;732;6532059;906;6807621;906
2021;12;997;1;G;2;7;3;108610;45;131168;53;118715;48;144170;57
