Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;1;207;3;R;2;3;4;49243098;7999;60865363;8311;0;0;0;0
2021;1;207;3;R;2;9;4;29286508;11420;41158968;11680;0;0;0;0
2021;1;265;3;R;2;3;3;23021387;6515;25623288;6558;22846298;6482;25395075;6567
2021;1;265;3;R;2;9;3;7075920;2841;8495463;2857;7487482;2961;8373615;2984
2021;1;298;3;R;2;3;4;33547261;8051;36056990;8084;37457215;8924;40051286;8942
2021;1;298;3;R;2;9;4;21791406;8103;26519992;8883;21702853;8458;25728485;8967
2021;1;927;3;R;2;3;3;23225958;5108;26108884;5122;7080613;1554;7941680;1554
2021;1;927;3;R;2;9;3;4339455;1778;5020240;1793;1784820;618;1908329;618
2021;1;929;3;R;2;3;3;2473698;776;2750878;776;0;0;0;0
2021;1;929;3;R;2;9;3;481240;194;518234;194;447744;194;582992;194
2021;1;940;3;R;2;3;4;26895570;4831;31979775;5065;27179350;4927;32191927;5071
2021;1;940;3;R;2;9;4;2341054;642;2766475;642;2036760;596;2616054;631
2021;1;990;3;R;2;3;3;0;0;0;0;0;0;0;0
2021;1;990;3;R;2;9;3;0;0;0;0;0;0;0;0
2021;1;1283;3;R;2;3;4;3488830;535;3755772;535;3043204;406;3275685;406
2021;1;1283;3;R;2;9;4;5954953;2280;7064841;2476;13356844;5064;14894979;5217
2021;1;1285;3;R;2;3;4;0;0;0;0;0;0;0;0
2021;1;1285;3;R;2;9;4;0;0;0;0;0;0;0;0
2021;1;1382;3;R;2;3;3;44026954;11986;46821350;12023;45315978;11537;49858777;11596
2021;1;1382;3;R;2;9;3;6447045;2922;6892279;2946;5824076;2550;6057694;2569
2021;1;1428;3;R;2;3;4;0;0;0;0;7694482;2745;8940277;2762
2021;1;1428;3;R;2;9;4;10732980;4921;11844526;4967;11123875;4227;13222517;4261
2021;1;1447;3;R;2;3;2;29408658;4680;34576052;4692;31471260;4796;36972390;4799
2021;1;1447;3;R;2;9;2;3540300;884;4317708;884;3794400;884;4844782;884
2021;1;1497;3;R;2;3;2;51556983;10406;55727437;10406;52455464;10217;55537235;10217
2021;1;1497;3;R;2;9;2;39881688;14001;43466957;14001;40298935;14001;42970614;14001
2021;1;1498;3;R;2;3;4;31264734;4560;35564296;4685;25640586;4850;30069949;5023
2021;1;1498;3;R;2;9;4;75262935;16856;89536027;17313;71583293;21478;85781577;22086
2021;1;171;3;R;2;3;3;43680545;9939;69258133;10104;44694873;9611;69520781;10256
2021;1;171;3;R;2;9;3;222503;103;565591;103;411366;194;752846;194
2021;1;177;3;R;2;3;3;2044161;582;2281021;582;1767285;517;2241245;517
2021;1;177;3;R;2;9;3;422660;194;480456;194;415308;194;556692;194
2021;1;178;3;R;2;3;3;6841000;2129;8241356;2301;0;0;0;0
2021;1;178;3;R;2;9;3;0;0;0;0;0;0;0;0
2021;1;196;3;R;2;3;3;29374820;6764;30687183;6764;7082074;1226;7275671;1226
2021;1;196;3;R;2;9;3;1147250;473;1239555;473;0;0;0;0
2021;1;212;3;R;2;3;3;8334969;1422;9105764;1428;0;0;0;0
2021;1;212;3;R;2;9;3;3200373;1034;3631853;1034;0;0;0;0
2021;1;233;3;R;2;3;3;13870650;1998;15028969;2017;0;0;0;0
2021;1;233;3;R;2;9;3;8721675;1940;9388429;1940;0;0;0;0
2021;1;1716;3;R;2;3;4;0;0;0;0;0;0;0;0
2021;1;1716;3;R;2;9;4;0;0;0;0;0;0;0;0
2021;1;553;3;R;2;3;4;231271;97;244962;97;225456;101;239409;101
2021;1;553;3;R;2;9;4;0;0;0;0;0;0;0;0
2021;1;563;3;R;2;3;4;4437747;1405;4982455;1427;4326173;1465;4869514;1483
2021;1;563;3;R;2;9;4;2548988;1036;2845768;1043;2312350;1040;2620811;1112
2021;1;670;3;R;2;3;4;0;0;0;0;0;0;0;0
2021;1;670;3;R;2;9;4;6607262;3186;7151892;3417;8348793;4149;8650769;4267
2021;1;690;3;R;2;3;3;26698753;5652;34137510;5652;34027129;6362;42041937;6362
2021;1;690;3;R;2;9;3;1591575;529;2246780;529;2220946;761;3054196;761
2021;1;141;3;R;2;3;3;1027424;194;1147658;194;1510570;290;1679996;290
2021;1;141;3;R;2;9;3;419414;194;499213;194;0;0;0;0
2021;1;894;3;R;2;3;4;11958997;2709;14834953;2709;11140924;2457;13833117;2457
2021;1;894;3;R;2;9;4;17237733;5655;20882565;5768;10942694;3464;13594155;3547
2021;1;207;3;R;1;9;4;2814376;1332;3970318;1340;0;0;0;0
2021;1;265;3;R;1;9;3;11431255;4450;12904654;4462;14054701;5354;15632936;5382
2021;1;298;3;R;1;9;4;2073434;970;2293278;987;2089340;944;2260734;944
2021;1;927;3;R;1;9;3;1408052;461;1653600;463;0;0;0;0
2021;1;929;3;R;1;9;3;482354;194;519362;194;449161;194;584427;194
2021;1;940;3;R;1;9;4;1709667;706;2264204;733;1764025;712;2371328;742
2021;1;990;3;R;1;9;3;0;0;0;0;0;0;0;0
2021;1;1283;3;R;1;9;4;5359745;1935;6634452;2241;20955939;7650;23058719;7863
2021;1;1285;3;R;1;9;4;0;0;0;0;0;0;0;0
2021;1;1382;3;R;1;9;3;4222272;1613;4754197;1616;2613718;839;2787868;843
2021;1;1428;3;R;1;9;4;16539531;8109;17900278;8123;19680081;8048;23540915;8108
2021;1;1447;3;R;1;9;2;3497833;966;4379144;966;3404590;911;4336159;911
2021;1;1497;3;R;1;9;2;16763834;5676;18308958;5676;16696086;5676;17783242;5676
2021;1;1498;3;R;1;9;4;42459480;15183;52556669;15256;42944383;16333;52016373;16423
2021;1;171;3;R;1;9;3;2041357;776;3556113;782;1926306;776;3352775;776
2021;1;177;3;R;1;9;3;0;0;0;0;0;0;0;0
2021;1;178;3;R;1;9;3;0;0;0;0;0;0;0;0
2021;1;196;3;R;1;9;3;6219621;2515;6515042;2515;2249256;860;2326702;860
2021;1;212;3;R;1;9;3;7947186;2233;9192896;2233;0;0;0;0
2021;1;233;3;R;1;9;3;3023357;1033;3343706;1033;0;0;0;0
2021;1;1716;3;R;1;9;4;0;0;0;0;0;0;0;0
2021;1;553;3;R;1;9;4;0;0;0;0;0;0;0;0
2021;1;563;3;R;1;9;4;40781244;10592;46853641;10691;38999386;9976;45178329;10039
2021;1;670;3;R;1;9;4;8442730;1365;9671665;2162;26175216;4038;27429287;5899
2021;1;690;3;R;1;9;3;0;0;0;0;0;0;0;0
2021;1;141;3;R;1;9;3;1303282;581;1542757;581;1063875;471;1221328;471
2021;1;894;3;R;1;9;4;15038324;5733;17627213;5924;8177952;2956;9377309;2985
2021;1;380;3;G;1;3;2;18472883;5709;24529934;6230;22792739;6263;30256750;6937
2021;1;380;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;380;3;G;2;1;2;5662107;194;6035354;194;5735105;194;6116253;194
2021;1;380;3;G;2;2;2;3590965;194;3832493;194;7899041;388;8309857;388
2021;1;380;3;G;2;8;2;23522957;8411;31937497;9152;31188600;11191;42593127;11940
2021;1;1089;3;G;1;3;2;4941856;942;6084333;942;5016856;968;6193993;968
2021;1;1089;3;G;1;6;2;40846701;11360;44128235;11611;48558421;10618;52208443;10767
2021;1;1089;3;G;2;1;2;3105721;194;4170345;194;3357124;194;4438855;194
2021;1;1089;3;G;2;2;2;5263483;774;6763777;777;5263483;774;7234601;807
2021;1;1089;3;G;2;8;2;1613532;387;1840145;396;1613532;387;1843558;394
2021;1;1134;3;G;1;3;3;31881108;4720;34920632;4728;0;0;0;0
2021;1;1134;3;G;1;6;3;181722898;43721;209347522;45753;0;0;0;0
2021;1;1134;3;G;2;1;3;18683183;914;19520529;914;0;0;0;0
2021;1;1134;3;G;2;2;3;7043970;585;7709237;615;0;0;0;0
2021;1;1134;3;G;2;8;3;2213859;506;2526132;520;0;0;0;0
2021;1;1163;3;G;1;3;2;16639773;2716;20274949;2788;20343212;3686;25865488;3821
2021;1;1163;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1163;3;G;2;1;2;55074106;1552;56966939;1552;54891681;1546;56804449;1546
2021;1;1163;3;G;2;2;2;166766126;11834;181120499;11932;124433213;8924;135510368;8966
2021;1;1163;3;G;2;8;2;0;0;0;0;0;0;0;0
2021;1;1334;3;G;1;3;3;1520910;387;2082614;411;1520910;387;2119241;418
2021;1;1334;3;G;1;6;3;0;0;0;0;0;0;0;0
2021;1;1334;3;G;2;1;3;0;0;0;0;0;0;0;0
2021;1;1334;3;G;2;2;3;14015621;1348;16193446;1348;16764819;1625;19306998;1625
2021;1;1334;3;G;2;8;3;20046098;4341;28766596;4780;19420402;4367;27917570;4813
2021;1;1751;3;G;1;3;2;155040604;13754;175382892;13754;237029686;13588;257683618;13588
2021;1;1751;3;G;1;6;2;4922806;1548;6863709;1548;6938109;1548;9016163;1548
2021;1;1751;3;G;2;1;2;29896685;688;31054481;688;30422866;688;31623534;688
2021;1;1751;3;G;2;2;2;17702625;1204;19982906;1204;18014192;1204;20310599;1204
2021;1;1751;3;G;2;8;2;2273138;344;2902964;344;2309625;344;2958059;344
2021;1;1398;3;G;1;3;2;1916287;189;2004633;189;2024802;180;2113799;180
2021;1;1398;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1398;3;G;2;1;2;11222342;194;11366599;194;11222342;189;11366599;189
2021;1;1398;3;G;2;2;2;68640222;6088;71475382;6088;67225367;5571;69997871;5571
2021;1;1398;3;G;2;8;2;141185299;28018;157331224;28562;134584584;28354;153513247;29415
2021;1;1471;3;G;1;3;2;46637084;6325;53464820;6809;47267566;6406;51445679;6653
2021;1;1471;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1471;3;G;2;1;2;133840118;1600;149446306;1600;135393091;1600;151011815;1600
2021;1;1471;3;G;2;2;2;656458987;36092;695390010;36738;660477650;35929;695401912;36482
2021;1;1471;3;G;2;8;2;50814930;9450;66760252;12236;51217325;9552;61653844;12153
2021;1;1854;3;G;1;3;2;35028026;7162;47516882;8343;30082406;6718;39241314;7200
2021;1;1854;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1854;3;G;2;1;2;93743308;2709;99609271;2709;93235026;2709;98856902;2709
2021;1;1854;3;G;2;2;2;234204179;10696;257944989;11201;249145436;10763;267920826;11072
2021;1;1854;3;G;2;8;2;96042934;24446;139909234;29390;95954226;22840;132487285;25242
2021;1;1554;3;G;1;3;2;6181751;968;7089353;968;6146390;968;7057064;968
2021;1;1554;3;G;1;6;2;42823694;4902;46756072;4911;38570070;4747;42395886;4751
2021;1;1554;3;G;2;1;2;61617396;2129;64447315;2129;66069049;2225;69248352;2225
2021;1;1554;3;G;2;2;2;66640952;4625;71825940;4632;65787508;4257;70833272;4257
2021;1;1554;3;G;2;8;2;0;0;0;0;0;0;0;0
2021;1;1862;3;G;1;3;2;93013947;20375;133772755;27684;77956822;17998;100426677;21353
2021;1;1862;3;G;1;6;2;3992943;770;4774350;788;3917965;770;4688134;786
2021;1;1862;3;G;2;1;2;235948068;7106;242102525;7106;232927534;7036;239554295;7036
2021;1;1862;3;G;2;2;2;106178442;8730;112594114;8854;108402010;9013;114606343;9055
2021;1;1862;3;G;2;8;2;188561023;56433;281179236;76686;138824957;44216;188910447;53872
2021;1;1585;3;G;1;3;2;6393631;1161;8003301;1174;7181957;1161;8798636;1190
2021;1;1585;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1585;3;G;2;1;2;129845309;2903;146993354;2903;130365369;2903;143339663;2903
2021;1;1585;3;G;2;2;2;223473440;16222;254683084;16222;235480652;16364;264501086;16364
2021;1;1585;3;G;2;8;2;0;0;0;0;0;0;0;0
2021;1;1592;3;G;1;3;2;74842084;7480;84061653;7551;76558483;7633;85903088;7731
2021;1;1592;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1592;3;G;2;1;2;88883275;1870;93405891;1870;88883275;1870;93514606;1870
2021;1;1592;3;G;2;2;2;132322011;6460;140199065;6460;126810336;6318;134950918;6318
2021;1;1592;3;G;2;8;2;0;0;0;0;0;0;0;0
2021;1;164;3;G;1;3;2;4415214;1164;5168038;1202;4396367;1164;4861683;1176
2021;1;164;3;G;1;6;2;1625555;194;1974148;194;1688301;194;2007011;194
2021;1;164;3;G;2;1;2;0;0;0;0;0;0;0;0
2021;1;164;3;G;2;2;2;16725828;2631;19727060;2641;16319641;2528;18853275;2528
2021;1;164;3;G;2;8;2;12939880;3482;15376148;3695;12880541;3482;14325669;3536
2021;1;166;3;G;1;3;2;13699860;2129;14646140;2149;14686350;2129;15504771;2129
2021;1;166;3;G;1;6;2;8521191;2129;9139914;2129;9850840;2129;10427501;2129
2021;1;166;3;G;2;1;2;0;0;0;0;0;0;0;0
2021;1;166;3;G;2;2;2;78938635;8372;86218969;8804;75450246;8256;81707464;8597
2021;1;166;3;G;2;8;2;0;0;0;0;0;0;0;0
2021;1;181;3;G;1;3;3;11820064;2341;13574963;2341;10124959;2076;11723718;2086
2021;1;181;3;G;1;6;3;5829795;2127;7055053;2149;5749972;2134;6828229;2134
2021;1;181;3;G;2;1;3;22308838;1164;23519197;1164;22008971;1151;23284834;1151
2021;1;181;3;G;2;2;3;5035284;1099;5788652;1099;4679898;1022;5383177;1024
2021;1;181;3;G;2;8;3;2827644;970;3376489;977;2897304;970;3446483;972
2021;1;182;3;G;1;3;2;16866142;4268;20172892;4413;19192887;4571;22832614;4730
2021;1;182;3;G;1;6;2;11052931;1552;12268534;1556;10044412;1552;11247806;1555
2021;1;182;3;G;2;1;2;197157607;8342;212232343;8342;198516653;8342;213924147;8342
2021;1;182;3;G;2;2;2;643922538;51687;704619425;52141;561912182;51890;623900265;52285
2021;1;182;3;G;2;8;2;1298353;582;1706556;582;1568719;582;1983978;582
2021;1;1656;3;G;1;3;2;29830013;6773;31787312;6775;23743103;5493;25398629;5498
2021;1;1656;3;G;1;6;2;0;0;0;0;0;0;0;0
2021;1;1656;3;G;2;1;2;81823355;3309;86563198;3309;81552327;3297;86316289;3297
2021;1;1656;3;G;2;2;2;97928428;13352;103347804;13370;83302829;10481;88574921;10531
2021;1;1656;3;G;2;8;2;0;0;0;0;8915368;3567;10448617;3688
2021;1;199;3;G;1;3;2;0;0;0;0;0;0;0;0
2021;1;199;3;G;1;6;2;21137317;3620;28016651;3737;21337774;3520;27389097;3647
2021;1;199;3;G;2;1;2;0;0;0;0;0;0;0;0
2021;1;199;3;G;2;2;2;165116246;9080;186610025;9351;156772670;8920;174017229;9037
2021;1;199;3;G;2;8;2;52042019;12140;70458681;12435;51819587;11980;70884538;12717
2021;1;201;3;G;1;3;3;39587217;7727;42377754;7767;42598570;8114;45601340;8158
2021;1;201;3;G;1;6;3;0;0;0;0;0;0;0;0
2021;1;201;3;G;2;1;3;0;0;0;0;0;0;0;0
2021;1;201;3;G;2;2;3;73793883;6689;78567198;6781;89570014;6682;94381708;6759
2021;1;201;3;G;2;8;3;20047739;5090;24327236;5591;20566670;5154;24268851;5577
2021;1;207;3;R;1;2;4;9889032;1106;11818818;1159;0;0;0;0
2021;1;207;3;R;1;3;4;6474017;1371;8163843;1440;0;0;0;0
2021;1;207;3;R;1;4;4;51603005;10357;66370555;10798;0;0;0;0
2021;1;207;3;R;2;2;4;21001261;1263;23657409;1304;0;0;0;0
2021;1;207;3;R;2;4;4;21075729;4540;27359774;4731;0;0;0;0
2021;1;207;3;R;2;5;4;15448461;4779;20379784;4931;0;0;0;0
