Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;2;1379;3;F;1;2;2;3137152;316;3529632;316;3973230;387;4630741;387
2021;2;1379;3;F;1;4;2;3539364;774;4184118;774;3586713;774;4524038;774
2021;2;1379;3;F;2;4;2;;;;;;;;
2021;2;1379;3;F;2;7;2;11879870;1742;15358682;2026;9866335;1742;12783517;1821
2021;2;1379;3;F;2;8;2;;;;;;;;
2021;2;1393;3;F;1;2;2;120667626;11977;135799723;12254;116618145;11863;128654847;12106
2021;2;1393;3;F;1;4;2;31583645;5970;37397728;6127;31755247;6015;36596200;6112
2021;2;1393;3;F;2;4;2;56366156;11129;68305383;11652;54288803;10615;64076780;11030
2021;2;1393;3;F;2;7;2;933338637;196027;1134608069;205929;945679977;198632;1124127421;207456
2021;2;1393;3;F;2;8;2;182520841;34542;232094568;37714;189742912;35474;236693752;38685
2021;2;1841;3;F;1;2;2;81380211;10765;88878390;10765;92465340;11755;100461933;11755
2021;2;1841;3;F;1;4;2;43209840;10216;52610601;10844;47482710;10487;57142971;11106
2021;2;1841;3;F;2;4;2;41204938;9184;51962450;10011;41247588;8778;51865099;9638
2021;2;1841;3;F;2;7;2;;;;;;;;
2021;2;1841;3;F;2;8;2;300291790;58843;363782446;67143;315236417;59791;379346152;66617
2021;2;1691;1;I;2;5;2;5508094;2322;6110778;2322;4894626;2322;5637914;2374
2021;2;1570;3;F;1;2;3;2168648;388;2504879;402;2010214;380;2228429;380
2021;2;1570;3;F;1;4;3;;;;;;;;
2021;2;1570;3;F;2;4;3;;;;;;;;
2021;2;1570;3;F;2;7;3;149099367;36272;171525895;39064;145900691;35508;168457668;38312
2021;2;1570;3;F;2;8;3;5552613;1248;6444955;1328;6128432;1293;7328247;1437
2021;2;285;3;F;1;2;3;18403230;1522;20489231;1546;18568285;1522;20377475;1522
2021;2;285;3;F;1;4;3;7110880;1535;8206811;1535;7424506;1342;8527722;1342
2021;2;285;3;F;2;4;3;15963366;2846;18074959;2918;19993065;3231;21921151;3231
2021;2;285;3;F;2;7;3;267179335;43971;300848939;46200;255774512;42903;273967006;43055
2021;2;285;3;F;2;8;3;924143037;118425;1056379982;122706;885125541;114054;962529816;114695
2021;2;1668;2;R;1;5;4;1072123;637;1387378;637;1137159;637;1447695;637
2021;2;297;2;R;1;5;4;;;;;;;;
2021;2;299;2;R;1;5;4;;;;;;;;
2021;2;367;2;R;1;5;4;;;;;;;;
2021;2;713;2;R;1;5;4;;;;;;;;
2021;2;812;1;R;2;4;4;421270;194;604502;194;4e+05;194;606240;194
2021;2;370;1;R;2;4;4;4648640;1935;5212343;1941;4653145;1935;5172062;1935
2021;2;936;1;R;2;4;2;2025800;387;2782415;387;2025800;387;2782415;387
2021;2;939;1;R;2;4;4;;;;;;;;
2021;2;941;2;R;1;5;4;;;;;;;;
2021;2;948;3;F;1;2;1;1859011;205;2006917;207;1819365;205;1968622;207
2021;2;948;3;F;1;4;1;1138365;387;1507202;387;1138365;387;1482202;387
2021;2;948;3;F;2;4;1;;;;;;;;
2021;2;948;3;F;2;7;1;34509329;8872;39286263;8924;24492980;5928;27912539;5944
2021;2;948;3;F;2;8;1;18434690;3393;20809666;3677;16988688;3335;19403106;3664
