Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;7;1391;3;I;1;4;2;11063893;3453;14446642;3554;11332279;3546;14680471;3615
2021;7;1391;3;I;1;5;2;;;;;;;;
2021;7;1391;3;I;2;1;2;31388813;1161;32683201;1161;31413987;1161;32736177;1161
2021;7;1391;3;I;2;2;2;48964867;5154;54671795;5154;49842949;5225;55701335;5225
2021;7;1391;3;I;2;3;2;66535366;10990;77961284;11204;65740562;10836;77365355;11032
2021;7;1391;3;I;2;4;2;18686018;4559;23926361;4883;18982744;4614;24594089;4993
2021;7;1391;3;I;2;5;2;2047614;194;2286322;194;2051778;194;2295789;194
2021;7;1391;3;I;2;9;2;168950158;56509;223978277;60659;168835038;56220;226156261;61091
2021;7;1395;3;I;1;4;2;868117;329;1025298;341;1026037;361;1169478;361
2021;7;1395;3;I;1;5;2;4472847;1683;5108329;1695;5173232;1832;5928686;1851
2021;7;1395;3;I;2;1;2;3842466;194;4178530;194;3846622;194;4189380;194
2021;7;1395;3;I;2;2;2;6730226;935;7323618;935;8238005;1355;8992190;1355
2021;7;1395;3;I;2;3;2;1809980;387;1977673;387;1358396;194;1473405;194
2021;7;1395;3;I;2;4;2;;;;;;;;
2021;7;1395;3;I;2;5;2;2437375;961;2858045;993;3864294;1342;4419246;1358
2021;7;1395;3;I;2;9;2;1580780;587;1869022;596;1393102;516;1628302;529
2021;7;1595;3;I;1;4;2;10049015;2425;12879598;2654;9439662;2393;12413081;2586
2021;7;1595;3;I;1;5;2;8864679;2477;11078856;2624;8126585;2219;11529227;2498
2021;7;1595;3;I;2;1;2;17685261;968;18630442;968;18058087;968;19039142;968
2021;7;1595;3;I;2;2;2;6104168;581;6651032;581;6073416;581;6637282;581
2021;7;1595;3;I;2;3;2;17499335;2864;20886673;3025;16125197;2709;20071666;2896
2021;7;1595;3;I;2;4;2;15469067;3831;18979446;4081;15563837;4044;20325200;4404
2021;7;1595;3;I;2;5;2;4779619;1354;6052779;1439;4588516;1355;6568297;1523
2021;7;1595;3;I;2;9;2;546308;194;702559;203;499367;194;725609;212
2021;7;8;3;I;1;4;1;3489575;1417;4002512;1417;8218865;2716;9623700;2726
2021;7;8;3;I;1;5;1;4269061;1780;4817605;1780;18345750;6633;20963986;6673
2021;7;8;3;I;2;1;1;;;;;;;;
2021;7;8;3;I;2;2;1;5549572;581;6209857;581;9189112;1284;10277767;1284
2021;7;8;3;I;2;3;1;1337998;335;1519807;335;2629457;780;3027372;788
2021;7;8;3;I;2;4;1;855607;194;1029615;194;2824151;859;3289402;871
2021;7;8;3;I;2;5;1;338311;131;377264;131;10487185;3829;11876739;3888
2021;7;8;3;I;2;9;1;715324;323;838263;323;5447286;1860;6534499;1904
2021;7;231;3;I;1;4;1;3885849;1026;4315745;1046;27467518;9243;32027482;9763
2021;7;231;3;I;1;5;1;123319;90;129078;90;15953100;5212;19397287;5799
2021;7;231;3;I;2;1;1;40206141;968;44105233;968;42426921;968;46956628;968
2021;7;231;3;I;2;2;1;43481019;3831;47378504;3867;44196989;3928;49292419;4052
2021;7;231;3;I;2;3;1;19774085;2903;21633667;2928;25584428;3999;29529495;4265
2021;7;231;3;I;2;4;1;4588378;1445;5035584;1445;21999109;7224;25743184;7630
2021;7;231;3;I;2;5;1;2865968;774;3118545;774;43671443;13455;54755518;15238
2021;7;231;3;I;2;9;1;3992633;1509;4343928;1517;16696608;5799;20221118;6352
2021;7;1729;3;I;1;4;1;5273626;1358;5583302;1358;5192537;1332;5535674;1332
2021;7;1729;3;I;1;5;1;2364917;970;2514645;970;2012405;795;2162001;795
2021;7;1729;3;I;2;1;1;36234353;1552;37414884;1552;36372274;1552;37600203;1552
2021;7;1729;3;I;2;2;1;35778966;3880;37543933;3880;37253785;4106;39179867;4106
2021;7;1729;3;I;2;3;1;16135053;3298;17071737;3298;16462860;3291;17479499;3291
2021;7;1729;3;I;2;4;1;3595724;776;3820885;776;4001266;899;4268879;899
2021;7;1729;3;I;2;5;1;17660054;5877;18716918;5877;17297818;5696;18389299;5696
2021;7;1729;3;I;2;9;1;6651280;2482;7078266;2482;7090266;2638;7586230;2638
2021;7;241;3;I;1;4;2;67175000;27930;70399000;27930;63789043;27170;66850917;27170
2021;7;241;3;I;1;5;2;698620000;335875;756605460;347630;759550000;372870;841581400;395242
2021;7;241;3;I;2;1;2;3.1e+07;950;32252303;950;3.1e+07;950;32252303;950
2021;7;241;3;I;2;2;2;58678900;4370;61495487;4370;58678900;4370;61495487;4370
2021;7;241;3;I;2;3;2;55432124;12350;58092866;12350;55432124;12350;58092866;12350
2021;7;241;3;I;2;4;2;67300400;27930;70530820;27930;62300400;26980;65290819;26980
2021;7;241;3;I;2;5;2;465660000;223875;504309780;231710;506275000;239330;560952700;253690
2021;7;241;3;I;2;9;2;;;;;;;;
2021;7;242;3;I;1;4;2;;;;;;;;
2021;7;242;3;I;1;5;2;;;;;;;;
2021;7;242;3;I;2;1;2;;;;;;;;
2021;7;242;3;I;2;2;2;;;;;;;;
2021;7;242;3;I;2;3;2;;;;;;;;
2021;7;242;3;I;2;4;2;;;;;;;;
2021;7;242;3;I;2;5;2;;;;;;;;
2021;7;242;3;I;2;9;2;;;;;;;;
