Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;3;1391;3;I;2;3;2;75591893;12467;91589792;12655;74565979;12278;92257773;12404
2021;3;1395;3;I;2;3;2;1813630;387;1987840;387;2339220;581;2582001;581
2021;3;1595;3;I;2;3;2;19129948;3238;22370767;3379;19829372;3083;23384969;3211
2021;3;8;3;I;2;3;1;;;;;543729;194;614760;196
2021;3;207;3;R;1;3;4;6172617;1332;7613955;1352;;;;
2021;3;207;3;R;1;4;4;41902468;8018;51582705;8234;;;;
2021;3;207;3;R;2;2;4;16869575;1102;18965009;1121;;;;
2021;3;207;3;R;2;7;4;7172236;1681;9143868;1700;;;;
2021;3;207;3;R;2;9;4;27452086;10644;38924959;10792;;;;
2021;3;231;3;I;2;3;1;13921137;2490;15304160;2509;13785695;2973;15164013;2989
2021;3;1729;3;I;2;3;1;17945835;3851;19003671;3851;16483006;3541;17878569;3541
2021;3;241;3;I;2;3;2;53789002;11970;56610874;11970;;;;
2021;3;242;3;I;2;3;2;;;;;;;;
2021;3;244;3;I;2;3;2;182098709;20671;192467520;20699;185211507;21024;195757563;21052
2021;3;255;3;I;2;3;1;;;;;;;;
2021;3;265;3;R;1;3;3;3617045;826;4052847;835;8402355;2000;9125914;2020
2021;3;265;3;R;1;4;3;8764054;2257;9860670;2272;19755363;5885;22020486;5952
2021;3;265;3;R;2;2;3;10625072;1142;11373274;1143;14728212;1735;15643754;1740
2021;3;265;3;R;2;7;3;240600;77;273626;78;1436370;510;1606417;511
2021;3;265;3;R;2;9;3;3093432;1141;3628360;1151;8470681;3175;9451676;3200
2021;3;298;3;R;1;3;4;3871506;1164;4148411;1164;3830009;1125;4125142;1125
2021;3;298;3;R;1;4;4;10363324;1552;10952065;1556;10356940;1552;11122790;1562
2021;3;298;3;R;2;2;4;71535421;11834;76129951;11881;73809147;11944;78217070;11961
2021;3;298;3;R;2;7;4;8274205;2134;10272317;2347;8558741;2108;10464966;2287
2021;3;298;3;R;2;9;4;21650705;8342;25943118;8958;21295781;8096;25266089;8612
2021;3;1726;3;I;2;3;1;1737406;201;1870163;202;1540586;166;1660067;167
2021;3;1712;3;I;2;3;1;4586254;581;5204482;604;4389305;561;4992629;587
2021;3;426;3;I;2;3;2;;;;;;;;
2021;3;1731;3;I;2;3;1;;;;;;;;
2021;3;695;3;I;2;3;2;4990000;2123;5906148;2123;4399667;1839;5202195;1839
2021;3;698;3;I;2;3;2;87184927;22152;124169934;23187;89666565;20831;130909788;21651
2021;3;701;3;I;2;3;1;4745987;1148;5000761;1148;6660268;1518;7246073;1522
2021;3;763;3;I;2;3;2;745672282;141854;957404233;145554;734114185;138823;1029177120;142134
2021;3;927;3;R;1;3;3;2199561;581;2458535;581;3378686;843;3742727;843
2021;3;927;3;R;1;4;3;3126507;839;3770106;846;3054657;710;3591430;710
2021;3;927;3;R;2;2;3;11091303;1387;12056122;1387;10860321;1342;11706199;1342
2021;3;927;3;R;2;7;3;4607322;1703;4956188;1703;5032738;1832;5454168;1833
2021;3;927;3;R;2;9;3;1791027;595;1934463;597;2160316;667;2380374;672
2021;3;929;3;R;1;3;3;;;;;;;;
2021;3;929;3;R;1;4;3;1317496;505;1932178;505;2452811;1020;3537788;1027
2021;3;929;3;R;2;2;3;5496680;1319;6783086;1319;5917880;1522;7438181;1538
2021;3;929;3;R;2;7;3;;;;;185521;58;218829;58
2021;3;929;3;R;2;9;3;447744;194;550135;194;620820;260;744036;302
2021;3;940;3;R;1;3;4;4258590;993;5308299;1052;3599312;900;4486442;932
2021;3;940;3;R;1;4;4;10086755;2225;12343669;2321;11140893;2606;13525688;2641
2021;3;940;3;R;2;2;4;22383291;2473;24892779;2512;22007092;2580;23935949;2580
2021;3;940;3;R;2;7;4;20315358;5875;28845881;6822;22978493;6489;29324684;7004
2021;3;940;3;R;2;9;4;2153026;648;2593476;662;2512660;726;2983076;726
2021;3;949;3;I;2;3;2;25101100;4871;32727092;4871;25101100;4901;32727092;4901
2021;3;950;3;I;2;3;1;14943930;3371;15974513;3440;12514508;3079;13341941;3129
2021;3;951;3;I;2;3;2;6897623;3096;8088722;3096;;;;
2021;3;954;3;I;2;3;1;;;;;;;;
2021;3;990;3;R;1;3;3;;;;;;;;
2021;3;990;3;R;1;4;3;;;;;;;;
2021;3;990;3;R;2;2;3;;;;;;;;
2021;3;990;3;R;2;7;3;;;;;;;;
2021;3;990;3;R;2;9;3;;;;;;;;
2021;3;1696;3;I;2;3;1;5422950;1026;5917637;1026;6289659;1090;6838256;1090
2021;3;1029;3;I;2;3;2;;;;;;;;
2021;3;1140;3;I;2;3;1;9400030;1997;10544410;2016;9599689;2109;10791832;2117
2021;3;1144;3;I;2;3;1;;;;;;;;
2021;3;1147;3;I;2;3;2;;;;;;;;
2021;3;1276;3;I;2;3;1;;;;;;;;
2021;3;1279;3;I;2;3;2;110651821;15293;125282099;15406;105279425;14487;119378211;14627
2021;3;1283;3;R;1;3;4;2212958;581;2393072;581;2176231;581;2370152;581
2021;3;1283;3;R;1;4;4;4026566;1355;4697513;1355;3774294;1255;4243821;1255
2021;3;1283;3;R;2;2;4;4045615;587;4374419;587;4355474;651;4710776;651
2021;3;1283;3;R;2;7;4;4463644;1406;4968943;1406;5250748;1690;5778421;1690
2021;3;1283;3;R;2;9;4;14947491;5467;16432143;5549;6293589;2190;7322576;2340
