Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;5;380;3;G;1;1;2;;;;;;;;
2021;5;380;3;G;1;2;2;2830552;194;3041615;194;2830552;194;3041615;194
2021;5;380;3;G;1;3;2;19746184;6025;25146219;6240;17498526;5122;21831758;5305
2021;5;380;3;G;1;4;2;11644224;4018;15191490;4241;10645681;3812;13769805;3984
2021;5;380;3;G;1;8;2;287519;90;420851;93;228702;70;335690;72
2021;5;380;3;G;2;1;2;5736689;194;6115212;194;4045958;135;4324000;135
2021;5;380;3;G;2;2;2;9933704;387;10348941;387;9933704;387;10348941;387
2021;5;380;3;G;2;3;2;26406304;7521;33020762;7827;25888881;7405;32293591;7669
2021;5;380;3;G;2;4;2;12801980;3489;15718779;3631;12447099;3399;15170451;3519
2021;5;380;3;G;2;8;2;30220312;10720;39595775;11196;30424828;10971;40040948;11451
2021;5;1089;3;G;1;1;2;;;;;;;;
2021;5;1089;3;G;1;2;2;;;;;3596303;387;4706670;387
2021;5;1089;3;G;1;3;2;789690;194;933744;194;1957320;387;2051467;387
2021;5;1089;3;G;1;4;2;1131743;194;1336180;194;1131743;194;1331028;194
2021;5;1089;3;G;1;8;2;;;;;;;;
2021;5;1089;3;G;2;1;2;;;;;;;;
2021;5;1089;3;G;2;2;2;;;;;2548364;387;2670600;387
2021;5;1089;3;G;2;3;2;1756740;387;2441240;387;2004656;497;3101081;497
2021;5;1089;3;G;2;4;2;;;;;;;;
2021;5;1089;3;G;2;8;2;841810;194;983636;195;841810;194;1000644;195
2021;5;1134;3;G;1;1;3;;;;;;;;
2021;5;1134;3;G;1;2;3;;;;;14612756;1096;15500161;1096
2021;5;1134;3;G;1;3;3;;;;;28202669;4330;30986661;4330
2021;5;1134;3;G;1;4;3;;;;;456213;91;543064;91
2021;5;1134;3;G;1;8;3;;;;;;;;
2021;5;1134;3;G;2;1;3;;;;;20022837;731;20677793;731
2021;5;1134;3;G;2;2;3;;;;;13439549;1096;14379858;1096
2021;5;1134;3;G;2;3;3;;;;;14217386;2370;15690115;2370
2021;5;1134;3;G;2;4;3;;;;;260460;85;308215;85
2021;5;1134;3;G;2;8;3;;;;;2296875;548;2526158;549
2021;5;1163;3;G;1;1;2;84861016;3104;89753385;3104;80240548;2872;84764453;2872
2021;5;1163;3;G;1;2;2;118643407;8342;133472784;8465;117116339;8730;130590069;8821
2021;5;1163;3;G;1;3;2;21129095;3686;27598185;3889;21128882;3686;26282593;3779
2021;5;1163;3;G;1;4;2;4596481;1164;6405139;1217;4661206;1164;6277534;1209
2021;5;1163;3;G;1;8;2;;;;;;;;
2021;5;1163;3;G;2;1;2;109171937;4268;116041932;4268;106303630;4268;112635601;4268
2021;5;1163;3;G;2;2;2;137663962;9506;153822655;9585;136960843;9506;152032955;9604
2021;5;1163;3;G;2;3;2;15619401;2328;19219150;2400;16120046;2328;19598172;2393
2021;5;1163;3;G;2;4;2;5825127;1552;8301464;1642;5763524;1552;8556559;1740
2021;5;1163;3;G;2;8;2;;;;;;;;
2021;5;1334;3;G;1;1;3;;;;;;;;
2021;5;1334;3;G;1;2;3;9837673;980;11499700;981;11986861;1161;13671728;1165
2021;5;1334;3;G;1;3;3;1886529;509;2555492;513;1771226;464;2405396;473
2021;5;1334;3;G;1;4;3;21162771;4447;28339102;4447;21887000;4599;28782541;4605
2021;5;1334;3;G;1;8;3;;;;;;;;
2021;5;1334;3;G;2;1;3;;;;;;;;
2021;5;1334;3;G;2;2;3;14755443;1516;16954708;1516;14866375;1477;16981003;1477
2021;5;1334;3;G;2;3;3;;;;;;;;
2021;5;1334;3;G;2;4;3;84107499;15061;106972706;15199;90998725;16493;112241341;16626
2021;5;1334;3;G;2;8;3;22269562;5031;32083032;5640;22668715;5031;31975448;5637
2021;5;1751;3;G;1;1;2;25278034;688;26446891;688;25056828;688;26229777;688
2021;5;1751;3;G;1;2;2;59019407;3268;64179021;3268;58605846;3268;63721592;3268
2021;5;1751;3;G;1;3;2;213803006;13760;234056852;13760;169812460;13679;187544346;13679
2021;5;1751;3;G;1;4;2;28163750;3440;34298104;3440;27664456;3440;33323468;3440
2021;5;1751;3;G;1;8;2;;;;;;;;
2021;5;1751;3;G;2;1;2;30422866;688;31601448;688;30422866;688;31605560;688
2021;5;1751;3;G;2;2;2;18197953;1204;20556984;1204;18197953;1204;20442842;1204
2021;5;1751;3;G;2;3;2;14812768;1548;17276941;1548;14456025;1548;16789424;1548
2021;5;1751;3;G;2;4;2;22047664;2752;27183046;2752;19913946;2752;24640839;2752
2021;5;1751;3;G;2;8;2;2132290;350;2757884;350;2305569;344;2926676;344
2021;5;1398;3;G;1;1;2;;;;;;;;
2021;5;1398;3;G;1;2;2;18452830;2516;19520040;2516;15406053;2129;16486643;2129
2021;5;1398;3;G;1;3;2;1942757;185;2036377;186;1898130;178;1980229;179
2021;5;1398;3;G;1;4;2;1040919;168;1120934;168;1042841;167;1107533;167
2021;5;1398;3;G;1;8;2;35994347;9533;39940797;9542;31545493;10256;36173950;10287
2021;5;1398;3;G;2;1;2;11518612;194;11772812;194;11518612;194;11790453;194
2021;5;1398;3;G;2;2;2;69187712;6579;71981055;6579;65006653;6386;68165473;6386
2021;5;1398;3;G;2;3;2;4753955;581;5004023;581;4716455;581;5016523;581
2021;5;1398;3;G;2;4;2;;;;;;;;
2021;5;1398;3;G;2;8;2;135952926;33269;152005370;33712;139000328;35411;156635690;36175
2021;5;1471;3;G;1;1;2;;;;;;;;
2021;5;1471;3;G;1;2;2;226888582;16312;239341530;16523;226493442;16888;238905659;17120
2021;5;1471;3;G;1;3;2;45314673;5816;50059375;6123;41788404;5288;45969507;5627
2021;5;1471;3;G;1;4;2;51187302;7185;57152173;8464;54436093;7621;60654166;8860
2021;5;1471;3;G;1;8;2;;;;;;;;
2021;5;1471;3;G;2;1;2;136557170;1600;152156778;1600;136557170;1600;152155835;1600
2021;5;1471;3;G;2;2;2;666954046;36118;701541356;36759;661671493;36321;694839881;36866
2021;5;1471;3;G;2;3;2;103474902;12551;117619325;13412;105771840;13255;119914481;13967
2021;5;1471;3;G;2;4;2;63246432;10501;80893564;14394;62469763;10460;75094570;13508
2021;5;1471;3;G;2;8;2;42234494;7568;54638361;10308;40904835;7064;51159342;9611
2021;5;1854;3;G;1;1;2;;;;;;;;
2021;5;1854;3;G;1;2;2;48411310;6029;54649907;6035;48568789;6106;55113152;6106
2021;5;1854;3;G;1;3;2;39268964;9504;47790507;9885;33469701;7434;40097929;7625
2021;5;1854;3;G;1;4;2;62183227;14028;77201843;14610;60951243;13674;74750373;14186
2021;5;1854;3;G;1;8;2;4318614;1329;5661340;1370;4029854;1284;5166133;1302
2021;5;1854;3;G;2;1;2;102353947;2903;107891310;2903;103838489;2903;109189900;2903
2021;5;1854;3;G;2;2;2;236307119;10973;251685474;11157;227202532;11032;241003291;11146
2021;5;1854;3;G;2;3;2;90946773;18072;110498975;19054;86596577;16599;102903519;17161
2021;5;1854;3;G;2;4;2;93252274;18481;111790086;19350;87310884;16957;103967523;17524
2021;5;1854;3;G;2;8;2;98194375;27750;128621393;29763;77611313;23206;101984824;24451
2021;5;1554;3;G;1;1;2;8506616;341;9091608;341;8754315;387;9588205;387
2021;5;1554;3;G;1;2;2;21046702;1742;22805377;1742;20667814;1742;22594419;1742
2021;5;1554;3;G;1;3;2;7736805;1161;8781169;1161;7549742;1161;8646515;1161
2021;5;1554;3;G;1;4;2;37909960;8614;44178931;8683;37864099;8559;44001475;8618
2021;5;1554;3;G;1;8;2;;;;;;;;
2021;5;1554;3;G;2;1;2;64726852;2129;67557004;2129;62432426;2012;65123260;2012
2021;5;1554;3;G;2;2;2;68455026;4257;73388175;4257;76923116;4638;83116340;4638
2021;5;1554;3;G;2;3;2;8056276;774;8825306;774;4594496;581;5140896;581
2021;5;1554;3;G;2;4;2;43895971;10307;51771756;10444;44859669;10455;52636795;10529
2021;5;1554;3;G;2;8;2;;;;;;;;
2021;5;1862;3;G;1;1;2;30643357;1358;31798781;1358;30643357;1358;31798781;1358
2021;5;1862;3;G;1;2;2;39735037;4682;42618261;4720;39735037;4682;42618261;4720
2021;5;1862;3;G;1;3;2;69019425;16405;80734967;17718;69019425;16405;80734967;17718
2021;5;1862;3;G;1;4;2;86532135;24886;99201188;26302;86532135;24886;99201188;26302
2021;5;1862;3;G;1;8;2;115727693;45995;126102999;46878;115727693;45995;126102999;46878
2021;5;1862;3;G;2;1;2;222417952;6984;228460515;6984;222417952;6984;228460515;6984
2021;5;1862;3;G;2;2;2;99141931;8102;104210588;8102;99141931;8102;104210588;8102
2021;5;1862;3;G;2;3;2;139848339;32191;169413321;35558;139848339;32191;169413321;35558
2021;5;1862;3;G;2;4;2;59209736;13422;69245437;14688;59209736;13422;69245437;14688
2021;5;1862;3;G;2;8;2;137132451;45787;171975139;51176;137132451;45787;171975139;51176
2021;5;1585;3;G;1;1;2;101124094;2134;107088189;2134;101100094;2134;106982070;2134
2021;5;1585;3;G;1;2;2;226094728;15660;252311625;15660;227409921;15565;253048503;15565
2021;5;1585;3;G;1;3;2;6334394;1209;7830314;1249;7460720;1358;8843426;1377
2021;5;1585;3;G;1;4;2;8324375;2354;9590912;2354;7255625;2063;8328749;2063
2021;5;1585;3;G;1;8;2;;;;;;;;
2021;5;1585;3;G;2;1;2;121372823;2716;133406791;2716;112844403;2522;123635522;2522
2021;5;1585;3;G;2;2;2;226948611;15966;253150180;15966;225301474;15791;251071517;15791
2021;5;1585;3;G;2;3;2;70029769;11109;84728078;11456;67759355;11050;82034085;11388
2021;5;1585;3;G;2;4;2;2564700;659;2954021;659;2968500;776;3409430;776
2021;5;1585;3;G;2;8;2;;;;;;;;
2021;5;1592;3;G;1;1;2;;;;;;;;
2021;5;1592;3;G;1;2;2;53039326;2828;57454347;2828;52358042;2958;56909726;2958
2021;5;1592;3;G;1;3;2;77320156;7293;86676595;7354;74189366;7480;83990731;7557
2021;5;1592;3;G;1;4;2;29089589;4930;34742880;4930;26213244;4681;31588776;4685
2021;5;1592;3;G;1;8;2;;;;;;;;
2021;5;1592;3;G;2;1;2;89383566;1700;94864151;1700;89481633;1700;94967089;1700
2021;5;1592;3;G;2;2;2;114370836;5378;121621541;5378;112488241;5270;119592536;5270
2021;5;1592;3;G;2;3;2;310459942;30965;350525901;31337;300381264;31885;341100938;32379
2021;5;1592;3;G;2;4;2;16553410;1927;18882098;1927;16431865;2097;19217385;2106
2021;5;1592;3;G;2;8;2;;;;;;;;
2021;5;164;3;G;1;1;2;;;;;;;;
2021;5;164;3;G;1;2;2;5797188;776;6707156;776;5721188;776;6627241;776
2021;5;164;3;G;1;3;2;3721929;1061;4225396;1096;3538856;970;3934768;988
2021;5;164;3;G;1;4;2;9276051;2441;10422478;2482;9475081;2519;10590211;2551
2021;5;164;3;G;1;8;2;467132;129;555442;138;665704;188;727902;188
2021;5;164;3;G;2;1;2;;;;;;;;
