Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;   RO_t_1   ;   HO_t_1   ;   C_t_1   ;   HT_t_1   ;   RO   ;   HO   ;   C   ;   HT   
2021;11;984;2;G;1;1;1; 7060810 ; 183 ; 7216476 ; 183 ; 7068257 ; 183 ; 7164565 ; 183 
2021;11;984;2;G;1;2;1; 75526362 ; 4255 ; 77702444 ; 4280 ; 74098810 ; 4481 ; 76188729 ; 4485 
2021;11;984;2;G;1;3;1;;;;;;;;
2021;11;984;2;G;1;4;1;;;;;;;;
2021;11;984;2;G;1;5;1;;;;;;;;
2021;11;984;2;G;1;6;1;;;;;;;;
2021;11;984;2;G;1;7;1;;;;;;;;
2021;11;984;2;G;1;8;1;;;;;;;;
2021;11;984;2;G;1;9;1;;;;;;;;
2021;11;984;2;G;2;1;1; 75908652 ; 553 ; 75908652 ; 553 ; 74283226 ; 553 ; 74424652 ; 553 
2021;11;984;2;G;2;2;1; 179928860 ; 9460 ; 186895867 ; 9521 ; 200958900 ; 10406 ; 208608298 ; 10473 
2021;11;984;2;G;2;3;1;;;;;;;;
2021;11;984;2;G;2;4;1;;;;;;;;
2021;11;984;2;G;2;5;1;;;;;;;;
2021;11;984;2;G;2;6;1;;;;;;;;
2021;11;984;2;G;2;7;1; 1318678 ; 341 ; 1361312 ; 345 ; 1439486 ; 361 ; 1514862 ; 368 
2021;11;984;2;G;2;8;1;;;;;;;;
2021;11;984;2;G;2;9;1;;;;;;;;
2021;11;952;3;B;1;1;1; 398192864 ; 8803 ; 407803059 ; 8803 ; 391889373 ; 8803 ; 401866593 ; 8803 
2021;11;952;3;B;1;2;1; 1367262215 ; 61771 ; 1428307603 ; 61771 ; 1373779105 ; 61959 ; 1435642838 ; 61959 
2021;11;952;3;B;1;3;1; 26619655 ; 1987 ; 28575108 ; 1987 ; 27794703 ; 1987 ; 29325271 ; 1987 
2021;11;952;3;B;1;4;1; 12030304 ; 729 ; 12722085 ; 729 ; 12030304 ; 729 ; 12725064 ; 729 
2021;11;952;3;B;1;5;1;;;;;;;;
