Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;10;1544;3;C;1;2;10;140748851;11303;154528971;11318;151886108;11652;165570555;11656
2021;10;1544;3;C;1;3;10;32953260;2522;36033245;2522;27890697;2470;30762993;2501
2021;10;1544;3;C;1;4;10;3779943;582;4126163;582;3922356;582;4267226;582
2021;10;1544;3;C;1;9;10;;;;;;;;
2021;10;1544;3;C;2;2;10;195485366;12021;211790695;12021;188801639;11446;203365009;11464
2021;10;1544;3;C;2;3;10;36467362;2910;39708941;2913;48471364;3492;52477950;3502
2021;10;1544;3;C;2;4;10;7322022;530;8063657;530;7371837;582;8059556;582
2021;10;1544;3;C;2;7;10;26696910;3608;31311356;3662;27249584;3485;32778663;3654
2021;10;1544;3;C;2;9;10;21682856;4306;25380336;4310;22889692;4370;26906489;4509
2021;10;14;3;C;1;2;7;5235710;581;6109266;607;5235710;581;6163886;611
2021;10;14;3;C;1;3;7;8627524;1773;10835626;1843;8675484;1791;10805035;1845
2021;10;14;3;C;1;4;7;;;;;;;;
2021;10;14;3;C;1;9;7;;;;;;;;
2021;10;14;3;C;2;2;7;37827830;2903;43132960;3026;36702830;2709;41411158;2816
2021;10;14;3;C;2;3;7;30866403;4361;39953279;4772;31723335;4568;40261864;4931
2021;10;14;3;C;2;4;7;;;;;;;;
2021;10;14;3;C;2;7;7;102963539;27234;143494049;30201;102004214;26478;142289018;29445
2021;10;14;3;C;2;9;7;;;;;;;;
2021;10;338;3;C;1;2;2;13398633;1548;14614784;1548;15813840;1896;17090385;1896
2021;10;338;3;C;1;3;2;4668419;1154;6031348;1154;4928340;1348;6183727;1348
2021;10;338;3;C;1;4;2;2587699;580;2865479;580;2587699;580;2900156;580
2021;10;338;3;C;1;9;2;14899308;4661;17004891;4677;17818089;5398;20621423;5411
2021;10;338;3;C;2;2;2;53020695;2276;55647714;2276;41001549;2128;43215004;2128
2021;10;338;3;C;2;3;2;25434032;4073;29186246;4082;25874678;4140;29607229;4143
2021;10;338;3;C;2;4;2;6569702;1548;6973019;1557;6586702;1554;7088665;1559
2021;10;338;3;C;2;7;2;;;;;;;;
2021;10;338;3;C;2;9;2;65345105;16373;75030673;16915;60644786;17427;71279316;18003
2021;10;457;3;C;1;2;6;10163969;1059;11740494;1059;10363969;1098;11436579;1098
2021;10;457;3;C;1;3;6;;;;;;;;
2021;10;457;3;C;1;4;6;3654027;775;5034923;789;3715333;775;4616069;777
2021;10;457;3;C;1;9;6;;;;;;;;
2021;10;457;3;C;2;2;6;24064376;1550;25758371;1550;24494994;1550;25701420;1550
2021;10;457;3;C;2;3;6;;;;;;;;
2021;10;457;3;C;2;4;6;42370190;7384;54133868;7449;41686163;7293;48631610;7343
2021;10;457;3;C;2;7;6;132956420;34057;192832175;34198;138092051;36666;171315614;36755
2021;10;457;3;C;2;9;6;;;;;;;;
2021;10;487;3;C;1;2;6;1663796;194;1826369;194;1663796;194;1814251;194
2021;10;487;3;C;1;3;6;4419580;968;5027993;968;3832882;774;4294955;774
2021;10;487;3;C;1;4;6;3508052;968;4272159;972;3598841;968;4404192;977
2021;10;487;3;C;1;9;6;23626169;8079;29126889;8119;24144116;8270;29331803;8304
2021;10;487;3;C;2;2;6;6012918;800;6754317;800;9380902;968;10539333;968
2021;10;487;3;C;2;3;6;9538856;1821;11346931;1865;9871904;1896;11808437;1968
2021;10;487;3;C;2;4;6;16675410;3677;20443575;3774;17382654;3677;21247264;3851
2021;10;487;3;C;2;7;6;;;;;;;;
2021;10;487;3;C;2;9;6;124081629;36948;154712273;38199;122606873;35665;152053963;37251
2021;10;677;3;C;1;2;1;;;;;;;;
2021;10;677;3;C;1;3;1;1367750;194;1439095;194;1367750;194;1438296;194
2021;10;677;3;C;1;4;1;13939754;5569;16293496;5751;13817357;5307;16011384;5439
2021;10;677;3;C;1;9;1;10750481;5074;12992212;5242;10301114;5117;12582899;5275
2021;10;677;3;C;2;2;1;;;;;;;;
2021;10;677;3;C;2;3;1;2705785;705;3025098;705;1966350;537;2171849;537
2021;10;677;3;C;2;4;1;14577456;5397;17358850;5524;15521967;5397;18440163;5550
2021;10;677;3;C;2;7;1;6514457;2903;8822194;3102;7609982;3483;9713953;3614
2021;10;677;3;C;2;9;1;5614541;2774;6703632;2847;6111027;2967;7258379;3055
2021;10;910;3;C;1;2;11;44878242;5728;53067173;5870;49344777;6486;57155238;6591
2021;10;910;3;C;1;3;11;43133878;6519;48128041;6579;44209131;6814;48849532;6874
2021;10;910;3;C;1;4;11;34253103;7624;42056567;7759;31903912;7181;39173577;7306
2021;10;910;3;C;1;9;11;1651408;566;2310930;614;1613066;540;2183618;579
2021;10;910;3;C;2;2;11;43130450;4339;50218812;4437;45029093;4770;51504122;4849
2021;10;910;3;C;2;3;11;59042484;7483;64480673;7539;58088116;7907;63135193;7952
2021;10;910;3;C;2;4;11;16244605;3658;21423960;3858;16659445;3767;20875900;3874
2021;10;910;3;C;2;7;11;44300391;14239;59012129;14615;45343121;14458;58306615;14667
2021;10;910;3;C;2;9;11;5358142;1684;7527636;1841;5255326;1671;7596255;1786
2021;10;956;3;C;1;2;6;5763610;401;6870569;401;5813773;397;6893522;397
2021;10;956;3;C;1;3;6;7940372;1383;8708449;1404;8154633;1389;8887051;1407
2021;10;956;3;C;1;4;6;;;;;;;;
2021;10;956;3;C;1;9;6;1954033;937;2441748;944;2174351;1028;2673375;1038
2021;10;956;3;C;2;2;6;23777329;2351;28729482;2352;24166011;2364;29070823;2367
