ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;8;984;2;G;1;1;1;7030519;183;7204380;183;6916235;178;7088607;178
2022;8;984;2;G;1;2;1;85469361;4752;88619646;4752;85685122;4866;89119626;4866
2022;8;984;2;G;1;3;1;;;;;;;;
2022;8;984;2;G;1;4;1;;;;;;;;
2022;8;984;2;G;1;5;1;;;;;;;;
2022;8;984;2;G;1;6;1;;;;;;;;
2022;8;984;2;G;1;7;1;;;;;;;;
2022;8;984;2;G;1;8;1;;;;;;;;
2022;8;984;2;G;1;9;1;;;;;;;;
2022;8;984;2;G;2;1;1;73681708;548;73989239;548;73586418;559;73930763;559
2022;8;984;2;G;2;2;1;237007651;10782;244769036;10782;241523399;10782;249118841;10782
2022;8;984;2;G;2;3;1;;;;;;;;
2022;8;984;2;G;2;4;1;;;;;;;;
2022;8;984;2;G;2;5;1;;;;;;;;
2022;8;984;2;G;2;6;1;;;;;;;;
2022;8;984;2;G;2;7;1;;;;;;;;
2022;8;984;2;G;2;8;1;;;;;;;;
2022;8;984;2;G;2;9;1;;;;;;;;
2022;8;952;3;B;1;1;1;456774823;9331;467411510;9331;478451725;9692;489752330;9692
2022;8;952;3;B;1;2;1;1873251137;75573;1956318732;75573;1860648437;74506;1943495924;74506
2022;8;952;3;B;1;3;1;33879918;2348;36482030;2348;36169570;2709;38486789;2709
2022;8;952;3;B;1;4;1;17564614;885;18738510;885;17564614;885;18762538;885
2022;8;952;3;B;1;5;1;;;;;;;;
2022;8;952;3;B;1;6;1;;;;;;;;
2022;8;952;3;B;1;7;1;423071994;35759;464263985;35759;391440076;35398;417218587;35398
2022;8;952;3;B;1;8;1;764059670;76394;833049125;76394;721038060;74949;767328288;74949
2022;8;952;3;B;1;9;1;;;;;;;;
2022;8;952;3;B;2;1;1;1295304861;22376;1318271283;22376;1313714544;22737;1337441070;22737
2022;8;952;3;B;2;2;1;3265675122;110973;3369131106;110973;3277126591;112238;3382742166;112238
2022;8;952;3;B;2;3;1;408008538;23297;427543189;23297;390351553;23478;408176052;23478
2022;8;952;3;B;2;4;1;;;;;;;;
2022;8;952;3;B;2;5;1;;;;;;;;
2022;8;952;3;B;2;6;1;;;;;;;;
2022;8;952;3;B;2;7;1;2103736379;136714;2236459995;136714;1998394027;136534;2103468010;136534
