Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;   RO_t_1   ;   HO_t_1   ;   C_t_1   ;   HT_t_1   ;   RO   ;   HO   ;   C   ;   HT   
2022;1;984;2;G;1;1;1;6760114;183;6921608;183;6868406;183;7053389;183
2022;1;984;2;G;1;2;1;75212175;4209;78099582;4221;79847439;4145;82568495;4180
2022;1;984;2;G;1;3;1;;;;;;;;
2022;1;984;2;G;1;4;1;;;;;;;;
2022;1;984;2;G;1;5;1;;;;;;;;
2022;1;984;2;G;1;6;1;;;;;;;;
2022;1;984;2;G;1;7;1;;;;;;;;
2022;1;984;2;G;1;8;1;;;;;;;;
2022;1;984;2;G;1;9;1;;;;;;;;
2022;1;984;2;G;2;1;1;81145173;548;81430887;548;87456097;547;87607226;547
2022;1;984;2;G;2;2;1;204768159;10533;213311312;10562;190008398;10533;199731836;10562
2022;1;984;2;G;2;3;1;;;;;;;;
2022;1;984;2;G;2;4;1;;;;;;;;
2022;1;984;2;G;2;5;1;;;;;;;;
2022;1;984;2;G;2;6;1;;;;;;;;
2022;1;984;2;G;2;7;1;;;;;;;;
2022;1;984;2;G;2;8;1;;;;;;;;
2022;1;984;2;G;2;9;1;;;;;;;;
2022;1;952;3;B;1;1;1;410220101;9345;420930448;9345;438009881;9534;449197100;9534
2022;1;952;3;B;1;2;1;1391590880;62131;1454496730;62131;1490111751;63206;1564048951;63206
2022;1;952;3;B;1;3;1;25830031;1987;27331295;1987;29536824;2167;32090180;2167
2022;1;952;3;B;1;4;1;12030304;729;12748614;729;12030304;729;12748614;729
2022;1;952;3;B;1;5;1;;;;;;;;
2022;1;952;3;B;1;6;1;;;;;;;;
2022;1;952;3;B;1;7;1;329288562;29618;352015907;29618;352570822;30341;397958140;30341
2022;1;952;3;B;1;8;1;558184056;54722;595170166;54722;614322475;59598;685224353;59598
2022;1;952;3;B;1;9;1;;;;;;;;
2022;1;952;3;B;2;1;1;1096166769;21113;1116642496;21113;1124506760;20752;1144397112;20752
2022;1;952;3;B;2;2;1;2872726103;109329;2970634543;109329;3059506706;110964;3160349000;110964
2022;1;952;3;B;2;3;1;389767866;24381;407177114;24381;409865671;24200;431311948;24200
2022;1;952;3;B;2;4;1;4233484;181;4421242;181;4233484;181;4421242;181
2022;1;952;3;B;2;5;1;;;;;;;;
2022;1;952;3;B;2;6;1;;;;;;;;
2022;1;952;3;B;2;7;1;1958280996;137075;2059797554;137075;2081634139;137978;2237803302;137978
2022;1;952;3;B;2;8;1;3283027700;224305;3436340262;224305;3434306798;221416;3653679349;221416
2022;1;952;3;B;2;9;1;2673246;181;2840530;181;2528585;181;2801805;181
2022;1;995;3;M;1;1;3;16526553;968;19698505;968;15226429;864;18318309;864
2022;1;995;3;M;1;2;3;178501774;26790;205778450;26933;180061618;26913;207367046;27048
2022;1;995;3;M;1;3;3;28890253;5654;34181654;5743;29893301;5095;35354092;5198
2022;1;995;3;M;1;4;3;49853069;10086;56786161;10137;48538948;8945;55763918;9057
2022;1;995;3;M;1;5;3;;;;;;;;
2022;1;995;3;M;1;6;3;;;;;;;;
2022;1;995;3;M;1;7;3;27278372;6253;31988136;6291;30392036;6516;35913696;6674
2022;1;995;3;M;1;8;3;1835413;387;2124315;387;3043802;742;3519083;742
2022;1;995;3;M;1;9;3;1819954;581;1946832;581;1928485;581;2050860;581
2022;1;995;3;M;2;1;3;48987709;2709;59487162;2709;47904713;2709;58384949;2709
2022;1;995;3;M;2;2;3;609735849;80230;727291724;81293;615636689;80162;736883097;81440
2022;1;995;3;M;2;3;3;86971048;16147;104598492;16642;86876676;15568;104370039;16103
2022;1;995;3;M;2;4;3;34982639;6836;40567075;7040;33677455;6354;39297622;6556
2022;1;995;3;M;2;5;3;;;;;;;;
2022;1;995;3;M;2;6;3;;;;;;;;
2022;1;995;3;M;2;7;3;195465966;43875;230652367;44279;208916103;44691;246633357;45195
2022;1;995;3;M;2;8;3;41543060;7814;50080959;7852;49085012;9082;58653506;9124
2022;1;995;3;M;2;9;3;11397937;1916;13391271;1935;11397937;1916;13391271;1935
2022;1;997;1;G;1;1;3;;;;;;;;
2022;1;997;1;G;1;2;3;;;;;;;;
2022;1;997;1;G;1;3;3;;;;;;;;
2022;1;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;1;997;1;G;1;5;3;;;;;;;;
2022;1;997;1;G;1;6;3;526979;194;580606;194;526979;194;580606;194
2022;1;997;1;G;1;7;3;1094578;297;1284858;297;1132948;295;1300581;295
2022;1;997;1;G;1;8;3;;;;;;;;
2022;1;997;1;G;1;9;3;;;;;;;;
2022;1;997;1;G;2;1;3;;;;;;;;
2022;1;997;1;G;2;2;3;;;;;;;;
2022;1;997;1;G;2;3;3;;;;;;;;
2022;1;997;1;G;2;4;3;942500;388;1122021;388;942500;388;1122021;388
2022;1;997;1;G;2;5;3;;;;;;;;
2022;1;997;1;G;2;6;3;6532059;906;6807621;906;5821553;906;6151949;906
2022;1;997;1;G;2;7;3;118715;48;144170;57;106646;44;131801;52
2022;1;997;1;G;2;8;3;;;;;;;;
2022;1;997;1;G;2;9;3;;;;;;;;
2022;1;1762;3;P;1;1;1;137757532;6804;142033830;6804;146160781;6804;150484636;6804
2022;1;1762;3;P;1;2;1;1290566047;112006;1352925385;112685;1396400986;116685;1447175046;116794
2022;1;1762;3;P;1;3;1;71016924;19139;76066822;19206;74914972;19139;79220015;19139
2022;1;1762;3;P;1;4;1;253448502;63553;275429637;63880;269881930;63553;288417271;63591
2022;1;1762;3;P;1;5;1;;;;;;;;
2022;1;1762;3;P;1;6;1;;;;;;;;
2022;1;1762;3;P;1;7;1;;;;;;;;
2022;1;1762;3;P;1;8;1;;;;;;;;
2022;1;1762;3;P;1;9;1;77469424;27783;82612179;27783;96734846;32508;102883311;32708
2022;1;1762;3;P;2;1;1;145948361;6244;151914621;6244;160777664;6622;167164914;6622
2022;1;1762;3;P;2;2;1;2035847890;141285;2104568384;141834;2167397654;139980;2236755555;140161
2022;1;1762;3;P;2;3;1;107168066;27198;118656473;27612;113835537;26794;122278486;26890
2022;1;1762;3;P;2;4;1;98212228;22799;106354468;22974;105538146;23153;112903889;23188
2022;1;1762;3;P;2;5;1;;;;;;;;
2022;1;1762;3;P;2;6;1;;;;;;;;
2022;1;1762;3;P;2;7;1;;;;;;;;
2022;1;1762;3;P;2;8;1;;;;;;;;
2022;1;1762;3;P;2;9;1;125759685;40636;134557403;40661;135991966;41770;146093173;42205
2022;1;1118;3;P;1;1;1;644015903;37909;678980082;37909;644015903;37909;678980082;37909
2022;1;1118;3;P;1;2;1;5546962621;738162;6052043807;741874;5546962621;738162;6052043807;741874
2022;1;1118;3;P;1;3;1;890142600;181600;1056236774;184556;890142600;181600;1056236774;184556
2022;1;1118;3;P;1;4;1;939256996;200987;1102091545;201596;939256996;200987;1102091545;201596
2022;1;1118;3;P;1;5;1;33604156;12835;42079305;12847;33604156;12835;42079305;12847
2022;1;1118;3;P;1;6;1;;;;;;;;
2022;1;1118;3;P;1;7;1;98433285;44521;121502390;44593;98433285;44521;121502390;44593
2022;1;1118;3;P;1;8;1;;;;;;;;
2022;1;1118;3;P;1;9;1;61206827;20567;77439796;21099;61206827;20567;77439796;21099
2022;1;1118;3;P;2;1;1;653878123;29095;679427256;29095;653878123;29095;679427256;29095
2022;1;1118;3;P;2;2;1;5922380582;651727;6226505495;652728;5922380582;651727;6226505495;652728
2022;1;1118;3;P;2;3;1;497220038;89340;577306310;90380;497220038;89340;577306310;90380
2022;1;1118;3;P;2;4;1;252401894;62779;303220516;63690;252401894;62779;303220516;63690
2022;1;1118;3;P;2;5;1;13315477;3297;16060916;3381;13315477;3297;16060916;3381
2022;1;1118;3;P;2;6;1;;;;;;;;
2022;1;1118;3;P;2;7;1;66604142;21227;81739400;21383;66604142;21227;81739400;21383
2022;1;1118;3;P;2;8;1;24346111;5679;30236694;5883;24346111;5679;30236694;5883
2022;1;1118;3;P;2;9;1;38664666;11436;47141662;11609;38664666;11436;47141662;11609
2022;1;1310;1;N;1;1;6;;;;;;;;
2022;1;1310;1;N;1;2;6;1193396;194;1303000;194;1198542;194;1302440;194
2022;1;1310;1;N;1;3;6;;;;;;;;
2022;1;1310;1;N;1;4;6;2078058;388;2272741;388;2101350;388;2318445;388
2022;1;1310;1;N;1;5;6;;;;;;;;
2022;1;1310;1;N;1;6;6;;;;;;;;
2022;1;1310;1;N;1;7;6;3077500;1164;3277150;1164;3381504;1099;3618209;1099
2022;1;1310;1;N;1;8;6;;;;;;;;
2022;1;1310;1;N;1;9;6;;;;;;;;
2022;1;1310;1;N;2;1;6;2194242;194;2585185;194;2199388;194;2608301;194
2022;1;1310;1;N;2;2;6;;;;;;;;
2022;1;1310;1;N;2;3;6;;;;;;;;
2022;1;1310;1;N;2;4;6;3749292;582;4333916;582;3759584;582;4378987;582
2022;1;1310;1;N;2;5;6;;;;;;;;
2022;1;1310;1;N;2;6;6;;;;;;;;
2022;1;1310;1;N;2;7;6;7663944;2328;8363781;2328;6080488;1804;6556122;1804
2022;1;1310;1;N;2;8;6;;;;;;;;
2022;1;1310;1;N;2;9;6;;;;;;;;
2022;1;1544;3;C;1;1;10;52341884;1622;54895865;1622;50299313;1461;52837288;1461
2022;1;1544;3;C;1;2;10;155234170;12047;168991024;12050;159637544;11788;173941419;11788
2022;1;1544;3;C;1;3;10;25779425;2269;28521643;2273;26536434;2205;29171555;2205
2022;1;1544;3;C;1;4;10;3779943;582;4207433;582;2887587;420;3278519;420
2022;1;1544;3;C;1;5;10;;;;;;;;
2022;1;1544;3;C;1;6;10;;;;;;;;
2022;1;1544;3;C;1;7;10;;;;;;;;
2022;1;1544;3;C;1;8;10;;;;;;;;
