Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;   RO_t_1   ;   HO_t_1   ;   C_t_1   ;   HT_t_1   ;   RO   ;   HO   ;   C   ;   HT   
2022;2;984;2;G;1;1;1;6868406;183;7053389;183;7027062;183;7199450;183
2022;2;984;2;G;1;2;1;79859556;4147;82512458;4182;73496378;4034;76085023;4073
2022;2;984;2;G;1;3;1;;;;;;;;
2022;2;984;2;G;1;4;1;;;;;;;;
2022;2;984;2;G;1;5;1;;;;;;;;
2022;2;984;2;G;1;6;1;;;;;;;;
2022;2;984;2;G;1;7;1;;;;;;;;
2022;2;984;2;G;1;8;1;;;;;;;;
2022;2;984;2;G;1;9;1;;;;;;;;
2022;2;984;2;G;2;1;1;87442405;547;87592341;547;83328598;552;83639686;552
2022;2;984;2;G;2;2;1;190008398;10533;199731836;10562;220826903;10533;230202093;10562
2022;2;984;2;G;2;3;1;;;;;;;;
2022;2;984;2;G;2;4;1;;;;;;;;
2022;2;984;2;G;2;5;1;;;;;;;;
2022;2;984;2;G;2;6;1;;;;;;;;
2022;2;984;2;G;2;7;1;;;;;;;;
2022;2;984;2;G;2;8;1;;;;;;;;
2022;2;984;2;G;2;9;1;;;;;;;;
2022;2;952;3;B;1;1;1;438009881;9534;449197100;9534;449879553;9887;461021091;9887
2022;2;952;3;B;1;2;1;1490111751;63206;1564048951;63206;1542515935;67153;1611221010;67153
2022;2;952;3;B;1;3;1;29536824;2167;32090180;2167;29352418;2167;31296589;2167
2022;2;952;3;B;1;4;1;17893649;901;19433219;901;17840527;901;18949125;901
2022;2;952;3;B;1;5;1;;;;;;;;
2022;2;952;3;B;1;6;1;;;;;;;;
2022;2;952;3;B;1;7;1;352570822;30341;397958140;30341;334913604;30341;363745466;30341
2022;2;952;3;B;1;8;1;614322475;59598;685224353;59598;599211465;62126;650835264;62126
2022;2;952;3;B;1;9;1;;;;;;;;
2022;2;952;3;B;2;1;1;1124506760;20752;1144397112;20752;1113585186;20571;1133616718;20571
2022;2;952;3;B;2;2;1;3059506706;110964;3160349000;110964;3064381410;112047;3164144552;112047
2022;2;952;3;B;2;3;1;409865671;24200;431311948;24200;384866939;24020;402095212;24020
2022;2;952;3;B;2;4;1;;;;;;;;
2022;2;952;3;B;2;5;1;;;;;;;;
2022;2;952;3;B;2;6;1;;;;;;;;
2022;2;952;3;B;2;7;1;2081634139;137978;2237803302;137978;1989087850;138340;2098740317;138340
2022;2;952;3;B;2;8;1;3434306798;221416;3653679349;221416;3249912116;219790;3409049625;219790
2022;2;952;3;B;2;9;1;2528585;181;2801805;181;2625829;181;2785246;181
2022;2;995;3;M;1;1;3;15226429;864;18318309;864;14867873;787;17808523;787
2022;2;995;3;M;1;2;3;180061618;26913;207367046;27048;172721397;25227;201033124;25364
2022;2;995;3;M;1;3;3;29893301;5095;35354092;5198;26104105;4371;31155648;4454
2022;2;995;3;M;1;4;3;48538948;8945;55763918;9057;48311202;9623;55797272;9753
2022;2;995;3;M;1;5;3;;;;;;;;
2022;2;995;3;M;1;6;3;;;;;;;;
2022;2;995;3;M;1;7;3;30392036;6516;35913696;6674;28615540;6661;33944886;6800
2022;2;995;3;M;1;8;3;3043802;742;3519083;742;2738980;710;3261594;723
2022;2;995;3;M;1;9;3;1928485;581;2050860;581;1536376;484;1658552;484
2022;2;995;3;M;2;1;3;47904713;2709;58384949;2709;52043398;2864;63305323;2864
2022;2;995;3;M;2;2;3;615636689;80162;736883097;81440;608449973;79910;729208914;80997
2022;2;995;3;M;2;3;3;86876676;15568;104370039;16103;85886080;15696;103906817;16191
2022;2;995;3;M;2;4;3;33677455;6354;39297622;6556;32212474;6179;37786754;6356
2022;2;995;3;M;2;5;3;;;;;;;;
2022;2;995;3;M;2;6;3;;;;;;;;
2022;2;995;3;M;2;7;3;208916103;44691;246633357;45195;198170720;43549;233829498;43989
2022;2;995;3;M;2;8;3;49085012;9082;58653506;9124;50904668;9054;61818167;9082
2022;2;995;3;M;2;9;3;11397937;1916;13391271;1935;11397937;1916;13391271;1935
2022;2;997;1;G;1;1;3;;;;;;;;
2022;2;997;1;G;1;2;3;;;;;;;;
2022;2;997;1;G;1;3;3;;;;;;;;
2022;2;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;2;997;1;G;1;5;3;;;;;;;;
2022;2;997;1;G;1;6;3;526979;194;580606;194;526979;194;580606;194
2022;2;997;1;G;1;7;3;;;;;;;;
2022;2;997;1;G;1;8;3;;;;;;;;
2022;2;997;1;G;1;9;3;;;;;;;;
2022;2;997;1;G;2;1;3;;;;;;;;
2022;2;997;1;G;2;2;3;;;;;;;;
2022;2;997;1;G;2;3;3;;;;;;;;
2022;2;997;1;G;2;4;3;986320;388;1165841;388;986320;388;1165841;388
2022;2;997;1;G;2;5;3;;;;;;;;
2022;2;997;1;G;2;6;3;;;;;;;;
2022;2;997;1;G;2;7;3;;;;;;;;
2022;2;997;1;G;2;8;3;;;;;;;;
2022;2;997;1;G;2;9;3;;;;;;;;
2022;2;1762;3;P;1;1;1;146160781;6804;150484636;6804;146160781;6811;150479958;6811
2022;2;1762;3;P;1;2;1;1396400986;116685;1447175046;116794;1420467283;120095;1469786551;120095
2022;2;1762;3;P;1;3;1;74914972;19139;79220015;19139;75613457;19157;79945804;19157
2022;2;1762;3;P;1;4;1;269881930;63553;288417271;63591;268297678;63619;286691512;63651
2022;2;1762;3;P;1;5;1;;;;;;;;
2022;2;1762;3;P;1;6;1;;;;;;;;
2022;2;1762;3;P;1;7;1;;;;;;;;
2022;2;1762;3;P;1;8;1;;;;;;;;
2022;2;1762;3;P;1;9;1;96734846;32508;102883311;32708;95940101;32542;101148750;32542
2022;2;1762;3;P;2;1;1;160777664;6622;167164914;6622;160777664;6622;166994532;6622
2022;2;1762;3;P;2;2;1;2167397654;139980;2236755555;140161;2175658286;140878;2237942661;140981
