ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;7;984;2;G;1;1;1;7030519;183;7203201;183;7030519;183;7204380;183
2022;7;984;2;G;1;2;1;82932172;4569;85805605;4569;85469361;4752;88619646;4752
2022;7;984;2;G;1;3;1;;;;;;;;
2022;7;984;2;G;1;4;1;;;;;;;;
2022;7;984;2;G;1;5;1;;;;;;;;
2022;7;984;2;G;1;6;1;;;;;;;;
2022;7;984;2;G;1;7;1;;;;;;;;
2022;7;984;2;G;1;8;1;;;;;;;;
2022;7;984;2;G;1;9;1;;;;;;;;
2022;7;984;2;G;2;1;1;70840970;548;71146540;548;73681708;548;73989239;548
2022;7;984;2;G;2;2;1;227793633;10752;235511546;10752;237007651;10782;244769036;10782
2022;7;984;2;G;2;3;1;;;;;;;;
2022;7;984;2;G;2;4;1;;;;;;;;
2022;7;984;2;G;2;5;1;;;;;;;;
2022;7;984;2;G;2;6;1;;;;;;;;
2022;7;984;2;G;2;7;1;;;;;;;;
2022;7;984;2;G;2;8;1;;;;;;;;
2022;7;984;2;G;2;9;1;;;;;;;;
2022;7;952;3;B;1;1;1;463824358;10045;475458737;10045;456774823;9331;467411510;9331
2022;7;952;3;B;1;2;1;1700014772;73044;1779010292;73044;1873251137;75573;1956318732;75573
2022;7;952;3;B;1;3;1;31774920;2167;33718896;2167;33879918;2348;36482030;2348
2022;7;952;3;B;1;4;1;16729023;885;17882477;885;17564614;885;18738510;885
2022;7;952;3;B;1;5;1;;;;;;;;
2022;7;952;3;B;1;6;1;;;;;;;;
2022;7;952;3;B;1;7;1;414312337;34856;441581821;34856;423071994;35759;464263985;35759
2022;7;952;3;B;1;8;1;749701818;76574;798353946;76574;764059670;76394;833049125;76394
2022;7;952;3;B;1;9;1;;;;;;;;
2022;7;952;3;B;2;1;1;1194593829;22007;1216746811;22007;1295304861;22376;1318271283;22376
2022;7;952;3;B;2;2;1;3039544201;110414;3141615199;110414;3265675122;110973;3369131106;110973
2022;7;952;3;B;2;3;1;415821178;24020;434404256;24020;408008538;23297;427543189;23297
2022;7;952;3;B;2;4;1;;;;;;;;
2022;7;952;3;B;2;5;1;;;;;;;;
2022;7;952;3;B;2;6;1;;;;;;;;
2022;7;952;3;B;2;7;1;2122768352;137437;2231400476;137437;2103736379;136714;2236459995;136714
2022;7;952;3;B;2;8;1;3439863060;217081;3597077935;217081;3433838484;216720;3621628124;216720
2022;7;952;3;B;2;9;1;2989666;181;3164274;181;3009107;181;3216562;181
2022;7;995;3;M;1;1;3;12880222;690;15174616;690;10947503;581;12970058;581
2022;7;995;3;M;1;2;3;204290038;31049;237209221;31238;202542952;30264;234912602;30401
2022;7;995;3;M;1;3;3;27774714;5042;32933409;5128;28440302;4898;33775291;4983
2022;7;995;3;M;1;4;3;55893460;11554;64384432;11641;54570798;11317;62883613;11391
2022;7;995;3;M;1;5;3;;;;;;;;
2022;7;995;3;M;1;6;3;;;;;;;;
2022;7;995;3;M;1;7;3;37532788;8340;43092988;8380;42332927;8934;48405130;9010
2022;7;995;3;M;1;8;3;1990322;361;2275742;361;2276597;464;2667616;464
2022;7;995;3;M;1;9;3;2073833;581;2199746;581;2222491;581;2355788;581
2022;7;995;3;M;2;1;3;52106016;2903;63547390;2903;51553014;2709;62253369;2709
2022;7;995;3;M;2;2;3;614974701;76376;735045020;77554;622908807;76426;750115936;77802
