ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;6;984;2;G;1;1;1;7387474;195;7555251;195;7384408;195;7553308;195
2022;6;984;2;G;1;2;1;78783991;4007;81538358;4035;80496131;4242;83319608;4273
2022;6;984;2;G;1;3;1;;;;;;;;
2022;6;984;2;G;1;4;1;;;;;;;;
2022;6;984;2;G;1;5;1;;;;;;;;
2022;6;984;2;G;1;6;1;;;;;;;;
2022;6;984;2;G;1;7;1;;;;;;;;
2022;6;984;2;G;1;8;1;;;;;;;;
2022;6;984;2;G;1;9;1;;;;;;;;
2022;6;984;2;G;2;1;1;89108203;572;89460715;572;88352037;572;88786610;572
2022;6;984;2;G;2;2;1;184541576;10533;193253291;10562;187835309;10054;196182138;10082
2022;6;984;2;G;2;3;1;;;;;;;;
2022;6;984;2;G;2;4;1;;;;;;;;
2022;6;984;2;G;2;5;1;;;;;;;;
2022;6;984;2;G;2;6;1;;;;;;;;
2022;6;984;2;G;2;7;1;;;;;;;;
2022;6;984;2;G;2;8;1;;;;;;;;
2022;6;984;2;G;2;9;1;;;;;;;;
2022;6;952;3;B;1;1;1;455074258;9691;466338218;9691;463824358;10045;475458737;10045
2022;6;952;3;B;1;2;1;1669560099;71443;1746004697;71443;1700014772;73044;1779010292;73044
2022;6;952;3;B;1;3;1;32195899;2167;34068609;2167;31774920;2167;33718896;2167
2022;6;952;3;B;1;4;1;9154592;541;9684271;541;16729023;885;17882477;885
2022;6;952;3;B;1;5;1;;;;;;;;
2022;6;952;3;B;1;6;1;;;;;;;;
2022;6;952;3;B;1;7;1;395964643;31786;421993160;31786;414312337;34856;441581821;34856
2022;6;952;3;B;1;8;1;736218242;70615;783458936;70615;749701818;76574;798353946;76574
2022;6;952;3;B;1;9;1;;;;;;;;
2022;6;952;3;B;2;1;1;1303834781;21458;1325630715;21458;1194593829;22007;1216746811;22007
2022;6;952;3;B;2;2;1;3041685287;110956;3143368675;110956;3039544201;110414;3141615199;110414
2022;6;952;3;B;2;3;1;415568256;23839;433905477;23839;415821178;24020;434404256;24020
2022;6;952;3;B;2;4;1;;;;;;;;
2022;6;952;3;B;2;5;1;;;;;;;;
2022;6;952;3;B;2;6;1;;;;;;;;
2022;6;952;3;B;2;7;1;2153603570;137617;2262190257;137617;2122768352;137437;2231400476;137437
2022;6;952;3;B;2;8;1;3507768804;218345;3666358061;218345;3439863060;217081;3597077935;217081
2022;6;952;3;B;2;9;1;2821247;181;3002041;181;2989666;181;3164274;181
2022;6;995;3;M;1;1;3;10652296;581;12816190;581;12880222;690;15174616;690
2022;6;995;3;M;1;2;3;188494967;29290;221051968;29449;204290038;31049;237209221;31238
2022;6;995;3;M;1;3;3;25728531;5021;31327170;5111;27774714;5042;32933409;5128
2022;6;995;3;M;1;4;3;52891123;11182;61748014;11298;55893460;11554;64384432;11641
2022;6;995;3;M;1;5;3;;;;;;;;
2022;6;995;3;M;1;6;3;;;;;;;;
2022;6;995;3;M;1;7;3;34858391;7691;40696479;7733;37532788;8340;43092988;8380
2022;6;995;3;M;1;8;3;1934781;323;2215446;323;1990322;361;2275742;361
2022;6;995;3;M;1;9;3;1913896;581;2068065;581;2073833;581;2199746;581
2022;6;995;3;M;2;1;3;48962491;2709;60652077;2709;52106016;2903;63547390;2903
2022;6;995;3;M;2;2;3;575750235;73539;698405336;74556;614974701;76376;735045020;77554
2022;6;995;3;M;2;3;3;72623924;13582;89160007;14129;77790965;13958;95286163;14724
2022;6;995;3;M;2;4;3;34533295;6656;41330889;6861;39417359;7088;46585837;7299
2022;6;995;3;M;2;5;3;;;;;;;;
2022;6;995;3;M;2;6;3;;;;;;;;
2022;6;995;3;M;2;7;3;271624751;54558;324371131;54980;295377362;59630;348490366;59988
2022;6;995;3;M;2;8;3;79752235;13261;96775308;13318;88347026;14256;105949941;14284
2022;6;995;3;M;2;9;3;;;;;;;;
2022;6;997;1;G;1;1;3;;;;;;;;
2022;6;997;1;G;1;2;3;;;;;;;;
2022;6;997;1;G;1;3;3;;;;;;;;
2022;6;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;6;997;1;G;1;5;3;;;;;;;;
2022;6;997;1;G;1;6;3;560000;194;614592;194;560000;194;614592;194
2022;6;997;1;G;1;7;3;;;;;;;;
2022;6;997;1;G;1;8;3;;;;;;;;
2022;6;997;1;G;1;9;3;;;;;;;;
2022;6;997;1;G;2;1;3;;;;;;;;
2022;6;997;1;G;2;2;3;;;;;;;;
2022;6;997;1;G;2;3;3;;;;;;;;
2022;6;997;1;G;2;4;3;1070657;388;1252109;388;1070657;388;1252109;388
2022;6;997;1;G;2;5;3;;;;;;;;
2022;6;997;1;G;2;6;3;;;;;;;;
2022;6;997;1;G;2;7;3;;;;;;;;
2022;6;997;1;G;2;8;3;;;;;;;;
2022;6;997;1;G;2;9;3;;;;;;;;
2022;6;1762;3;P;1;1;1;139689601;6615;144493727;6615;139710274;6804;143866601;6804
2022;6;1762;3;P;1;2;1;1425997919;119142;1476650695;119181;1434670600;119425;1493475748;119641
2022;6;1762;3;P;1;3;1;72444158;18383;76642377;18383;71378375;18477;75549714;18482
2022;6;1762;3;P;1;4;1;259248559;61285;276942960;61298;256774310;60340;275059158;60464
2022;6;1762;3;P;1;5;1;;;;;;;;
2022;6;1762;3;P;1;6;1;;;;;;;;
2022;6;1762;3;P;1;7;1;;;;;;;;
2022;6;1762;3;P;1;8;1;;;;;;;;
2022;6;1762;3;P;1;9;1;94792349;32083;101545567;32461;94730545;31894;101233827;32165
2022;6;1762;3;P;2;1;1;171308980;6993;177819689;6993;171701929;6993;179101665;6993
2022;6;1762;3;P;2;2;1;2184135713;140357;2253749102;140421;2180257243;140498;2246749308;140698
2022;6;1762;3;P;2;3;1;109806392;26132;117373857;26145;109855891;26368;117863443;26469
2022;6;1762;3;P;2;4;1;105108580;22964;112700884;23026;105735987;23342;113120617;23386
2022;6;1762;3;P;2;5;1;;;;;;;;
2022;6;1762;3;P;2;6;1;;;;;;;;
2022;6;1762;3;P;2;7;1;;;;;;;;
2022;6;1762;3;P;2;8;1;;;;;;;;
2022;6;1762;3;P;2;9;1;134384297;40825;145214275;41403;133849959;40258;144514384;40746
2022;6;1118;3;P;1;1;1;710726583;38007;748669257;38007;701726543;37818;739767318;37818
2022;6;1118;3;P;1;2;1;5968672343;563912;6542023337;570304;5967397425;563339;6490842658;567383
2022;6;1118;3;P;1;3;1;943515266;186036;1130378397;191940;935873760;186792;1105586639;189901
2022;6;1118;3;P;1;4;1;1035113590;198827;1198926079;200064;1021516693;198781;1183939934;199577
2022;6;1118;3;P;1;5;1;34794926;12170;43724344;12182;35507616;12391;44657485;12409
2022;6;1118;3;P;1;6;1;;;;;;;;
2022;6;1118;3;P;1;7;1;29781612;9450;36681822;9452;29043712;9450;35815897;9453
2022;6;1118;3;P;1;8;1;;;;;;;;
2022;6;1118;3;P;1;9;1;132575533;57722;175484742;58664;132699650;58141;174589328;58784
2022;6;1118;3;P;2;1;1;710628942;28548;739042586;28559;686002343;28547;714417074;28547
2022;6;1118;3;P;2;2;1;6431003131;473923;6760587606;475331;6480868657;476764;6807617846;477757
2022;6;1118;3;P;2;3;1;498803846;88047;583039892;89843;508305844;88826;591489117;90256
2022;6;1118;3;P;2;4;1;264344500;60333;315854029;61332;264148943;60608;315183931;61487
2022;6;1118;3;P;2;5;1;15423967;3231;18371704;3363;14882694;3234;17410909;3293
2022;6;1118;3;P;2;6;1;;;;;;;;
2022;6;1118;3;P;2;7;1;30621199;7938;37111569;8018;30235247;7749;36898841;7868
