Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;   RO_t_1   ;   HO_t_1   ;   C_t_1   ;   HT_t_1   ;   RO   ;   HO   ;   C   ;   HT   
2022;3;984;2;G;1;1;1;7027062;183;7199450;183;7041981;183;7211491;183
2022;3;984;2;G;1;2;1;73496378;4034;76085023;4073;77612089;3946;80323351;3989
2022;3;984;2;G;1;3;1;;;;;;;;
2022;3;984;2;G;1;4;1;;;;;;;;
2022;3;984;2;G;1;5;1;;;;;;;;
2022;3;984;2;G;1;6;1;;;;;;;;
2022;3;984;2;G;1;7;1;;;;;;;;
2022;3;984;2;G;1;8;1;;;;;;;;
2022;3;984;2;G;1;9;1;;;;;;;;
2022;3;984;2;G;2;1;1;83328598;552;83639686;552;84128063;555;84662977;555
2022;3;984;2;G;2;2;1;220826903;10533;230202093;10562;203334944;10533;211398245;10562
2022;3;984;2;G;2;3;1;;;;;;;;
2022;3;984;2;G;2;4;1;;;;;;;;
2022;3;984;2;G;2;5;1;;;;;;;;
2022;3;984;2;G;2;6;1;;;;;;;;
2022;3;984;2;G;2;7;1;;;;;;;;
2022;3;984;2;G;2;8;1;;;;;;;;
2022;3;984;2;G;2;9;1;;;;;;;;
2022;3;952;3;B;1;1;1;449879553;9887;461021091;9887;437010987;9527;447949534;9527
2022;3;952;3;B;1;2;1;1542515935;67153;1611221010;67153;1617396040;68581;1688871149;68581
2022;3;952;3;B;1;3;1;29352418;2167;31296589;2167;29990023;2348;31694684;2348
2022;3;952;3;B;1;4;1;17840527;901;18949125;901;14110416;713;14970441;713
2022;3;952;3;B;1;5;1;;;;;;;;
2022;3;952;3;B;1;6;1;;;;;;;;
2022;3;952;3;B;1;7;1;334913604;30341;363745466;30341;329653555;30702;350714496;30702
2022;3;952;3;B;1;8;1;599211465;62126;650835264;62126;599574102;65197;636956632;65197
2022;3;952;3;B;1;9;1;;;;;;;;
2022;3;952;3;B;2;1;1;1113585186;20571;1133616718;20571;1143813421;20743;1164306258;20743
2022;3;952;3;B;2;2;1;3064381410;112047;3164144552;112047;3068897547;111325;3169455024;111325
2022;3;952;3;B;2;3;1;384866939;24020;402095212;24020;383073833;24200;400077148;24200
2022;3;952;3;B;2;4;1;;;;;;;;
2022;3;952;3;B;2;5;1;;;;;;;;
2022;3;952;3;B;2;6;1;;;;;;;;
2022;3;952;3;B;2;7;1;1989087850;138340;2098740317;138340;1955956909;138159;2056831858;138159
2022;3;952;3;B;2;8;1;3249912116;219790;3409049625;219790;3148273467;219429;3294937169;219429
2022;3;952;3;B;2;9;1;2625829;181;2785246;181;2630050;181;2784532;181
2022;3;995;3;M;1;1;3;14867873;787;17808523;787;11677687;639;13925649;639
2022;3;995;3;M;1;2;3;172721397;25227;201033124;25364;180358955;26341;208342764;26447
2022;3;995;3;M;1;3;3;26104105;4371;31155648;4454;30109289;5448;35404872;5522
2022;3;995;3;M;1;4;3;48311202;9623;55797272;9753;51422962;9735;58962329;9838
2022;3;995;3;M;1;5;3;;;;;;;;
2022;3;995;3;M;1;6;3;;;;;;;;
2022;3;995;3;M;1;7;3;28615540;6661;33944886;6800;29134958;6408;33917701;6433
2022;3;995;3;M;1;8;3;2738980;710;3261594;723;2371601;581;2728469;581
2022;3;995;3;M;1;9;3;1536376;484;1658552;484;1940143;581;2084179;581
2022;3;995;3;M;2;1;3;52043398;2864;63305323;2864;54962861;3038;66948826;3038
2022;3;995;3;M;2;2;3;608449973;79910;729208914;80997;625505166;81513;744865792;82481
2022;3;995;3;M;2;3;3;85886080;15696;103906817;16191;92553102;16336;111162718;16883
2022;3;995;3;M;2;4;3;32212474;6179;37786754;6356;34475036;6727;39824151;6899
2022;3;995;3;M;2;5;3;;;;;;;;
2022;3;995;3;M;2;6;3;;;;;;;;
2022;3;995;3;M;2;7;3;198170720;43549;233829498;43989;206424453;44612;244696658;45088
2022;3;995;3;M;2;8;3;50904668;9054;61818167;9082;51819709;9619;63471084;9687
2022;3;995;3;M;2;9;3;11397937;1916;13391271;1935;11397937;1916;13391271;1935
2022;3;997;1;G;1;1;3;;;;;;;;
2022;3;997;1;G;1;2;3;;;;;;;;
2022;3;997;1;G;1;3;3;;;;;;;;
