ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;11;984;2;G;1;1;1;7030519;183;7202065;183;7030519;183;7203113;183
2022;11;984;2;G;1;2;1;90849364;4581;94081132;4595;90920236;4569;93987947;4569
2022;11;984;2;G;1;3;1;;;;;;;;
2022;11;984;2;G;1;4;1;;;;;;;;
2022;11;984;2;G;1;5;1;;;;;;;;
2022;11;984;2;G;1;6;1;;;;;;;;
2022;11;984;2;G;1;7;1;;;;;;;;
2022;11;984;2;G;1;8;1;;;;;;;;
2022;11;984;2;G;1;9;1;;;;;;;;
2022;11;984;2;G;2;1;1;74672182;548;74973660;548;72941898;548;73245217;548
2022;11;984;2;G;2;2;1;224545482;10417;232034579;10440;223303419;10234;230950980;10265
2022;11;984;2;G;2;3;1;;;;;;;;
2022;11;984;2;G;2;4;1;;;;;;;;
2022;11;984;2;G;2;5;1;;;;;;;;
2022;11;984;2;G;2;6;1;;;;;;;;
2022;11;984;2;G;2;7;1;;;;;;;;
2022;11;984;2;G;2;8;1;;;;;;;;
2022;11;984;2;G;2;9;1;;;;;;;;
2022;11;952;3;B;1;1;1;537753914;10225;549289640;10225;576897997;10948;589208663;10948
2022;11;952;3;B;1;2;1;2090327273;78290;2176534510;78290;2153653150;79382;2240957449;79382
2022;11;952;3;B;1;3;1;26621927;1806;28779899;1806;24681100;1625;26177670;1625
2022;11;952;3;B;1;4;1;18458590;885;19580661;885;18962546;885;20155484;885
2022;11;952;3;B;1;5;1;;;;;;;;
2022;11;952;3;B;1;6;1;;;;;;;;
2022;11;952;3;B;1;7;1;422875862;35759;468494239;35759;415792703;35939;442373727;35939
2022;11;952;3;B;1;8;1;767503786;74588;843252757;74588;745228228;73865;790695310;73865
2022;11;952;3;B;1;9;1;;;;;;;;
2022;11;952;3;B;2;1;1;1351680594;23107;1374531328;23107;1373805812;23444;1397423207;23444
2022;11;952;3;B;2;2;1;3431910727;113485;3535490487;113485;3437756249;113665;3542500240;113665
2022;11;952;3;B;2;3;1;390167186;22214;410484878;22214;382930484;21853;399556447;21853
2022;11;952;3;B;2;4;1;;;;;;;;
2022;11;952;3;B;2;5;1;;;;;;;;
2022;11;952;3;B;2;6;1;;;;;;;;
2022;11;952;3;B;2;7;1;2079882931;133283;2216226679;133283;2078890395;133102;2179882314;133102
2022;11;952;3;B;2;8;1;3524652263;218887;3720288431;218887;3464143646;218526;3615509697;218526
2022;11;952;3;B;2;9;1;2940392;181;3143828;181;2940392;181;3143828;181
2022;11;995;3;M;1;1;3;14262604;755;16625932;755;13383639;774;15760462;774
2022;11;995;3;M;1;2;3;226913220;32860;263753944;33069;219434587;31290;256565123;31490
2022;11;995;3;M;1;3;3;36231042;6806;42162041;6876;34680441;6604;41326660;6709
2022;11;995;3;M;1;4;3;61106385;11225;69838860;11291;56675004;11645;65768252;11732
2022;11;995;3;M;1;5;3;;;;;;;;
2022;11;995;3;M;1;6;3;;;;;;;;
2022;11;995;3;M;1;7;3;46553049;10385;52649410;10385;43545069;9201;51007173;9206
2022;11;995;3;M;1;8;3;2532270;581;2984253;581;2404052;568;2848707;568
2022;11;995;3;M;1;9;3;2419517;671;2607796;671;2773403;716;3019089;716
2022;11;995;3;M;2;1;3;50418045;2657;60717402;2657;52073855;2670;62413619;2670
2022;11;995;3;M;2;2;3;663267088;80220;794311763;81523;662381004;81511;795860721;82701
2022;11;995;3;M;2;3;3;71796613;12769;86025221;13138;68749755;11667;83221952;12092
2022;11;995;3;M;2;4;3;45270651;7493;53539901;7690;47037516;8184;56810938;8475
2022;11;995;3;M;2;5;3;;;;;;;;
2022;11;995;3;M;2;6;3;;;;;;;;
2022;11;995;3;M;2;7;3;361586933;67461;424310468;67901;350674264;65960;420009386;66782
2022;11;995;3;M;2;8;3;97298950;14378;115578211;14435;96435669;14854;116357949;14875
2022;11;995;3;M;2;9;3;;;;;;;;
2022;11;997;1;G;1;1;3;;;;;;;;
2022;11;997;1;G;1;2;3;;;;;;;;
2022;11;997;1;G;1;3;3;;;;;;;;
2022;11;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;11;997;1;G;1;5;3;;;;;;;;
2022;11;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2022;11;997;1;G;1;7;3;;;;;;;;
2022;11;997;1;G;1;8;3;;;;;;;;
2022;11;997;1;G;1;9;3;;;;;;;;
2022;11;997;1;G;2;1;3;;;;;;;;
2022;11;997;1;G;2;2;3;;;;;;;;
2022;11;997;1;G;2;3;3;;;;;;;;
2022;11;997;1;G;2;4;3;1120657;388;1302109;388;1120657;388;1302109;388
2022;11;997;1;G;2;5;3;;;;;;;;
2022;11;997;1;G;2;6;3;;;;;;;;
2022;11;997;1;G;2;7;3;;;;;;;;
2022;11;997;1;G;2;8;3;;;;;;;;
2022;11;997;1;G;2;9;3;;;;;;;;
2022;11;1762;3;P;1;1;1;142826771;6811;149438793;6811;136931025;6426;141921435;6426
2022;11;1762;3;P;1;2;1;1501510650;125143;1561760166;125565;1534146814;127694;1592327290;127861
2022;11;1762;3;P;1;3;1;71564298;18166;76034201;18171;70236440;17927;74390484;17927
2022;11;1762;3;P;1;4;1;259350523;61899;278334029;62043;261064488;62655;278980689;62694
2022;11;1762;3;P;1;5;1;;;;;;;;
2022;11;1762;3;P;1;6;1;;;;;;;;
2022;11;1762;3;P;1;7;1;;;;;;;;
2022;11;1762;3;P;1;8;1;;;;;;;;
2022;11;1762;3;P;1;9;1;115279394;38652;124369533;39032;115202199;38937;125206492;39642
2022;11;1762;3;P;2;1;1;168644588;7000;175301312;7000;168670134;6993;178105376;6993
2022;11;1762;3;P;2;2;1;2275608052;146729;2344666226;147084;2298793656;148005;2396027288;148196
2022;11;1762;3;P;2;3;1;110456789;26085;121571023;26443;108126186;25518;118814486;25943
2022;11;1762;3;P;2;4;1;108912313;23437;118988761;23857;107003893;22870;113113995;22958
2022;11;1762;3;P;2;5;1;;;;;;;;
2022;11;1762;3;P;2;6;1;;;;;;;;
2022;11;1762;3;P;2;7;1;;;;;;;;
2022;11;1762;3;P;2;8;1;;;;;;;;
2022;11;1762;3;P;2;9;1;150141096;46306;162880905;46942;146637584;44891;162084815;46234
2022;11;1118;3;P;1;1;1;702590176;38763;741164371;38771;698061627;38664;736512366;38668
2022;11;1118;3;P;1;2;1;6177422638;574498;6736423554;580098;6252362635;575204;6830217288;581517
2022;11;1118;3;P;1;3;1;987149351;191518;1177146784;196734;992047877;191700;1185566165;197610
2022;11;1118;3;P;1;4;1;984575125;195151;1145898024;196058;1026694982;196328;1190046063;197303
2022;11;1118;3;P;1;5;1;37058195;12457;46402172;12498;36788053;12381;46357155;12416
2022;11;1118;3;P;1;6;1;;;;;;;;
2022;11;1118;3;P;1;7;1;27765971;8883;34268264;8900;28045130;8505;34513419;8517
2022;11;1118;3;P;1;8;1;;;;;;;;
2022;11;1118;3;P;1;9;1;182748066;76438;240514710;77439;237872371;105118;318085543;106185
2022;11;1118;3;P;2;1;1;677786284;28741;706641632;28741;681730185;29279;710862856;29289
2022;11;1118;3;P;2;2;1;6561009794;474609;6902284961;476080;6670877759;476748;7010341117;477969
2022;11;1118;3;P;2;3;1;521912708;90463;606649807;91897;533038471;91266;623690282;93407
2022;11;1118;3;P;2;4;1;274654290;60640;327693371;61577;273103543;59899;325843965;60888
2022;11;1118;3;P;2;5;1;15025027;2918;17697375;3013;13904747;2736;16291470;2829
2022;11;1118;3;P;2;6;1;;;;;;;;
2022;11;1118;3;P;2;7;1;26262988;6922;32114862;7006;26410165;6804;32642235;6940
2022;11;1118;3;P;2;8;1;23050092;4910;28716238;5129;20339173;4522;25128880;4708
2022;11;1118;3;P;2;9;1;82460961;27115;104784788;27625;93412380;32300;119571120;32884
2022;11;1310;1;N;1;1;6;;;;;;;;
2022;11;1310;1;N;1;2;6;1218333;194;1311433;194;1218333;194;1305219;194
2022;11;1310;1;N;1;3;6;;;;;;;;
2022;11;1310;1;N;1;4;6;2319326;388;2528486;388;2319326;388;2516657;388
2022;11;1310;1;N;1;5;6;;;;;;;;
2022;11;1310;1;N;1;6;6;;;;;;;;
2022;11;1310;1;N;1;7;6;4100000;1358;4346000;1358;4066666;1345;4289926;1345
2022;11;1310;1;N;1;8;6;;;;;;;;
2022;11;1310;1;N;1;9;6;;;;;;;;
2022;11;1310;1;N;2;1;6;2519791;194;3175308;194;2519791;194;3161513;194
2022;11;1310;1;N;2;2;6;;;;;;;;
2022;11;1310;1;N;2;3;6;;;;;;;;
2022;11;1310;1;N;2;4;6;4010624;582;4639370;582;4010624;582;4620368;582
2022;11;1310;1;N;2;5;6;;;;;;;;
2022;11;1310;1;N;2;6;6;;;;;;;;
2022;11;1310;1;N;2;7;6;5314999;1539;5633899;1539;4940001;1491;5211207;1491
2022;11;1310;1;N;2;8;6;;;;;;;;
2022;11;1310;1;N;2;9;6;;;;;;;;
2022;11;1544;3;C;1;1;10;61130375;1746;64353252;1746;61130375;1746;64366268;1746
2022;11;1544;3;C;1;2;10;172288011;11606;189375424;11612;170778555;11406;188050802;11413
2022;11;1544;3;C;1;3;10;31995903;2457;35289330;2473;31234148;2386;35332600;2422
2022;11;1544;3;C;1;4;10;2492833;388;2923604;392;2492833;388;2864594;392
2022;11;1544;3;C;1;5;10;;;;;;;;
2022;11;1544;3;C;1;6;10;;;;;;;;
2022;11;1544;3;C;1;7;10;;;;;;;;
2022;11;1544;3;C;1;8;10;;;;;;;;
