ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2022;10;984;2;G;1;1;1;7076123;183;7247261;183;7202487;183;7371993;183
2022;10;984;2;G;1;2;1;84657935;4980;88221052;4980;87253184;4767;90361194;4786
2022;10;984;2;G;1;3;1;;;;;;;;
2022;10;984;2;G;1;4;1;;;;;;;;
2022;10;984;2;G;1;5;1;;;;;;;;
2022;10;984;2;G;1;6;1;;;;;;;;
2022;10;984;2;G;1;7;1;;;;;;;;
2022;10;984;2;G;1;8;1;;;;;;;;
2022;10;984;2;G;1;9;1;;;;;;;;
2022;10;984;2;G;2;1;1;74551196;570;74850803;570;76754493;570;76933233;570
2022;10;984;2;G;2;2;1;215868002;10782;225367633;10782;225095704;10782;233194784;10782
2022;10;984;2;G;2;3;1;;;;;;;;
2022;10;984;2;G;2;4;1;;;;;;;;
2022;10;984;2;G;2;5;1;;;;;;;;
2022;10;984;2;G;2;6;1;;;;;;;;
2022;10;984;2;G;2;7;1;;;;;;;;
2022;10;984;2;G;2;8;1;;;;;;;;
2022;10;984;2;G;2;9;1;;;;;;;;
2022;10;952;3;B;1;1;1;527405063;9864;539124068;9864;537753914;10225;549289640;10225
2022;10;952;3;B;1;2;1;2065100793;77026;2152318811;77026;2090327273;78290;2176534510;78290
2022;10;952;3;B;1;3;1;37481675;2709;40070715;2709;26621927;1806;28779899;1806
2022;10;952;3;B;1;4;1;18037874;885;19183533;885;18458590;885;19580661;885
2022;10;952;3;B;1;5;1;;;;;;;;
2022;10;952;3;B;1;6;1;;;;;;;;
2022;10;952;3;B;1;7;1;398043013;35759;429142787;35759;422875862;35759;468494239;35759
2022;10;952;3;B;1;8;1;732766767;74588;787331215;74588;767503786;74588;843252757;74588
2022;10;952;3;B;1;9;1;;;;;;;;
2022;10;952;3;B;2;1;1;1393318272;22737;1416981585;22737;1351680594;23107;1374531328;23107
2022;10;952;3;B;2;2;1;3416324378;113132;3524354957;113132;3431910727;113485;3535490487;113485
2022;10;952;3;B;2;3;1;368093360;21853;385797457;21853;390167186;22214;410484878;22214
2022;10;952;3;B;2;4;1;;;;;;;;
2022;10;952;3;B;2;5;1;;;;;;;;
2022;10;952;3;B;2;6;1;;;;;;;;
2022;10;952;3;B;2;7;1;2031455815;136353;2146509454;136353;2079882931;133283;2216226679;133283
2022;10;952;3;B;2;8;1;3320604541;216901;3486229258;216901;3524652263;218887;3720288431;218887
2022;10;952;3;B;2;9;1;2940392;181;3143828;181;2940392;181;3143828;181
2022;10;995;3;M;1;1;3;11127852;581;13161085;581;14262604;755;16625932;755
2022;10;995;3;M;1;2;3;215999024;31945;252367711;32089;226913220;32860;263753944;33069
2022;10;995;3;M;1;3;3;30910661;5791;36356406;5837;36231042;6806;42162041;6876
2022;10;995;3;M;1;4;3;61583253;11877;71567163;12016;61106385;11225;69838860;11291
2022;10;995;3;M;1;5;3;;;;;;;;
2022;10;995;3;M;1;6;3;;;;;;;;
2022;10;995;3;M;1;7;3;40888054;9181;46471596;9181;46553049;10385;52649410;10385
2022;10;995;3;M;1;8;3;2042930;458;2396330;458;2532270;581;2984253;581
2022;10;995;3;M;1;9;3;1566184;387;1612422;387;2419517;671;2607796;671
2022;10;995;3;M;2;1;3;51445503;2709;61872041;2709;50418045;2657;60717402;2657
2022;10;995;3;M;2;2;3;653030712;79544;783222426;80705;663267088;80220;794311763;81523
2022;10;995;3;M;2;3;3;67458077;12529;82753002;13084;71796613;12769;86025221;13138
2022;10;995;3;M;2;4;3;38729106;7338;46470175;7597;45270651;7493;53539901;7690
2022;10;995;3;M;2;5;3;;;;;;;;
2022;10;995;3;M;2;6;3;;;;;;;;
2022;10;995;3;M;2;7;3;344798113;67758;410493688;68415;361586933;67461;424310468;67901
2022;10;995;3;M;2;8;3;91700226;13935;110252948;14000;97298950;14378;115578211;14435
2022;10;995;3;M;2;9;3;;;;;;;;
2022;10;997;1;G;1;1;3;;;;;;;;
2022;10;997;1;G;1;2;3;;;;;;;;
2022;10;997;1;G;1;3;3;;;;;;;;
2022;10;997;1;G;1;4;3;638500;194;815825;194;638500;194;815825;194
2022;10;997;1;G;1;5;3;;;;;;;;
2022;10;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2022;10;997;1;G;1;7;3;;;;;;;;
2022;10;997;1;G;1;8;3;;;;;;;;
2022;10;997;1;G;1;9;3;;;;;;;;
2022;10;997;1;G;2;1;3;;;;;;;;
2022;10;997;1;G;2;2;3;;;;;;;;
2022;10;997;1;G;2;3;3;;;;;;;;
2022;10;997;1;G;2;4;3;1120657;388;1302109;388;1120657;388;1302109;388
2022;10;997;1;G;2;5;3;;;;;;;;
2022;10;997;1;G;2;6;3;;;;;;;;
2022;10;997;1;G;2;7;3;;;;;;;;
2022;10;997;1;G;2;8;3;;;;;;;;
2022;10;997;1;G;2;9;3;;;;;;;;
2022;10;1762;3;P;1;1;1;143327320;6622;147477748;6622;142826771;6811;149438793;6811
2022;10;1762;3;P;1;2;1;1504798033;124198;1562121653;124198;1501510650;125143;1561760166;125565
2022;10;1762;3;P;1;3;1;71023017;17910;75396929;17910;70838037;17154;75307940;17159
2022;10;1762;3;P;1;4;1;258124125;61710;276394812;61710;259350523;61899;278334029;62043
2022;10;1762;3;P;1;5;1;;;;;;;;
2022;10;1762;3;P;1;6;1;;;;;;;;
2022;10;1762;3;P;1;7;1;;;;;;;;
2022;10;1762;3;P;1;8;1;;;;;;;;
2022;10;1762;3;P;1;9;1;108624020;36951;115713904;37079;115279394;38652;124369533;39032
2022;10;1762;3;P;2;1;1;159639053;6786;165833994;6786;168644588;7000;175301312;7000
2022;10;1762;3;P;2;2;1;2268473386;147060;2337465126;147060;2275608052;146729;2344666226;147084
2022;10;1762;3;P;2;3;1;110937622;26652;118833058;26652;110456789;26085;121571023;26443
