ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;4;984;2;G;1;1;1;7663266;183;7839937;183;7663266;183;7842439;183
2023;4;984;2;G;1;2;1;95527520;4752;100127274;4752;93138040;4575;96679532;4575
2023;4;984;2;G;1;3;1;;;;;;;;
2023;4;984;2;G;1;4;1;;;;;;;;
2023;4;984;2;G;1;5;1;;;;;;;;
2023;4;984;2;G;1;6;1;;;;;;;;
2023;4;984;2;G;1;7;1;;;;;;;;
2023;4;984;2;G;1;8;1;;;;;;;;
2023;4;984;2;G;1;9;1;;;;;;;;
2023;4;984;2;G;2;1;1;72610299;548;72920854;548;71333896;548;71650254;548
2023;4;984;2;G;2;2;1;218675957;9320;228629976;9380;218513939;9138;225312118;9138
2023;4;984;2;G;2;3;1;;;;;;;;
2023;4;984;2;G;2;4;1;;;;;;;;
2023;4;984;2;G;2;5;1;;;;;;;;
2023;4;984;2;G;2;6;1;;;;;;;;
2023;4;984;2;G;2;7;1;;;;;;;;
2023;4;984;2;G;2;8;1;;;;;;;;
2023;4;984;2;G;2;9;1;;;;;;;;
2023;4;952;3;B;1;1;1;681940671;12684;697377440;12684;701309290;13074;716907030;13074
2023;4;952;3;B;1;2;1;2470604429;87708;2570005495;87708;2498487440;89029;2599418475;89029
2023;4;952;3;B;1;3;1;27235633;1896;28860178;1896;32270661;2349;34354327;2349
2023;4;952;3;B;1;4;1;19453776;885;20729004;885;19200152;885;20424288;885
2023;4;952;3;B;1;5;1;;;;;;;;
2023;4;952;3;B;1;6;1;;;;;;;;
2023;4;952;3;B;1;7;1;490233876;40986;520771033;40986;483092201;40559;516708691;40559
2023;4;952;3;B;1;8;1;761746453;72097;806865187;72097;848677525;79908;904512531;79908
2023;4;952;3;B;1;9;1;;;;;;;;
2023;4;952;3;B;2;1;1;1489419559;24259;1514583543;24259;1453406094;23894;1478452652;23894
2023;4;952;3;B;2;2;1;3666448972;114076;3774624328;114076;3640246284;113516;3746945327;113516
2023;4;952;3;B;2;3;1;388622531;21907;405397309;21907;377081199;21672;394210916;21672
2023;4;952;3;B;2;4;1;;;;;;;;
2023;4;952;3;B;2;5;1;;;;;;;;
2023;4;952;3;B;2;6;1;;;;;;;;
2023;4;952;3;B;2;7;1;2059701390;128827;2157394280;128827;2062237699;127929;2166104111;127929
2023;4;952;3;B;2;8;1;3480586621;213317;3627447339;213317;3439007680;211591;3591911933;211591
2023;4;952;3;B;2;9;1;;;;;;;;
2023;4;995;3;M;1;1;3;13765264;774;16159209;774;13765264;774;16159209;774
2023;4;995;3;M;1;2;3;231139615;34746;267961587;34963;242387507;34961;280441138;35297
2023;4;995;3;M;1;3;3;32363184;5995;38219092;6096;32599814;5998;38417554;6080
2023;4;995;3;M;1;4;3;59850730;11763;68449922;11814;66566536;12685;75641219;12711
2023;4;995;3;M;1;5;3;1699292;194;2132217;194;1699292;194;2133237;194
2023;4;995;3;M;1;6;3;;;;;;;;
2023;4;995;3;M;1;7;3;41180314;8528;47323234;8614;45254938;9431;51367725;9431
2023;4;995;3;M;1;8;3;2801724;580;3386630;581;3102312;581;3743240;588
2023;4;995;3;M;1;9;3;1859176;581;2057734;581;1957084;581;2161260;581
2023;4;995;3;M;2;1;3;49402780;2567;59534687;2567;49402780;2567;59534687;2567
2023;4;995;3;M;2;2;3;635716531;76331;757899187;77337;669960342;78569;801532762;79896
2023;4;995;3;M;2;3;3;63067758;10851;76292237;11359;61084185;10445;75342911;11045
2023;4;995;3;M;2;4;3;46922993;8071;55429007;8240;49683538;8235;59192985;8477
2023;4;995;3;M;2;5;3;;;;;;;;
2023;4;995;3;M;2;6;3;;;;;;;;
2023;4;995;3;M;2;7;3;347313999;67292;411553541;68116;360983149;68587;427106119;69441
2023;4;995;3;M;2;8;3;110468257;17469;133991825;17589;116745019;16951;140938512;17052
2023;4;995;3;M;2;9;3;;;;;;;;
2023;4;997;1;G;1;1;3;;;;;;;;
2023;4;997;1;G;1;2;3;;;;;;;;
2023;4;997;1;G;1;3;3;;;;;;;;
2023;4;997;1;G;1;4;3;663500;194;840825;194;663500;194;840825;194
2023;4;997;1;G;1;5;3;;;;;;;;
2023;4;997;1;G;1;6;3;585000;194;639592;194;595000;194;649592;194
2023;4;997;1;G;1;7;3;;;;;;;;
2023;4;997;1;G;1;8;3;;;;;;;;
2023;4;997;1;G;1;9;3;;;;;;;;
2023;4;997;1;G;2;1;3;;;;;;;;
2023;4;997;1;G;2;2;3;;;;;;;;
2023;4;997;1;G;2;3;3;;;;;;;;
2023;4;997;1;G;2;4;3;1145657;388;1327109;388;1145657;388;1327109;388
2023;4;997;1;G;2;5;3;;;;;;;;
2023;4;997;1;G;2;6;3;;;;;;;;
2023;4;997;1;G;2;7;3;;;;;;;;
2023;4;997;1;G;2;8;3;;;;;;;;
2023;4;997;1;G;2;9;3;;;;;;;;
2023;4;1762;3;P;1;1;1;276386828;11163;284405459;11163;296372784;12109;305072528;12109
2023;4;1762;3;P;1;2;1;1666776123;130122;1734483936;130438;1670166487;129791;1728705186;129791
2023;4;1762;3;P;1;3;1;81658423;18477;86728060;18545;82706580;18902;87696005;18902
2023;4;1762;3;P;1;4;1;297666455;63222;317885280;63283;299974056;63789;320694586;63789
2023;4;1762;3;P;1;5;1;;;;;;;;
2023;4;1762;3;P;1;6;1;;;;;;;;
2023;4;1762;3;P;1;7;1;;;;;;;;
2023;4;1762;3;P;1;8;1;;;;;;;;
2023;4;1762;3;P;1;9;1;123123712;37047;130489910;37117;183311227;55853;194058190;55853
2023;4;1762;3;P;2;1;1;263261886;10028;272512426;10028;291708291;10962;301332871;10962
2023;4;1762;3;P;2;2;1;2509866869;151880;2594401849;152060;2526014408;152164;2597205677;152164
2023;4;1762;3;P;2;3;1;123938978;26652;132986357;26740;125101788;26652;133891866;26652
2023;4;1762;3;P;2;4;1;116365310;22303;124962904;22399;115183118;22161;123347071;22161
2023;4;1762;3;P;2;5;1;;;;;;;;
2023;4;1762;3;P;2;6;1;;;;;;;;
2023;4;1762;3;P;2;7;1;;;;;;;;
2023;4;1762;3;P;2;8;1;;;;;;;;
2023;4;1762;3;P;2;9;1;159354718;44324;168937366;44344;171812090;47726;182257742;47726
2023;4;1118;3;P;1;1;1;693686648;37818;731827714;37818;693686648;37818;731827714;37818
2023;4;1118;3;P;1;2;1;6315179748;569047;6871419644;573146;6315179748;569047;6871419644;573146
2023;4;1118;3;P;1;3;1;1048978193;197502;1242550441;200826;1048978193;197502;1242550441;200826
2023;4;1118;3;P;1;4;1;1046984503;196539;1222544766;197529;1046984503;196539;1222544766;197529
2023;4;1118;3;P;1;5;1;37747101;12813;47601268;12837;37747101;12813;47601268;12837
2023;4;1118;3;P;1;6;1;;;;;;;;
2023;4;1118;3;P;1;7;1;27916235;8505;34893361;8517;27916235;8505;34893361;8517
2023;4;1118;3;P;1;8;1;;;;;;;;
2023;4;1118;3;P;1;9;1;256000033;108632;337304953;109111;256000033;108632;337304953;109111
2023;4;1118;3;P;2;1;1;676996033;28741;706043905;28753;676996033;28741;706043905;28753
2023;4;1118;3;P;2;2;1;6599539497;460347;6934910749;461331;6599539497;460347;6934910749;461331
2023;4;1118;3;P;2;3;1;553536004;94330;646388059;95939;553536004;94330;646388059;95939
2023;4;1118;3;P;2;4;1;287061588;61432;344988840;62567;287061588;61432;344988840;62567
2023;4;1118;3;P;2;5;1;15521547;2736;17994800;2792;15521547;2736;17994800;2792
2023;4;1118;3;P;2;6;1;;;;;;;;
2023;4;1118;3;P;2;7;1;25989161;6804;32757886;6977;25989161;6804;32757886;6977
2023;4;1118;3;P;2;8;1;20934122;4532;26285985;4741;20934122;4532;26285985;4741
2023;4;1118;3;P;2;9;1;98944859;32775;125617754;33154;98944859;32775;125617754;33154
2023;4;1310;1;N;1;1;6;;;;;;;;
2023;4;1310;1;N;1;2;6;1222292;194;1309274;194;1222114;194;1279819;194
2023;4;1310;1;N;1;3;6;;;;;;;;
2023;4;1310;1;N;1;4;6;3547367;582;3811763;582;2325253;388;2524072;388
2023;4;1310;1;N;1;5;6;;;;;;;;
2023;4;1310;1;N;1;6;6;;;;;;;;
2023;4;1310;1;N;1;7;6;3589584;1132;3786293;1132;2925000;970;3087045;970
2023;4;1310;1;N;1;8;6;;;;;;;;
2023;4;1310;1;N;1;9;6;;;;;;;;
2023;4;1310;1;N;2;1;6;2523750;194;3159689;194;2523750;194;3159918;194
2023;4;1310;1;N;2;2;6;;;;;;;;
2023;4;1310;1;N;2;3;6;;;;;;;;
2023;4;1310;1;N;2;4;6;4018542;582;4722639;582;4018542;582;4731713;582
2023;4;1310;1;N;2;5;6;;;;;;;;
2023;4;1310;1;N;2;6;6;;;;;;;;
2023;4;1310;1;N;2;7;6;4653170;1267;4908164;1267;4971962;1358;5254140;1360
2023;4;1310;1;N;2;8;6;;;;;;;;
2023;4;1310;1;N;2;9;6;;;;;;;;
2023;4;1544;3;C;1;1;10;64027392;1746;66668889;1746;61115149;1642;63791865;1642
2023;4;1544;3;C;1;2;10;186449693;11412;200397872;11412;182402730;11141;196532132;11148
2023;4;1544;3;C;1;3;10;29419782;2121;31992124;2121;29457211;2328;32646079;2344
2023;4;1544;3;C;1;4;10;1509079;194;1736223;194;1617832;194;1861999;194
2023;4;1544;3;C;1;5;10;;;;;;;;
2023;4;1544;3;C;1;6;10;;;;;;;;
2023;4;1544;3;C;1;7;10;;;;;;;;
2023;4;1544;3;C;1;8;10;;;;;;;;
2023;4;1544;3;C;1;9;10;;;;;;;;
2023;4;1544;3;C;2;1;10;145444446;2845;152636899;2845;136653436;2696;143364329;2696
2023;4;1544;3;C;2;2;10;228454646;11691;242483861;11691;229504860;11504;243774130;11516
2023;4;1544;3;C;2;3;10;44410181;3298;48082595;3298;44900071;3298;48775981;3318
2023;4;1544;3;C;2;4;10;6312180;388;6734397;388;6677395;388;7111547;388
2023;4;1544;3;C;2;5;10;;;;;;;;
2023;4;1544;3;C;2;6;10;;;;;;;;
2023;4;1544;3;C;2;7;10;33051845;3686;37019888;3708;32856093;3595;40037843;3748
2023;4;1544;3;C;2;8;10;19941346;2910;21955738;2915;20987388;3000;23774084;3048
2023;4;1544;3;C;2;9;10;25006943;4345;28560123;4347;26249049;4462;31374479;4622
2023;4;14;3;C;1;1;7;9617329;387;10288473;387;9617329;387;10288473;387
2023;4;14;3;C;1;2;7;4671879;387;5356773;402;4671879;387;5302004;399
2023;4;14;3;C;1;3;7;13963350;2709;16714366;2771;14276253;2709;16988317;2771
2023;4;14;3;C;1;4;7;;;;;;;;
2023;4;14;3;C;1;5;7;;;;;;;;
2023;4;14;3;C;1;6;7;20830168;581;21837322;581;18438870;581;19446024;581
2023;4;14;3;C;1;7;7;4852355;1548;6786938;1686;3809910;1196;5110556;1262
2023;4;14;3;C;1;8;7;;;;;;;;
2023;4;14;3;C;1;9;7;;;;;;;;
2023;4;14;3;C;2;1;7;45578605;1161;48333361;1161;45578605;1161;48333361;1161
2023;4;14;3;C;2;2;7;29647645;1935;32799678;1982;29647645;1935;32969762;1993
2023;4;14;3;C;2;3;7;38293657;4257;46459625;4501;39204518;4838;46117853;4999
2023;4;14;3;C;2;4;7;;;;;;;;
2023;4;14;3;C;2;5;7;;;;;;;;
2023;4;14;3;C;2;6;7;26348970;774;27906505;774;25186851;774;26478002;774
2023;4;14;3;C;2;7;7;124970750;28058;162136088;30072;128710556;30380;160848124;31530
2023;4;14;3;C;2;8;7;;;;;;;;
2023;4;14;3;C;2;9;7;;;;;;;;
2023;4;338;3;C;1;1;2;;;;;;;;
2023;4;338;3;C;1;2;2;22403462;1858;23819842;1858;22298151;1832;23702436;1832
2023;4;338;3;C;1;3;2;6094410;1548;7275317;1688;5578926;1393;6580213;1497
2023;4;338;3;C;1;4;2;3077981;658;3510619;697;3527679;774;3843811;784
2023;4;338;3;C;1;5;2;;;;;;;;
2023;4;338;3;C;1;6;2;;;;;;;;
2023;4;338;3;C;1;7;2;;;;;;;;
2023;4;338;3;C;1;8;2;;;;;;;;
2023;4;338;3;C;1;9;2;11459529;3489;15816745;4101;9216111;2735;12335383;3199
2023;4;338;3;C;2;1;2;66283532;968;67203059;968;66283532;968;67212640;968
2023;4;338;3;C;2;2;2;37207871;2000;39308056;2000;37321177;2129;39521148;2129
2023;4;338;3;C;2;3;2;19738167;3296;21618028;3385;18537608;3109;20138052;3143
2023;4;338;3;C;2;4;2;4957013;1167;5154570;1169;4940675;1161;5290636;1192
2023;4;338;3;C;2;5;2;;;;;;;;
2023;4;338;3;C;2;6;2;;;;;;;;
2023;4;338;3;C;2;7;2;;;;;;;;
2023;4;338;3;C;2;8;2;20922930;5592;31347132;7568;20066612;5350;30249462;7258
2023;4;338;3;C;2;9;2;70526808;20524;102998992;26135;55241104;16338;81117550;20996
2023;4;380;3;G;1;1;2;;;;;;;;
2023;4;380;3;G;1;2;2;3556903;189;3768827;191;3563300;188;3817266;191
2023;4;380;3;G;1;3;2;32529610;12583;37707931;13092;37553348;11433;42215594;11874
2023;4;380;3;G;1;4;2;19524162;4148;23484548;4332;19300849;4188;23193979;4395
2023;4;380;3;G;1;5;2;;;;;;;;
2023;4;380;3;G;1;6;2;;;;;;;;
2023;4;380;3;G;1;7;2;173569766;60167;185458384;60537;73850226;23697;80922261;24408
2023;4;380;3;G;1;8;2;786616;196;884163;207;564721;168;620210;172
2023;4;380;3;G;1;9;2;257081148;63705;301878586;66646;252973955;62768;294721608;65022
2023;4;380;3;G;2;1;2;2579638;103;2770559;103;2587061;103;2802813;103
2023;4;380;3;G;2;2;2;10607917;368;11080157;373;9858368;355;10393335;362
2023;4;380;3;G;2;3;2;77809517;19526;87095518;20100;48483287;12603;55053973;13070
2023;4;380;3;G;2;4;2;17166213;3177;20916221;3402;15937056;3026;19195048;3199
2023;4;380;3;G;2;5;2;1397082;386;1618192;408;1378184;387;1574156;409
2023;4;380;3;G;2;6;2;;;;;;;;
2023;4;380;3;G;2;7;2;111667572;38604;123916729;39558;46251950;14500;51553118;14935
2023;4;380;3;G;2;8;2;15734404;3038;17396412;3084;13404166;2709;15568798;2890
2023;4;380;3;G;2;9;2;172495587;42411;208011439;44917;172324463;42571;207166530;44936
2023;4;457;3;C;1;1;6;;;;;;;;
2023;4;457;3;C;1;2;6;12630502;1163;13698301;1163;12511498;1163;13710229;1163
2023;4;457;3;C;1;3;6;;;;;;;;
2023;4;457;3;C;1;4;6;4060755;775;4790928;777;3221527;581;4030204;589
2023;4;457;3;C;1;5;6;;;;;;;;
2023;4;457;3;C;1;6;6;;;;;;;;
2023;4;457;3;C;1;7;6;2798897;601;3727755;601;3689007;840;5163713;840
2023;4;457;3;C;1;8;6;;;;;;;;
2023;4;457;3;C;1;9;6;;;;;;;;
2023;4;457;3;C;2;1;6;;;;;;;;
2023;4;457;3;C;2;2;6;29978885;1550;31560143;1550;29606306;1550;31554471;1550
2023;4;457;3;C;2;3;6;;;;;;;;
2023;4;457;3;C;2;4;6;48821940;7248;57512861;7339;48176505;7261;57638683;7372
2023;4;457;3;C;2;5;6;;;;;;;;
2023;4;457;3;C;2;6;6;;;;;;;;
2023;4;457;3;C;2;7;6;156886132;34083;195764397;34261;154533543;34761;214773788;34912
2023;4;457;3;C;2;8;6;97265451;16874;118581977;16993;97496343;17319;130290960;17550
2023;4;457;3;C;2;9;6;;;;;;;;
2023;4;487;3;C;1;1;6;3012292;194;3197250;194;3012292;194;3199610;194
2023;4;487;3;C;1;2;6;624322;47;678833;47;619751;46;663245;46
2023;4;487;3;C;1;3;6;4436168;748;4930834;769;4352668;729;4858418;753
2023;4;487;3;C;1;4;6;7284854;1355;8089081;1425;7230499;1355;7863824;1391
2023;4;487;3;C;1;5;6;;;;;;;;
2023;4;487;3;C;1;6;6;;;;;;;;
2023;4;487;3;C;1;7;6;;;;;;;;
2023;4;487;3;C;1;8;6;;;;;;;;
2023;4;487;3;C;1;9;6;23449468;6080;29322370;6834;20531341;6093;23821815;6308
2023;4;487;3;C;2;1;6;15228258;716;15929698;716;16048931;774;16777649;774
2023;4;487;3;C;2;2;6;10201859;1161;11033080;1168;10071941;1161;10956737;1177
2023;4;487;3;C;2;3;6;10463435;1683;11836516;1793;11759530;1864;13576437;2043
2023;4;487;3;C;2;4;6;17139707;2883;19735998;3132;16884076;2883;18815446;3027
2023;4;487;3;C;2;5;6;5225823;1548;6275916;1681;4884134;1477;6506146;1767
2023;4;487;3;C;2;6;6;;;;;;;;
2023;4;487;3;C;2;7;6;5618032;1290;6329158;1360;4480677;1032;5163350;1103
2023;4;487;3;C;2;8;6;11902711;2322;13756172;2560;10934466;2225;12732905;2478
2023;4;487;3;C;2;9;6;146215123;31099;175046702;34883;128338921;29873;148917686;32187
2023;4;677;3;C;1;1;1;;;;;;;;
2023;4;677;3;C;1;2;1;;;;;;;;
2023;4;677;3;C;1;3;1;2855277;581;3068100;581;2855277;581;3068100;581
2023;4;677;3;C;1;4;1;14407639;4731;16330882;4786;14256285;4752;16116091;4815
2023;4;677;3;C;1;5;1;4433432;2158;5485099;2188;4748750;2257;5880121;2322
2023;4;677;3;C;1;6;1;12462489;5319;14949071;5580;13028479;5153;15308521;5360
2023;4;677;3;C;1;7;1;6210939;2460;7673524;2562;6627084;2709;8081546;2808
2023;4;677;3;C;1;8;1;;;;;;;;
2023;4;677;3;C;1;9;1;9701036;3763;11556115;4003;8236704;3376;9959208;3575
2023;4;677;3;C;2;1;1;;;;;;;;
2023;4;677;3;C;2;2;1;;;;;;;;
2023;4;677;3;C;2;3;1;1861759;357;1958680;357;1861759;367;1958680;367
2023;4;677;3;C;2;4;1;22732237;7439;26492629;7639;22393565;7052;26270126;7329
2023;4;677;3;C;2;5;1;4950097;1828;6128289;1957;5957407;2215;7572535;2459
2023;4;677;3;C;2;6;1;9124011;3451;10922673;3576;8570633;3311;10139895;3428
2023;4;677;3;C;2;7;1;8012500;2903;9870685;2989;8029582;2903;10053744;3029
