ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;8;984;2;G;1;1;1;9032064;203;9256676;203;9213597;211;9427519;211
2023;8;984;2;G;1;2;1;102745916;4209;105330382;4209;90465738;4149;93269619;4149
2023;8;984;2;G;1;3;1;;;;;;;;
2023;8;984;2;G;1;4;1;;;;;;;;
2023;8;984;2;G;1;5;1;;;;;;;;
2023;8;984;2;G;1;6;1;;;;;;;;
2023;8;984;2;G;1;7;1;;;;;;;;
2023;8;984;2;G;1;8;1;;;;;;;;
2023;8;984;2;G;1;9;1;;;;;;;;
2023;8;984;2;G;2;1;1;71496761;539;71874179;539;71853700;543;72202620;543
2023;8;984;2;G;2;2;1;243414570;9969;251085146;9969;215058377;9969;224131641;9969
2023;8;984;2;G;2;3;1;;;;;;;;
2023;8;984;2;G;2;4;1;;;;;;;;
2023;8;984;2;G;2;5;1;;;;;;;;
2023;8;984;2;G;2;6;1;;;;;;;;
2023;8;984;2;G;2;7;1;;;;;;;;
2023;8;984;2;G;2;8;1;;;;;;;;
2023;8;984;2;G;2;9;1;;;;;;;;
2023;8;952;3;B;1;1;1;719853382;13378;735875130;13378;714753060;13320;731280192;13320
2023;8;952;3;B;1;2;1;2455866160;85632;2557213328;85632;2421245184;85063;2523393882;85063
2023;8;952;3;B;1;3;1;30658498;1987;32475092;1987;30595903;1991;32713731;1991
2023;8;952;3;B;1;4;1;15571912;713;16530322;713;15336870;713;16292192;713
2023;8;952;3;B;1;5;1;;;;;;;;
2023;8;952;3;B;1;6;1;;;;;;;;
2023;8;952;3;B;1;7;1;590965206;48570;629554624;48570;583888528;48508;632297925;48508
2023;8;952;3;B;1;8;1;910693294;88767;968941770;88767;897523485;89169;968705194;89169
2023;8;952;3;B;1;9;1;;;;;;;;
2023;8;952;3;B;2;1;1;1515107461;23611;1540238769;23611;1592083659;24377;1618227078;24377
2023;8;952;3;B;2;2;1;3327299786;100958;3424164295;100958;3293663333;100464;3390032644;100464
2023;8;952;3;B;2;3;1;320504612;17891;334617325;17891;321419681;18281;337334128;18281
2023;8;952;3;B;2;4;1;;;;;;;;
2023;8;952;3;B;2;5;1;;;;;;;;
2023;8;952;3;B;2;6;1;;;;;;;;
2023;8;952;3;B;2;7;1;1827737057;113790;1918272684;113790;1805811246;113505;1911261333;113505
2023;8;952;3;B;2;8;1;3141691988;190665;3280252439;190665;3106661063;189692;3265166999;189692
2023;8;952;3;B;2;9;1;;;;;;;;
2023;8;995;3;M;1;1;3;14547988;774;17011115;774;15414616;774;17878895;774
2023;8;995;3;M;1;2;3;238082973;34272;276959233;34713;239747650;34633;278738624;34930
2023;8;995;3;M;1;3;3;31629912;5778;37899286;5898;32645497;5622;39349530;5772
2023;8;995;3;M;1;4;3;69847625;12974;79334643;13024;74186391;12626;84074024;12702
2023;8;995;3;M;1;5;3;1711167;194;2150319;194;1711167;194;2150319;194
2023;8;995;3;M;1;6;3;;;;;;;;
2023;8;995;3;M;1;7;3;52541446;10626;60026376;10638;50196844;10248;58843134;10254
2023;8;995;3;M;1;8;3;6616266;909;8114067;909;5146877;732;6340934;732
2023;8;995;3;M;1;9;3;2241128;580;2455828;580;2265516;579;2565107;579
2023;8;995;3;M;2;1;3;42768162;2322;51354917;2322;42957415;2322;51527382;2322
