ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;12;984;2;G;1;1;1;;;;;;;;
2023;12;984;2;G;1;2;1;99736516;5087;104258739;5087;103307806;5117;107438207;5117
2023;12;984;2;G;1;3;1;;;;;;;;
2023;12;984;2;G;1;4;1;;;;;;;;
2023;12;984;2;G;1;5;1;;;;;;;;
2023;12;984;2;G;1;6;1;;;;;;;;
2023;12;984;2;G;1;7;1;;;;;;;;
2023;12;984;2;G;1;8;1;;;;;;;;
2023;12;984;2;G;1;9;1;;;;;;;;
2023;12;984;2;G;2;1;1;71600938;549;71979075;549;62918747;549;63299215;549
2023;12;984;2;G;2;2;1;234736496;9503;241511392;9503;236116784;9138;243820347;9174
2023;12;984;2;G;2;3;1;;;;;;;;
2023;12;984;2;G;2;4;1;;;;;;;;
2023;12;984;2;G;2;5;1;;;;;;;;
2023;12;984;2;G;2;6;1;;;;;;;;
2023;12;984;2;G;2;7;1;;;;;;;;
2023;12;984;2;G;2;8;1;;;;;;;;
2023;12;984;2;G;2;9;1;;;;;;;;
2023;12;952;3;B;1;1;1;812561981;14351;829832183;14351;834481665;14697;852316332;14697
2023;12;952;3;B;1;2;1;2501951387;85631;2600381482;85631;2472685047;85911;2571257306;85911
2023;12;952;3;B;1;3;1;30405035;1987;32116934;1987;31630772;1987;33457403;1987
2023;12;952;3;B;1;4;1;16536201;713;17444915;713;15815557;713;16769081;713
2023;12;952;3;B;1;5;1;;;;;;;;
2023;12;952;3;B;1;6;1;;;;;;;;
2023;12;952;3;B;1;7;1;617169351;47690;655127498;47690;669857526;50847;712504729;50847
2023;12;952;3;B;1;8;1;1077376596;108568;1140795948;108568;1153497927;113907;1225744643;113907
2023;12;952;3;B;1;9;1;;;;;;;;
2023;12;952;3;B;2;1;1;1583922248;25454;1609470942;25454;1585806907;25439;1611438855;25439
2023;12;952;3;B;2;2;1;3327205286;99817;3416641367;99817;3299576265;99184;3388539434;99184
2023;12;952;3;B;2;3;1;334977704;18060;348417658;18060;346389095;18241;360197247;18241
2023;12;952;3;B;2;4;1;;;;;;;;
2023;12;952;3;B;2;5;1;;;;;;;;
2023;12;952;3;B;2;6;1;;;;;;;;
2023;12;952;3;B;2;7;1;1900179219;112153;1987085290;112153;1938027504;111610;2027611784;111610
2023;12;952;3;B;2;8;1;3225112286;186397;3354039553;186397;3316474537;186251;3449486363;186251
2023;12;952;3;B;2;9;1;;;;;;;;
2023;12;995;3;M;1;1;3;15690114;774;18116968;774;16599998;774;19038596;774
2023;12;995;3;M;1;2;3;256704936;33280;294229249;33584;274840198;33847;312103573;34148
2023;12;995;3;M;1;3;3;33511092;5869;39390887;5941;34866461;5509;40839621;5615
2023;12;995;3;M;1;4;3;71170345;11406;79442810;11440;79863657;10956;88542336;11014
2023;12;995;3;M;1;5;3;1577587;161;1951447;161;1577587;161;1951447;161
2023;12;995;3;M;1;6;3;;;;;;;;
2023;12;995;3;M;1;7;3;59294987;10727;68716175;10727;66523575;9531;75223073;9531
2023;12;995;3;M;1;8;3;6479984;774;7827191;774;6584587;771;7939902;771
2023;12;995;3;M;1;9;3;2094123;406;2335667;406;2423177;418;2607475;418
2023;12;995;3;M;2;1;3;44866949;2322;52956437;2322;45316433;2322;53420890;2322
2023;12;995;3;M;2;2;3;713179939;79763;847327971;81191;772173732;80133;908022036;81436
2023;12;995;3;M;2;3;3;59086617;8836;71439389;9253;65457140;8972;77934461;9432
2023;12;995;3;M;2;4;3;51407042;8452;61420862;8793;54737941;8071;63763355;8335
2023;12;995;3;M;2;5;3;;;;;1194237;174;1483725;174
2023;12;995;3;M;2;6;3;;;;;;;;
2023;12;995;3;M;2;7;3;377738436;67546;448723140;68670;410232980;65850;481139005;67051
