ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1; ro ;ho;c;ht
2023;1;984;2;G;1;1;1;7030519;183;7204598;183;7528153;183;7703670;183
2023;1;984;2;G;1;2;1;90920736;4569;94274689;4569;99321135;4646;102757323;4651
2023;1;984;2;G;1;3;1;;;;;;;;
2023;1;984;2;G;1;4;1;;;;;;;;
2023;1;984;2;G;1;5;1;;;;;;;;
2023;1;984;2;G;1;6;1;;;;;;;;
2023;1;984;2;G;1;7;1;;;;;;;;
2023;1;984;2;G;1;8;1;;;;;;;;
2023;1;984;2;G;1;9;1;;;;;;;;
2023;1;984;2;G;2;1;1;71654614;548;71960544;548;72348680;548;72639652;548
2023;1;984;2;G;2;2;1;220911473;10234;228536234;10234;202475649;9937;211042248;9937
2023;1;984;2;G;2;3;1;;;;;;;;
2023;1;984;2;G;2;4;1;;;;;;;;
2023;1;984;2;G;2;5;1;;;;;;;;
2023;1;984;2;G;2;6;1;;;;;;;;
2023;1;984;2;G;2;7;1;;;;;;;;
2023;1;984;2;G;2;8;1;;;;;;;;
2023;1;984;2;G;2;9;1;;;;;;;;
2023;1;952;3;B;1;1;1;589996522;10946;602657757;10946;640830135;11503;654371806;11503
2023;1;952;3;B;1;2;1;2172269612;78401;2260281565;78401;2327006419;80751;2418103407;80751
2023;1;952;3;B;1;3;1;27691142;1969;29677519;1969;29802128;1987;31537839;1987
2023;1;952;3;B;1;4;1;18962547;885;20122899;885;19830470;885;20975042;885
2023;1;952;3;B;1;5;1;;;;;;;;
2023;1;952;3;B;1;6;1;;;;;;;;
2023;1;952;3;B;1;7;1;413885603;36488;451074805;36488;461359177;39733;491064800;39733
2023;1;952;3;B;1;8;1;713896959;71415;773979473;71415;702669339;68575;747146834;68575
2023;1;952;3;B;1;9;1;;;;;;;;
2023;1;952;3;B;2;1;1;1382744995;23415;1407305889;23415;1477104687;24147;1501945523;24147
2023;1;952;3;B;2;2;1;3447328660;112479;3551493535;112479;3626138917;112751;3730725031;112751
2023;1;952;3;B;2;3;1;373496246;21853;391571770;21853;373866777;21853;390192738;21853
2023;1;952;3;B;2;4;1;;;;;;;;
2023;1;952;3;B;2;5;1;;;;;;;;
2023;1;952;3;B;2;6;1;;;;;;;;
2023;1;952;3;B;2;7;1;1991502868;130935;2108012226;130935;1990060413;130411;2085866428;130411
2023;1;952;3;B;2;8;1;3360923869;215636;3529581419;215636;3386053480;215078;3532126970;215078
2023;1;952;3;B;2;9;1;2940392;181;3143828;181;2940392;181;3143828;181
2023;1;995;3;M;1;1;3;15966241;774;18374298;774;13653908;774;16042660;774
2023;1;995;3;M;1;2;3;269123751;34038;308026445;34235;232957422;34766;270881487;34944
2023;1;995;3;M;1;3;3;37881411;5903;43922635;6002;28822632;5398;34120419;5503
2023;1;995;3;M;1;4;3;66371567;10511;74417846;10538;57140530;11238;65415598;11294
2023;1;995;3;M;1;5;3;1695333;194;2127896;194;1699292;194;2140270;194
2023;1;995;3;M;1;6;3;;;;;;;;
2023;1;995;3;M;1;7;3;48605660;9286;54474869;9293;40903050;8877;46218143;8877
2023;1;995;3;M;1;8;3;2926051;484;3435504;484;2800577;470;3300894;470
2023;1;995;3;M;1;9;3;2379252;581;2596794;581;2172089;587;2384216;587
2023;1;995;3;M;2;1;3;54590558;2709;65293144;2709;50009252;2516;60131238;2516
2023;1;995;3;M;2;2;3;662381004;81511;795860721;82701;654386697;79417;779880886;80481
2023;1;995;3;M;2;3;3;68749755;11667;83221952;12092;62434291;10817;74920964;11252
2023;1;995;3;M;2;4;3;54237409;7863;63515019;8139;46405024;7859;54550505;8056
2023;1;995;3;M;2;5;3;;;;;;;;
2023;1;995;3;M;2;6;3;;;;;;;;
2023;1;995;3;M;2;7;3;408868750;66893;472000131;67334;350213297;66170;412388624;66639
2023;1;995;3;M;2;8;3;129326909;16870;151976347;16917;111156429;16368;133582446;16418
2023;1;995;3;M;2;9;3;;;;;;;;
2023;1;997;1;G;1;1;3;;;;;;;;
2023;1;997;1;G;1;2;3;;;;;;;;
2023;1;997;1;G;1;3;3;;;;;;;;
2023;1;997;1;G;1;4;3;638500;194;815825;194;663500;194;840825;194
2023;1;997;1;G;1;5;3;;;;;;;;
2023;1;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2023;1;997;1;G;1;7;3;;;;;;;;
2023;1;997;1;G;1;8;3;;;;;;;;
2023;1;997;1;G;1;9;3;;;;;;;;
2023;1;997;1;G;2;1;3;;;;;;;;
2023;1;997;1;G;2;2;3;;;;;;;;
2023;1;997;1;G;2;3;3;;;;;;;;
2023;1;997;1;G;2;4;3;1120657;388;1302109;388;1145657;388;1327109;388
2023;1;997;1;G;2;5;3;;;;;;;;
2023;1;997;1;G;2;6;3;;;;;;;;
2023;1;997;1;G;2;7;3;;;;;;;;
2023;1;997;1;G;2;8;3;;;;;;;;
2023;1;997;1;G;2;9;3;;;;;;;;
2023;1;1762;3;P;1;1;1;136954550;6426;142409775;6426;137057178;6433;141468638;6433
2023;1;1762;3;P;1;2;1;1558974836;123676;1624720624;123868;1665047473;131052;1731471849;131303
2023;1;1762;3;P;1;3;1;73731066;18855;78946077;18929;83944635;19044;89042638;19044
2023;1;1762;3;P;1;4;1;260415241;62088;280003905;62134;294700714;63411;315567711;63479
2023;1;1762;3;P;1;5;1;;;;;;;;
2023;1;1762;3;P;1;6;1;;;;;;;;
2023;1;1762;3;P;1;7;1;;;;;;;;
2023;1;1762;3;P;1;8;1;;;;;;;;
2023;1;1762;3;P;1;9;1;112741743;37425;120695335;37546;124310345;37236;134639067;37708
2023;1;1762;3;P;2;1;1;168963051;6873;176302756;6873;162011957;6811;168691681;6811
2023;1;1762;3;P;2;2;1;2325192994;145547;2404989558;145698;2421712198;152871;2500345988;153118
