ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;2;984;2;G;1;1;1;7528153;183;7703670;183;7476925;182;7672757;182
2023;2;984;2;G;1;2;1;99321135;4646;102757323;4651;91249171;4465;94920845;4481
2023;2;984;2;G;1;3;1;;;;;;;;
2023;2;984;2;G;1;4;1;;;;;;;;
2023;2;984;2;G;1;5;1;;;;;;;;
2023;2;984;2;G;1;6;1;;;;;;;;
2023;2;984;2;G;1;7;1;;;;;;;;
2023;2;984;2;G;1;8;1;;;;;;;;
2023;2;984;2;G;1;9;1;;;;;;;;
2023;2;984;2;G;2;1;1;71427053;548;71742350;548;71659277;551;72065118;551
2023;2;984;2;G;2;2;1;202475649;9937;211042248;9937;218014868;10767;226096454;10767
2023;2;984;2;G;2;3;1;;;;;;;;
2023;2;984;2;G;2;4;1;;;;;;;;
2023;2;984;2;G;2;5;1;;;;;;;;
2023;2;984;2;G;2;6;1;;;;;;;;
2023;2;984;2;G;2;7;1;;;;;;;;
2023;2;984;2;G;2;8;1;;;;;;;;
2023;2;984;2;G;2;9;1;;;;;;;;
2023;2;952;3;B;1;1;1;640830135;11503;654371806;11503;669754288;12199;684278005;12199
2023;2;952;3;B;1;2;1;2327006419;80751;2418103407;80751;2392958973;83946;2486902678;83946
2023;2;952;3;B;1;3;1;29802128;1987;31537839;1987;29176768;1987;30880635;1987
2023;2;952;3;B;1;4;1;19830470;885;20975042;885;19768107;885;20966937;885
2023;2;952;3;B;1;5;1;;;;;;;;
2023;2;952;3;B;1;6;1;;;;;;;;
2023;2;952;3;B;1;7;1;461359177;39733;491064800;39733;465961598;40044;494325416;40044
2023;2;952;3;B;1;8;1;702669339;68575;747146834;68575;722930220;69495;765176817;69495
2023;2;952;3;B;1;9;1;;;;;;;;
2023;2;952;3;B;2;1;1;1477104687;24147;1501945523;24147;1473643139;24121;1497868948;24121
2023;2;952;3;B;2;2;1;3626138917;112751;3730725031;112751;3637532190;113357;3743574616;113357
2023;2;952;3;B;2;3;1;373866777;21853;390192738;21853;374548812;21853;390441487;21853
2023;2;952;3;B;2;4;1;;;;;;;;
2023;2;952;3;B;2;5;1;;;;;;;;
2023;2;952;3;B;2;6;1;;;;;;;;
2023;2;952;3;B;2;7;1;1990060413;130411;2085866428;130411;1996175968;129671;2088913948;129671
2023;2;952;3;B;2;8;1;3386053480;215078;3532126970;215078;3404258514;214349;3545749308;214349
2023;2;952;3;B;2;9;1;2940392;181;3143828;181;2940392;181;3143828;181
2023;2;995;3;M;1;1;3;13653908;774;16042660;774;14942640;774;17356933;774
2023;2;995;3;M;1;2;3;232957422;34766;270881487;34944;242988234;34383;287668835;34644
2023;2;995;3;M;1;3;3;28822632;5398;34120419;5503;31011132;5792;36906985;5926
2023;2;995;3;M;1;4;3;57140530;11238;65415598;11294;62223789;11271;71558921;11403
2023;2;995;3;M;1;5;3;1699292;194;2140270;194;1699292;194;2132217;194
2023;2;995;3;M;1;6;3;;;;;;;;
2023;2;995;3;M;1;7;3;40903050;8877;46218143;8877;40903050;8877;46218143;8877
2023;2;995;3;M;1;8;3;2800577;470;3300894;470;2688517;535;3228938;535
2023;2;995;3;M;1;9;3;2172089;587;2384216;587;2145199;581;2394061;581
2023;2;995;3;M;2;1;3;50009252;2516;60131238;2516;53550572;2709;64282654;2709
2023;2;995;3;M;2;2;3;654386697;79417;779880886;80481;669862493;77209;806814785;78340
2023;2;995;3;M;2;3;3;62434291;10817;74920964;11252;63937921;11112;77044931;11534
2023;2;995;3;M;2;4;3;46405024;7859;54550505;8056;48000361;7955;56710932;8135
2023;2;995;3;M;2;5;3;;;;;;;;
2023;2;995;3;M;2;6;3;;;;;;;;
2023;2;995;3;M;2;7;3;350213297;66170;412388624;66639;339931911;65708;422954790;66297
2023;2;995;3;M;2;8;3;111156429;16368;133582446;16418;111156429;16368;133582446;16418
2023;2;995;3;M;2;9;3;;;;;;;;
2023;2;997;1;G;1;1;3;;;;;;;;
2023;2;997;1;G;1;2;3;;;;;;;;
2023;2;997;1;G;1;3;3;;;;;;;;
2023;2;997;1;G;1;4;3;663500;194;840825;194;663500;194;840825;194
2023;2;997;1;G;1;5;3;;;;;;;;
2023;2;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2023;2;997;1;G;1;7;3;;;;;;;;
2023;2;997;1;G;1;8;3;;;;;;;;
2023;2;997;1;G;1;9;3;;;;;;;;
2023;2;997;1;G;2;1;3;;;;;;;;
2023;2;997;1;G;2;2;3;;;;;;;;
2023;2;997;1;G;2;3;3;;;;;;;;
2023;2;997;1;G;2;4;3;1145657;388;1327109;388;1145657;388;1327109;388
2023;2;997;1;G;2;5;3;;;;;;;;
2023;2;997;1;G;2;6;3;;;;;;;;
2023;2;997;1;G;2;7;3;;;;;;;;
2023;2;997;1;G;2;8;3;;;;;;;;
2023;2;997;1;G;2;9;3;;;;;;;;
2023;2;1762;3;P;1;1;1;137057178;6433;141468638;6433;131655947;6237;135694662;6237
2023;2;1762;3;P;1;2;1;1665047473;131052;1731471849;131303;1666601290;131525;1731067135;131902
2023;2;1762;3;P;1;3;1;83944635;19044;89042638;19044;83100294;18855;88250268;18923
2023;2;1762;3;P;1;4;1;294700714;63411;315567711;63479;295400352;63411;315749456;63511
2023;2;1762;3;P;1;5;1;;;;;;;;
2023;2;1762;3;P;1;6;1;;;;;;;;
2023;2;1762;3;P;1;7;1;;;;;;;;
2023;2;1762;3;P;1;8;1;;;;;;;;
2023;2;1762;3;P;1;9;1;124310345;37236;134639067;37708;123037985;37236;132802863;37782
2023;2;1762;3;P;2;1;1;162011957;6811;168691681;6811;174089439;7371;180807427;7371
2023;2;1762;3;P;2;2;1;2421712198;152871;2500345988;153118;2419120127;152493;2495644848;152853
2023;2;1762;3;P;2;3;1;122344172;26274;132426914;26487;122432102;26463;132411804;26714
2023;2;1762;3;P;2;4;1;117854102;22681;126561580;22759;115297505;22681;123497338;22719
2023;2;1762;3;P;2;5;1;;;;;;;;
2023;2;1762;3;P;2;6;1;;;;;;;;
2023;2;1762;3;P;2;7;1;;;;;;;;
2023;2;1762;3;P;2;8;1;;;;;;;;
2023;2;1762;3;P;2;9;1;160262975;44324;178076708;45464;160291087;44135;175407502;45216
2023;2;1118;3;P;1;1;1;693686648;37818;731827714;37818;693686648;37818;731827714;37818
2023;2;1118;3;P;1;2;1;6315179748;569047;6871419644;573146;6315179748;569047;6871419644;573146
2023;2;1118;3;P;1;3;1;1048978193;197502;1242550441;200826;1048978193;197502;1242550441;200826
2023;2;1118;3;P;1;4;1;1046984503;196539;1222544766;197529;1046984503;196539;1222544766;197529
2023;2;1118;3;P;1;5;1;37747101;12813;47601268;12837;37747101;12813;47601268;12837
2023;2;1118;3;P;1;6;1;;;;;;;;
2023;2;1118;3;P;1;7;1;27916235;8505;34893361;8517;27916235;8505;34893361;8517
2023;2;1118;3;P;1;8;1;;;;;;;;
2023;2;1118;3;P;1;9;1;256000033;108632;337304953;109111;256000033;108632;337304953;109111
2023;2;1118;3;P;2;1;1;676996033;28741;706043905;28753;676996033;28741;706043905;28753
2023;2;1118;3;P;2;2;1;6599539497;460347;6934910749;461331;6599539497;460347;6934910749;461331
2023;2;1118;3;P;2;3;1;553536004;94330;646388059;95939;553536004;94330;646388059;95939
2023;2;1118;3;P;2;4;1;287061588;61432;344988840;62567;287061588;61432;344988840;62567
2023;2;1118;3;P;2;5;1;15521547;2736;17994800;2792;15521547;2736;17994800;2792
2023;2;1118;3;P;2;6;1;;;;;;;;
2023;2;1118;3;P;2;7;1;25989161;6804;32757886;6977;25989161;6804;32757886;6977
2023;2;1118;3;P;2;8;1;20934122;4532;26285985;4741;20934122;4532;26285985;4741
2023;2;1118;3;P;2;9;1;98944859;32775;125617754;33154;98944859;32775;125617754;33154
2023;2;1310;1;N;1;1;6;;;;;;;;
2023;2;1310;1;N;1;2;6;1222292;194;1309640;194;1222292;194;1312574;194
2023;2;1310;1;N;1;3;6;;;;;;;;
2023;2;1310;1;N;1;4;6;3547367;582;3812827;582;3547367;582;3821341;582
2023;2;1310;1;N;1;5;6;;;;;;;;
2023;2;1310;1;N;1;6;6;;;;;;;;
2023;2;1310;1;N;1;7;6;3662500;1164;3864304;1164;3675000;1164;3886313;1164
2023;2;1310;1;N;1;8;6;;;;;;;;
2023;2;1310;1;N;1;9;6;;;;;;;;
2023;2;1310;1;N;2;1;6;2523750;194;3162695;194;2523750;194;3167366;194
2023;2;1310;1;N;2;2;6;;;;;;;;
2023;2;1310;1;N;2;3;6;;;;;;;;
2023;2;1310;1;N;2;4;6;4018542;582;4670250;582;4018542;582;4733214;582
2023;2;1310;1;N;2;5;6;;;;;;;;
2023;2;1310;1;N;2;6;6;;;;;;;;
2023;2;1310;1;N;2;7;6;4648781;1306;4904929;1306;4893363;1352;5174731;1352
2023;2;1310;1;N;2;8;6;;;;;;;;
2023;2;1310;1;N;2;9;6;;;;;;;;
2023;2;1544;3;C;1;1;10;66140352;1746;69440506;1746;64027392;1746;66671063;1746
2023;2;1544;3;C;1;2;10;189184249;11400;206699755;11400;184692885;11446;197918286;11454
2023;2;1544;3;C;1;3;10;33287049;2314;36827395;2330;34538066;2294;37404218;2302
2023;2;1544;3;C;1;4;10;3038680;388;3429356;388;1509079;194;1720733;194
2023;2;1544;3;C;1;5;10;;;;;;;;
2023;2;1544;3;C;1;6;10;;;;;;;;
2023;2;1544;3;C;1;7;10;;;;;;;;
2023;2;1544;3;C;1;8;10;;;;;;;;
2023;2;1544;3;C;1;9;10;;;;;;;;
2023;2;1544;3;C;2;1;10;158760511;3233;165321742;3233;141844023;2832;150505606;2832
2023;2;1544;3;C;2;2;10;222592893;11536;240759372;11576;233139451;11717;247247114;11725
2023;2;1544;3;C;2;3;10;45151806;3291;49661892;3291;44512260;3291;47885169;3295
2023;2;1544;3;C;2;4;10;8700203;388;9512478;388;6741371;388;7174085;388
2023;2;1544;3;C;2;5;10;;;;;;;;
2023;2;1544;3;C;2;6;10;;;;;;;;
2023;2;1544;3;C;2;7;10;34183447;3627;39709923;3693;36221687;3582;40265689;3593
2023;2;1544;3;C;2;8;10;23649947;2910;26681871;2926;22952186;2910;25690284;2941
2023;2;1544;3;C;2;9;10;28461104;4436;33446718;4482;30841297;4390;34706473;4399
2023;2;14;3;C;1;1;7;9228987;387;9882920;387;9228987;387;9882920;387
2023;2;14;3;C;1;2;7;4587367;387;5193760;398;4587367;387;5236419;400
2023;2;14;3;C;1;3;7;13879569;2709;16619543;2777;13879569;2709;16611355;2778
2023;2;14;3;C;1;4;7;;;;;;;;
2023;2;14;3;C;1;5;7;;;;;;;;
2023;2;14;3;C;1;6;7;18136162;581;19139879;581;21748492;581;22752209;581
2023;2;14;3;C;1;7;7;4519582;1552;6790282;1730;4519582;1548;6769752;1761
2023;2;14;3;C;1;8;7;;;;;;;;
2023;2;14;3;C;1;9;7;;;;;;;;
2023;2;14;3;C;2;1;7;44498871;1161;47205773;1161;44498871;1161;47205773;1161
2023;2;14;3;C;2;2;7;29051966;1935;32148720;1982;29051966;1935;32280421;1992
2023;2;14;3;C;2;3;7;35387037;4064;42880956;4295;36200726;4064;45967887;4414
2023;2;14;3;C;2;4;7;;;;;;;;
2023;2;14;3;C;2;5;7;;;;;;;;
2023;2;14;3;C;2;6;7;35069448;774;36563803;774;27992831;774;29544445;774
2023;2;14;3;C;2;7;7;128413955;28832;169555990;31423;126674700;28832;172422617;32009
2023;2;14;3;C;2;8;7;;;;;;;;
2023;2;14;3;C;2;9;7;;;;;;;;
2023;2;338;3;C;1;1;2;;;;;;;;
