ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;7;984;2;G;1;1;1;8146341;195;8351617;195;9032064;203;9256676;203
2023;7;984;2;G;1;2;1;119995721;4492;122707290;4517;102745916;4209;105330382;4209
2023;7;984;2;G;1;3;1;;;;;;;;
2023;7;984;2;G;1;4;1;;;;;;;;
2023;7;984;2;G;1;5;1;;;;;;;;
2023;7;984;2;G;1;6;1;;;;;;;;
2023;7;984;2;G;1;7;1;;;;;;;;
2023;7;984;2;G;1;8;1;;;;;;;;
2023;7;984;2;G;1;9;1;;;;;;;;
2023;7;984;2;G;2;1;1;73837288;540;74088087;540;71496761;539;71874179;539
2023;7;984;2;G;2;2;1;236979266;9969;244692370;9969;243414570;9969;251085146;9969
2023;7;984;2;G;2;3;1;;;;;;;;
2023;7;984;2;G;2;4;1;;;;;;;;
2023;7;984;2;G;2;5;1;;;;;;;;
2023;7;984;2;G;2;6;1;;;;;;;;
2023;7;984;2;G;2;7;1;;;;;;;;
2023;7;984;2;G;2;8;1;;;;;;;;
2023;7;984;2;G;2;9;1;;;;;;;;
2023;7;952;3;B;1;1;1;705533353;13286;721301629;13286;719853382;13378;735875130;13378
2023;7;952;3;B;1;2;1;2380429296;84871;2477624034;84871;2455866160;85632;2557213328;85632
2023;7;952;3;B;1;3;1;30429255;1987;32204100;1987;30658498;1987;32475092;1987
2023;7;952;3;B;1;4;1;14699764;713;15549821;713;15571912;713;16530322;713
2023;7;952;3;B;1;5;1;;;;;;;;
2023;7;952;3;B;1;6;1;;;;;;;;
2023;7;952;3;B;1;7;1;574583191;48124;611640355;48124;590965206;48570;629554624;48570
2023;7;952;3;B;1;8;1;902614077;86655;958903502;86655;910693294;88767;968941770;88767
2023;7;952;3;B;1;9;1;;;;;;;;
2023;7;952;3;B;2;1;1;1481381447;23577;1506310999;23577;1515107461;23611;1540238769;23611
2023;7;952;3;B;2;2;1;3296258483;101997;3392553190;101997;3327299786;100958;3424164295;100958
2023;7;952;3;B;2;3;1;348047595;19134;363269057;19134;320504612;17891;334617325;17891
2023;7;952;3;B;2;4;1;;;;;;;;
2023;7;952;3;B;2;5;1;;;;;;;;
2023;7;952;3;B;2;6;1;;;;;;;;
2023;7;952;3;B;2;7;1;1898341592;116427;1991586007;116427;1827737057;113790;1918272684;113790
2023;7;952;3;B;2;8;1;3290471335;195802;3431382315;195802;3141691988;190665;3280252439;190665
2023;7;952;3;B;2;9;1;;;;;;;;
2023;7;995;3;M;1;1;3;15352769;774;17778074;774;14547988;774;17011115;774
2023;7;995;3;M;1;2;3;244254853;36380;281723978;36559;238082973;34272;276959233;34713
2023;7;995;3;M;1;3;3;32467288;5512;38167818;5556;31629912;5778;37899286;5898
2023;7;995;3;M;1;4;3;68562766;12609;77756302;12655;69847625;12974;79334643;13024
2023;7;995;3;M;1;5;3;1711167;194;2145699;194;1711167;194;2150319;194
2023;7;995;3;M;1;6;3;;;;;;;;
2023;7;995;3;M;1;7;3;48446484;9861;55426432;9861;52541446;10626;60026376;10638
2023;7;995;3;M;1;8;3;2823888;568;3388630;568;6616266;909;8114067;909
2023;7;995;3;M;1;9;3;2149628;578;2355188;578;2241128;580;2455828;580
2023;7;995;3;M;2;1;3;43384687;2322;51888030;2322;42768162;2322;51354917;2322
2023;7;995;3;M;2;2;3;680700621;77989;812281126;79210;673691712;80040;810357302;81778
2023;7;995;3;M;2;3;3;61288718;10675;76332964;11420;61399338;10210;75320139;10843
2023;7;995;3;M;2;4;3;53460119;8989;63947940;9287;49377905;8338;59293553;8661
2023;7;995;3;M;2;5;3;;;;;;;;
2023;7;995;3;M;2;6;3;;;;;;;;
