ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;3;984;2;G;1;1;1;7476925;182;7672757;182;7577902;183;7761459;183
2023;3;984;2;G;1;2;1;91249171;4465;94920845;4481;95882129;4574;99800481;4590
2023;3;984;2;G;1;3;1;;;;;;;;
2023;3;984;2;G;1;4;1;;;;;;;;
2023;3;984;2;G;1;5;1;;;;;;;;
2023;3;984;2;G;1;6;1;;;;;;;;
2023;3;984;2;G;1;7;1;;;;;;;;
2023;3;984;2;G;1;8;1;;;;;;;;
2023;3;984;2;G;1;9;1;;;;;;;;
2023;3;984;2;G;2;1;1;71659277;551;72065118;551;70718681;541;71010503;541
2023;3;984;2;G;2;2;1;218014868;10767;226096454;10767;202242262;10567;209622544;10567
2023;3;984;2;G;2;3;1;;;;;;;;
2023;3;984;2;G;2;4;1;;;;;;;;
2023;3;984;2;G;2;5;1;;;;;;;;
2023;3;984;2;G;2;6;1;;;;;;;;
2023;3;984;2;G;2;7;1;;;;;;;;
2023;3;984;2;G;2;8;1;;;;;;;;
2023;3;984;2;G;2;9;1;;;;;;;;
2023;3;952;3;B;1;1;1;669754288;12199;684278005;12199;681940671;12684;697377440;12684
2023;3;952;3;B;1;2;1;2392958973;83946;2486902678;83946;2470604429;87708;2570005495;87708
2023;3;952;3;B;1;3;1;29176768;1987;30880635;1987;27235633;1806;28860178;1806
2023;3;952;3;B;1;4;1;19768107;885;20966937;885;19453776;885;20729004;885
2023;3;952;3;B;1;5;1;;;;;;;;
2023;3;952;3;B;1;6;1;;;;;;;;
2023;3;952;3;B;1;7;1;465961598;40044;494325416;40044;490233876;40986;520771033;40986
2023;3;952;3;B;1;8;1;722930220;69495;765176817;69495;761746453;72097;806865187;72097
2023;3;952;3;B;1;9;1;;;;;;;;
2023;3;952;3;B;2;1;1;1473643139;24121;1497868948;24121;1489419559;24259;1514583543;24259
2023;3;952;3;B;2;2;1;3637532190;113357;3743574616;113357;3666448972;114076;3774624328;114076
2023;3;952;3;B;2;3;1;374548812;21853;390441487;21853;388622531;21907;405397309;21907
2023;3;952;3;B;2;4;1;;;;;;;;
2023;3;952;3;B;2;5;1;;;;;;;;
2023;3;952;3;B;2;6;1;;;;;;;;
2023;3;952;3;B;2;7;1;1996175968;129671;2088913948;129671;2059701390;128827;2157394280;128827
2023;3;952;3;B;2;8;1;3404258514;214349;3545749308;214349;3480586621;213317;3627447339;213317
2023;3;952;3;B;2;9;1;2940392;181;3143828;181;2940392;181;3143828;181
2023;3;995;3;M;1;1;3;14942640;774;17356933;774;13765264;774;16159209;774
2023;3;995;3;M;1;2;3;242988234;34383;287668835;34644;231139615;34746;267961587;34963
2023;3;995;3;M;1;3;3;31011132;5792;36906985;5926;32363184;5995;38219092;6096
2023;3;995;3;M;1;4;3;62223789;11271;71558921;11403;59850730;11763;68449922;11814
2023;3;995;3;M;1;5;3;1699292;194;2132217;194;1699292;194;2132217;194
2023;3;995;3;M;1;6;3;;;;;;;;
2023;3;995;3;M;1;7;3;40903050;8877;46218143;8877;41180314;8528;47323234;8614
2023;3;995;3;M;1;8;3;2688517;535;3228938;535;2801724;580;3386630;581
2023;3;995;3;M;1;9;3;2145199;581;2394061;581;1859176;581;2057734;581
2023;3;995;3;M;2;1;3;53550572;2709;64282654;2709;49402780;2567;59534687;2567
2023;3;995;3;M;2;2;3;669862493;77209;806814785;78340;635716531;76331;757899187;77337
2023;3;995;3;M;2;3;3;63937921;11112;77044931;11534;63067758;10851;76292237;11359
2023;3;995;3;M;2;4;3;48000361;7955;56710932;8135;46922993;8071;55429007;8240
2023;3;995;3;M;2;5;3;;;;;;;;
2023;3;995;3;M;2;6;3;;;;;;;;
2023;3;995;3;M;2;7;3;339931911;65708;422954790;66297;347313999;67292;411553541;68116
2023;3;995;3;M;2;8;3;111156429;16368;133582446;16418;110468257;17469;133991825;17589
2023;3;995;3;M;2;9;3;;;;;;;;
2023;3;997;1;G;1;1;3;;;;;;;;
2023;3;997;1;G;1;2;3;;;;;;;;
2023;3;997;1;G;1;3;3;;;;;;;;
2023;3;997;1;G;1;4;3;663500;194;840825;194;663500;194;840825;194
2023;3;997;1;G;1;5;3;;;;;;;;
2023;3;997;1;G;1;6;3;585000;194;639592;194;585000;194;639592;194
2023;3;997;1;G;1;7;3;;;;;;;;
2023;3;997;1;G;1;8;3;;;;;;;;
2023;3;997;1;G;1;9;3;;;;;;;;
2023;3;997;1;G;2;1;3;;;;;;;;
2023;3;997;1;G;2;2;3;;;;;;;;
2023;3;997;1;G;2;3;3;;;;;;;;
2023;3;997;1;G;2;4;3;1145657;388;1327109;388;1145657;388;1327109;388
2023;3;997;1;G;2;5;3;;;;;;;;
2023;3;997;1;G;2;6;3;;;;;;;;
2023;3;997;1;G;2;7;3;;;;;;;;
2023;3;997;1;G;2;8;3;;;;;;;;
2023;3;997;1;G;2;9;3;;;;;;;;
2023;3;1762;3;P;1;1;1;131655947;6237;135694662;6237;276386828;11163;284405459;11163
2023;3;1762;3;P;1;2;1;1666601290;131525;1731067135;131902;1666776123;130122;1734483936;130438
2023;3;1762;3;P;1;3;1;83100294;18855;88250268;18923;81658423;18477;86728060;18545
2023;3;1762;3;P;1;4;1;295400352;63411;315749456;63511;297666455;63222;317885280;63283
2023;3;1762;3;P;1;5;1;;;;;;;;
2023;3;1762;3;P;1;6;1;;;;;;;;
2023;3;1762;3;P;1;7;1;;;;;;;;
2023;3;1762;3;P;1;8;1;;;;;;;;
2023;3;1762;3;P;1;9;1;123037985;37236;132802863;37782;123123712;37047;130489910;37117
2023;3;1762;3;P;2;1;1;174089439;7371;180807427;7371;263261886;10028;272512426;10028
2023;3;1762;3;P;2;2;1;2419120127;152493;2495644848;152853;2509866869;151880;2594401849;152060
2023;3;1762;3;P;2;3;1;122432102;26463;132411804;26714;123938978;26652;132986357;26740
2023;3;1762;3;P;2;4;1;115297505;22681;123497338;22719;116365310;22303;124962904;22399
2023;3;1762;3;P;2;5;1;;;;;;;;
2023;3;1762;3;P;2;6;1;;;;;;;;
2023;3;1762;3;P;2;7;1;;;;;;;;
2023;3;1762;3;P;2;8;1;;;;;;;;
2023;3;1762;3;P;2;9;1;160291087;44135;175407502;45216;159354718;44324;168937366;44344
2023;3;1118;3;P;1;1;1;693686648;37818;731827714;37818;693686648;37818;731827714;37818
2023;3;1118;3;P;1;2;1;6315179748;569047;6871419644;573146;6315179748;569047;6871419644;573146
2023;3;1118;3;P;1;3;1;1048978193;197502;1242550441;200826;1048978193;197502;1242550441;200826
2023;3;1118;3;P;1;4;1;1046984503;196539;1222544766;197529;1046984503;196539;1222544766;197529
2023;3;1118;3;P;1;5;1;37747101;12813;47601268;12837;37747101;12813;47601268;12837
2023;3;1118;3;P;1;6;1;;;;;;;;
2023;3;1118;3;P;1;7;1;27916235;8505;34893361;8517;27916235;8505;34893361;8517
2023;3;1118;3;P;1;8;1;;;;;;;;
2023;3;1118;3;P;1;9;1;256000033;108632;337304953;109111;256000033;108632;337304953;109111
2023;3;1118;3;P;2;1;1;676996033;28741;706043905;28753;676996033;28741;706043905;28753
2023;3;1118;3;P;2;2;1;6599539497;460347;6934910749;461331;6599539497;460347;6934910749;461331
2023;3;1118;3;P;2;3;1;553536004;94330;646388059;95939;553536004;94330;646388059;95939
2023;3;1118;3;P;2;4;1;287061588;61432;344988840;62567;287061588;61432;344988840;62567
2023;3;1118;3;P;2;5;1;15521547;2736;17994800;2792;15521547;2736;17994800;2792
2023;3;1118;3;P;2;6;1;;;;;;;;
2023;3;1118;3;P;2;7;1;25989161;6804;32757886;6977;25989161;6804;32757886;6977
2023;3;1118;3;P;2;8;1;20934122;4532;26285985;4741;20934122;4532;26285985;4741
2023;3;1118;3;P;2;9;1;98944859;32775;125617754;33154;98944859;32775;125617754;33154
2023;3;1310;1;N;1;1;6;;;;;;;;
2023;3;1310;1;N;1;2;6;1222292;194;1312574;194;1222292;194;1309274;194
2023;3;1310;1;N;1;3;6;;;;;;;;
2023;3;1310;1;N;1;4;6;3547367;582;3821341;582;3547367;582;3811763;582
