ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;5;984;2;G;1;1;1;7663266;183;7842439;183;7879629;187;8056321;187
2023;5;984;2;G;1;2;1;93138040;4575;96679532;4575;100332049;4653;103690015;4670
2023;5;984;2;G;1;3;1;;;;;;;;
2023;5;984;2;G;1;4;1;;;;;;;;
2023;5;984;2;G;1;5;1;;;;;;;;
2023;5;984;2;G;1;6;1;;;;;;;;
2023;5;984;2;G;1;7;1;;;;;;;;
2023;5;984;2;G;1;8;1;;;;;;;;
2023;5;984;2;G;1;9;1;;;;;;;;
2023;5;984;2;G;2;1;1;71333896;548;71650254;548;73485483;554;73764361;554
2023;5;984;2;G;2;2;1;218513939;9138;225312118;9138;233080579;9969;240581312;9969
2023;5;984;2;G;2;3;1;;;;;;;;
2023;5;984;2;G;2;4;1;;;;;;;;
2023;5;984;2;G;2;5;1;;;;;;;;
2023;5;984;2;G;2;6;1;;;;;;;;
2023;5;984;2;G;2;7;1;;;;;;;;
2023;5;984;2;G;2;8;1;;;;;;;;
2023;5;984;2;G;2;9;1;;;;;;;;
2023;5;952;3;B;1;1;1;701309290;13074;716907030;13074;719628036;13611;735923836;13611
2023;5;952;3;B;1;2;1;2498487440;89029;2599418475;89029;2583597557;88031;2686126703;88031
2023;5;952;3;B;1;3;1;32270661;2349;34354327;2349;35970459;2349;38094997;2349
2023;5;952;3;B;1;4;1;19200152;885;20424288;885;18196731;845;19385303;845
2023;5;952;3;B;1;5;1;;;;;;;;
2023;5;952;3;B;1;6;1;;;;;;;;
2023;5;952;3;B;1;7;1;483092201;40559;516708691;40559;533316099;42903;568370722;42903
2023;5;952;3;B;1;8;1;848677525;79908;904512531;79908;908925198;85858;968037100;85858
2023;5;952;3;B;1;9;1;;;;;;;;
2023;5;952;3;B;2;1;1;1453406094;23894;1478452652;23894;1453406094;23894;1478452652;23894
2023;5;952;3;B;2;2;1;3640246284;113516;3746945327;113516;3431206398;106828;3536649385;106828
2023;5;952;3;B;2;3;1;377081199;21672;394210916;21672;382197287;21036;399332406;21036
2023;5;952;3;B;2;4;1;;;;;;;;
2023;5;952;3;B;2;5;1;;;;;;;;
2023;5;952;3;B;2;6;1;;;;;;;;
2023;5;952;3;B;2;7;1;2062237699;127929;2166104111;127929;2008568008;121367;2108840358;121367
2023;5;952;3;B;2;8;1;3439007680;211591;3591911933;211591;3453046929;205476;3604325450;205476
2023;5;952;3;B;2;9;1;;;;;;;;
2023;5;995;3;M;1;1;3;13765264;774;16159209;774;14153744;774;16564788;774
2023;5;995;3;M;1;2;3;242387507;34961;280441138;35297;244673718;34191;283963736;34443
2023;5;995;3;M;1;3;3;32599814;5998;38417554;6080;32995692;5333;39067548;5414
2023;5;995;3;M;1;4;3;66566536;12685;75641219;12711;67610438;12897;76970141;12945
2023;5;995;3;M;1;5;3;1699292;194;2133237;194;1711167;194;2145698;194
2023;5;995;3;M;1;6;3;;;;;;;;
2023;5;995;3;M;1;7;3;45254938;9431;51367725;9431;49557003;9908;57460900;9920
2023;5;995;3;M;1;8;3;3102312;581;3743240;588;3021868;581;3627785;583
2023;5;995;3;M;1;9;3;1957084;581;2161260;581;1957084;581;2161260;581
2023;5;995;3;M;2;1;3;49402780;2567;59534687;2567;39067281;2129;46765783;2129
2023;5;995;3;M;2;2;3;669960342;78569;801532762;79896;694069232;80436;827558066;81567
2023;5;995;3;M;2;3;3;61084185;10445;75342911;11045;64492104;10598;78245109;11147
2023;5;995;3;M;2;4;3;49683538;8235;59192985;8477;51919156;8960;61866030;9182
2023;5;995;3;M;2;5;3;;;;;;;;
2023;5;995;3;M;2;6;3;;;;;;;;
2023;5;995;3;M;2;7;3;360983149;68587;427106119;69441;363651492;67549;433923809;68380
2023;5;995;3;M;2;8;3;116745019;16951;140938512;17052;117436517;17151;143299612;17275
2023;5;995;3;M;2;9;3;;;;;;;;
2023;5;997;1;G;1;1;3;;;;;;;;
2023;5;997;1;G;1;2;3;;;;;;;;
2023;5;997;1;G;1;3;3;;;;;;;;
2023;5;997;1;G;1;4;3;663500;194;840825;194;713500;194;892358;194
2023;5;997;1;G;1;5;3;;;;;;;;
2023;5;997;1;G;1;6;3;595000;194;649592;194;635000;194;690825;194
2023;5;997;1;G;1;7;3;;;;;;;;
2023;5;997;1;G;1;8;3;;;;;;;;
2023;5;997;1;G;1;9;3;;;;;;;;
2023;5;997;1;G;2;1;3;;;;;;;;
2023;5;997;1;G;2;2;3;;;;;;;;
2023;5;997;1;G;2;3;3;;;;;;;;
2023;5;997;1;G;2;4;3;1145657;388;1327109;388;1260223;388;1444140;388
2023;5;997;1;G;2;5;3;;;;;;;;
2023;5;997;1;G;2;6;3;;;;;;;;
2023;5;997;1;G;2;7;3;;;;;;;;
2023;5;997;1;G;2;8;3;;;;;;;;
2023;5;997;1;G;2;9;3;;;;;;;;
2023;5;1762;3;P;1;1;1;296372784;12109;305072528;12109;320952407;13041;333345769;13199
2023;5;1762;3;P;1;2;1;1670166487;129791;1728705186;129791;1665788527;129176;1725793307;129376
2023;5;1762;3;P;1;3;1;82706580;18902;87696005;18902;84286724;19091;89332216;19115
2023;5;1762;3;P;1;4;1;299974056;63789;320694586;63789;297193055;63411;318031795;63522
2023;5;1762;3;P;1;5;1;;;;;;;;
2023;5;1762;3;P;1;6;1;;;;;;;;
2023;5;1762;3;P;1;7;1;;;;;;;;
2023;5;1762;3;P;1;8;1;;;;;;;;
2023;5;1762;3;P;1;9;1;183311227;55853;194058190;55853;183386848;55853;194022324;55881
