ano;mes;id;tamano;categoria;sexo;grupo;division;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;11;984;2;G;1;1;1;9234369;211;9439901;211;9290839;205;9483920;205
2023;11;984;2;G;1;2;1;91959273;4355;94567279;4355;84051017;4258;87052413;4262
2023;11;984;2;G;1;3;1;;;;;;;;
2023;11;984;2;G;1;4;1;;;;;;;;
2023;11;984;2;G;1;5;1;;;;;;;;
2023;11;984;2;G;1;6;1;;;;;;;;
2023;11;984;2;G;1;7;1;;;;;;;;
2023;11;984;2;G;1;8;1;;;;;;;;
2023;11;984;2;G;1;9;1;;;;;;;;
2023;11;984;2;G;2;1;1;71010541;526;71226211;526;70625063;531;70842856;531
2023;11;984;2;G;2;2;1;233622878;10800;242061776;10800;237856152;10800;246743084;10800
2023;11;984;2;G;2;3;1;;;;;;;;
2023;11;984;2;G;2;4;1;;;;;;;;
2023;11;984;2;G;2;5;1;;;;;;;;
2023;11;984;2;G;2;6;1;;;;;;;;
2023;11;984;2;G;2;7;1;;;;;;;;
2023;11;984;2;G;2;8;1;;;;;;;;
2023;11;984;2;G;2;9;1;;;;;;;;
2023;11;952;3;B;1;1;1;777975994;13830;794126033;13830;812561981;14351;829832183;14351
2023;11;952;3;B;1;2;1;2523695614;87371;2624919599;87371;2501951387;85631;2600381482;85631
2023;11;952;3;B;1;3;1;31123075;1987;32933761;1987;30405035;1987;32116934;1987
2023;11;952;3;B;1;4;1;15843281;713;16802166;713;16536201;713;17444915;713
2023;11;952;3;B;1;5;1;;;;;;;;
2023;11;952;3;B;1;6;1;;;;;;;;
2023;11;952;3;B;1;7;1;640984243;48220;680473830;48220;617169351;47690;655127498;47690
2023;11;952;3;B;1;8;1;987463964;88815;1046944685;88815;1077376596;108568;1140795948;108568
2023;11;952;3;B;1;9;1;;;;;;;;
2023;11;952;3;B;2;1;1;1575600645;25252;1600583697;25252;1583922248;25454;1609470942;25454
2023;11;952;3;B;2;2;1;3324818145;99504;3413708912;99504;3327205286;99817;3416641367;99817
2023;11;952;3;B;2;3;1;344686549;18060;357963023;18060;334977704;18060;348417658;18060
2023;11;952;3;B;2;4;1;;;;;;;;
2023;11;952;3;B;2;5;1;;;;;;;;
2023;11;952;3;B;2;6;1;;;;;;;;
2023;11;952;3;B;2;7;1;1944280050;112333;2031185930;112333;1900179219;112153;1987085290;112153
2023;11;952;3;B;2;8;1;3321170337;187018;3451033653;187018;3225112286;186397;3354039553;186397
2023;11;952;3;B;2;9;1;;;;;;;;
2023;11;995;3;M;1;1;3;15828857;774;18246813;774;15690114;774;18116968;774
