ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;10;984;2;G;1;1;1;9231524;211;9449211;211;9234369;211;9439901;211
2023;10;984;2;G;1;2;1;122732777;4288;124678193;4288;91959273;4355;94567279;4355
2023;10;984;2;G;1;3;1;;;;;;;;
2023;10;984;2;G;1;4;1;;;;;;;;
2023;10;984;2;G;1;5;1;;;;;;;;
2023;10;984;2;G;1;6;1;;;;;;;;
2023;10;984;2;G;1;7;1;;;;;;;;
2023;10;984;2;G;1;8;1;;;;;;;;
2023;10;984;2;G;1;9;1;;;;;;;;
2023;10;984;2;G;2;1;1;73437596;545;73761317;545;71010541;526;71226211;526
2023;10;984;2;G;2;2;1;228970721;10273;238742533;10273;233622878;10800;242061776;10800
2023;10;984;2;G;2;3;1;;;;;;;;
2023;10;984;2;G;2;4;1;;;;;;;;
2023;10;984;2;G;2;5;1;;;;;;;;
2023;10;984;2;G;2;6;1;;;;;;;;
2023;10;984;2;G;2;7;1;;;;;;;;
2023;10;984;2;G;2;8;1;;;;;;;;
2023;10;984;2;G;2;9;1;;;;;;;;
2023;10;952;3;B;1;1;1;758795877;13622;775277634;13622;777975994;13830;794126033;13830
2023;10;952;3;B;1;2;1;2473848159;85617;2575254984;85617;2523695614;87371;2624919599;87371
2023;10;952;3;B;1;3;1;31741210;1987;33801700;1987;31123075;1987;32933761;1987
2023;10;952;3;B;1;4;1;15843277;713;16816601;713;15843281;713;16802166;713
2023;10;952;3;B;1;5;1;;;;;;;;
2023;10;952;3;B;1;6;1;;;;;;;;
2023;10;952;3;B;1;7;1;637332220;48401;685149605;48401;640984243;48220;680473830;48220
2023;10;952;3;B;1;8;1;968779489;88744;1038556108;88744;987463964;88815;1046944685;88815
2023;10;952;3;B;1;9;1;;;;;;;;
2023;10;952;3;B;2;1;1;1688336644;25795;1715287706;25795;1575600645;25252;1600583697;25252
2023;10;952;3;B;2;2;1;3325300566;99694;3421288039;99694;3324818145;99504;3413708912;99504
2023;10;952;3;B;2;3;1;343992624;18235;359636818;18235;344686549;18060;357963023;18060
2023;10;952;3;B;2;4;1;;;;;;;;
2023;10;952;3;B;2;5;1;;;;;;;;
2023;10;952;3;B;2;6;1;;;;;;;;
2023;10;952;3;B;2;7;1;1937457578;113050;2038777610;113050;1944280050;112333;2031185930;112333
