ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;9;984;2;G;1;1;1;9213597;211;9427519;211;9231524;211;9449211;211
2023;9;984;2;G;1;2;1;90465738;4149;93269619;4149;122732777;4288;124678193;4288
2023;9;984;2;G;1;3;1;;;;;;;;
2023;9;984;2;G;1;4;1;;;;;;;;
2023;9;984;2;G;1;5;1;;;;;;;;
2023;9;984;2;G;1;6;1;;;;;;;;
2023;9;984;2;G;1;7;1;;;;;;;;
2023;9;984;2;G;1;8;1;;;;;;;;
2023;9;984;2;G;1;9;1;;;;;;;;
2023;9;984;2;G;2;1;1;71853700;543;72202620;543;73437596;545;73761317;545
2023;9;984;2;G;2;2;1;215058377;9969;224131641;9969;228970721;10273;238742533;10273
2023;9;984;2;G;2;3;1;;;;;;;;
2023;9;984;2;G;2;4;1;;;;;;;;
2023;9;984;2;G;2;5;1;;;;;;;;
2023;9;984;2;G;2;6;1;;;;;;;;
2023;9;984;2;G;2;7;1;;;;;;;;
2023;9;984;2;G;2;8;1;;;;;;;;
2023;9;984;2;G;2;9;1;;;;;;;;
2023;9;952;3;B;1;1;1;714753060;13320;731280192;13320;758795877;13622;775277634;13622
2023;9;952;3;B;1;2;1;2421245184;85063;2523393882;85063;2473848159;85617;2575254984;85617
2023;9;952;3;B;1;3;1;30595903;1991;32713731;1991;31741210;1987;33801700;1987
2023;9;952;3;B;1;4;1;15336870;713;16292192;713;15843277;713;16816601;713
2023;9;952;3;B;1;5;1;;;;;;;;
2023;9;952;3;B;1;6;1;;;;;;;;
2023;9;952;3;B;1;7;1;583888528;48508;632297925;48508;637332220;48401;685149605;48401
2023;9;952;3;B;1;8;1;897523485;89169;968705194;89169;968779489;88744;1038556108;88744
2023;9;952;3;B;1;9;1;;;;;;;;
2023;9;952;3;B;2;1;1;1592083659;24377;1618227078;24377;1688336644;25795;1715287706;25795
2023;9;952;3;B;2;2;1;3293663333;100464;3390032644;100464;3325300566;99694;3421288039;99694
2023;9;952;3;B;2;3;1;321419681;18281;337334128;18281;343992624;18235;359636818;18235
2023;9;952;3;B;2;4;1;;;;;;;;
2023;9;952;3;B;2;5;1;;;;;;;;
2023;9;952;3;B;2;6;1;;;;;;;;
2023;9;952;3;B;2;7;1;1805811246;113505;1911261333;113505;1937457578;113050;2038777610;113050
2023;9;952;3;B;2;8;1;3106661063;189692;3265166999;189692;3307387548;187953;3460681235;187953
2023;9;952;3;B;2;9;1;;;;;;;;
2023;9;995;3;M;1;1;3;15414616;774;17878895;774;14209896;774;16659535;774
2023;9;995;3;M;1;2;3;239747650;34633;278738624;34930;246278408;36260;285914462;36612
2023;9;995;3;M;1;3;3;32645497;5622;39349530;5772;32954329;5464;39429245;5576
2023;9;995;3;M;1;4;3;74186391;12626;84074024;12702;71089039;12151;80486658;12213
2023;9;995;3;M;1;5;3;1711167;194;2150319;194;1577587;161;1951447;161
2023;9;995;3;M;1;6;3;;;;;;;;
2023;9;995;3;M;1;7;3;50196844;10248;58843134;10254;53058459;10364;60643463;10404
2023;9;995;3;M;1;8;3;5146877;732;6340934;732;7185500;651;8703616;651
2023;9;995;3;M;1;9;3;2265516;579;2565107;579;2603859;579;2870858;579
2023;9;995;3;M;2;1;3;42957415;2322;51527382;2322;43999050;2322;52569711;2322
2023;9;995;3;M;2;2;3;689043637;79763;822843571;81229;684014699;79364;819866820;80629
2023;9;995;3;M;2;3;3;61767939;10206;76319583;10800;59163646;9552;73239001;10034
2023;9;995;3;M;2;4;3;50639545;8151;61171825;8464;47032598;8009;56071073;8230
2023;9;995;3;M;2;5;3;;;;;;;;
2023;9;995;3;M;2;6;3;;;;;;;;
2023;9;995;3;M;2;7;3;361735607;70709;434704723;71787;380642445;70141;453001470;70947
2023;9;995;3;M;2;8;3;123773922;20093;150601628;20501;128260991;19975;154519628;20470
2023;9;995;3;M;2;9;3;;;;;;;;
2023;9;997;1;G;1;1;3;;;;;;;;
2023;9;997;1;G;1;2;3;;;;;;;;
2023;9;997;1;G;1;3;3;;;;;;;;
2023;9;997;1;G;1;4;3;713500;194;892358;194;738500;194;917432;194
2023;9;997;1;G;1;5;3;;;;;;;;
2023;9;997;1;G;1;6;3;635000;194;690825;194;660000;194;715835;194
2023;9;997;1;G;1;7;3;;;;;;;;
2023;9;997;1;G;1;8;3;;;;;;;;
2023;9;997;1;G;1;9;3;;;;;;;;
2023;9;997;1;G;2;1;3;;;;;;;;
2023;9;997;1;G;2;2;3;;;;;;;;
2023;9;997;1;G;2;3;3;;;;;;;;
2023;9;997;1;G;2;4;3;1260223;388;1444140;388;1310223;388;1495137;388
2023;9;997;1;G;2;5;3;;;;;;;;
2023;9;997;1;G;2;6;3;;;;;;;;
2023;9;997;1;G;2;7;3;;;;;;;;
2023;9;997;1;G;2;8;3;;;;;;;;
2023;9;997;1;G;2;9;3;;;;;;;;
2023;9;1762;3;P;1;1;1;314695899;12852;324258584;12852;314204435;13230;323658429;13238
2023;9;1762;3;P;1;2;1;1689456678;132345;1772495817;132555;1680137550;132582;1748380254;132743
2023;9;1762;3;P;1;3;1;82563422;18524;88122939;18641;83116434;18524;88772306;18612
2023;9;1762;3;P;1;4;1;305336447;64923;326360838;64987;303794792;64923;325809400;65007
2023;9;1762;3;P;1;5;1;;;;;;;;
2023;9;1762;3;P;1;6;1;;;;;;;;
2023;9;1762;3;P;1;7;1;;;;;;;;
2023;9;1762;3;P;1;8;1;;;;;;;;
2023;9;1762;3;P;1;9;1;209160335;61571;225049319;62411;209195640;61760;227512478;62810
2023;9;1762;3;P;2;1;1;310683808;11730;324838414;11730;300565908;11352;310900957;11352
2023;9;1762;3;P;2;2;1;2546382953;155239;2642559405;155461;2527777186;153536;2615012560;153875
2023;9;1762;3;P;2;3;1;132488742;28448;144675880;28816;135246823;29393;147721958;29892
2023;9;1762;3;P;2;4;1;114533051;22161;123620938;22266;116434550;22728;126307339;22954
2023;9;1762;3;P;2;5;1;;;;;;;;
2023;9;1762;3;P;2;6;1;;;;;;;;
2023;9;1762;3;P;2;7;1;;;;;;;;
2023;9;1762;3;P;2;8;1;;;;;;;;
2023;9;1762;3;P;2;9;1;184713619;51033;201750850;52258;186031082;51033;205899607;52673
2023;9;1118;3;P;1;1;1;772214619;36383;818768471;36383;778538759;36382;825462702;36382
2023;9;1118;3;P;1;2;1;5268614777;464352;5655766592;464607;5269244866;467947;5660349597;468217
2023;9;1118;3;P;1;3;1;577265422;96577;673610391;96678;561428415;94019;655679922;94187
2023;9;1118;3;P;1;4;1;943532968;161273;1105460312;161561;943064632;161548;1103375060;161780
2023;9;1118;3;P;1;5;1;41966778;13419;53092771;13427;43623343;13608;55397043;13629
2023;9;1118;3;P;1;6;1;;;;;;;;
2023;9;1118;3;P;1;7;1;23845353;6237;30186349;6237;22568571;5899;28215372;5899
2023;9;1118;3;P;1;8;1;;;;;;;;
2023;9;1118;3;P;1;9;1;212750021;93744;292458701;93754;218996624;93933;300476428;93936
2023;9;1118;3;P;2;1;1;696986994;27599;730741627;27599;703880457;27405;738072308;27405
2023;9;1118;3;P;2;2;1;6562316505;455128;6921165362;455301;6548410161;456142;6911967015;456546
2023;9;1118;3;P;2;3;1;507752252;78566;599139361;79748;505192425;78081;596156571;79253
2023;9;1118;3;P;2;4;1;213922167;41865;257434553;42291;220293495;42470;264632702;42864
2023;9;1118;3;P;2;5;1;1819546;378;2057247;378;1830306;378;2071303;378
2023;9;1118;3;P;2;6;1;;;;;;;;
2023;9;1118;3;P;2;7;1;26866154;6048;33468211;6183;24788421;5670;30843531;5790
2023;9;1118;3;P;2;8;1;11967265;2457;15672498;2609;11876509;2457;16178009;2695
2023;9;1118;3;P;2;9;1;85683836;29484;113937540;29772;89821919;30051;119453779;30270
2023;9;1310;1;N;1;1;6;;;;;;;;
2023;9;1310;1;N;1;2;6;1865146;194;1973511;194;1873062;194;2399225;194
