ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2024;1;984;2;G;1;1;1;;;;;;;;
2024;1;984;2;G;1;2;1;103307806;5117;107438207;5117;110623069;5072;114675491;5073
2024;1;984;2;G;1;3;1;;;;;;;;
2024;1;984;2;G;1;4;1;;;;;;;;
2024;1;984;2;G;1;5;1;;;;;;;;
2024;1;984;2;G;1;6;1;;;;;;;;
2024;1;984;2;G;1;7;1;;;;;;;;
2024;1;984;2;G;1;8;1;;;;;;;;
2024;1;984;2;G;1;9;1;;;;;;;;
2024;1;984;2;G;2;1;1;62918747;549;63299215;549;64646731;549;64968154;549
2024;1;984;2;G;2;2;1;236116784;9138;243820347;9174;247882167;9072;253963781;9088
2024;1;984;2;G;2;3;1;;;;;;;;
2024;1;984;2;G;2;4;1;;;;;;;;
2024;1;984;2;G;2;5;1;;;;;;;;
2024;1;984;2;G;2;6;1;;;;;;;;
2024;1;984;2;G;2;7;1;;;;;;;;
2024;1;984;2;G;2;8;1;;;;;;;;
2024;1;984;2;G;2;9;1;;;;;;;;
2024;1;952;3;B;1;1;1;834481665;14697;852316332;14697;868109150;14869;886602617;14869
2024;1;952;3;B;1;2;1;2472685047;85911;2571257306;85911;2536404484;85915;2638741549;85915
2024;1;952;3;B;1;3;1;31630772;1987;33457403;1987;33190632;2168;35126620;2168
2024;1;952;3;B;1;4;1;15815557;713;16769081;713;16098708;713;17107150;713
2024;1;952;3;B;1;5;1;;;;;;;;
2024;1;952;3;B;1;6;1;;;;;;;;
2024;1;952;3;B;1;7;1;669857526;50847;712504729;50847;678902909;50895;718857363;50895
2024;1;952;3;B;1;8;1;1153497927;113907;1225744643;113907;1165076122;117157;1232596093;117157
2024;1;952;3;B;1;9;1;;;;;;;;
2024;1;952;3;B;2;1;1;1585806907;25439;1611438855;25439;1658958301;26232;1686061816;26232
2024;1;952;3;B;2;2;1;3299576265;99184;3388539434;99184;3349381241;99085;3440494542;99085
2024;1;952;3;B;2;3;1;346389095;18241;360197247;18241;353687878;18963;367467222;18963
2024;1;952;3;B;2;4;1;;;;;;;;
2024;1;952;3;B;2;5;1;;;;;;;;
2024;1;952;3;B;2;6;1;;;;;;;;
2024;1;952;3;B;2;7;1;1938027504;111610;2027611784;111610;1896494033;111069;1980617190;111069
2024;1;952;3;B;2;8;1;3316474537;186251;3449486363;186251;3241218523;185173;3366310161;185173
2024;1;952;3;B;2;9;1;;;;;;;;
2024;1;995;3;M;1;1;3;16599998;774;19038596;774;16599998;774;19038596;774
2024;1;995;3;M;1;2;3;274840198;33847;312103573;34148;274840198;33847;312103573;34148
2024;1;995;3;M;1;3;3;34866461;5509;40839621;5615;34866461;5509;40839621;5615
2024;1;995;3;M;1;4;3;79863657;10956;88542336;11014;79863657;10956;88542336;11014
2024;1;995;3;M;1;5;3;1577587;161;1951447;161;1577587;161;1951447;161
2024;1;995;3;M;1;6;3;;;;;;;;
2024;1;995;3;M;1;7;3;66523575;9531;75223073;9531;66523575;9531;75223073;9531
2024;1;995;3;M;1;8;3;6584587;771;7939902;771;6584587;771;7939902;771
2024;1;995;3;M;1;9;3;2423177;418;2607475;418;2423177;418;2607475;418
2024;1;995;3;M;2;1;3;45316433;2322;53420890;2322;45316433;2322;53420890;2322
2024;1;995;3;M;2;2;3;772173732;80133;908022036;81436;772173732;80133;908022036;81436
2024;1;995;3;M;2;3;3;65457140;8972;77934461;9432;65457140;8972;77934461;9432
2024;1;995;3;M;2;4;3;54737941;8071;63763355;8335;54737941;8071;63763355;8335
2024;1;995;3;M;2;5;3;1194237;174;1483725;174;1194237;174;1483725;174
2024;1;995;3;M;2;6;3;;;;;;;;
2024;1;995;3;M;2;7;3;410232980;65850;481139005;67051;410232980;65850;481139005;67051
2024;1;995;3;M;2;8;3;133529916;19594;157945042;20055;133529916;19594;157945042;20055
2024;1;995;3;M;2;9;3;;;;;;;;
2024;1;997;1;G;1;1;3;;;;;;;;
2024;1;997;1;G;1;2;3;;;;;;;;
2024;1;997;1;G;1;3;3;;;;;;;;
2024;1;997;1;G;1;4;3;738500;194;917432;194;738500;194;917432;194
2024;1;997;1;G;1;5;3;;;;;;;;
2024;1;997;1;G;1;6;3;660000;194;715835;194;660000;194;715835;194
2024;1;997;1;G;1;7;3;;;;;;;;
2024;1;997;1;G;1;8;3;;;;;;;;
2024;1;997;1;G;1;9;3;;;;;;;;
2024;1;997;1;G;2;1;3;;;;;;;;
2024;1;997;1;G;2;2;3;;;;;;;;
2024;1;997;1;G;2;3;3;;;;;;;;
2024;1;997;1;G;2;4;3;1310223;388;1495137;388;1310223;388;1495137;388
2024;1;997;1;G;2;5;3;;;;;;;;
2024;1;997;1;G;2;6;3;;;;;;;;
2024;1;997;1;G;2;7;3;;;;;;;;
2024;1;997;1;G;2;8;3;;;;;;;;
2024;1;997;1;G;2;9;3;;;;;;;;
2024;1;1762;3;P;1;1;1;324777482;13244;336940762;13244;380419906;13433;391954573;13433
2024;1;1762;3;P;1;2;1;1727657597;133008;1803557481;133033;1824853999;134805;1894074284;135213
2024;1;1762;3;P;1;3;1;85323286;19298;90954706;19315;88724210;19298;94199797;19334
2024;1;1762;3;P;1;4;1;308250385;65179;331215494;65179;327949370;67071;350757823;67176
2024;1;1762;3;P;1;5;1;;;;;;;;
2024;1;1762;3;P;1;6;1;;;;;;;;
2024;1;1762;3;P;1;7;1;;;;;;;;
2024;1;1762;3;P;1;8;1;;;;;;;;
2024;1;1762;3;P;1;9;1;234855925;69531;249590754;69531;242641466;68822;262914991;70134
2024;1;1762;3;P;2;1;1;302294190;11730;316726559;11730;336956360;11541;348738396;11541
2024;1;1762;3;P;2;2;1;2700621070;158266;2815954564;158372;2857723319;162050;2946281857;162494
2024;1;1762;3;P;2;3;1;127344215;27907;137170798;27981;133488994;27907;145816182;28456
2024;1;1762;3;P;2;4;1;111276784;21049;119516038;21105;118612272;21616;128134835;21817
2024;1;1762;3;P;2;5;1;;;;;;;;
2024;1;1762;3;P;2;6;1;;;;;;;;
2024;1;1762;3;P;2;7;1;;;;;;;;
2024;1;1762;3;P;2;8;1;;;;;;;;
2024;1;1762;3;P;2;9;1;191539571;53354;203789277;53354;198411827;52976;218305434;54668
2024;1;1118;3;P;1;1;1;784585658;37110;832411525;37110;832279597;37332;884132890;37332
2024;1;1118;3;P;1;2;1;5333979064;461428;5737252184;461763;5469630061;440752;5887037422;440999
2024;1;1118;3;P;1;3;1;528015276;89980;622603133;90160;556829957;88249;654000319;88427
2024;1;1118;3;P;1;4;1;966554295;164028;1139327182;164427;1006298814;162903;1188955534;163196
2024;1;1118;3;P;1;5;1;45115099;13566;57371377;13583;53814414;16065;68221316;16076
2024;1;1118;3;P;1;6;1;;;;;;;;
