EMPRESA_GENERICA;TAMANO_EMPRESA;CATEGORIA;ID_DIVISION;TT;SEXO;GRUPO;RO (ENE);RO (FEB);RO (MAR);RO (ABR);RO (MAY);RO (JUN);HO (ENE);HO (FEB);HO (MAR);HO (ABR);HO (MAY);HO (JUN);RE (ENE);RE (FEB);RE (MAR);RE (ABR);RE (MAY);RE (JUN);HE (ENE);HE (FEB);HE (MAR);HE (ABR);HE (MAY);HE (JUN);C (ENE);C (FEB);C (MAR);C (ABR);C (MAY);C (JUN);NT (ENE);NT (FEB);NT (MAR);NT (ABR);NT (MAY);NT (JUN)
1;2;D;14;22;1;3;1210475;1210475;1210475;1210475;657488;1210475;194;194;194;194;97;194;0;0;0;0;0;0;0;0;0;0;0;0;1282740;1282740;1282740;1282740;696740;1282740;1;1;1;1;1;1
1;2;D;14;22;1;4;1921687;1926833;1926833;1926833;1926833;1926833;581;581;581;581;581;581;0;0;0;0;0;0;0;0;0;0;0;0;2036412;2041865;2041865;2041865;2041865;2041865;3;3;3;3;3;3
1;2;D;14;22;2;1;3419848;3419848;3419848;3419848;3419848;3419848;387;387;387;387;387;387;0;0;0;0;0;0;0;0;0;0;0;0;3624013;3624013;3624013;3624013;3624013;3624013;2;2;2;2;2;2
1;2;D;14;22;2;2;2772019;3059569;2936724;3050793;2887593;2862046;387;387;387;387;387;387;0;0;0;0;0;0;0;0;0;0;0;0;2937509;3242225;3112046;3232925;3059982;3203333;2;2;2;2;2;2
1;2;D;14;22;2;3;1815433;1815433;;;;;285;285;;;;;0;0;;;;;0;0;;;;;1923814;1923814;;;;;2;2;;;;
1;2;D;14;22;2;4;241666;856795;831795;831795;831795;831795;97;291;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;256093;907946;881453;881453;881453;881453;1;2;1;1;1;1
1;2;D;14;22;2;6;2468184;2815591;2159291;2514817;2525336;2178475;387;387;387;387;387;387;0;0;0;0;0;0;0;0;0;0;0;0;2615535;2983682;2288201;2664952;2676099;2308530;2;2;2;2;2;2
1;2;D;14;22;2;7;12746487;17860086;19263118;19865343;21499540;29453794;4346;5999;6386;7160;6966;5651;112972;115976;339680;424321;556566;64130;80;82;240;300;393;45;13627169;19049233;20773085;21500957;23372856;31280144;25;31;33;37;36;32
2;3;C;4;33;1;1;10179617;10179617;10179617;10179617;10302772;10301772;189;189;189;189;189;189;0;0;0;0;0;0;0;0;0;0;0;0;10376533;10376703;10376886;10377093;10500408;10499486;1;1;1;1;1;1
2;3;C;4;33;1;2;13175845;13848266;13791817;12922856;14661558;14190046;1512;1626;1644;1575;1695;1582;0;0;109685;582929;18993;158077;0;0;12;60;2;16;14663262;15515730;15617439;15194440;16373582;16027370;8;9;9;9;9;9
2;3;C;4;33;1;3;6573660;6535701;6407594;6534687;6619476;5515034;1323;1323;1297;1323;1323;1128;260254;124079;120201;312753;129643;56255;35;16;16;44;17;7;8121513;7950330;7816530;8665353;8031690;6789998;7;7;7;7;7;7
2;3;C;4;33;1;4;5516396;6091974;5961547;5542882;5477097;5991067;1134;1317;1297;1235;1191;1273;118657;143679;172117;346888;81488;409021;16;20;26;48;11;52;6865831;7503256;7404241;7324069;6994782;7843786;7;7;7;8;8;8
2;3;C;4;33;1;5;784057;807690;824205;785074;794493;794493;189;189;189;189;189;189;77693;0;0;77693;0;52417;12;0;0;12;0;8;1025893;969977;986037;1026941;956409;1010514;1;1;1;1;1;1
2;3;C;4;33;1;9;330000;308000;330000;319000;333960;311696;189;176;189;183;189;176;0;0;0;0;0;48053;0;0;0;0;0;19;484302;461105;484302;472704;488478;512669;1;1;1;1;1;1
2;3;C;4;33;2;1;95592373;95592372;95592373;95592373;96701779;96668841;1323;1323;1323;1323;1323;1323;0;0;0;0;0;0;0;0;0;0;0;0;96986294;96987526;96988856;96990356;98100924;98068551;7;7;7;7;7;7
2;3;C;4;33;2;2;132217885;132172092;132240941;131237916;134569006;132069613;8978;9072;9021;9047;9028;8701;2128721;1178701;1475005;3483303;1802902;1502911;109;65;87;209;95;72;145694046;144677742;145061266;146219448;147697685;144791490;48;48;48;49;48;48
2;3;C;4;33;2;3;40909527;40013613;40036242;40721456;39904236;40899828;6180;5973;5846;5853;5916;6099;1176783;589961;365105;2781128;376823;1789029;119;61;35;289;36;176;48838248;46978114;46636561;49782164;46636128;49103602;35;33;32;32;33;33
2;3;C;4;33;2;4;17459396;17281361;17337903;16501143;16982284;16908491;3288;3332;3396;3169;3201;3188;854288;621607;363948;1180952;882066;720733;135;96;62;182;134;105;21895738;21427106;21107148;21072500;21112026;20860933;19;19;18;18;17;17
2;3;C;4;33;2;5;31971596;31379513;30349223;28272328;29047290;28878917;7219;7006;6917;6646;6735;6697;1738870;300000;692913;3189797;1113096;1573405;214;57;113;563;147;249;40833702;38649044;37897240;38397619;36770613;37055044;39;39;38;38;37;37
2;3;C;4;33;2;7;152515231;156480325;155036701;159188332;159658052;169008142;51162;52315;52000;53519;52863;55194;5866574;2671378;2619606;20517309;4058961;8543155;1269;587;594;4441;632;1812;210017923;210122319;208816624;232035944;215673750;229549389;314;309;310;310;321;311
2;3;C;4;33;2;8;69228709;73813308;74076585;73069830;75417003;85060295;14024;14754;14963;15164;15624;17092;3035529;1466824;2390121;8888155;1895087;6548122;449;241;367;1228;282;893;89133096;90582528;91914975;97678528;93964632;109264080;95;83;84;84;92;95
2;3;C;4;33;2;9;3231879;3389426;3403875;3210595;3260183;3256978;945;938;945;945;945;939;439024;374689;158640;861714;890161;703325;84;63;32;154;154;116;4559478;4640886;4428963;4965882;5047502;4845234;5;5;5;5;5;5
3;1;O;3;11;1;4;319481;315731;324356;311981;311981;345731;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;358858;359691;363952;365896;351020;386289;1;1;1;1;1;1
3;1;O;3;11;1;6;764342;603920;647320;640871;656167;590464;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;843737;676096;721449;747186;730695;662035;2;2;2;2;2;2
3;1;O;3;11;2;1;670711;670711;670711;670711;670711;670711;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;715893;715893;715893;746093;715893;715893;1;1;1;1;1;1
3;1;O;3;11;2;2;670711;670711;670711;670711;670711;670711;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;715893;715893;715893;746092;715893;715893;1;1;1;1;1;1
3;1;O;3;11;2;3;573473;566473;566473;566473;566473;598406;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;649279;641964;641964;668266;641964;675334;2;2;2;2;2;2
4;2;O;3;12;1;2;;1272063;1130249,599;1159352,903;1142588,631;1136543,832;;194;194,0788384;193,3791283;192,4825156;183,5180866;;0;0;0;0;0;;0;0;0;0;0;;1402899;1252567,99;1288999,551;1271461,791;1262710,966;;1;1,00359269;0,980253325;0,954457185;0,978318614
4;2;O;3;12;1;3;1111438,165;;2475933;2636172;2546172;2546172;52;;375;387;387;388;0;;0;0;0;0;0;;0;0;0;0;1280101,146;;2715033;2895422;2743769;2743769;1;;2;2;2;2
4;2;O;3;12;1;4;;1988314;1989752,76;1393363,157;1393363,157;1390436,678;;194;187,4832041;145,374677;145,374677;142,7038305;;0;0;0;0;0;;0;0;0;0;0;;2160047;2162469,823;1546616,754;1546616,754;1542434,171;;1;1;0,75;0,75;0,740384615
4;2;O;3;12;2;1;5211446,685;5792716;5199668;5199668;5199668;5199668;189;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;5426520,378;5917046;5357069;5431377;5328599;5328702,556;1;1;1;1;1;1
4;2;O;3;12;2;2;2311101,623;11993556;5953897;5801066;5953897;5953897;188,408237;970;582;563;582;582;0;0;0;0;0;0;0;0;0;0;0;0;2463465,497;12837204;6271819;6264023;6298188;6298327;0,97752809;5;3;3;3;3
4;2;O;3;12;2;3;24570557,91;13121627;21300843;21300843;21300843;21149028;1017,171137;1552;1940;1940;1940;1914;0;0;0;0;0;0;0;0;0;0;0;0;26835536,79;14271550;22769370;22905320;22826633;22278444;11,16541353;8;10;10;10;10
5;1;O;3;11;1;2;534099;476386;389563;432848;432848;432848;246;164;149;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;564970;506969;415128;458413;458413;458413;2;1;1;1;1;1
5;1;O;3;11;1;4;330000;330000;330000;330000;330000;330000;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;341154;341154;341154;341154;341154;341154;1;1;1;1;1;1
5;1;O;3;11;1;9;165000;165000;126500;165000;165000;165000;97;97;74;96;96;96;0;0;0;0;0;0;0;0;0;0;0;0;168251;168251;128992;168251;168251;168251;1;1;1;1;1;1
5;1;O;3;11;2;1;981500;981500;981500;981500;981500;981500;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;1014675;1014675;1014675;1014675;1014675;1014675;1;1;1;1;1;1
5;1;O;3;11;2;2;609830;609830;609830;609830;609830;609830;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;643131;645079;645079;645079;645079;645079;1;1;1;1;1;1
5;1;O;3;11;2;3;1837301;1834208;1784498;1845667;1822780;1780830;776;774;774;774;774;774;0;0;0;0;0;0;0;0;0;0;0;0;1939402;1936204;1884231;1947621;1897163;1874125;4;4;4;4;4;4
5;1;O;3;11;2;6;766480;846070;763180;763914;770879;776011;387;387;387;387;387;387;0;0;0;0;0;0;0;0;0;0;0;0;803451;877608;791916;792675;799875;805181;2;2;2;2;2;2
6;3;C;3;33;1;1;106590579;84636536;95372640;103830871;90099540;96155346;2942;2393;2573;2574;2580;2574;0;0;0;0;0;0;0;0;0;0;0;0;109107789;86461930;97548881;105864312;92254240;98276672;16;13;14;14;14;14
6;3;C;3;33;1;2;435254521;424886460;432065470;450417189;439909117;440784175;22182;21798;21594;21948;22515;22671;0;0;0;0;0;0;0;0;0;0;0;0;455177500;441869645;449146959;466932082;457491240;458540176;122;120;119;121;124;125
